開放粵語詞典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
壓低	at8 dɐi1	
壓底	at8 dɐi2	
壓價	at8 ga3	
押金	at8 gɐm1	
壓根	at8 gɐn1	
壓緊	at8 gɐn2	
壓氣	at8 hei3	
壓抑	at8 jik7	
壓延	at8 jin4	
壓延機	at8 jin4 gei1	
猰貐	at8 jy5	
壓垮	at8 kwa1	
壓力	at8 lik9	
壓力表	at8 lik9 biu2	
壓力計	at8 lik9 gɐi3	
壓力鍋	at8 lik9 wɔ1	
壓路	at8 lou6	
壓路機	at8 lou6 gei1	
壓馬路	at8 ma5 lou6	
揠苗助長	at8 miu4 dzɔ6 dzœŋ2	
壓破	at8 pɔ3	
壓平	at8 pɪŋ4	
壓碎	at8 sœy3	
壓歲	at8 sœy3	
壓歲錢	at8 sœy3 tsin4	
壓縮	at8 sʊk7	
壓縮機	at8 sʊk7 gei1	
壓縮空氣	at8 sʊk7 hʊŋ1 hei3	
壓縮力	at8 sʊk7 lik9	
巴閉	ba1 bɐi3	了不起
巴揸	ba1 dza1	多嘴，愛管閒事
芭蕉	ba1 dziu1	
疤痕	ba1 hɐn4	
疤痕組織	ba1 hɐn4 dzou2 dzik7	
芭蕾舞	ba1 lœy4 mou5	
芭蕾	ba1 lœy5	
巴黎帽	ba1 lɐi4 mou2	貝雷帽
吧女	ba1 nœy5	酒吧女服務員
巴士	ba1 si2	公車，巴士，公共汽車
巴士站	ba1 si2 dzam6	公車站，公共汽車站
巴士佬	ba1 si2 lou2	公車司機
把柄	ba2 bɛŋ3	
把盞	ba2 dzan2	
把酒	ba2 dzɐu2	
把風	ba2 fʊŋ1	
把幾火	ba2 gei2 fɔ2	很生氣
把關	ba2 gwan1	
把鬼	ba2 gwɐi2	有什麼用，頂什麼用，白費勁，毫無用處
把戲	ba2 hei3	
把兄弟	ba2 hɪŋ1 dɐi6	
罷啦	ba2 la1	吧
把脈	ba2 mɐk9	診脈，號脈
把炮	ba2 pau3	把握
把屁	ba2 pei3	有屁用，頂個屁用
把屁咩！	ba2 pei3 mɛ1	有個屁用！
把式	ba2 sik7	
把勢	ba2 sɐi3	
把手	ba2 sɐu2	
把守	ba2 sɐu2	
把舦	ba2 tai5	掌舵
把持	ba2 tsi4	
把玩	ba2 wun6	
把握	ba2 ɐk7	
霸	ba3	佔
霸道	ba3 dou6	
霸靚位	ba3 lɛŋ3 wɐi1	佔好位子
霸位	ba3 wɐi2	佔位置，佔位子，佔位
霸王	ba3 wɔŋ4	應付錢而不付錢
霸掗	ba3 ŋa6	霸道
罷就	ba6 dzɐu6	算了，拉倒，罷了，作罷
罷工	ba6 gʊŋ1	
罷休	ba6 jɐu1	
罷了	ba6 liu5	
罷手	ba6 sɐu2	
罷黜	ba6 tsœt7	
拜拜	bai1 bai3	再見，拜拜
擺	bai2	擺放
擺酒	bai2 dzɐu2	擺酒席，辦酒席
擺檔	bai2 dɔŋ2	擺攤子
擺檔口	bai2 dɔŋ2 hɐu2	擺攤子
擺放	bai2 fɔŋ3	
擺供	bai2 gʊŋ3	
擺甫士	bai2 pou1 si2	擺姿勢
擺設	bai2 tsit8	
擺脫	bai2 tyt8	
擺烏龍	bai2 wu1 lʊŋ2	弄錯，搞誤會
拜把	bai3 ba2	
拜把兄弟	bai3 ba2 hɪŋ1 dɐi6	
拜倒	bai3 dou2	
拜倒石榴裙之下	bai3 dou2 sɛk9 lɐu4 kwɐn4 dzi1 ha6	
拜袓先	bai3 dzou2 sin1	
拜祭	bai3 dzɐi3	
拜讀	bai3 dʊk9	
拜佛	bai3 fɐt7	
拜火教	bai3 fɔ2 gau3	
拜訪	bai3 fɔŋ2	
拜見	bai3 gin3	
拜金	bai3 gɐm1	
拜金主義	bai3 gɐm1 dzy2 ji6	
拜揖	bai3 jɐp7	
拜老師	bai3 lou5 si1	
拜廟	bai3 miu6	
拜年	bai3 nin4	
拜票	bai3 piu3	
拜山	bai3 san1	上墳，掃墓
拜師	bai3 si1	
拜師學藝	bai3 si1 hɔk9 ŋɐi6	
拜神	bai3 sɐn4	
拜天地	bai3 tin1 dei6	
拜托	bai3 tɔk8	
拜偶像	bai3 ŋɐu5 dzœŋ6	
敗北	bai6 bɐk7	
敗仗	bai6 dzœŋ3	
敗將	bai6 dzœŋ3	
敗陣	bai6 dzɐn6	
敗者為寇	bai6 dzɛ2 wɐi4 kɐu3	
敗家	bai6 ga1	
敗家仔	bai6 ga1 dzɐi2	敗家子
敗家精	bai6 ga1 dzɪŋ1	敗家子
敗軍	bai6 gwɐn1	
敗血病	bai6 hyt8 bɪŋ6	
敗血症	bai6 hyt8 dzɪŋ3	
敗興	bai6 hɪŋ3	
敗興而歸	bai6 hɪŋ3 ji4 gwɐi1	
敗類	bai6 lœy6	
敗落	bai6 lɔk9	
敗事有餘	bai6 si6 jɐu5 jy4	
敗訴	bai6 sou3	
敗絮	bai6 sœy5	
敗絮其中	bai6 sœy5 kei4 dzʊŋ1	
敗退	bai6 tœy3	
敗壞	bai6 wai6	
敗胃	bai6 wɐi6	
迫不得已	bak7 bɐt7 dɐk7 ji5	
迫在眉睫	bak7 dzɔi6 mei4 dzit9	
迫擊炮	bak7 gik7 pau3	
迫近	bak7 gɐn6	
迫害	bak7 hɔi6	
迫於形勢	bak7 jy1 jɪŋ4 sɐi3	
迫使	bak7 si2	
迫切	bak7 tsit8	
伯伯	bak8 bak8	
百步穿楊	bak8 bou6 tsyn1 jœŋ4	
百般	bak8 bun1	
百病	bak8 bɪŋ6	
百病叢生	bak8 bɪŋ6 tsʊŋ4 sɐŋ1	
百褶裙	bak8 dzip8 kwɐn4	
百折不撓	bak8 dzit8 bɐt7 nau4	
百足	bak8 dzʊk7	蜈蚣
百讀不厭	bak8 dʊk9 bɐt7 jim3	
百花爭艷	bak8 fa1 dzɐŋ1 jim6	
百花怒放	bak8 fa1 nou6 fɔŋ3	
百花齊放	bak8 fa1 tsɐi4 fɔŋ3	
百發百中	bak8 fat8 bak8 dzʊŋ3	
伯父	bak8 fu6	
百分點	bak8 fɐn1 dim2	
百科	bak8 fɔ1	
百科全書	bak8 fɔ1 tsyn4 sy1	百科全書
百科全書	bak8 fɔ1 tsyn4 sy1	
百貨	bak8 fɔ3	
百貨店	bak8 fɔ3 dim3	
百貨公司	bak8 fɔ3 gʊŋ1 si1	
百貨業	bak8 fɔ3 jip9	
百貨商店	bak8 fɔ3 sœŋ1 dim3	
百貨商場	bak8 fɔ3 sœŋ1 tsœŋ4	
百感交集	bak8 gɐm2 gau1 dzap9	
白鴿	bak8 gɐp2	
百香果	bak8 hœŋ1 gwɔ2	
百香果汁	bak8 hœŋ1 gwɔ2 dzɐp7	
百看不厭	bak8 hɔn3 bɐt7 jim3	
百厭	bak8 jim3	調皮，淘氣
百厭仔	bak8 jim3 dzɐi2	淘氣鬼
百葉窗	bak8 jip9 tsœŋ1	
伯爺	bak8 jɛ1	父親
伯爺公	bak8 jɛ1 gʊŋ1	老大爺，老頭兒
伯爺婆	bak8 jɛ1 pɔ2	老婆婆，老太婆
百里香	bak8 lei5 hœŋ1	
百煉成鋼	bak8 lin6 sɪŋ4 gɔŋ3	
百靈	bak8 lɪŋ4	
百靈鳥	bak8 lɪŋ4 niu5	
百萬	bak8 man6	
百萬富翁	bak8 man6 fu3 jʊŋ1	
百萬雄師	bak8 man6 hʊŋ4 si1	
百無禁忌	bak8 mou4 gɐm3 gei6	
百無一失	bak8 mou4 jɐt7 sɐt7	
百無一長	bak8 mou4 jɐt7 tsœŋ4	
百無聊賴	bak8 mou4 liu4 lai6	
百米	bak8 mɐi5	
百米賽跑	bak8 mɐi5 tsɔi3 pau2	
百聞不如一見	bak8 mɐn4 bɐt7 jy4 jɐt7 gin3	
百物	bak8 mɐt9	
百衲本	bak8 nap9 bun2	
百衲衣	bak8 nap9 ji1	
百思不得其解	bak8 si1 bɐt7 dɐk7 kei4 gai2	
百身莫贖	bak8 sɐn1 mɔk9 sʊk9	
百獸之王	bak8 sɐu3 dzi1 wɔŋ4	
白布	bak9 bou3	
白斬雞	bak9 dzam2 gɐi1	白切雞
白紙	bak9 dzi2	
白紙黑字	bak9 dzi2 hɐk7 dzi6	
白做	bak9 dzou6	白幹一場
白酒	bak9 dzɐu2	
白晝	bak9 dzɐu3	
白撞雨	bak9 dzɔŋ6 jy5	過雲雨
白淨	bak9 dzɪŋ6	白嫩
白粥	bak9 dzʊk7	稀飯，稀粥
白花	bak9 fa1	
白化	bak9 fa3	
白飯	bak9 fan6	
白髮	bak9 fat8	
白灰	bak9 fui1	
白費	bak9 fɐi3	
白費力氣	bak9 fɐi3 lik9 hei3	
白費心機	bak9 fɐi3 sɐm1 gei1	
白粉	bak9 fɐn2	海洛因，白麵兒
白粉檔	bak9 fɐn2 dɔŋ3	販賣毒品的場所
白霍	bak9 fɔk8	輕浮，囂張，浮誇
白霍友	bak9 fɔk8 jɐu2	好出風頭的人，愛吹噓自己的人，傲慢的人
白鍵	bak9 gin6	
白果	bak9 gwɔ2	
白光	bak9 gwɔŋ1	
帛金	bak9 gɐm1	
白金	bak9 gɐm1	
白血病	bak9 hyt8 bɛŋ6	
白血球	bak9 hyt8 kɐu4	
白開水	bak9 hɔi1 sœy2	
白鶴	bak9 hɔk9	
白熊	bak9 hʊŋ4	
白衣天使	bak9 ji1 tin1 si3	
白熱	bak9 jit9	
白熱化	bak9 jit9 fa3	
白楊	bak9 jœŋ4	
白楊樹	bak9 jœŋ4 sy6	
白日夢	bak9 jɐt9 mʊŋ6	
白油	bak9 jɐu2	醬油
白肉	bak9 jʊk9	
白玉	bak9 jʊk9	
白旗	bak9 kei4	
白鯨	bak9 kɪŋ4	
白蘭	bak9 lan4	
白蘭地	bak9 lan4 dei6	
白蘭花	bak9 lan4 fa1	
白蓮教	bak9 lin4 gau3	
白鷺	bak9 lou6	
白領	bak9 lɪŋ5	
白領階級	bak9 lɪŋ5 gai1 kɐp7	
白馬王子	bak9 ma5 wɔŋ4 dzi2	
白貓	bak9 mau1	
白面	bak9 min6	
白面書生	bak9 min6 sy1 sɐŋ1	
白米	bak9 mɐi5	
白木耳	bak9 mʊk9 ji5	
白蒙蒙	bak9 mʊŋ1 mʊŋ1	雪白雪白的
白皮書	bak9 pei4 sy1	
白沙	bak9 sa1	
白紗	bak9 sa1	
白嘥	bak9 sai1	白費
白色	bak9 sik7	
白皙	bak9 sik7	
白蝕	bak9 sik9	汗斑
白鼠	bak9 sy2	
白薯	bak9 sy4	
白雪雪	bak9 syt7 syt7	白白的，雪白
白雪	bak9 syt8	
白水	bak9 sœy2	
白首	bak9 sɐu2	
白手	bak9 sɐu2	
白手起家	bak9 sɐu2 hei2 ga1	
白癡	bak9 tsi1	
白醋	bak9 tsou3	
白灼	bak9 tsœk8	水煮，清煮，涮
白灼蝦	bak9 tsœk8 ha1	清煮蝦
白菜	bak9 tsɔi3	
白車	bak9 tsɛ1	救護車
白頭到老	bak9 tɐu4 dou3 lou5	
白頭偕老	bak9 tɐu4 gai1 lou5	
白頭翁	bak9 tɐu4 jʊŋ1	
白糖	bak9 tɔŋ4	
白話	bak9 wa2	本地話，廣州話，廣府話，廣東話
白話	bak9 wa2	
白話文	bak9 wa2 mɐn4	
白話文學	bak9 wa2 mɐn4 hɔk9	
白雲	bak9 wɐn4	
白眼	bak9 ŋan5	
白蟻	bak9 ŋɐi5	
白銀	bak9 ŋɐn4	
白矮星	bak9 ɐi2 sɪŋ1	
白堊紀	bak9 ɔk8 gei2	
班	ban1	群，伙
班	ban1	糾合，糾集，拉隊伍，糾集同伙
班兵	ban1 bɪŋ1	請援兵，請人幫忙，請求援助，搬兵
班主任	ban1 dzy2 jɐm6	
班長	ban1 dzœŋ2	
頒獎	ban1 dzœŋ2	
頒獎典禮	ban1 dzœŋ2 din2 lɐi5	
頒獎禮	ban1 dzœŋ2 lɐi2	
班底	ban1 dɐi2	
班代表	ban1 dɔi6 biu2	
班房	ban1 fɔŋ2	教室，課室
斑鳩	ban1 gɐu1	
瘢痕	ban1 hɐn4	
班戟	ban1 kik7	薄煎餅，薄烤餅，熱香餅
斑斕	ban1 lan4	
班馬	ban1 ma5	搬救兵，召集黨徒，召集羽翼
斑馬	ban1 ma5	
班門弄斧	ban1 mun4 lʊŋ6 fu2	
班師	ban1 si1	
班師回朝	ban1 si1 wui4 tsiu4	
班次	ban1 tsi3	
班車	ban1 tsɛ1	
板	ban2	板子
版本	ban2 bun2	
板障	ban2 dzœŋ3	板牆，板壁
板凳	ban2 dɐŋ3	
板塊	ban2 fai3	
版權	ban2 kyn4	
版權所有	ban2 kyn4 sɔ2 jɐu5	
扮煮飯仔	ban3 dzy2 fan6 dzɐi2	過家家，玩過家家，扮家家酒
扮	ban6	裝，裝作
湴	ban6	爛泥，稀泥
扮豬食老虎	ban6 dzy1 sik9 lou5 fu2	佯裝愚蠢，裝瘋賣傻來佔便宜
扮得意	ban6 dɐk7 ji3	裝可愛
扮代表	ban6 dɔi6 biu2	裝模作樣
辦法	ban6 fat8	
辦公室	ban6 gʊŋ1 sɐt7	
扮演	ban6 jin2	
扮嘢	ban6 jɛ5	裝模作樣，裝樣子，裝蒜，出風頭
扮英雄	ban6 jɪŋ1 hʊŋ4	充英雄
扮靚	ban6 lɛŋ3	打扮，打扮得漂漂亮亮
扮晒嘢	ban6 sai3 jɛ5	裝模作樣
辦事	ban6 si6	
辦事處	ban6 si6 tsy3	
辦妥	ban6 tɔ2	
扮聽唔到	ban6 tɛŋ1 m̩4 dou2	裝作沒聽見
八	bat8	八卦的，愛管閒事的
八寶	bat8 bou2	
八寶粥	bat8 bou2 dzʊk7	
八寶飯	bat8 bou2 fan6	
八點	bat8 dim2	
八點鐘	bat8 dim2 dzʊŋ1	
八爪魚	bat8 dzau2 jy4	章魚
八字	bat8 dzi6	
八股	bat8 gu2	
八股文	bat8 gu2 mɐn4	
八卦	bat8 gwa3	愛管閒事
八卦妹	bat8 gwa3 mui1	愛管閒事的女孩
八卦婆	bat8 gwa3 pɔ2	三八，饒舌婦
八國聯軍	bat8 gwɔk8 lyn4 gwɐn1	
八九不離十	bat8 gɐu2 bɐt7 lei4 sɐp9	
八個字	bat8 gɔ3 dzi6	四十分鍾
八角	bat8 gɔk8	
八角形	bat8 gɔk8 jɪŋ4	
八月	bat8 jyt9	
八月份	bat8 jyt9 fɐn6	
八級	bat8 kɐp7	
八路軍	bat8 lou6 gwɐn1	
八面玲瓏	bat8 min6 lɪŋ4 lʊŋ4	
八妹	bat8 mui1	愛管閒事的女孩
八年級	bat8 nin4 kɐp7	
八婆	bat8 pɔ4	三八，饒舌婦
八仙	bat8 sin1	
八仙過海	bat8 sin1 gwɔ3 hɔi2	
八十	bat8 sɐp9	
八成	bat8 sɪŋ4	
包	bau1	保證
褒貶	bau1 bin2	
包租	bau1 dzou1	租房又分租給他人
包租公	bau1 dzou1 gʊŋ1	二房東
包租婆	bau1 dzou1 pɔ2	二房東太太，二房東，女二房東
包裝	bau1 dzɔŋ1	
包粽	bau1 dzʊŋ2	包粽子
包袱	bau1 fʊk9	
包裹	bau1 gwɔ2	
包含	bau1 hɐm4	
包二奶	bau1 ji6 nai1	有情婦，養小老婆
鮑魚	bau1 jy4	
包容	bau1 jʊŋ4	
包括	bau1 kut8	
包廂	bau1 sœŋ1	
飽嗝	bau2 gak8	
飽經	bau2 gɪŋ1	
飽經風霜	bau2 gɪŋ1 fʊŋ1 sœŋ1	
飽經世故	bau2 gɪŋ1 sɐi3 gu3	
飽經滄桑	bau2 gɪŋ1 tsɔŋ1 sɔŋ1	
飽含	bau2 hɐm4	
飽學	bau2 hɔk9	
飽學之士	bau2 hɔk9 dzi1 si6	
飽滿	bau2 mun5	
飽暖	bau2 nyn5	
飽暖思淫慾	bau2 nyn5 si1 jɐm4 jʊk9	
飽死	bau2 sei2	臭美
飽死我啦！	bau2 sei2 ŋɔ5 la3	飽到要爆炸
飽食	bau2 sik9	
飽食終日	bau2 sik9 dzʊŋ1 jɐt9	
飽嚐	bau2 sœŋ4	
飽受	bau2 sɐu6	
飽餐	bau2 tsan1	
飽擦一輪	bau2 tsat8 jɐt7 lœn4	飽吃一頓
飽和	bau2 wɔ4	
飽和點	bau2 wɔ4 dim2	
飽和度	bau2 wɔ4 dou6	
飽和狀態	bau2 wɔ4 dzɔŋ6 tai3	
爆	bau3	炸，破裂
爆煲	bau3 bou1	露餡兒，暴露
爆炸	bau3 dza3	
爆樽	bau3 dzœn1	砸瓶
爆發	bau3 fat8	
爆火	bau3 fɔ2	發脾氣
爆穀	bau3 gʊk7	爆米花，玉米花兒
爆棚	bau3 paŋ4	賣座
爆肽	bau3 tai1	破輪胎
爆坼	bau3 tsak8	皮膚皴裂
爆粗口	bau3 tsou1 hɐu2	說粗話
鮑魚	bau6 jy4	
蹦蹦跳跳	baŋ6 baŋ6 tiu3 tiu3	
繃帶	baŋ6 dai3	
繃緊	baŋ6 gɐn2	
卑職	bei1 dzik7	
卑賤	bei1 dzin6	
卑俗	bei1 dzʊk9	
悲慟	bei1 dʊŋ6	
悲憤填膺	bei1 fɐn5 tin4 jɪŋ1	
悲觀	bei1 gun1	
裨益	bei1 jik7	
悲劇	bei1 kɛk9	
卑劣	bei1 lyt8	
卑劣性	bei1 lyt8 sɪŋ3	
卑微	bei1 mei4	
碑文	bei1 mɐn4	
卑鄙	bei1 pei2	
卑鄙無恥	bei1 pei2 mou4 tsi2	
悲慘	bei1 tsam2	
悲哀	bei1 ɔi1	
髀	bei2	腿，大腿
畀	bei2	被，受，讓
畀	bei2	給
畀翻	bei2 fan1	還給
畀翻錢	bei2 fan1 tsin2	還錢
畀非士	bei2 fei1 si2	給面子
比分	bei2 fɐn1	
比方	bei2 fɔŋ1	
比較	bei2 gau3	
比堅尼	bei2 gin1 nei4	比基尼，比基尼泳衣
畀過	bei2 gwɔ3	交給
畀考起	bei2 hau2 hei2	被考倒
比喻	bei2 jy6	
畀人棍咗	bei2 jɐn4 gwɐn3 dzɔ2	給人騙了，被人騙了，被騙
畀人蝦	bei2 jɐn4 ha1	軟弱，給別人欺負
畀人恰	bei2 jɐn4 hɐp7	讓別人欺負了
畀人箍頸	bei2 jɐn4 ku1 gɛŋ2	被人搶劫
畀人鬧	bei2 jɐn4 nau6	捱罵，被罵，讓人罵
畀人拼沉	bei2 jɐn4 pɛŋ1 tsɐm4	被打敗，給人打輸
畀人識穿	bei2 jɐn4 sik7 tsyn1	讓人識破
畀人唱衰	bei2 jɐn4 tsœŋ3 sœy1	被別人詆毀，被別人戳脊梁骨
畀人玩死	bei2 jɐn4 wan2 sei2	被人害苦
畀人呃	bei2 jɐn4 ŋak7	受騙，被騙
比率	bei2 lœt9	
畀利是	bei2 lɐi6 si6	給紅包
畀面	bei2 min2	賞臉，給面子
畀面色佢睇	bei2 min6 sik7 kœy5 tɐi2	給臉色他看
畀問起	bei2 mɐn6 hei2	被問倒
比唔上	bei2 m̩4 sœŋ6	比不上
畀鬧到一隻屐	bei2 nau6 dou3 jɐt7 dzɛk8 kɛk9	被罵得垂頭喪氣，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一戙都冇	bei2 nau6 dou3 jɐt7 dʊŋ6 dou1 mou5	被罵得一錢不值，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一面屁	bei2 nau6 dou3 jɐt7 min6 pei3	被罵得滿臉羞慚，被罵得無地自容，被罵得狗血淋頭
畀鬧到死死吓	bei2 nau6 dou3 sei2 sei2 ha2	被罵得垂頭喪氣，被罵得狗血淋頭，捱一頓臭罵
畀雪藏	bei2 syt8 tsɔŋ4	被打入冷宮，暫時閒置
畀水沉死	bei2 sœy2 dzɐm6 sei2	被水淹死
畀水濁親	bei2 sœy2 dzʊk9 tsɐn1	給水嗆了
畀心機	bei2 sɐm1 gei1	用心，下功夫，努力
畀心機做	bei2 sɐm1 gei1 dzou6	努力做
匕首	bei2 sɐu2	
畀錫壞咗	bei2 sɛk8 wai6 dzɔ2	被慣壞了，給人慣壞了
畀貼士	bei2 tip7 si2	給小費
畀差人拉	bei2 tsai1 jɐn4 lai1	被警察逮捕
彼此	bei2 tsi2	
畀錢	bei2 tsin2	付錢，給錢
畀錢我	bei2 tsin2 ŋɔ5	給我錢
比賽	bei2 tsɔi3	
畀…睇	bei2 tɐi2	給…看
畀銀紙	bei2 ŋɐn4 dzi2	給錢
彼岸	bei2 ŋɔn6	
痺	bei3	麻，麻痺，麻木
痺到死	bei3 dou3 sei2	肉麻死了，肉麻得要命
秘訣	bei3 kyt8	
秘笈	bei3 kɐp7	
秘撈	bei3 lou1	搞外快，賺取外快，業餘兼職
秘密	bei3 mɐt9	
泌尿	bei3 niu6	
秘書	bei3 sy1	
庇護	bei3 wu6	
避	bei6	躲
被迫	bei6 bak7	
被捕	bei6 bou6	
備戰	bei6 dzin3	
鼻祖	bei6 dzou2	
備註	bei6 dzy3	
鼻竇炎	bei6 dɐu6 jim4	
被動	bei6 dʊŋ6	
備份	bei6 fɐn6	
備課	bei6 fɔ3	
避風塘	bei6 fʊŋ1 tɔŋ4	避風港
被告	bei6 gou3	
鼻哥	bei6 gɔ1	鼻子
鼻哥窿 	bei6 gɔ1 lʊŋ1	鼻孔
鼻血	bei6 hyt8	
避開	bei6 hɔi1	
被害	bei6 hɔi6	
被害人	bei6 hɔi6 jɐn4	
鼻腔	bei6 hɔŋ1	
被控	bei6 hʊŋ3	
備而不用	bei6 ji4 bɐt7 jʊŋ6	
鼻炎	bei6 jim4	
鼻煙	bei6 jin1	
鼻煙盒	bei6 jin1 hɐp9	
鼻咽癌	bei6 jin1 ŋam4	
鼻音	bei6 jɐm1	
備用	bei6 jʊŋ6	
備用品	bei6 jʊŋ6 bɐn2	
被困	bei6 kwɐn3	
鼻梁	bei6 lœŋ4	
避免	bei6 min5	
備忘錄	bei6 mɔŋ4 lʊk9	
避唔切	bei6 m̩4 tsit8	來不及躲開
鼻息	bei6 sik7	
鼻水	bei6 sœy2	
鼻塞	bei6 sɐk7	
備受	bei6 sɐu6	
鼻涕	bei6 tɐi3	
鼻涕蟲	bei6 tɐi3 tsʊŋ4	
備胎	bei6 tɔi1	
備案	bei6 ɔn3	
BB機	bi1 bi1 gei1	呼叫機，BB機
啤啤	bi4 bi1	小孩，嬰兒，嬰孩，小孩兒
啤啤仔	bi4 bi1 dzɐi2	小嬰兒，小男孩，男嬰兒，小小子
啤啤女	bi4 bi1 nœy2	女嬰兒，小女孩，小丫頭
啤啤車	bi4 bi1 tsɛ1	嬰兒車
逼	bik7	擠，擁擠
逼巴士	bik7 ba1 si2	擠公車，擠公共汽車
逼迫	bik7 bak7	
逼到鬼噉	bik7 dou3 gwɐi2 gɐm2	擠得要命
逼到埋身	bik7 dou3 mai4 sɐn1	事情迫到頭上來
壁紙	bik7 dzi2	
壁虎	bik7 fu2	
逼過嚟	bik7 gwɔ3 lei4	擠過來
逼供	bik7 gʊŋ1	
碧血	bik7 hyt8	
逼冚晒	bik7 hɐm6 sai3	擠得緊緊的
碧海	bik7 hɔi2	
逼人	bik7 jɐn4	擁擠
逼入去	bik7 jɐp9 hœy3	擠進去
碧玉	bik7 jʊk9	
逼嚟逼去	bik7 lei4 bik7 hœy3	擠來擠去
壁爐	bik7 lou4	
碧綠	bik7 lʊk9	
碧綠色	bik7 lʊk9 sik7	
逼上梁山	bik7 sœŋ5 lœŋ4 san1	
壁櫥	bik7 tsœy4	
壁畫	bik7 wa2	
碧眼	bik7 ŋan5	
邊	bin1	哪，哪裡
鞭	bin1	鞭子
邊度	bin1 dou6	哪裡
辮仔	bin1 dzɐi2	辮子
邊際	bin1 dzɐi3	
邊種	bin1 dzʊŋ2	哪種
邊防	bin1 fɔŋ4	
邊防要塞	bin1 fɔŋ4 jiu3 tsɔi3	
邊界	bin1 gai3	
邊界線	bin1 gai3 sin3	
