開放粵語詞典（耶魯拼音調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
疤痕組織	bā hàhn jóu jīk	
巴揸	bā jā	多嘴，愛管閒事
芭蕉	bā jiū	
巴黎帽	bā làih móu	貝雷帽
芭蕾舞	bā lèuih móuh	
芭蕾	bā léuih	
吧女	bā néuih	酒吧女服務員
巴士	bā sí	公車，巴士，公共汽車
巴士站	bā sí jaahm	公車站，公共汽車站
巴士佬	bā sí lóu	公車司機
把握	bá āk	
把柄	bá beng	
把持	bá chìh	
把風	bá fūng	
把幾火	bá géi fó	很生氣
把關	bá gwāan	
把鬼	bá gwái	有什麼用，頂什麼用，白費勁，毫無用處
把戲	bá hei	
把兄弟	bá hīng daih	
把盞	bá jáan	
把酒	bá jáu	
罷啦	bá lā	吧
把脈	bá mahk	診脈，號脈
把炮	bá paau	把握
把屁	bá pei	有屁用，頂個屁用
把屁咩！	bá pei mē	有個屁用！
把勢	bá sai	
把守	bá sáu	
把手	bá sáu	
把式	bá sīk	
把舦	bá táaih	掌舵
把玩	bá wuhn	
霸	ba	佔
霸道	ba douh	
霸靚位	ba leng wāi	佔好位子
霸掗	ba ngah	霸道
霸位	ba wái	佔位置，佔位子，佔位
霸王	ba wòhng	應付錢而不付錢
罷黜	bah cheūt	
罷工	bah gūng	
罷就	bah jauh	算了，拉倒，罷了，作罷
罷了	bah liúh	
罷手	bah sáu	
罷休	bah yāu	
拜拜	bāai baai	再見，拜拜
擺	báai	擺放
擺設	báai chit	
擺檔	báai dóng	擺攤子
擺檔口	báai dóng háu	擺攤子
擺放	báai fong	
擺供	báai gung	
擺酒	báai jáu	擺酒席，辦酒席
擺甫士	báai pōu sí	擺姿勢
擺脫	báai tyut	
擺烏龍	báai wū lúng	弄錯，搞誤會
拜把	baai bá	
拜把兄弟	baai bá hīng daih	
拜倒	baai dóu	
拜倒石榴裙之下	baai dóu sehk làuh kwàhn jī hah	
拜讀	baai duhk	
拜佛	baai fāt	
拜火教	baai fó gaau	
拜訪	baai fóng	
拜金	baai gām	
拜金主義	baai gām jyú yih	
拜見	baai gin	
拜祭	baai jai	
拜袓先	baai jóu sīn	
拜老師	baai lóuh sī	
拜廟	baai miuh	
拜偶像	baai ngáuh jeuhng	
拜年	baai nìhn	
拜票	baai piu	
拜山	baai sāan	上墳，掃墓
拜神	baai sàhn	
拜師	baai sī	
拜師學藝	baai sī hohk ngaih	
拜天地	baai tīn deih	
拜托	baai tok	
拜揖	baai yāp	
敗北	baaih bāk	
敗家	baaih gā	
敗家仔	baaih gā jái	敗家子
敗家精	baaih gā jīng	敗家子
敗軍	baaih gwān	
敗興	baaih hing	
敗興而歸	baaih hing yìh gwāi	
敗血病	baaih hyut bihng	
敗血症	baaih hyut jing	
敗陣	baaih jahn	
敗者為寇	baaih jé wàih kau	
敗仗	baaih jeung	
敗將	baaih jeung	
敗類	baaih leuih	
敗落	baaih lohk	
敗絮	baaih séuih	
敗絮其中	baaih séuih kèih jūng	
敗事有餘	baaih sih yáuh yùh	
敗訴	baaih sou	
敗退	baaih teui	
敗壞	baaih waaih	
敗胃	baaih waih	
迫不得已	bāak bāt dāk yíh	
迫切	bāak chit	
迫近	bāak gahn	
迫擊炮	bāak gīk paau	
迫害	bāak hoih	
迫在眉睫	bāak joih mèih jiht	
迫使	bāak sí	
迫於形勢	bāak yū yìhng sai	
伯伯	baak baak	
百病	baak bihng	
百病叢生	baak bihng chùhng sāng	
百步穿楊	baak bouh chyūn yeùhng	
百般	baak būn	
百讀不厭	baak duhk bāt yim	
百花齊放	baak fā chàih fong	
百花爭艷	baak fā jāng yihm	
百花怒放	baak fā nouh fong	
百發百中	baak faat baak jung	
百分點	baak fān dím	
百科	baak fō	
百科全書	baak fō chyùhn syū	
百科全書	baak fō chyùhn syū	百科全書
百貨	baak fo	
百貨店	baak fo dim	
百貨公司	baak fo gūng sī	
百貨商場	baak fo seūng cheùhng	
百貨商店	baak fo seūng dim	
百貨業	baak fo yihp	
伯父	baak fuh	
百感交集	baak gám gāau jaahp	
白鴿	baak gáp	
百香果	baak heūng gwó	
百香果汁	baak heūng gwó jāp	
百看不厭	baak hon bāt yim	
百褶裙	baak jip kwàhn	
百折不撓	baak jit bāt nàauh	
百足	baak jūk	蜈蚣
百里香	baak léih heūng	
百煉成鋼	baak lihn sìhng gong	
百靈	baak lìhng	
百靈鳥	baak lìhng niúh	
百萬	baak maahn	
百萬富翁	baak maahn fu yūng	
百萬雄師	baak maahn hùhng sī	
百米	baak máih	
百米賽跑	baak máih choi páau	
百聞不如一見	baak màhn bāt yùh yāt gin	
百物	baak maht	
百無禁忌	baak mòuh gam geih	
百無聊賴	baak mòuh liùh laaih	
百無一長	baak mòuh yāt cheùhng	
百無一失	baak mòuh yāt sāt	
百衲本	baak naahp bún	
百衲衣	baak naahp yī	
百身莫贖	baak sān mohk suhk	
百獸之王	baak sau jī wòhng	
百思不得其解	baak sī bāt dāk kèih gáai	
伯爺	baak yē	父親
伯爺公	baak yē gūng	老大爺，老頭兒
伯爺婆	baak yē pó	老婆婆，老太婆
百厭	baak yim	調皮，淘氣
百厭仔	baak yim jái	淘氣鬼
百葉窗	baak yihp cheūng	
白矮星	baahk ái sīng	
白布	baahk bou	
白車	baahk chē	救護車
白灼	baahk cheuk	水煮，清煮，涮
白灼蝦	baahk cheuk hā	清煮蝦
白癡	baahk chī	
白菜	baahk choi	
白醋	baahk chou	
白花	baahk fā	
白化	baahk fa	
白飯	baahk faahn	
白髮	baahk faat	
白費	baahk fai	
白費力氣	baahk fai lihk hei	
白費心機	baahk fai sām gēi	
白粉	baahk fán	海洛因，白麵兒
白粉檔	baahk fán dong	販賣毒品的場所
白霍	baahk fok	輕浮，囂張，浮誇
白霍友	baahk fok yáu	好出風頭的人，愛吹噓自己的人，傲慢的人
白灰	baahk fuī	
帛金	baahk gām	
白金	baahk gām	
白鍵	baahk gihn	
白果	baahk gwó	
白光	baahk gwōng	
白開水	baahk hōi séui	
白鶴	baahk hohk	
白熊	baahk hùhng	
白血病	baahk hyut behng	
白血球	baahk hyut kàuh	
白斬雞	baahk jáam gāi	白切雞
白酒	baahk jáu	
白晝	baahk jau	
白紙	baahk jí	
白紙黑字	baahk jí hāk jih	
白淨	baahk jihng	白嫩
白撞雨	baahk johng yúh	過雲雨
白做	baahk jouh	白幹一場
白粥	baahk jūk	稀飯，稀粥
白旗	baahk kèih	
白鯨	baahk kìhng	
白蘭	baahk làahn	
白蘭地	baahk làahn deih	
白蘭花	baahk làahn fā	
白蓮教	baahk lìhn gaau	
白領	baahk líhng	
白領階級	baahk líhng gāai kāp	
白鷺	baahk louh	
白馬王子	baahk máh wòhng jí	
白貓	baahk māau	
白米	baahk máih	
白面	baahk mihn	
白面書生	baahk mihn syū sāng	
白木耳	baahk muhk yíh	
白蒙蒙	baahk mūng mūng	雪白雪白的
白眼	baahk ngáahn	
白蟻	baahk ngáih	
白銀	baahk ngàhn	
白堊紀	baahk ok géi	
白皮書	baahk pèih syū	
白沙	baahk sā	
白紗	baahk sā	
白嘥	baahk sāai	白費
白手	baahk sáu	
白首	baahk sáu	
白手起家	baahk sáu héi gā	
白水	baahk séui	
白皙	baahk sīk	
白色	baahk sīk	
白蝕	baahk sihk	汗斑
白鼠	baahk syú	
白薯	baahk syùh	
白雪雪	baahk syūt syūt	白白的，雪白
白雪	baahk syut	
白頭到老	baahk tàuh dou lóuh	
白頭偕老	baahk tàuh gāai lóuh	
白頭翁	baahk tàuh yūng	
白糖	baahk tòhng	
白話	baahk wá	
白話	baahk wá	本地話，廣州話，廣府話，廣東話
白話文	baahk wá màhn	
白話文學	baahk wá màhn hohk	
白雲	baahk wàhn	
白日夢	baahk yaht muhng	
白油	baahk yáu	醬油
白楊	baahk yeùhng	
白楊樹	baahk yeùhng syuh	
白衣天使	baahk yī tīn si	
白熱	baahk yiht	
白熱化	baahk yiht fa	
白玉	baahk yuhk	
白肉	baahk yuhk	
班	bāan	糾合，糾集，拉隊伍，糾集同伙
班	bāan	群，伙
班兵	bāan bīng	請援兵，請人幫忙，請求援助，搬兵
班車	bāan chē	
班次	bāan chi	
班底	bāan dái	
班代表	bāan doih biú	
班房	bāan fóng	教室，課室
斑鳩	bāan gāu	
瘢痕	bāan hàhn	
班長	bāan jeúng	
頒獎	bāan jeúng	
頒獎典禮	bāan jeúng dín láih	
頒獎禮	bāan jeúng lái	
班主任	bāan jyú yahm	
班戟	bāan kīk	薄煎餅，薄烤餅，熱香餅
斑斕	bāan làahn	
斑馬	bāan máh	
班馬	bāan máh	搬救兵，召集黨徒，召集羽翼
班門弄斧	bāan mùhn luhng fú	
班師	bāan sī	
班師回朝	bāan sī wuìh chiùh	
板	báan	板子
版本	báan bún	
板凳	báan dang	
板塊	báan faai	
板障	báan jeung	板牆，板壁
版權	báan kyùhn	
版權所有	báan kyùhn só yáuh	
扮煮飯仔	baan jyú faahn jái	過家家，玩過家家，扮家家酒
扮	baahn	裝，裝作
湴	baahn	爛泥，稀泥
扮得意	baahn dāk yi	裝可愛
扮代表	baahn doih biú	裝模作樣
辦法	baahn faat	
辦公室	baahn gūng sāt	
扮豬食老虎	baahn jyū sihk lóuh fú	佯裝愚蠢，裝瘋賣傻來佔便宜
扮靚	baahn leng	打扮，打扮得漂漂亮亮
扮晒嘢	baahn saai yéh	裝模作樣
辦事	baahn sih	
辦事處	baahn sih chyu	
扮聽唔到	baahn tēng m̀h dóu	裝作沒聽見
辦妥	baahn tó	
扮嘢	baahn yéh	裝模作樣，裝樣子，裝蒜，出風頭
扮演	baahn yín	
扮英雄	baahn yīng hùhng	充英雄
蹦蹦跳跳	baahng baahng tiu tiu	
繃帶	baahng daai	
繃緊	baahng gán	
八	baat	八卦的，愛管閒事的
八寶	baat bóu	
八寶飯	baat bóu faahn	
八寶粥	baat bóu jūk	
八點	baat dím	
八點鐘	baat dím jūng	
八九不離十	baat gáu bāt lèih sahp	
八個字	baat go jih	四十分鍾
八角	baat gok	
八角形	baat gok yìhng	
八股	baat gú	
八股文	baat gú màhn	
八卦	baat gwa	愛管閒事
八卦妹	baat gwa muī	愛管閒事的女孩
八卦婆	baat gwa pó	三八，饒舌婦
八國聯軍	baat gwok lyùhn gwān	
八爪魚	baat jáau yùh	章魚
八字	baat jih	
八級	baat kāp	
八路軍	baat louh gwān	
八面玲瓏	baat mihn lìhng lùhng	
八妹	baat muī	愛管閒事的女孩
八年級	baat nìhn kāp	
八婆	baat pòh	三八，饒舌婦
八十	baat sahp	
八仙	baat sīn	
八仙過海	baat sīn gwo hói	
八成	baat sìhng	
八月	baat yuht	
八月份	baat yuht fahn	
包	bāau	保證
褒貶	bāau bín	
包袱	bāau fuhk	
包裹	bāau gwó	
包含	bāau hàhm	
包裝	bāau jōng	
包租	bāau jōu	租房又分租給他人
包租公	bāau jōu gūng	二房東
包租婆	bāau jōu pó	二房東太太，二房東，女二房東
包粽	bāau júng	包粽子
包括	bāau kut	
包廂	bāau seūng	
包二奶	bāau yih nāai	有情婦，養小老婆
鮑魚	bāau yùh	
包容	bāau yùhng	
飽餐	báau chāan	
飽擦一輪	báau chaat yāt leùhn	飽吃一頓
飽嗝	báau gaak	
飽經	báau gīng	
飽經滄桑	báau gīng chōng sōng	
飽經風霜	báau gīng fūng seūng	
飽經世故	báau gīng sai gu	
飽含	báau hàhm	
飽學	báau hohk	
飽學之士	báau hohk jī sih	
飽滿	báau múhn	
飽暖	báau nyúhn	
飽暖思淫慾	báau nyúhn sī yàhm yuhk	
飽受	báau sauh	
飽死	báau séi	臭美
飽死我啦！	báau séi ngóh la	飽到要爆炸
飽嚐	báau seùhng	
飽食	báau sihk	
飽食終日	báau sihk jūng yaht	
飽和	báau wòh	
飽和點	báau wòh dím	
飽和度	báau wòh douh	
飽和狀態	báau wòh johng taai	
爆	baau	炸，破裂
爆煲	baau bōu	露餡兒，暴露
爆坼	baau chaak	皮膚皴裂
爆粗口	baau chōu háu	說粗話
爆發	baau faat	
爆火	baau fó	發脾氣
爆穀	baau gūk	爆米花，玉米花兒
爆炸	baau ja	
爆樽	baau jeūn	砸瓶
爆棚	baau pàahng	賣座
爆肽	baau tāai	破輪胎
鮑魚	baauh yùh	
跛	bāi	瘸
跛腳	bāi geuk	瘸腳
跛腳佬	bāi geuk lóu	瘸子，跛子
跛手	bāi sáu	瘸胳膊
贔屭	bai ai	
閉關	bai gwāan	
閉關自守	bai gwāan	
閉路	bai louh	
閉路電視	bai louh dihn sih	
閉幕	bai mohk	
閉幕典禮	bai mohk dín láih	
閉幕式	bai mohk sīk	
閉目	bai muhk	
閉目養神	bai muhk yeúhng sàhn	
閉門	bai mùhn	
閉門謝客	bai mùhn jeh haak	
閉門造車	bai mùhn jouh chē	
閉眼	bai ngáahn	
閉翳	bai ngai	憂愁，愁悶，發愁，心情抑郁
閉塞	bai sāk	
閉會	bai wuih	
閉月羞花	bai yuht sāu fā	
弊	baih	糟，壞
弊傢伙	baih gā fó	糟糕
陛下	baih hah	
弊喇	baih la	糟了，完了，壞了，糟糕
敝履	baih léih	
狴犴	baih ngohn	
弊案	baih on	
敝人	baih yàhn	
北便	bāk bihn	北邊
北部	bāk bouh	
北斗星	bāk dáu sīng	
北方	bāk fōng	
北極	bāk gihk	
北極熊	bāk gihk hùhng	
北芪	bāk kèih	黃芪
北佬	bāk lóu	北方人
泵把	bām bá	保險桿
泵車	bām chē	抽水車，消防車
泵氣	bām hei	打氣
泵水	bām séui	抽水
彬彬有禮	bān bān yáuh láih	
奔波	bān bō	
奔流	bān bō	
奔馳	bān chìh	
繽紛	bān fān	
奔放	bān fong	
奔赴	bān fuh	
賓館	bān gún	
賓仔	bān jái	菲律賓少年
奔走	bān jáu	
檳榔	bān lòhng	
檳榔汁	bān lòhng jāp	
賓佬	bān lóu	菲律賓人
奔馬	bān máh	
奔命	bān mihng	
賓妹	bān muī	菲律賓少女；菲傭，菲籍女傭
奔跑	bān páau	
賓婆	bān pó	菲律賓人
奔喪	bān sōng	
奔騰	bān tàhng	
奔逃	bān tòuh	
奔躍	bān yeuhk	
品茶	bán chàh	
品德	bán dāk	
品格	bán gaak	
品格高尚	bán gaak gōu seuhng	
品管	bán gún	
品行	bán hahng	
品學	bán hohk	
品學兼優	bán hohk gīm yāu	
品紅	bán hùhng	
品質	bán jāt	
品質管制	bán jāt gún jai	
品種	bán júng	
品種改良	bán júng gói leùhng	
品級	bán kāp	
品藍	bán làahm	
品類	bán leuih	
品綠	bán luhk	
品貌	bán maauh	
品貌出眾	bán maauh cheūt jung	
品貌雙全	bán maauh seūng chyùhn	
品味	bán meih	
品茗	bán míhng	
品目	bán muhk	
品牌	bán pàaih	
品評	bán pìhng	
品嚐	bán seùhng	
品性	bán sing	
品頭論足	bán tàuh leuhn jūk	
品位	bán waih	
鬢邊	ban bīn	
鬢髮	ban faat	
鬢髮皆白	ban faat gāai baahk	
鬢髮皓然	ban faat houh yìhn	
鬢角	ban gok	
擯棄	ban hei	
殯殮	ban líhm	
鬢霜	ban seūng	
殯儀館	ban yìh gún	
笨豬跳	bahn jyū tiu	蹦極跳，高空彈跳
笨拙	bahn jyut	
崩	bāng	分錢
崩	bāng	破，缺
崩口	bāng háu	豁嘴，兔唇
崩口碗	bāng háu wún	缺口碗
崩口人忌崩口碗	bāng háu yàhn geih bāng háu wún	當著矮子別說短話
崩仔	bāng jái	朋克，龐克
崩裝	bāng jōng	莫西干頭
崩潰	bāng kuí	
崩牙	bāng ngàh	缺齒
崩牙	bāng ngàh	缺齒，缺牙
[抔]	bāt	舀，盛
不諳	bāt ām	
不卑不亢	bāt bēi bāt kong	
不便	bāt bihn	
不辯菽麥	bāt bihn suhk mahk	
不必	bāt bīt	
不吵不鬧	bāt cháau bāt naauh	
不詳	bāt cheùhng	
不出所料	bāt cheūt só liuh	
不恥	bāt chí	
不恥下問	bāt chí hah mahn	
不前不後	bāt chìhn bāt hauh	
不請自來	bāt chíng jih lòih	
不切實際	bāt chit saht jai	
不切題	bāt chit tàih	
不速之客	bāt chūk jī haak	
不打不相識	bāt dá bāt seūng sīk	
不打自招	bāt dá jih jiū	
不大不小	bāt daaih bāt siú	
不單	bāt dāan	
不得	bāt dāk	
不得不	bāt dāk bāt	
不得好死	bāt dāk hóu séi	
不得其法	bāt dāk kèih faat	
不得其解	bāt dāk kèih gáai	
不得了	bāt dāk liúh	
不得人心	bāt dāk yàhn sām	
不得而知	bāt dāk yìh jī	
不得已	bāt dāk yíh	
不得要領	bāt dāk yiu líhng	
不特	bāt dahk	不但，不僅，不光
不對勁	bāt deui gihng	
不定	bāt dihng	
不定詞	bāt dihng chìh	
不定根	bāt dihng gān	
不定冠詞	bāt dihng gun chìh	
不定期	bāt dihng kèih	
不定量	bāt dihng leuhng	
不定形	bāt dihng yìhng	
不當	bāt dong	
不倒翁	bāt dóu yūng	
不凍港	bāt dung góng	
不動產	bāt duhng cháan	
不動聲色	bāt duhng sīng sīk	
不凡	bāt fàahn	
[抔]飯	bāt faahn	盛飯
不費吹灰之力	bāt fai chēui fuī jī lihk	
不分彼此	bāt fān béi chí	
不分青紅皂白	bāt fān chīng hùhng jouh baahk	
不分軒輊	bāt fān hīn ji	
不分輕重緩急	bāt fān hīng chúhng wuhn gāp	
不分晝夜	bāt fān jau yeh	
不分皂白	bāt fān jouh baahk	
不分男女老幼	bāt fān nàahm néuih lóuh yau	
不乏其人	bāt faht kèih yàhn	
不慌不忙	bāt fōng bāt mòhng	
不妨	bāt fòhng	
不負眾望	bāt fuh jung mohng	
不假思索	bāt gá sī saak	
不計其數	bāt gai kèih sou	
不甘	bāt gām	
不禁	bāt gām	
不甘寂寞	bāt gām jihk mohk	
不甘心	bāt gām sām	
不甘示弱	bāt gām sih yeuhk	
不敢當	bāt gám dōng	
不僅	bāt gán	
不僅僅	bāt gán gán	
不急不徐	bāt gāp bāt chèuih	
不急之務	bāt gāp jī mouh	
不夠	bāt gau	
不覊	bāt gēi	
筆記	bāt gei	
筆記本	bāt gei bún	
不見不散	bāt gin bāt saan	
不見經傳	bāt gin gīng chyùhn	
不見棺材不掉淚	bāt gin gūn chòih bāt diuh leuih	
不見天日	bāt gin tīn yaht	
不經一事，不長一智	bāt gīng yāt sih bāt jeúng yāt ji	
畢竟	bāt gíng	
不景氣	bāt gíng hei	
筆桿	bāt gón	
不告而別	bāt gou yìh biht	
不管	bāt gún	
不管三七二十一	bāt gún sāam chāt yih sahp yāt	
筆供	bāt gūng	
畢恭畢敬	bāt gūng bāt ging	
不公不義	bāt gūng bāt yih	
不共戴天	bāt guhng daai tīn	
不共戴天之仇	bāt guhng daai tīn jī sàuh	
不關痛癢	bāt gwāan tung yeúhng	
不過	bāt gwo	
不過如此	bāt gwo yùh chí	
不光	bāt gwōng	
不孝	bāt haau	
不孝子	bāt haau jí	
不孝有三	bāt haau yáuh sāam	
不堪	bāt hām	
不堪設想	bāt hām chit seúng	
不堪入目	bāt hām yahp muhk	
不堪入耳	bāt hām yahp yíh	
不堪一擊	bāt hām yāt gīk	
不含	bāt hàhm	
不含稅	bāt hàhm seui	
不含糊	bāt hàhm wùh	
不幸	bāt hahng	
不幸中之大幸	bāt hahng jūng jī daaih hahng	
不合	bāt hahp	
不合標準	bāt hahp biū jeún	
不合作	bāt hahp jok	
不合規定	bāt hahp kwāi dihng	
不合時宜	bāt hahp sìh yìh	
不喜歡	bāt héi fūn	
不可避免	bāt hó beih míhn	
不可多得	bāt hó dō dāk	
不可救藥	bāt hó gau yeuhk	
不可告人	bāt hó gou yàhn	
不可限量	bāt hó haahn leuhng	
不可開交	bāt hó hōi gāau	
不可知論	bāt hó jī leuhn	
不可戰勝	bāt hó jin sing	
不可捉摸	bāt hó jūk mó	
不可終日	bāt hó jūng yaht	
不可理喻	bāt hó léih yuh	
不可名狀	bāt hó mìhng johng	
不可磨滅	bāt hó mòh miht	
不可能	bāt hó nàhng	
不可旁貸	bāt hó pòhng taai	
不可收拾	bāt hó sāu sahp	
不可想像	bāt hó seúng jeuhng	
不可思議	bāt hó sī yíh	
不可數	bāt hó sóu	
不可同日而語	bāt hó tùhng yaht yìh yúh	
不可或缺	bāt hó waahk kyut	
不可諱言	bāt hó wáih yìhn	
不可一世	bāt hó yāt sai	
不可言喻	bāt hó yìhn yuh	
不可逾越	bāt hó yùh yuht	
不學無術	bāt hohk mòuh seuht	
不寒而慄	bāt hòhn yìh leuht	
不吭聲	bāt hòhng sīng	
不吭一聲	bāt hòhng yāt sīng	
不好	bāt hóu	
筆嘴	bāt jéui	筆尖兒，鋼筆尖兒
不進則退	bāt jeun jāk teui	
不像話	bāt jeuhng wá	
不像樣	bāt jeuhng yeuhng	
不知幾	bāt jī géi	很，真，真的很
不知所云	bāt jī só wàhn	
不只	bāt jí	
不治	bāt jih	
不治之症	bāt jih jī jing	
不自量力	bāt jih leuhng lihk	
不即不離	bāt jīk bāt lèih	
不值一顧	bāt jihk yāt gu	
不值一文	bāt jihk yāt màhn	
不值一提	bāt jihk yāt tàih	
不戰而敗	bāt jin yìh baaih	
不戰而退	bāt jin yìh teui	
不再	bāt joi	
不在場	bāt joih cheùhng	
不在乎	bāt joih fùh	
不在話下	bāt joih wá hah	
不在意	bāt joih yi	
不足掛齒	bāt jūk gwa chí	
不足輕重	bāt jūk hīng chúhng	
不足為訓	bāt jūk wàih fan	
不足為奇	bāt jūk wàih kèih	
不足為外人道	bāt jūk wàih ngoih yàhn douh	
不足為憑	bāt jūk wàih pàhng	
不中不西	bāt jūng bāt sāi	
不絕於耳	bāt jyuht yū yíh	
不及	bāt kahp	
不及格	bāt kahp gaak	
不及物動詞	bāt kahp maht duhng chìh	
不亢不卑	bāt kong bāt bēi	
不愧	bāt kwáih	
不冷不熱	bāt láahng bāt yiht	
抔垃圾	bāt laahp saap	撮垃圾
不溜	bāt lāu	一向，一直，向來，經常
不理不睬	bāt léih bāt chói	
不利	bāt leih	
不倫不類	bāt leùhn bāt leuih	
不論	bāt leuhn	
不吝賜教	bāt leuhn chi gaau	
不論怎麼	bāt leuhn jám mō	
不論怎樣	bāt leuhn jám yeuhng	
不吝指正	bāt leuhn jí jing	
不論如何	bāt leuhn yùh hòh	
不了了之	bāt liúh liúh jī	
不勞而獲	bāt lòuh yìh wohk	
篳路藍縷	bāt louh làahm léuih	
筆墨	bāt mahk	
不問	bāt mahn	
不問前因後果	bāt mahn chìhn yān hauh gwó	
不問青紅皂白	bāt mahn chīng hùhng jouh baahk	
不問是非曲直	bāt mahn sih fēi kūk jihk	
不謀而合	bāt máuh yìh hahp	
不寐	bāt meih	
不免	bāt míhn	
不明不白	bāt mìhng bāt baahk	
畢命	bāt mihng	
不無	bāt mòuh	
