開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
壓平	ad3 ping4	
壓破	ad3 po3	
壓縮	ad3 sug1	
壓縮機	ad3 sug1 géi1	
壓縮空氣	ad3 sug1 hung1 héi3	
壓縮力	ad3 sug1 lig6	
壓碎	ad3 sêu3	
壓歲	ad3 sêu3	
壓歲錢	ad3 sêu3 qin4	
壓抑	ad3 yig1	
壓延	ad3 yin4	
壓延機	ad3 yin4 géi1	
猰貐	ad3 yu5	
壓榨	ad3 za3	
壓榨機	ad3 za3 géi1	
遏制	ad3 zei3	
壓陣	ad3 zen6	
壓軸	ad3 zug6	
唉唉聲	ai4 ai2 séng1	唉聲歎氣
巴閉	ba1 bei3	了不起
疤痕	ba1 hen4	
疤痕組織	ba1 hen4 zou2 jig1	
芭蕉	ba1 jiu1	
巴黎帽	ba1 lei4 mou2	貝雷帽
芭蕾舞	ba1 lêu4 mou5	
芭蕾	ba1 lêu5	
吧女	ba1 nêu5	酒吧女服務員
巴士	ba1 xi2	公車，巴士，公共汽車
巴士佬	ba1 xi2 lou2	公車司機
巴士站	ba1 xi2 zam6	公車站，公共汽車站
巴揸	ba1 za1	多嘴，愛管閒事
把柄	ba2 béng3	
把握	ba2 eg1	
把風	ba2 fung1	
把關	ba2 gwan1	
把鬼	ba2 gwei2	有什麼用，頂什麼用，白費勁，毫無用處
把幾火	ba2 géi2 fo2	很生氣
把兄弟	ba2 hing1 dei6	
把戲	ba2 héi3	
罷啦	ba2 la1	吧
把脈	ba2 meg6	診脈，號脈
把炮	ba2 pao3	把握
把屁	ba2 péi3	有屁用，頂個屁用
把屁咩！	ba2 péi3 mé1	有個屁用！
把持	ba2 qi4	
把勢	ba2 sei3	
把手	ba2 seo2	
把守	ba2 seo2	
把舦	ba2 tai5	掌舵
把玩	ba2 wun6	
把式	ba2 xig1	
把盞	ba2 zan2	
把酒	ba2 zeo2	
霸	ba3	佔
霸道	ba3 dou6	
霸靚位	ba3 léng3 wei1	佔好位子
霸掗	ba3 nga6	霸道
霸位	ba3 wei2	佔位置，佔位子，佔位
霸王	ba3 wong4	應付錢而不付錢
罷黜	ba6 cêd1	
罷工	ba6 gung1	
罷了	ba6 liu5	
罷手	ba6 seo2	
罷休	ba6 yeo1	
罷就	ba6 zeo6	算了，拉倒，罷了，作罷
八	bad3	八卦的，愛管閒事的
八寶	bad3 bou2	
八寶飯	bad3 bou2 fan6	
八寶粥	bad3 bou2 zug1	
八點	bad3 dim2	
八點鐘	bad3 dim2 zung1	
八九不離十	bad3 geo2 bed1 léi4 seb6	
八個字	bad3 go3 ji6	四十分鍾
八角	bad3 gog3	
八角形	bad3 gog3 ying4	
八股	bad3 gu2	
八股文	bad3 gu2 men4	
八卦	bad3 gwa3	愛管閒事
八卦妹	bad3 gwa3 mui1	愛管閒事的女孩
八卦婆	bad3 gwa3 po2	三八，饒舌婦
八國聯軍	bad3 gwog3 lün4 gwen1	
八字	bad3 ji6	
八級	bad3 keb1	
八路軍	bad3 lou6 gwen1	
八面玲瓏	bad3 min6 ling4 lung4	
八妹	bad3 mui1	愛管閒事的女孩
八年級	bad3 nin4 keb1	
八婆	bad3 po4	三八，饒舌婦
八十	bad3 seb6	
八仙	bad3 xin1	
八仙過海	bad3 xin1 gwo3 hoi2	
八成	bad3 xing4	
八月	bad3 yud6	
八月份	bad3 yud6 fen6	
八爪魚	bad3 zao2 yu4	章魚
迫不得已	bag1 bed1 deg1 yi5	
迫近	bag1 gen6	
迫擊炮	bag1 gig1 pao3	
迫害	bag1 hoi6	
迫切	bag1 qid3	
迫使	bag1 xi2	
迫於形勢	bag1 yu1 ying4 sei3	
迫在眉睫	bag1 zoi6 méi4 jid6	
伯伯	bag3 bag3	
百病	bag3 bing6	
百病叢生	bag3 bing6 cung4 seng1	
百步穿楊	bag3 bou6 qun1 yêng4	
百般	bag3 bun1	
百讀不厭	bag3 dug6 bed1 yim3	
百花齊放	bag3 fa1 cei4 fong3	
百花怒放	bag3 fa1 nou6 fong3	
百花爭艷	bag3 fa1 zeng1 yim6	
百發百中	bag3 fad3 bag3 zung3	
百分點	bag3 fen1 dim2	
百科	bag3 fo1	
百科全書	bag3 fo1 qun4 xu1	百科全書
百科全書	bag3 fo1 qun4 xu1	
百貨	bag3 fo3	
百貨店	bag3 fo3 dim3	
百貨公司	bag3 fo3 gung1 xi1	
百貨商場	bag3 fo3 sêng1 cêng4	
百貨商店	bag3 fo3 sêng1 dim3	
百貨業	bag3 fo3 yib6	
伯父	bag3 fu6	
白鴿	bag3 geb2	
百感交集	bag3 gem2 gao1 zab6	
百看不厭	bag3 hon3 bed1 yim3	
百香果	bag3 hêng1 gwo2	
百香果汁	bag3 hêng1 gwo2 zeb1	
百褶裙	bag3 jib3 kwen4	
百折不撓	bag3 jid3 bed1 nao4	
百煉成鋼	bag3 lin6 xing4 gong3	
百靈	bag3 ling4	
百靈鳥	bag3 ling4 niu5	
百里香	bag3 léi5 hêng1	
百萬	bag3 man6	
百萬富翁	bag3 man6 fu3 yung1	
百萬雄師	bag3 man6 hung4 xi1	
百物	bag3 med6	
百米	bag3 mei5	
百米賽跑	bag3 mei5 coi3 pao2	
百聞不如一見	bag3 men4 bed1 yu4 yed1 gin3	
百無禁忌	bag3 mou4 gem3 géi6	
百無聊賴	bag3 mou4 liu4 lai6	
百無一長	bag3 mou4 yed1 cêng4	
百無一失	bag3 mou4 yed1 sed1	
百衲本	bag3 nab6 bun2	
百衲衣	bag3 nab6 yi1	
百身莫贖	bag3 sen1 mog6 sug6	
百獸之王	bag3 seo3 ji1 wong4	
百思不得其解	bag3 xi1 bed1 deg1 kéi4 gai2	
百葉窗	bag3 yib6 cêng1	
百厭	bag3 yim3	調皮，淘氣
百厭仔	bag3 yim3 zei2	淘氣鬼
伯爺	bag3 yé1	父親
伯爺公	bag3 yé1 gung1	老大爺，老頭兒
伯爺婆	bag3 yé1 po2	老婆婆，老太婆
百足	bag3 zug1	蜈蚣
白布	bag6 bou3	
白菜	bag6 coi3	
白醋	bag6 cou3	
白車	bag6 cé1	救護車
白灼	bag6 cêg3	水煮，清煮，涮
白灼蝦	bag6 cêg3 ha1	清煮蝦
白矮星	bag6 ei2 xing1	
白花	bag6 fa1	
白化	bag6 fa3	
白髮	bag6 fad3	
白飯	bag6 fan6	
白費	bag6 fei3	
白費力氣	bag6 fei3 lig6 héi3	
白費心機	bag6 fei3 sem1 géi1	
白粉	bag6 fen2	海洛因，白麵兒
白粉檔	bag6 fen2 dong3	販賣毒品的場所
白霍	bag6 fog3	輕浮，囂張，浮誇
白霍友	bag6 fog3 yeo2	好出風頭的人，愛吹噓自己的人，傲慢的人
白灰	bag6 fui1	
白金	bag6 gem1	
帛金	bag6 gem1	
白鍵	bag6 gin6	
白果	bag6 gwo2	
白光	bag6 gwong1	
白鶴	bag6 hog6	
白開水	bag6 hoi1 sêu2	
白熊	bag6 hung4	
白血病	bag6 hüd3 béng6	
白血球	bag6 hüd3 keo4	
白紙	bag6 ji2	
白紙黑字	bag6 ji2 heg1 ji6	
白淨	bag6 jing6	白嫩
白鯨	bag6 king4	
白旗	bag6 kéi4	
白蘭	bag6 lan4	
白蘭地	bag6 lan4 déi6	
白蘭花	bag6 lan4 fa1	
白蓮教	bag6 lin4 gao3	
白領	bag6 ling5	
白領階級	bag6 ling5 gai1 keb1	
白鷺	bag6 lou6	
白馬王子	bag6 ma5 wong4 ji2	
白貓	bag6 mao1	
白米	bag6 mei5	
白面	bag6 min6	
白面書生	bag6 min6 xu1 seng1	
白木耳	bag6 mug6 yi5	
白蒙蒙	bag6 mung1 mung1	雪白雪白的
白眼	bag6 ngan5	
白蟻	bag6 ngei5	
白銀	bag6 ngen4	
白堊紀	bag6 og3 géi2	
白皮書	bag6 péi4 xu1	
白癡	bag6 qi1	
白紗	bag6 sa1	
白沙	bag6 sa1	
白嘥	bag6 sai1	白費
白手	bag6 seo2	
白首	bag6 seo2	
白手起家	bag6 seo2 héi2 ga1	
白水	bag6 sêu2	
白頭到老	bag6 teo4 dou3 lou5	
白頭偕老	bag6 teo4 gai1 lou5	
白頭翁	bag6 teo4 yung1	
白糖	bag6 tong4	
白話	bag6 wa2	本地話，廣州話，廣府話，廣東話
白話	bag6 wa2	
白話文	bag6 wa2 men4	
白話文學	bag6 wa2 men4 hog6	
白雲	bag6 wen4	
白皙	bag6 xig1	
白色	bag6 xig1	
白蝕	bag6 xig6	汗斑
白鼠	bag6 xu2	
白薯	bag6 xu4	
白雪雪	bag6 xud1 xud1	白白的，雪白
白雪	bag6 xud3	
白日夢	bag6 yed6 mung6	
白油	bag6 yeo2	醬油
白衣天使	bag6 yi1 tin1 xi3	
白熱	bag6 yid6	
白熱化	bag6 yid6 fa3	
白肉	bag6 yug6	
白玉	bag6 yug6	
白楊	bag6 yêng4	
白楊樹	bag6 yêng4 xu6	
白斬雞	bag6 zam2 gei1	白切雞
白酒	bag6 zeo2	
白晝	bag6 zeo3	
白撞雨	bag6 zong6 yu5	過雲雨
白做	bag6 zou6	白幹一場
白粥	bag6 zug1	稀飯，稀粥
拜拜	bai1 bai3	再見，拜拜
擺	bai2	擺放
擺檔	bai2 dong2	擺攤子
擺檔口	bai2 dong2 heo2	擺攤子
擺放	bai2 fong3	
擺供	bai2 gung3	
擺甫士	bai2 pou1 xi2	擺姿勢
擺設	bai2 qid3	
擺脫	bai2 tüd3	
擺烏龍	bai2 wu1 lung2	弄錯，搞誤會
擺酒	bai2 zeo2	擺酒席，辦酒席
拜把	bai3 ba2	
拜把兄弟	bai3 ba2 hing1 dei6	
拜倒	bai3 dou2	
拜倒石榴裙之下	bai3 dou2 ség6 leo4 kwen4 ji1 ha6	
拜讀	bai3 dug6	
拜佛	bai3 fed1	
拜火教	bai3 fo2 gao3	
拜訪	bai3 fong2	
拜金	bai3 gem1	
拜金主義	bai3 gem1 ju2 yi6	
拜見	bai3 gin3	
拜老師	bai3 lou5 xi1	
拜廟	bai3 miu6	
拜偶像	bai3 ngeo5 zêng6	
拜年	bai3 nin4	
拜票	bai3 piu3	
拜山	bai3 san1	上墳，掃墓
拜神	bai3 sen4	
拜天地	bai3 tin1 déi6	
拜托	bai3 tog3	
拜師	bai3 xi1	
拜師學藝	bai3 xi1 hog6 ngei6	
拜揖	bai3 yeb1	
拜祭	bai3 zei3	
拜袓先	bai3 zou2 xin1	
敗北	bai6 beg1	
敗家	bai6 ga1	
敗家精	bai6 ga1 jing1	敗家子
敗家仔	bai6 ga1 zei2	敗家子
敗軍	bai6 gwen1	
敗興	bai6 hing3	
敗興而歸	bai6 hing3 yi4 gwei1	
敗血病	bai6 hüd3 bing6	
敗血症	bai6 hüd3 jing3	
敗落	bai6 log6	
敗類	bai6 lêu6	
敗訴	bai6 sou3	
敗絮	bai6 sêu5	
敗絮其中	bai6 sêu5 kéi4 zung1	
敗退	bai6 têu3	
敗壞	bai6 wai6	
敗胃	bai6 wei6	
敗事有餘	bai6 xi6 yeo5 yu4	
敗陣	bai6 zen6	
敗者為寇	bai6 zé2 wei4 keo3	
敗將	bai6 zêng3	
敗仗	bai6 zêng3	
班	ban1	群，伙
班	ban1	糾合，糾集，拉隊伍，糾集同伙
班兵	ban1 bing1	請援兵，請人幫忙，請求援助，搬兵
班車	ban1 cé1	
班底	ban1 dei2	
班代表	ban1 doi6 biu2	
班房	ban1 fong2	教室，課室
斑鳩	ban1 geo1	
瘢痕	ban1 hen4	
班主任	ban1 ju2 yem6	
班戟	ban1 kig1	薄煎餅，薄烤餅，熱香餅
斑斕	ban1 lan4	
班馬	ban1 ma5	搬救兵，召集黨徒，召集羽翼
斑馬	ban1 ma5	
班門弄斧	ban1 mun4 lung6 fu2	
班次	ban1 qi3	
班師	ban1 xi1	
班師回朝	ban1 xi1 wui4 qiu4	
頒獎	ban1 zêng2	
班長	ban1 zêng2	
頒獎典禮	ban1 zêng2 din2 lei5	
頒獎禮	ban1 zêng2 lei2	
板	ban2	板子
版本	ban2 bun2	
板凳	ban2 deng3	
板塊	ban2 fai3	
版權	ban2 kün4	
版權所有	ban2 kün4 so2 yeo5	
板障	ban2 zêng3	板牆，板壁
扮煮飯仔	ban3 ju2 fan6 zei2	過家家，玩過家家，扮家家酒
湴	ban6	爛泥，稀泥
扮	ban6	裝，裝作
扮得意	ban6 deg1 yi3	裝可愛
扮代表	ban6 doi6 biu2	裝模作樣
辦法	ban6 fad3	
辦公室	ban6 gung1 sed1	
扮豬食老虎	ban6 ju1 xig6 lou5 fu2	佯裝愚蠢，裝瘋賣傻來佔便宜
扮靚	ban6 léng3	打扮，打扮得漂漂亮亮
扮晒嘢	ban6 sai3 yé5	裝模作樣
辦妥	ban6 to2	
扮聽唔到	ban6 téng1 m4 dou2	裝作沒聽見
辦事	ban6 xi6	
辦事處	ban6 xi6 qu3	
扮演	ban6 yin2	
扮英雄	ban6 ying1 hung4	充英雄
扮嘢	ban6 yé5	裝模作樣，裝樣子，裝蒜，出風頭
蹦蹦跳跳	bang6 bang6 tiu3 tiu3	
繃帶	bang6 dai3	
繃緊	bang6 gen2	
包	bao1	保證
褒貶	bao1 bin2	
包袱	bao1 fug6	
包裹	bao1 gwo2	
包含	bao1 hem4	
包括	bao1 kud3	
包廂	bao1 sêng1	
包二奶	bao1 yi6 nai1	有情婦，養小老婆
鮑魚	bao1 yu4	
包容	bao1 yung4	
包裝	bao1 zong1	
包租	bao1 zou1	租房又分租給他人
包租公	bao1 zou1 gung1	二房東
包租婆	bao1 zou1 po2	二房東太太，二房東，女二房東
包粽	bao1 zung2	包粽子
飽擦一輪	bao2 cad3 yed1 lên4	飽吃一頓
飽餐	bao2 can1	
飽嗝	bao2 gag3	
飽經	bao2 ging1	
飽經滄桑	bao2 ging1 cong1 song1	
飽經風霜	bao2 ging1 fung1 sêng1	
飽經世故	bao2 ging1 sei3 gu3	
飽含	bao2 hem4	
飽學	bao2 hog6	
飽學之士	bao2 hog6 ji1 xi6	
飽滿	bao2 mun5	
飽暖	bao2 nün5	
飽暖思淫慾	bao2 nün5 xi1 yem4 yug6	
飽受	bao2 seo6	
飽死	bao2 séi2	臭美
飽死我啦！	bao2 séi2 ngo5 la3	飽到要爆炸
飽嚐	bao2 sêng4	
飽和	bao2 wo4	
飽和點	bao2 wo4 dim2	
飽和度	bao2 wo4 dou6	
飽和狀態	bao2 wo4 zong6 tai3	
飽食	bao2 xig6	
飽食終日	bao2 xig6 zung1 yed6	
爆	bao3	炸，破裂
爆煲	bao3 bou1	露餡兒，暴露
爆坼	bao3 cag3	皮膚皴裂
爆粗口	bao3 cou1 heo2	說粗話
爆發	bao3 fad3	
爆火	bao3 fo2	發脾氣
爆穀	bao3 gug1	爆米花，玉米花兒
爆棚	bao3 pang4	賣座
爆肽	bao3 tai1	破輪胎
爆炸	bao3 za3	
爆樽	bao3 zên1	砸瓶
鮑魚	bao6 yu4	
[抔]	bed1	舀，盛
不必	bed1 bid1	
不便	bed1 bin6	
不辯菽麥	bed1 bin6 sug6 meg6	
不卑不亢	bed1 béi1 bed1 kong3	
不吵不鬧	bed1 cao2 bed1 nao6	
不速之客	bed1 cug1 ji1 hag3	
不出所料	bed1 cêd1 so2 liu6	
不詳	bed1 cêng4	
不打不相識	bed1 da2 bed1 sêng1 xig1	
不打自招	bed1 da2 ji6 jiu1	
不大不小	bed1 dai6 bed1 xiu2	
不單	bed1 dan1	
不得	bed1 deg1	
不得不	bed1 deg1 bed1	
不得好死	bed1 deg1 hou2 séi2	
不得其法	bed1 deg1 kéi4 fad3	
不得其解	bed1 deg1 kéi4 gai2	
不得了	bed1 deg1 liu5	
不得人心	bed1 deg1 yen4 sem1	
不得而知	bed1 deg1 yi4 ji1	
不得已	bed1 deg1 yi5	
不得要領	bed1 deg1 yiu3 ling5	
不特	bed1 deg6	不但，不僅，不光
不定	bed1 ding6	
不定根	bed1 ding6 gen1	
不定冠詞	bed1 ding6 gun3 qi4	
不定期	bed1 ding6 kéi4	
不定量	bed1 ding6 lêng6	
不定詞	bed1 ding6 qi4	
不定形	bed1 ding6 ying4	
不當	bed1 dong3	
不倒翁	bed1 dou2 yung1	
不凍港	bed1 dung3 gong2	
不動產	bed1 dung6 can2	
不動聲色	bed1 dung6 xing1 xig1	
不對勁	bed1 dêu3 ging6	
不諳	bed1 em1	
不凡	bed1 fan4	
[抔]飯	bed1 fan6	盛飯
不乏其人	bed1 fed6 kéi4 yen4	
不費吹灰之力	bed1 fei3 cêu1 fui1 ji1 lig6	
不分彼此	bed1 fen1 béi2 qi2	
不分軒輊	bed1 fen1 hin1 ji3	
不分輕重緩急	bed1 fen1 hing1 cung5 wun6 geb1	
不分男女老幼	bed1 fen1 nam4 nêu5 lou5 yeo3	
不分青紅皂白	bed1 fen1 qing1 hung4 zou6 bag6	
不分晝夜	bed1 fen1 zeo3 yé6	
不分皂白	bed1 fen1 zou6 bag6	
不慌不忙	bed1 fong1 bed1 mong4	
不妨	bed1 fong4	
不負眾望	bed1 fu6 zung3 mong6	
不假思索	bed1 ga2 xi1 sag3	
不急不徐	bed1 geb1 bed1 cêu4	
不急之務	bed1 geb1 ji1 mou6	
不計其數	bed1 gei3 kéi4 sou3	
不禁	bed1 gem1	
不甘	bed1 gem1	
不甘寂寞	bed1 gem1 jig6 mog6	
不甘心	bed1 gem1 sem1	
不甘示弱	bed1 gem1 xi6 yêg6	
不敢當	bed1 gem2 dong1	
不僅	bed1 gen2	
不僅僅	bed1 gen2 gen2	
不夠	bed1 geo3	
不見不散	bed1 gin3 bed1 san3	
不見經傳	bed1 gin3 ging1 qun4	
不見棺材不掉淚	bed1 gin3 gun1 coi4 bed1 diu6 lêu6	
不見天日	bed1 gin3 tin1 yed6	
不經一事，不長一智	bed1 ging1 yed1 xi6 bed1 zêng2 yed1 ji3	
畢竟	bed1 ging2	
不景氣	bed1 ging2 héi3	
筆桿	bed1 gon2	
不告而別	bed1 gou3 yi4 bid6	
不管	bed1 gun2	
不管三七二十一	bed1 gun2 sam1 ced1 yi6 seb6 yed1	
筆供	bed1 gung1	
畢恭畢敬	bed1 gung1 bed1 ging3	
不公不義	bed1 gung1 bed1 yi6	
不共戴天	bed1 gung6 dai3 tin1	
不共戴天之仇	bed1 gung6 dai3 tin1 ji1 seo4	
不關痛癢	bed1 gwan1 tung3 yêng5	
不過	bed1 gwo3	
不過如此	bed1 gwo3 yu4 qi2	
不光	bed1 gwong1	
不覊	bed1 géi1	
筆記	bed1 géi3	
筆記本	bed1 géi3 bun2	
不孝	bed1 hao3	
不孝子	bed1 hao3 ji2	
不孝有三	bed1 hao3 yeo5 sam1	
不合	bed1 heb6	
不合標準	bed1 heb6 biu1 zên2	
不合規定	bed1 heb6 kwei1 ding6	
不合時宜	bed1 heb6 xi4 yi4	
不合作	bed1 heb6 zog3	
不堪	bed1 hem1	
不堪設想	bed1 hem1 qid3 sêng2	
不堪入目	bed1 hem1 yeb6 mug6	
不堪入耳	bed1 hem1 yeb6 yi5	
不堪一擊	bed1 hem1 yed1 gig1	
不含	bed1 hem4	
不含稅	bed1 hem4 sêu3	
不含糊	bed1 hem4 wu4	
不幸	bed1 heng6	
不幸中之大幸	bed1 heng6 zung1 ji1 dai6 heng6	
不可避免	bed1 ho2 béi6 min5	
不可多得	bed1 ho2 do1 deg1	
不可救藥	bed1 ho2 geo3 yêg6	
不可告人	bed1 ho2 gou3 yen4	
不可限量	bed1 ho2 han6 lêng6	
不可開交	bed1 ho2 hoi1 gao1	
不可知論	bed1 ho2 ji1 lên6	
不可戰勝	bed1 ho2 jin3 xing3	
不可理喻	bed1 ho2 léi5 yu6	
不可名狀	bed1 ho2 ming4 zong6	
不可磨滅	bed1 ho2 mo4 mid6	
不可能	bed1 ho2 neng4	
不可旁貸	bed1 ho2 pong4 tai3	
不可收拾	bed1 ho2 seo1 seb6	
不可數	bed1 ho2 sou2	
不可想像	bed1 ho2 sêng2 zêng6	
不可同日而語	bed1 ho2 tung4 yed6 yi4 yu5	
不可或缺	bed1 ho2 wag6 küd3	
不可諱言	bed1 ho2 wei5 yin4	
不可思議	bed1 ho2 xi1 yi5	
不可一世	bed1 ho2 yed1 sei3	
不可言喻	bed1 ho2 yin4 yu6	
不可逾越	bed1 ho2 yu4 yud6	
不可捉摸	bed1 ho2 zug1 mo2	
不可終日	bed1 ho2 zung1 yed6	
不學無術	bed1 hog6 mou4 sêd6	
不寒而慄	bed1 hon4 yi4 lêd6	
不吭聲	bed1 hong4 xing1	
不吭一聲	bed1 hong4 yed1 xing1	
不好	bed1 hou2	
不喜歡	bed1 héi2 fun1	
不知幾	bed1 ji1 géi2	很，真，真的很
不知所云	bed1 ji1 so2 wen4	
不只	bed1 ji2	
不治	bed1 ji6	
不治之症	bed1 ji6 ji1 jing3	
不自量力	bed1 ji6 lêng6 lig6	
不即不離	bed1 jig1 bed1 léi4	
不值一顧	bed1 jig6 yed1 gu3	
不值一文	bed1 jig6 yed1 men4	
不值一提	bed1 jig6 yed1 tei4	
不戰而敗	bed1 jin3 yi4 bai6	
不戰而退	bed1 jin3 yi4 têu3	
不絕於耳	bed1 jud6 yu1 yi5	
不及	bed1 keb6	
不及格	bed1 keb6 gag3	
不及物動詞	bed1 keb6 med6 dung6 qi4	
不亢不卑	bed1 kong3 bed1 béi1	
不愧	bed1 kwei5	
抔垃圾	bed1 lab6 sab3	撮垃圾
不冷不熱	bed1 lang5 bed1 yid6	
不溜	bed1 leo1	一向，一直，向來，經常
不了了之	bed1 liu5 liu5 ji1	
不勞而獲	bed1 lou4 yi4 wog6	
篳路藍縷	bed1 lou6 lam4 lêu5	
不理不睬	bed1 léi5 bed1 coi2	
不利	bed1 léi6	
不倫不類	bed1 lên4 bed1 lêu6	
不論	bed1 lên6	
不吝指正	bed1 lên6 ji2 jing3	
不吝賜教	bed1 lên6 qi3 gao3	
不論如何	bed1 lên6 yu4 ho4	
不論怎麼	bed1 lên6 zem2 mo1	
不論怎樣	bed1 lên6 zem2 yêng6	
筆墨	bed1 meg6	
不問	bed1 men6	
不問前因後果	bed1 men6 qin4 yen1 heo6 gwo2	
不問青紅皂白	bed1 men6 qing1 hung4 zou6 bag6	
不問是非曲直	bed1 men6 xi6 féi1 kug1 jig6	
不謀而合	bed1 meo5 yi4 heb6	
不免	bed1 min5	
不明不白	bed1 ming4 bed1 bag6	
畢命	bed1 ming6	
不無	bed1 mou4	
不無可疑	bed1 mou4 ho2 yi4	
不無可疑之處	bed1 mou4 ho2 yi4 ji1 qu3	
筆帽	bed1 mou6	
不務正業	bed1 mou6 jing3 yib6	
不寐	bed1 méi6	
不外乎	bed1 ngoi6 fu4	
不奈煩	bed1 noi6 fan4	
不安本分	bed1 on1 bun2 fen1	
筆刨	bed1 pao2	鉛筆刀，轉筆刀，削鉛筆器
不偏不倚	bed1 pin1 bed1 yi2	
不平等條約	bed1 ping4 deng2 tiu4 yêg3	
不平而鳴	bed1 ping4 yi4 ming4	
不平則鳴	bed1 ping4 zeg1 ming4	
不恥	bed1 qi2	
不恥下問	bed1 qi2 ha6 men6	
不切實際	bed1 qid3 sed6 zei3	
不切題	bed1 qid3 tei4	
不前不後	bed1 qin4 bed1 heo6	
不請自來	bed1 qing2 ji6 loi4	
不三不四	bed1 sam1 bed1 séi3	
不失	bed1 sed1	
不失良機	bed1 sed1 lêng4 géi1	
不失為	bed1 sed1 wei4	
不失眾望	bed1 sed1 zung3 mong6	
不實	bed1 sed6	
不慎	bed1 sen6	
畢生	bed1 seng1	
不修邊幅	bed1 seo1 bin1 fug1	
不守信用	bed1 seo2 sên3 yung6	
不鏽鋼	bed1 seo3 gong3	
不受歡迎	bed1 seo6 fun1 ying4	
不遜	bed1 sên3	
不傷和氣	bed1 sêng1 wo4 héi3	
[抔]水	bed1 sêu2	舀水
筆塔	bed1 tab3	筆帽，筆套
不透明	bed1 teo3 ming4	
不停	bed1 ting4	
