开放粤语词典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［刘锡祥拼音］	［国语解释］
压马路	aat3 ma5 lo6	
揠苗助长	aat3 miu4 joh6 jeung2	
压平	aat3 ping4	
压破	aat3 poh3	
压岁	aat3 sui3	
压碎	aat3 sui3	
压岁钱	aat3 sui3 chin4	
压缩	aat3 suk1	
压缩机	aat3 suk1 gei1	
压缩空气	aat3 suk1 hung1 hei3	
压缩力	aat3 suk1 lik6	
压抑	aat3 yik1	
压延	aat3 yin4	
压延机	aat3 yin4 gei1	
猰貐	aat3 yue5	
哎呀	ai1 a1	
IP	ai1 pi1	督察
唉声叹气	ai1 sing1 taan3 hei3	
哎吔	ai1 ya3	哎呀，哎哟
哎哟	ai1 yoh1	
龌龊	ak1 chuk1	
握手	ak1 sau2	
扼腕	ak1 woon2	
鹌鹑	am1 sun4	
鹌鹑蛋	am1 sun4 daan6	
黯然销魂	am2 yin4 siu1 wan4	
暗疮	am3 chong1	粉刺，青春痘
暗礁	am3 jiu1	
暗恋	am3 luen2	
暗示	am3 si6	
暗喻	am3 yue6	
罂粟花	ang1 suk1 fa1	
out	au1	过时，落伍
欧裔	au1 yui6	
呕	au2	吐，呕吐
殴打	au2 da2	
呕气	au2 hei3	
呕血	au2 huet3	吐血
呕心沥血	au2 sam1 lik1 huet3	
呕心沥血之作	au2 sam1 lik1 huet3 ji1 jok3	
呕吐	au2 to3	
呕吐物	au2 to3 mat6	
凹凹凸凸	au3 au3 dat6 dat6	
凹槽	au3 cho4	
凹处	au3 chue3	
凹凸不平	au3 dat6 bat1 ping4	
凹凸镜	au3 dat6 geng3	
凹地	au3 dei6	
凹洞	au3 dung6	
凹镜	au3 geng3	
凹陷	au3 haam6	
怄气	au3 hei3	
凹透镜	au3 tau3 geng3	
凹形	au3 ying4	
巴闭	ba1 bai3	了不起
疤痕	ba1 han4	
疤痕组织	ba1 han4 jo2 jik1	
巴揸	ba1 ja1	多嘴，爱管闲事
芭蕉	ba1 jiu1	
巴黎帽	ba1 lai4 mo2	贝雷帽
芭蕾舞	ba1 lui4 mo5	
芭蕾	ba1 lui5	
吧女	ba1 nui5	酒吧女服务员
巴士	ba1 si2	公车，巴士，公共汽车
巴士站	ba1 si2 jaam6	公车站，公共汽车站
巴士佬	ba1 si2 lo2	公车司机
把握	ba2 ak1	
把柄	ba2 beng3	
把持	ba2 chi4	
把风	ba2 fung1	
把几火	ba2 gei2 foh2	很生气
把关	ba2 gwaan1	
把鬼	ba2 gwai2	有什么用，顶什么用，白费劲，毫无用处
把戏	ba2 hei3	
把兄弟	ba2 hing1 dai6	
把盏	ba2 jaan2	
把酒	ba2 jau2	
罢啦	ba2 la1	吧
把脉	ba2 mak6	诊脉，号脉
把炮	ba2 paau3	把握
把屁	ba2 pei3	有屁用，顶个屁用
把屁咩！	ba2 pei3 me1	有个屁用！
把势	ba2 sai3	
把守	ba2 sau2	
把手	ba2 sau2	
把式	ba2 sik1	
把舦	ba2 taai5	掌舵
把玩	ba2 woon6	
霸	ba3	占
霸道	ba3 do6	
霸靓位	ba3 leng3 wai1	占好位子
霸挜	ba3 nga6	霸道
霸位	ba3 wai2	占位置，占位子，占位
霸王	ba3 wong4	应付钱而不付钱
罢黜	ba6 chut1	
罢工	ba6 gung1	
罢就	ba6 jau6	算了，拉倒，罢了，作罢
罢了	ba6 liu5	
罢手	ba6 sau2	
罢休	ba6 yau1	
拜拜	baai1 baai3	再见，拜拜
摆	baai2	摆放
摆设	baai2 chit3	
摆档	baai2 dong2	摆摊子
摆档口	baai2 dong2 hau2	摆摊子
摆放	baai2 fong3	
摆供	baai2 gung3	
摆酒	baai2 jau2	摆酒席，办酒席
摆甫士	baai2 po1 si2	摆姿势
摆脱	baai2 tuet3	
摆乌龙	baai2 woo1 lung2	弄错，搞误会
拜把	baai3 ba2	
拜把兄弟	baai3 ba2 hing1 dai6	
拜倒	baai3 do2	
拜倒石榴裙之下	baai3 do2 sek6 lau4 kwan4 ji1 ha6	
拜读	baai3 duk6	
拜佛	baai3 fat1	
拜火教	baai3 foh2 gaau3	
拜访	baai3 fong2	
拜金	baai3 gam1	
拜金主义	baai3 gam1 jue2 yi6	
拜见	baai3 gin3	
拜祭	baai3 jai3	
拜袓先	baai3 jo2 sin1	
拜老师	baai3 lo5 si1	
拜庙	baai3 miu6	
拜偶像	baai3 ngau5 jeung6	
拜年	baai3 nin4	
拜票	baai3 piu3	
拜山	baai3 saan1	上坟，扫墓
拜神	baai3 san4	
拜师	baai3 si1	
拜师学艺	baai3 si1 hok6 ngai6	
拜天地	baai3 tin1 dei6	
拜托	baai3 tok3	
拜揖	baai3 yap1	
败北	baai6 bak1	
败家	baai6 ga1	
败家仔	baai6 ga1 jai2	败家子
败家精	baai6 ga1 jing1	败家子
败军	baai6 gwan1	
败兴	baai6 hing3	
败兴而归	baai6 hing3 yi4 gwai1	
败血病	baai6 huet3 bing6	
败血症	baai6 huet3 jing3	
败阵	baai6 jan6	
败者为寇	baai6 je2 wai4 kau3	
败仗	baai6 jeung3	
败将	baai6 jeung3	
败落	baai6 lok6	
败类	baai6 lui6	
败事有余	baai6 si6 yau5 yue4	
败诉	baai6 so3	
败絮	baai6 sui5	
败絮其中	baai6 sui5 kei4 jung1	
败退	baai6 tui3	
败坏	baai6 waai6	
败胃	baai6 wai6	
迫不得已	baak1 bat1 dak1 yi5	
迫切	baak1 chit3	
迫近	baak1 gan6	
迫击炮	baak1 gik1 paau3	
迫害	baak1 hoi6	
迫在眉睫	baak1 joi6 mei4 jit6	
迫使	baak1 si2	
迫于形势	baak1 yue1 ying4 sai3	
伯伯	baak3 baak3	
百病	baak3 bing6	
百病丛生	baak3 bing6 chung4 sang1	
百步穿杨	baak3 bo6 chuen1 yeung4	
百般	baak3 boon1	
百读不厌	baak3 duk6 bat1 yim3	
百花齐放	baak3 fa1 chai4 fong3	
百花争艳	baak3 fa1 jang1 yim6	
百花怒放	baak3 fa1 no6 fong3	
百发百中	baak3 faat3 baak3 jung3	
百分点	baak3 fan1 dim2	
百科	baak3 foh1	
百科全书	baak3 foh1 chuen4 sue1	
百科全书	baak3 foh1 chuen4 sue1	百科全书
百货	baak3 foh3	
百货店	baak3 foh3 dim3	
百货公司	baak3 foh3 gung1 si1	
百货商场	baak3 foh3 seung1 cheung4	
百货商店	baak3 foh3 seung1 dim3	
百货业	baak3 foh3 yip6	
伯父	baak3 foo6	
百感交集	baak3 gam2 gaau1 jaap6	
白鸽	baak3 gap2	
百香果	baak3 heung1 gwoh2	
百香果汁	baak3 heung1 gwoh2 jap1	
百看不厌	baak3 hon3 bat1 yim3	
百褶裙	baak3 jip3 kwan4	
百折不挠	baak3 jit3 bat1 naau4	
百足	baak3 juk1	蜈蚣
百里香	baak3 lei5 heung1	
百炼成钢	baak3 lin6 sing4 gong3	
百灵	baak3 ling4	
百灵鸟	baak3 ling4 niu5	
百万	baak3 maan6	
百万富翁	baak3 maan6 foo3 yung1	
百万雄师	baak3 maan6 hung4 si1	
百米	baak3 mai5	
百米赛跑	baak3 mai5 choi3 paau2	
百闻不如一见	baak3 man4 bat1 yue4 yat1 gin3	
百物	baak3 mat6	
百无禁忌	baak3 mo4 gam3 gei6	
百无聊赖	baak3 mo4 liu4 laai6	
百无一长	baak3 mo4 yat1 cheung4	
百无一失	baak3 mo4 yat1 sat1	
百衲本	baak3 naap6 boon2	
百衲衣	baak3 naap6 yi1	
百身莫赎	baak3 san1 mok6 suk6	
百兽之王	baak3 sau3 ji1 wong4	
百思不得其解	baak3 si1 bat1 dak1 kei4 gaai2	
伯爷	baak3 ye1	父亲
伯爷公	baak3 ye1 gung1	老大爷，老头儿
伯爷婆	baak3 ye1 poh2	老婆婆，老太婆
百厌	baak3 yim3	调皮，淘气
百厌仔	baak3 yim3 jai2	淘气鬼
百叶窗	baak3 yip6 cheung1	
白矮星	baak6 ai2 sing1	
白布	baak6 bo3	
白车	baak6 che1	救护车
白灼	baak6 cheuk3	水煮，清煮，涮
白灼虾	baak6 cheuk3 ha1	清煮虾
白痴	baak6 chi1	
白醋	baak6 cho3	
白菜	baak6 choi3	
白花	baak6 fa1	
白化	baak6 fa3	
白饭	baak6 faan6	
白发	baak6 faat3	
白费	baak6 fai3	
白费力气	baak6 fai3 lik6 hei3	
白费心机	baak6 fai3 sam1 gei1	
白粉	baak6 fan2	海洛因，白面儿
白粉档	baak6 fan2 dong3	贩卖毒品的场所
白霍	baak6 fok3	轻浮，嚣张，浮夸
白霍友	baak6 fok3 yau2	好出风头的人，爱吹嘘自己的人，傲慢的人
白灰	baak6 fooi1	
帛金	baak6 gam1	
白金	baak6 gam1	
白键	baak6 gin6	
白果	baak6 gwoh2	
白光	baak6 gwong1	
白开水	baak6 hoi1 sui2	
白鹤	baak6 hok6	
白血病	baak6 huet3 beng6	
白血球	baak6 huet3 kau4	
白熊	baak6 hung4	
白斩鸡	baak6 jaam2 gai1	白切鸡
白酒	baak6 jau2	
白昼	baak6 jau3	
白纸	baak6 ji2	
白纸黑字	baak6 ji2 hak1 ji6	
白净	baak6 jing6	白嫩
白做	baak6 jo6	白干一场
白撞雨	baak6 jong6 yue5	过云雨
白粥	baak6 juk1	稀饭，稀粥
白旗	baak6 kei4	
白鲸	baak6 king4	
白兰	baak6 laan4	
白兰地	baak6 laan4 dei6	
白兰花	baak6 laan4 fa1	
白莲教	baak6 lin4 gaau3	
白领	baak6 ling5	
白领阶级	baak6 ling5 gaai1 kap1	
白鹭	baak6 lo6	
白马王子	baak6 ma5 wong4 ji2	
白猫	baak6 maau1	
白米	baak6 mai5	
白面	baak6 min6	
白面书生	baak6 min6 sue1 sang1	
白木耳	baak6 muk6 yi5	
白蒙蒙	baak6 mung1 mung1	雪白雪白的
白眼	baak6 ngaan5	
白蚁	baak6 ngai5	
白银	baak6 ngan4	
白垩纪	baak6 ok3 gei2	
白皮书	baak6 pei4 sue1	
白沙	baak6 sa1	
白纱	baak6 sa1	
白嘥	baak6 saai1	白费
白首	baak6 sau2	
白手	baak6 sau2	
白手起家	baak6 sau2 hei2 ga1	
白皙	baak6 sik1	
白色	baak6 sik1	
白蚀	baak6 sik6	汗斑
白鼠	baak6 sue2	
白薯	baak6 sue4	
白雪雪	baak6 suet1 suet1	白白的，雪白
白雪	baak6 suet3	
白水	baak6 sui2	
白头到老	baak6 tau4 do3 lo5	
白头偕老	baak6 tau4 gaai1 lo5	
白头翁	baak6 tau4 yung1	
白糖	baak6 tong4	
白话	baak6 wa2	
白话	baak6 wa2	本地话，广州话，广府话，广东话
白话文	baak6 wa2 man4	
白话文学	baak6 wa2 man4 hok6	
白云	baak6 wan4	
白日梦	baak6 yat6 mung6	
白油	baak6 yau2	酱油
白杨	baak6 yeung4	
白杨树	baak6 yeung4 sue6	
白衣天使	baak6 yi1 tin1 si3	
白热	baak6 yit6	
白热化	baak6 yit6 fa3	
白肉	baak6 yuk6	
白玉	baak6 yuk6	
班	baan1	纠合，纠集，拉队伍，纠集同伙
班	baan1	群，伙
班兵	baan1 bing1	请援兵，请人帮忙，请求援助，搬兵
班车	baan1 che1	
班次	baan1 chi3	
班底	baan1 dai2	
班代表	baan1 doi6 biu2	
班房	baan1 fong2	教室，课室
斑鸠	baan1 gau1	
瘢痕	baan1 han4	
颁奖	baan1 jeung2	
班长	baan1 jeung2	
颁奖典礼	baan1 jeung2 din2 lai5	
颁奖礼	baan1 jeung2 lai2	
班主任	baan1 jue2 yam6	
班戟	baan1 kik1	薄煎饼，薄烤饼，热香饼
斑斓	baan1 laan4	
斑马	baan1 ma5	
班马	baan1 ma5	搬救兵，召集党徒，召集羽翼
班门弄斧	baan1 moon4 lung6 foo2	
班师	baan1 si1	
班师回朝	baan1 si1 wooi4 chiu4	
板	baan2	板子
版本	baan2 boon2	
板凳	baan2 dang3	
板块	baan2 faai3	
板障	baan2 jeung3	板墙，板壁
版权	baan2 kuen4	
版权所有	baan2 kuen4 soh2 yau5	
扮煮饭仔	baan3 jue2 faan6 jai2	过家家，玩过家家，扮家家酒
扮	baan6	装，装作
湴	baan6	烂泥，稀泥
扮得意	baan6 dak1 yi3	装可爱
扮代表	baan6 doi6 biu2	装模作样
办法	baan6 faat3	
办公室	baan6 gung1 sat1	
扮猪食老虎	baan6 jue1 sik6 lo5 foo2	佯装愚蠢，装疯卖傻来占便宜
扮靓	baan6 leng3	打扮，打扮得漂漂亮亮
扮晒嘢	baan6 saai3 ye5	装模作样
办事	baan6 si6	
办事处	baan6 si6 chue3	
扮听唔到	baan6 teng1 m4 do2	装作没听见
办妥	baan6 toh2	
扮嘢	baan6 ye5	装模作样，装样子，装蒜，出风头
扮演	baan6 yin2	
扮英雄	baan6 ying1 hung4	充英雄
蹦蹦跳跳	baang6 baang6 tiu3 tiu3	
绷带	baang6 daai3	
绷紧	baang6 gan2	
八	baat3	八卦的，爱管闲事的
八宝	baat3 bo2	
八宝饭	baat3 bo2 faan6	
八宝粥	baat3 bo2 juk1	
八点	baat3 dim2	
八点钟	baat3 dim2 jung1	
八九不离十	baat3 gau2 bat1 lei4 sap6	
八个字	baat3 goh3 ji6	四十分钟
八角	baat3 gok3	
八角形	baat3 gok3 ying4	
八股	baat3 goo2	
八股文	baat3 goo2 man4	
八卦	baat3 gwa3	爱管闲事
八卦妹	baat3 gwa3 mooi1	爱管闲事的女孩
八卦婆	baat3 gwa3 poh2	三八，饶舌妇
八国联军	baat3 gwok3 luen4 gwan1	
八爪鱼	baat3 jaau2 yue4	章鱼
八字	baat3 ji6	
八级	baat3 kap1	
八路军	baat3 lo6 gwan1	
八面玲珑	baat3 min6 ling4 lung4	
八妹	baat3 mooi1	爱管闲事的女孩
八年级	baat3 nin4 kap1	
八婆	baat3 poh4	三八，饶舌妇
八十	baat3 sap6	
八仙	baat3 sin1	
八仙过海	baat3 sin1 gwoh3 hoi2	
八成	baat3 sing4	
八月	baat3 yuet6	
八月份	baat3 yuet6 fan6	
包	baau1	保证
褒贬	baau1 bin2	
包袱	baau1 fuk6	
包裹	baau1 gwoh2	
包含	baau1 ham4	
包租	baau1 jo1	租房又分租给他人
包租公	baau1 jo1 gung1	二房东
包租婆	baau1 jo1 poh2	二房东太太，二房东，女二房东
包装	baau1 jong1	
包粽	baau1 jung2	包粽子
包括	baau1 koot3	
包厢	baau1 seung1	
包二奶	baau1 yi6 naai1	有情妇，养小老婆
鲍鱼	baau1 yue4	
包容	baau1 yung4	
饱餐	baau2 chaan1	
饱擦一轮	baau2 chaat3 yat1 lun4	饱吃一顿
饱嗝	baau2 gaak3	
饱经	baau2 ging1	
饱经沧桑	baau2 ging1 chong1 song1	
饱经风霜	baau2 ging1 fung1 seung1	
饱经世故	baau2 ging1 sai3 goo3	
饱含	baau2 ham4	
饱学	baau2 hok6	
饱学之士	baau2 hok6 ji1 si6	
饱满	baau2 moon5	
饱暖	baau2 nuen5	
饱暖思淫欲	baau2 nuen5 si1 yam4 yuk6	
饱受	baau2 sau6	
饱死	baau2 sei2	臭美
饱死我啦！	baau2 sei2 ngoh5 la3	饱到要爆炸
饱尝	baau2 seung4	
饱食	baau2 sik6	
饱食终日	baau2 sik6 jung1 yat6	
饱和	baau2 woh4	
饱和点	baau2 woh4 dim2	
饱和度	baau2 woh4 do6	
饱和状态	baau2 woh4 jong6 taai3	
爆	baau3	炸，破裂
爆煲	baau3 bo1	露馅儿，暴露
爆坼	baau3 chaak3	皮肤皴裂
爆粗口	baau3 cho1 hau2	说粗话
爆发	baau3 faat3	
爆火	baau3 foh2	发脾气
爆谷	baau3 guk1	爆米花，玉米花儿
爆炸	baau3 ja3	
爆樽	baau3 jun1	砸瓶
爆棚	baau3 paang4	卖座
爆肽	baau3 taai1	破轮胎
鲍鱼	baau6 yue4	
跛	bai1	瘸
跛脚	bai1 geuk3	瘸脚
跛脚佬	bai1 geuk3 lo2	瘸子，跛子
跛手	bai1 sau2	瘸胳膊
赑屃	bai3 ai3	
闭关	bai3 gwaan1	
闭关自守	bai3 gwaan1	
闭路	bai3 lo6	
闭路电视	bai3 lo6 din6 si6	
闭幕	bai3 mok6	
闭幕典礼	bai3 mok6 din2 lai5	
闭幕式	bai3 mok6 sik1	
闭门	bai3 moon4	
闭门谢客	bai3 moon4 je6 haak3	
闭门造车	bai3 moon4 jo6 che1	
闭目	bai3 muk6	
闭目养神	bai3 muk6 yeung5 san4	
闭眼	bai3 ngaan5	
闭翳	bai3 ngai3	忧愁，愁闷，发愁，心情抑郁
闭塞	bai3 sak1	
闭会	bai3 wooi6	
闭月羞花	bai3 yuet6 sau1 fa1	
弊	bai6	糟，坏
弊家伙	bai6 ga1 foh2	糟糕
陛下	bai6 ha6	
弊喇	bai6 la3	糟了，完了，坏了，糟糕
敝履	bai6 lei5	
狴犴	bai6 ngon6	
弊案	bai6 on3	
敝人	bai6 yan4	
北便	bak1 bin6	北边
北部	bak1 bo6	
北斗星	bak1 dau2 sing1	
北方	bak1 fong1	
北极	bak1 gik6	
北极熊	bak1 gik6 hung4	
北芪	bak1 kei4	黄芪
北佬	bak1 lo2	北方人
泵把	bam1 ba2	保险杆
泵车	bam1 che1	抽水车，消防车
泵气	bam1 hei3	打气
泵水	bam1 sui2	抽水
彬彬有礼	ban1 ban1 yau5 lai5	
奔流	ban1 boh1	
奔波	ban1 boh1	
奔驰	ban1 chi4	
缤纷	ban1 fan1	
奔放	ban1 fong3	
奔赴	ban1 foo6	
宾馆	ban1 goon2	
宾仔	ban1 jai2	菲律宾少年
奔走	ban1 jau2	
宾佬	ban1 lo2	菲律宾人
槟榔	ban1 long4	
槟榔汁	ban1 long4 jap1	
奔马	ban1 ma5	
奔命	ban1 ming6	
宾妹	ban1 mooi1	菲律宾少女；菲佣，菲籍女佣
奔跑	ban1 paau2	
宾婆	ban1 poh2	菲律宾人
奔丧	ban1 song1	
奔腾	ban1 tang4	
奔逃	ban1 to4	
奔跃	ban1 yeuk6	
品茶	ban2 cha4	
品德	ban2 dak1	
品格	ban2 gaak3	
品格高尚	ban2 gaak3 go1 seung6	
品管	ban2 goon2	
品行	ban2 hang6	
品学	ban2 hok6	
品学兼优	ban2 hok6 gim1 yau1	
品红	ban2 hung4	
品质	ban2 jat1	
品质管制	ban2 jat1 goon2 jai3	
品种	ban2 jung2	
品种改良	ban2 jung2 goi2 leung4	
品级	ban2 kap1	
品蓝	ban2 laam4	
品类	ban2 lui6	
品绿	ban2 luk6	
品貌	ban2 maau6	
品貌出众	ban2 maau6 chut1 jung3	
品貌双全	ban2 maau6 seung1 chuen4	
品味	ban2 mei6	
品茗	ban2 ming5	
品目	ban2 muk6	
品牌	ban2 paai4	
品评	ban2 ping4	
品嚐	ban2 seung4	
品性	ban2 sing3	
品头论足	ban2 tau4 lun6 juk1	
品位	ban2 wai6	
鬓边	ban3 bin1	
鬓发	ban3 faat3	
鬓发皆白	ban3 faat3 gaai1 baak6	
鬓发皓然	ban3 faat3 ho6 yin4	
鬓角	ban3 gok3	
摈弃	ban3 hei3	
殡殓	ban3 lim5	
鬓霜	ban3 seung1	
殡仪馆	ban3 yi4 goon2	
笨猪跳	ban6 jue1 tiu3	蹦极跳，高空弹跳
笨拙	ban6 juet3	
崩	bang1	破，缺
崩	bang1	分钱
崩口	bang1 hau2	豁嘴，兔唇
崩口碗	bang1 hau2 woon2	缺口碗
崩口人忌崩口碗	bang1 hau2 yan4 gei6 bang1 hau2 woon2	当着矮子别说短话
崩仔	bang1 jai2	朋克，庞克
崩装	bang1 jong1	莫西干头
崩溃	bang1 kooi2	
崩牙	bang1 nga4	缺齿
崩牙	bang1 nga4	缺齿，缺牙
[抔]	bat1	舀，盛
不谙	bat1 am1	
不卑不亢	bat1 bei1 bat1 kong3	
不便	bat1 bin6	
不辩菽麦	bat1 bin6 suk6 mak6	
不必	bat1 bit1	
不吵不闹	bat1 chaau2 bat1 naau6	
不详	bat1 cheung4	
不耻	bat1 chi2	
不耻下问	bat1 chi2 ha6 man6	
不前不后	bat1 chin4 bat1 hau6	
不请自来	bat1 ching2 ji6 loi4	
不切实际	bat1 chit3 sat6 jai3	
不切题	bat1 chit3 tai4	
不速之客	bat1 chuk1 ji1 haak3	
不出所料	bat1 chut1 soh2 liu6	
不打不相识	bat1 da2 bat1 seung1 sik1	
不打自招	bat1 da2 ji6 jiu1	
不大不小	bat1 daai6 bat1 siu2	
不单	bat1 daan1	
不得	bat1 dak1	
不得不	bat1 dak1 bat1	
不得好死	bat1 dak1 ho2 sei2	
不得其法	bat1 dak1 kei4 faat3	
不得其解	bat1 dak1 kei4 gaai2	
不得了	bat1 dak1 liu5	
不得人心	bat1 dak1 yan4 sam1	
不得而知	bat1 dak1 yi4 ji1	
不得已	bat1 dak1 yi5	
不得要领	bat1 dak1 yiu3 ling5	
不特	bat1 dak6	不但，不仅，不光
不定	bat1 ding6	
不定词	bat1 ding6 chi4	
不定根	bat1 ding6 gan1	
不定冠词	bat1 ding6 goon3 chi4	
不定期	bat1 ding6 kei4	
不定量	bat1 ding6 leung6	
不定形	bat1 ding6 ying4	
不倒翁	bat1 do2 yung1	
不当	bat1 dong3	
不对劲	bat1 dui3 ging6	
不冻港	bat1 dung3 gong2	
不动产	bat1 dung6 chaan2	
不动声色	bat1 dung6 sing1 sik1	
不凡	bat1 faan4	
[抔]饭	bat1 faan6	盛饭
不费吹灰之力	bat1 fai3 chui1 fooi1 ji1 lik6	
不分彼此	bat1 fan1 bei2 chi2	
不分青红皂白	bat1 fan1 ching1 hung4 jo6 baak6	
不分轩轾	bat1 fan1 hin1 ji3	
不分轻重缓急	bat1 fan1 hing1 chung5 woon6 gap1	
不分昼夜	bat1 fan1 jau3 ye6	
不分皂白	bat1 fan1 jo6 baak6	
不分男女老幼	bat1 fan1 naam4 nui5 lo5 yau3	
不乏其人	bat1 fat6 kei4 yan4	
不慌不忙	bat1 fong1 bat1 mong4	
不妨	bat1 fong4	
不负众望	bat1 foo6 jung3 mong6	
不假思索	bat1 ga2 si1 saak3	
不计其数	bat1 gai3 kei4 so3	
不甘	bat1 gam1	
不禁	bat1 gam1	
不甘寂寞	bat1 gam1 jik6 mok6	
不甘心	bat1 gam1 sam1	
不甘示弱	bat1 gam1 si6 yeuk6	
不敢当	bat1 gam2 dong1	
不仅	bat1 gan2	
不仅仅	bat1 gan2 gan2	
不急不徐	bat1 gap1 bat1 chui4	
不急之务	bat1 gap1 ji1 mo6	
不够	bat1 gau3	
不覊	bat1 gei1	
笔记	bat1 gei3	
笔记本	bat1 gei3 boon2	
不见不散	bat1 gin3 bat1 saan3	
不见经传	bat1 gin3 ging1 chuen4	
不见棺材不掉泪	bat1 gin3 goon1 choi4 bat1 diu6 lui6	
不见天日	bat1 gin3 tin1 yat6	
不经一事，不长一智	bat1 ging1 yat1 si6 bat1 jeung2 yat1 ji3	
毕竟	bat1 ging2	
不景气	bat1 ging2 hei3	
不告而别	bat1 go3 yi4 bit6	
笔杆	bat1 gon2	
不管	bat1 goon2	
不管三七二十一	bat1 goon2 saam1 chat1 yi6 sap6 yat1	
笔供	bat1 gung1	
毕恭毕敬	bat1 gung1 bat1 ging3	
不公不义	bat1 gung1 bat1 yi6	
不共戴天	bat1 gung6 daai3 tin1	
不共戴天之仇	bat1 gung6 daai3 tin1 ji1 sau4	
不关痛痒	bat1 gwaan1 tung3 yeung5	
不过	bat1 gwoh3	
不过如此	bat1 gwoh3 yue4 chi2	
不光	bat1 gwong1	
不孝	bat1 haau3	
不孝子	bat1 haau3 ji2	
不孝有三	bat1 haau3 yau5 saam1	
不堪	bat1 ham1	
不堪设想	bat1 ham1 chit3 seung2	
不堪入目	bat1 ham1 yap6 muk6	
不堪入耳	bat1 ham1 yap6 yi5	
不堪一击	bat1 ham1 yat1 gik1	
不含	bat1 ham4	
不含税	bat1 ham4 sui3	
不含糊	bat1 ham4 woo4	
不幸	bat1 hang6	
