开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
压缩空气	ad3 sug1 hung1 héi3	
压缩力	ad3 sug1 lig6	
压碎	ad3 sêu3	
压岁	ad3 sêu3	
压岁钱	ad3 sêu3 qin4	
压抑	ad3 yig1	
压延	ad3 yin4	
压延机	ad3 yin4 géi1	
猰貐	ad3 yu5	
压榨	ad3 za3	
压榨机	ad3 za3 géi1	
遏制	ad3 zei3	
压阵	ad3 zen6	
压轴	ad3 zug6	
唉唉声	ai4 ai2 séng1	唉声叹气
巴闭	ba1 bei3	了不起
疤痕	ba1 hen4	
疤痕组织	ba1 hen4 zou2 jig1	
芭蕉	ba1 jiu1	
巴黎帽	ba1 lei4 mou2	贝雷帽
芭蕾舞	ba1 lêu4 mou5	
芭蕾	ba1 lêu5	
吧女	ba1 nêu5	酒吧女服务员
巴士	ba1 xi2	公车，巴士，公共汽车
巴士佬	ba1 xi2 lou2	公车司机
巴士站	ba1 xi2 zam6	公车站，公共汽车站
巴揸	ba1 za1	多嘴，爱管闲事
把柄	ba2 béng3	
把握	ba2 eg1	
把风	ba2 fung1	
把关	ba2 gwan1	
把鬼	ba2 gwei2	有什么用，顶什么用，白费劲，毫无用处
把几火	ba2 géi2 fo2	很生气
把兄弟	ba2 hing1 dei6	
把戏	ba2 héi3	
罢啦	ba2 la1	吧
把脉	ba2 meg6	诊脉，号脉
把炮	ba2 pao3	把握
把屁	ba2 péi3	有屁用，顶个屁用
把屁咩！	ba2 péi3 mé1	有个屁用！
把持	ba2 qi4	
把势	ba2 sei3	
把手	ba2 seo2	
把守	ba2 seo2	
把舦	ba2 tai5	掌舵
把玩	ba2 wun6	
把式	ba2 xig1	
把盏	ba2 zan2	
把酒	ba2 zeo2	
霸	ba3	占
霸道	ba3 dou6	
霸靓位	ba3 léng3 wei1	占好位子
霸挜	ba3 nga6	霸道
霸位	ba3 wei2	占位置，占位子，占位
霸王	ba3 wong4	应付钱而不付钱
罢黜	ba6 cêd1	
罢工	ba6 gung1	
罢了	ba6 liu5	
罢手	ba6 seo2	
罢休	ba6 yeo1	
罢就	ba6 zeo6	算了，拉倒，罢了，作罢
八	bad3	八卦的，爱管闲事的
八宝	bad3 bou2	
八宝饭	bad3 bou2 fan6	
八宝粥	bad3 bou2 zug1	
八点	bad3 dim2	
八点钟	bad3 dim2 zung1	
八九不离十	bad3 geo2 bed1 léi4 seb6	
八个字	bad3 go3 ji6	四十分钟
八角	bad3 gog3	
八角形	bad3 gog3 ying4	
八股	bad3 gu2	
八股文	bad3 gu2 men4	
八卦	bad3 gwa3	爱管闲事
八卦妹	bad3 gwa3 mui1	爱管闲事的女孩
八卦婆	bad3 gwa3 po2	三八，饶舌妇
八国联军	bad3 gwog3 lün4 gwen1	
八字	bad3 ji6	
八级	bad3 keb1	
八路军	bad3 lou6 gwen1	
八面玲珑	bad3 min6 ling4 lung4	
八妹	bad3 mui1	爱管闲事的女孩
八年级	bad3 nin4 keb1	
八婆	bad3 po4	三八，饶舌妇
八十	bad3 seb6	
八仙	bad3 xin1	
八仙过海	bad3 xin1 gwo3 hoi2	
八成	bad3 xing4	
八月	bad3 yud6	
八月份	bad3 yud6 fen6	
八爪鱼	bad3 zao2 yu4	章鱼
迫不得已	bag1 bed1 deg1 yi5	
迫近	bag1 gen6	
迫击炮	bag1 gig1 pao3	
迫害	bag1 hoi6	
迫切	bag1 qid3	
迫使	bag1 xi2	
迫于形势	bag1 yu1 ying4 sei3	
迫在眉睫	bag1 zoi6 méi4 jid6	
伯伯	bag3 bag3	
百病	bag3 bing6	
百病丛生	bag3 bing6 cung4 seng1	
百步穿杨	bag3 bou6 qun1 yêng4	
百般	bag3 bun1	
百读不厌	bag3 dug6 bed1 yim3	
百花齐放	bag3 fa1 cei4 fong3	
百花怒放	bag3 fa1 nou6 fong3	
百花争艳	bag3 fa1 zeng1 yim6	
百发百中	bag3 fad3 bag3 zung3	
百分点	bag3 fen1 dim2	
百科	bag3 fo1	
百科全书	bag3 fo1 qun4 xu1	百科全书
百科全书	bag3 fo1 qun4 xu1	
百货	bag3 fo3	
百货店	bag3 fo3 dim3	
百货公司	bag3 fo3 gung1 xi1	
百货商场	bag3 fo3 sêng1 cêng4	
百货商店	bag3 fo3 sêng1 dim3	
百货业	bag3 fo3 yib6	
伯父	bag3 fu6	
白鸽	bag3 geb2	
百感交集	bag3 gem2 gao1 zab6	
百看不厌	bag3 hon3 bed1 yim3	
百香果	bag3 hêng1 gwo2	
百香果汁	bag3 hêng1 gwo2 zeb1	
百褶裙	bag3 jib3 kwen4	
百折不挠	bag3 jid3 bed1 nao4	
百炼成钢	bag3 lin6 xing4 gong3	
百灵	bag3 ling4	
百灵鸟	bag3 ling4 niu5	
百里香	bag3 léi5 hêng1	
百万	bag3 man6	
百万富翁	bag3 man6 fu3 yung1	
百万雄师	bag3 man6 hung4 xi1	
百物	bag3 med6	
百米	bag3 mei5	
百米赛跑	bag3 mei5 coi3 pao2	
百闻不如一见	bag3 men4 bed1 yu4 yed1 gin3	
百无禁忌	bag3 mou4 gem3 géi6	
百无聊赖	bag3 mou4 liu4 lai6	
百无一长	bag3 mou4 yed1 cêng4	
百无一失	bag3 mou4 yed1 sed1	
百衲本	bag3 nab6 bun2	
百衲衣	bag3 nab6 yi1	
百身莫赎	bag3 sen1 mog6 sug6	
百兽之王	bag3 seo3 ji1 wong4	
百思不得其解	bag3 xi1 bed1 deg1 kéi4 gai2	
百叶窗	bag3 yib6 cêng1	
百厌	bag3 yim3	调皮，淘气
百厌仔	bag3 yim3 zei2	淘气鬼
伯爷	bag3 yé1	父亲
伯爷公	bag3 yé1 gung1	老大爷，老头儿
伯爷婆	bag3 yé1 po2	老婆婆，老太婆
百足	bag3 zug1	蜈蚣
白布	bag6 bou3	
白菜	bag6 coi3	
白醋	bag6 cou3	
白车	bag6 cé1	救护车
白灼	bag6 cêg3	水煮，清煮，涮
白灼虾	bag6 cêg3 ha1	清煮虾
白矮星	bag6 ei2 xing1	
白花	bag6 fa1	
白化	bag6 fa3	
白发	bag6 fad3	
白饭	bag6 fan6	
白费	bag6 fei3	
白费力气	bag6 fei3 lig6 héi3	
白费心机	bag6 fei3 sem1 géi1	
白粉	bag6 fen2	海洛因，白面儿
白粉档	bag6 fen2 dong3	贩卖毒品的场所
白霍	bag6 fog3	轻浮，嚣张，浮夸
白霍友	bag6 fog3 yeo2	好出风头的人，爱吹嘘自己的人，傲慢的人
白灰	bag6 fui1	
白金	bag6 gem1	
帛金	bag6 gem1	
白键	bag6 gin6	
白果	bag6 gwo2	
白光	bag6 gwong1	
白鹤	bag6 hog6	
白开水	bag6 hoi1 sêu2	
白熊	bag6 hung4	
白血病	bag6 hüd3 béng6	
白血球	bag6 hüd3 keo4	
白纸	bag6 ji2	
白纸黑字	bag6 ji2 heg1 ji6	
白净	bag6 jing6	白嫩
白鲸	bag6 king4	
白旗	bag6 kéi4	
白兰	bag6 lan4	
白兰地	bag6 lan4 déi6	
白兰花	bag6 lan4 fa1	
白莲教	bag6 lin4 gao3	
白领	bag6 ling5	
白领阶级	bag6 ling5 gai1 keb1	
白鹭	bag6 lou6	
白马王子	bag6 ma5 wong4 ji2	
白猫	bag6 mao1	
白米	bag6 mei5	
白面	bag6 min6	
白面书生	bag6 min6 xu1 seng1	
白木耳	bag6 mug6 yi5	
白蒙蒙	bag6 mung1 mung1	雪白雪白的
白眼	bag6 ngan5	
白蚁	bag6 ngei5	
白银	bag6 ngen4	
白垩纪	bag6 og3 géi2	
白皮书	bag6 péi4 xu1	
白痴	bag6 qi1	
白纱	bag6 sa1	
白沙	bag6 sa1	
白嘥	bag6 sai1	白费
白手	bag6 seo2	
白首	bag6 seo2	
白手起家	bag6 seo2 héi2 ga1	
白水	bag6 sêu2	
白头到老	bag6 teo4 dou3 lou5	
白头偕老	bag6 teo4 gai1 lou5	
白头翁	bag6 teo4 yung1	
白糖	bag6 tong4	
白话	bag6 wa2	本地话，广州话，广府话，广东话
白话	bag6 wa2	
白话文	bag6 wa2 men4	
白话文学	bag6 wa2 men4 hog6	
白云	bag6 wen4	
白皙	bag6 xig1	
白色	bag6 xig1	
白蚀	bag6 xig6	汗斑
白鼠	bag6 xu2	
白薯	bag6 xu4	
白雪雪	bag6 xud1 xud1	白白的，雪白
白雪	bag6 xud3	
白日梦	bag6 yed6 mung6	
白油	bag6 yeo2	酱油
白衣天使	bag6 yi1 tin1 xi3	
白热	bag6 yid6	
白热化	bag6 yid6 fa3	
白肉	bag6 yug6	
白玉	bag6 yug6	
白杨	bag6 yêng4	
白杨树	bag6 yêng4 xu6	
白斩鸡	bag6 zam2 gei1	白切鸡
白酒	bag6 zeo2	
白昼	bag6 zeo3	
白撞雨	bag6 zong6 yu5	过云雨
白做	bag6 zou6	白干一场
白粥	bag6 zug1	稀饭，稀粥
拜拜	bai1 bai3	再见，拜拜
摆	bai2	摆放
摆档	bai2 dong2	摆摊子
摆档口	bai2 dong2 heo2	摆摊子
摆放	bai2 fong3	
摆供	bai2 gung3	
摆甫士	bai2 pou1 xi2	摆姿势
摆设	bai2 qid3	
摆脱	bai2 tüd3	
摆乌龙	bai2 wu1 lung2	弄错，搞误会
摆酒	bai2 zeo2	摆酒席，办酒席
拜把	bai3 ba2	
拜把兄弟	bai3 ba2 hing1 dei6	
拜倒	bai3 dou2	
拜倒石榴裙之下	bai3 dou2 ség6 leo4 kwen4 ji1 ha6	
拜读	bai3 dug6	
拜佛	bai3 fed1	
拜火教	bai3 fo2 gao3	
拜访	bai3 fong2	
拜金	bai3 gem1	
拜金主义	bai3 gem1 ju2 yi6	
拜见	bai3 gin3	
拜老师	bai3 lou5 xi1	
拜庙	bai3 miu6	
拜偶像	bai3 ngeo5 zêng6	
拜年	bai3 nin4	
拜票	bai3 piu3	
拜山	bai3 san1	上坟，扫墓
拜神	bai3 sen4	
拜天地	bai3 tin1 déi6	
拜托	bai3 tog3	
拜师	bai3 xi1	
拜师学艺	bai3 xi1 hog6 ngei6	
拜揖	bai3 yeb1	
拜祭	bai3 zei3	
拜袓先	bai3 zou2 xin1	
败北	bai6 beg1	
败家	bai6 ga1	
败家精	bai6 ga1 jing1	败家子
败家仔	bai6 ga1 zei2	败家子
败军	bai6 gwen1	
败兴	bai6 hing3	
败兴而归	bai6 hing3 yi4 gwei1	
败血病	bai6 hüd3 bing6	
败血症	bai6 hüd3 jing3	
败落	bai6 log6	
败类	bai6 lêu6	
败诉	bai6 sou3	
败絮	bai6 sêu5	
败絮其中	bai6 sêu5 kéi4 zung1	
败退	bai6 têu3	
败坏	bai6 wai6	
败胃	bai6 wei6	
败事有余	bai6 xi6 yeo5 yu4	
败阵	bai6 zen6	
败者为寇	bai6 zé2 wei4 keo3	
败将	bai6 zêng3	
败仗	bai6 zêng3	
班	ban1	群，伙
班	ban1	纠合，纠集，拉队伍，纠集同伙
班兵	ban1 bing1	请援兵，请人帮忙，请求援助，搬兵
班车	ban1 cé1	
班底	ban1 dei2	
班代表	ban1 doi6 biu2	
班房	ban1 fong2	教室，课室
斑鸠	ban1 geo1	
瘢痕	ban1 hen4	
班主任	ban1 ju2 yem6	
班戟	ban1 kig1	薄煎饼，薄烤饼，热香饼
斑斓	ban1 lan4	
班马	ban1 ma5	搬救兵，召集党徒，召集羽翼
斑马	ban1 ma5	
班门弄斧	ban1 mun4 lung6 fu2	
班次	ban1 qi3	
班师	ban1 xi1	
班师回朝	ban1 xi1 wui4 qiu4	
颁奖	ban1 zêng2	
班长	ban1 zêng2	
颁奖典礼	ban1 zêng2 din2 lei5	
颁奖礼	ban1 zêng2 lei2	
板	ban2	板子
版本	ban2 bun2	
板凳	ban2 deng3	
板块	ban2 fai3	
版权	ban2 kün4	
版权所有	ban2 kün4 so2 yeo5	
板障	ban2 zêng3	板墙，板壁
扮煮饭仔	ban3 ju2 fan6 zei2	过家家，玩过家家，扮家家酒
湴	ban6	烂泥，稀泥
扮	ban6	装，装作
扮得意	ban6 deg1 yi3	装可爱
扮代表	ban6 doi6 biu2	装模作样
办法	ban6 fad3	
办公室	ban6 gung1 sed1	
扮猪食老虎	ban6 ju1 xig6 lou5 fu2	佯装愚蠢，装疯卖傻来占便宜
扮靓	ban6 léng3	打扮，打扮得漂漂亮亮
扮晒嘢	ban6 sai3 yé5	装模作样
办妥	ban6 to2	
扮听唔到	ban6 téng1 m4 dou2	装作没听见
办事	ban6 xi6	
办事处	ban6 xi6 qu3	
扮演	ban6 yin2	
扮英雄	ban6 ying1 hung4	充英雄
扮嘢	ban6 yé5	装模作样，装样子，装蒜，出风头
蹦蹦跳跳	bang6 bang6 tiu3 tiu3	
绷带	bang6 dai3	
绷紧	bang6 gen2	
包	bao1	保证
褒贬	bao1 bin2	
包袱	bao1 fug6	
包裹	bao1 gwo2	
包含	bao1 hem4	
包括	bao1 kud3	
包厢	bao1 sêng1	
包二奶	bao1 yi6 nai1	有情妇，养小老婆
鲍鱼	bao1 yu4	
包容	bao1 yung4	
包装	bao1 zong1	
包租	bao1 zou1	租房又分租给他人
包租公	bao1 zou1 gung1	二房东
包租婆	bao1 zou1 po2	二房东太太，二房东，女二房东
包粽	bao1 zung2	包粽子
饱擦一轮	bao2 cad3 yed1 lên4	饱吃一顿
饱餐	bao2 can1	
饱嗝	bao2 gag3	
饱经	bao2 ging1	
饱经沧桑	bao2 ging1 cong1 song1	
饱经风霜	bao2 ging1 fung1 sêng1	
饱经世故	bao2 ging1 sei3 gu3	
饱含	bao2 hem4	
饱学	bao2 hog6	
饱学之士	bao2 hog6 ji1 xi6	
饱满	bao2 mun5	
饱暖	bao2 nün5	
饱暖思淫欲	bao2 nün5 xi1 yem4 yug6	
饱受	bao2 seo6	
饱死	bao2 séi2	臭美
饱死我啦！	bao2 séi2 ngo5 la3	饱到要爆炸
饱尝	bao2 sêng4	
饱和	bao2 wo4	
饱和点	bao2 wo4 dim2	
饱和度	bao2 wo4 dou6	
饱和状态	bao2 wo4 zong6 tai3	
饱食	bao2 xig6	
饱食终日	bao2 xig6 zung1 yed6	
爆	bao3	炸，破裂
爆煲	bao3 bou1	露馅儿，暴露
爆坼	bao3 cag3	皮肤皴裂
爆粗口	bao3 cou1 heo2	说粗话
爆发	bao3 fad3	
爆火	bao3 fo2	发脾气
爆谷	bao3 gug1	爆米花，玉米花儿
爆棚	bao3 pang4	卖座
爆肽	bao3 tai1	破轮胎
爆炸	bao3 za3	
爆樽	bao3 zên1	砸瓶
鲍鱼	bao6 yu4	
[抔]	bed1	舀，盛
不必	bed1 bid1	
不便	bed1 bin6	
不辩菽麦	bed1 bin6 sug6 meg6	
不卑不亢	bed1 béi1 bed1 kong3	
不吵不闹	bed1 cao2 bed1 nao6	
不速之客	bed1 cug1 ji1 hag3	
不出所料	bed1 cêd1 so2 liu6	
不详	bed1 cêng4	
不打不相识	bed1 da2 bed1 sêng1 xig1	
不打自招	bed1 da2 ji6 jiu1	
不大不小	bed1 dai6 bed1 xiu2	
不单	bed1 dan1	
不得	bed1 deg1	
不得不	bed1 deg1 bed1	
不得好死	bed1 deg1 hou2 séi2	
不得其法	bed1 deg1 kéi4 fad3	
不得其解	bed1 deg1 kéi4 gai2	
不得了	bed1 deg1 liu5	
不得人心	bed1 deg1 yen4 sem1	
不得而知	bed1 deg1 yi4 ji1	
不得已	bed1 deg1 yi5	
不得要领	bed1 deg1 yiu3 ling5	
不特	bed1 deg6	不但，不仅，不光
不定	bed1 ding6	
不定根	bed1 ding6 gen1	
不定冠词	bed1 ding6 gun3 qi4	
不定期	bed1 ding6 kéi4	
不定量	bed1 ding6 lêng6	
不定词	bed1 ding6 qi4	
不定形	bed1 ding6 ying4	
不当	bed1 dong3	
不倒翁	bed1 dou2 yung1	
不冻港	bed1 dung3 gong2	
不动产	bed1 dung6 can2	
不动声色	bed1 dung6 xing1 xig1	
不对劲	bed1 dêu3 ging6	
不谙	bed1 em1	
不凡	bed1 fan4	
[抔]饭	bed1 fan6	盛饭
不乏其人	bed1 fed6 kéi4 yen4	
不费吹灰之力	bed1 fei3 cêu1 fui1 ji1 lig6	
不分彼此	bed1 fen1 béi2 qi2	
不分轩轾	bed1 fen1 hin1 ji3	
不分轻重缓急	bed1 fen1 hing1 cung5 wun6 geb1	
不分男女老幼	bed1 fen1 nam4 nêu5 lou5 yeo3	
不分青红皂白	bed1 fen1 qing1 hung4 zou6 bag6	
不分昼夜	bed1 fen1 zeo3 yé6	
不分皂白	bed1 fen1 zou6 bag6	
不慌不忙	bed1 fong1 bed1 mong4	
不妨	bed1 fong4	
不负众望	bed1 fu6 zung3 mong6	
不假思索	bed1 ga2 xi1 sag3	
不急不徐	bed1 geb1 bed1 cêu4	
不急之务	bed1 geb1 ji1 mou6	
不计其数	bed1 gei3 kéi4 sou3	
不禁	bed1 gem1	
不甘	bed1 gem1	
不甘寂寞	bed1 gem1 jig6 mog6	
不甘心	bed1 gem1 sem1	
不甘示弱	bed1 gem1 xi6 yêg6	
不敢当	bed1 gem2 dong1	
不仅	bed1 gen2	
不仅仅	bed1 gen2 gen2	
不够	bed1 geo3	
不见不散	bed1 gin3 bed1 san3	
不见经传	bed1 gin3 ging1 qun4	
不见棺材不掉泪	bed1 gin3 gun1 coi4 bed1 diu6 lêu6	
不见天日	bed1 gin3 tin1 yed6	
不经一事，不长一智	bed1 ging1 yed1 xi6 bed1 zêng2 yed1 ji3	
毕竟	bed1 ging2	
不景气	bed1 ging2 héi3	
笔杆	bed1 gon2	
不告而别	bed1 gou3 yi4 bid6	
不管	bed1 gun2	
不管三七二十一	bed1 gun2 sam1 ced1 yi6 seb6 yed1	
笔供	bed1 gung1	
毕恭毕敬	bed1 gung1 bed1 ging3	
不公不义	bed1 gung1 bed1 yi6	
不共戴天	bed1 gung6 dai3 tin1	
不共戴天之仇	bed1 gung6 dai3 tin1 ji1 seo4	
不关痛痒	bed1 gwan1 tung3 yêng5	
不过	bed1 gwo3	
不过如此	bed1 gwo3 yu4 qi2	
不光	bed1 gwong1	
不覊	bed1 géi1	
笔记	bed1 géi3	
笔记本	bed1 géi3 bun2	
不孝	bed1 hao3	
不孝子	bed1 hao3 ji2	
不孝有三	bed1 hao3 yeo5 sam1	
不合	bed1 heb6	
不合标准	bed1 heb6 biu1 zên2	
不合规定	bed1 heb6 kwei1 ding6	
不合时宜	bed1 heb6 xi4 yi4	
不合作	bed1 heb6 zog3	
不堪	bed1 hem1	
不堪设想	bed1 hem1 qid3 sêng2	
不堪入目	bed1 hem1 yeb6 mug6	
不堪入耳	bed1 hem1 yeb6 yi5	
不堪一击	bed1 hem1 yed1 gig1	
不含	bed1 hem4	
不含税	bed1 hem4 sêu3	
不含糊	bed1 hem4 wu4	
不幸	bed1 heng6	
不幸中之大幸	bed1 heng6 zung1 ji1 dai6 heng6	
不可避免	bed1 ho2 béi6 min5	
不可多得	bed1 ho2 do1 deg1	
不可救药	bed1 ho2 geo3 yêg6	
不可告人	bed1 ho2 gou3 yen4	
不可限量	bed1 ho2 han6 lêng6	
不可开交	bed1 ho2 hoi1 gao1	
不可知论	bed1 ho2 ji1 lên6	
不可战胜	bed1 ho2 jin3 xing3	
不可理喻	bed1 ho2 léi5 yu6	
不可名状	bed1 ho2 ming4 zong6	
不可磨灭	bed1 ho2 mo4 mid6	
不可能	bed1 ho2 neng4	
不可旁贷	bed1 ho2 pong4 tai3	
不可收拾	bed1 ho2 seo1 seb6	
不可数	bed1 ho2 sou2	
不可想像	bed1 ho2 sêng2 zêng6	
不可同日而语	bed1 ho2 tung4 yed6 yi4 yu5	
不可或缺	bed1 ho2 wag6 küd3	
不可讳言	bed1 ho2 wei5 yin4	
不可思议	bed1 ho2 xi1 yi5	
不可一世	bed1 ho2 yed1 sei3	
不可言喻	bed1 ho2 yin4 yu6	
不可逾越	bed1 ho2 yu4 yud6	
不可捉摸	bed1 ho2 zug1 mo2	
不可终日	bed1 ho2 zung1 yed6	
不学无术	bed1 hog6 mou4 sêd6	
不寒而栗	bed1 hon4 yi4 lêd6	
不吭声	bed1 hong4 xing1	
不吭一声	bed1 hong4 yed1 xing1	
不好	bed1 hou2	
不喜欢	bed1 héi2 fun1	
不知几	bed1 ji1 géi2	很，真，真的很
不知所云	bed1 ji1 so2 wen4	
不只	bed1 ji2	
不治	bed1 ji6	
不治之症	bed1 ji6 ji1 jing3	
不自量力	bed1 ji6 lêng6 lig6	
不即不离	bed1 jig1 bed1 léi4	
不值一顾	bed1 jig6 yed1 gu3	
不值一文	bed1 jig6 yed1 men4	
不值一提	bed1 jig6 yed1 tei4	
不战而败	bed1 jin3 yi4 bai6	
不战而退	bed1 jin3 yi4 têu3	
不绝于耳	bed1 jud6 yu1 yi5	
不及	bed1 keb6	
不及格	bed1 keb6 gag3	
不及物动词	bed1 keb6 med6 dung6 qi4	
不亢不卑	bed1 kong3 bed1 béi1	
不愧	bed1 kwei5	
抔垃圾	bed1 lab6 sab3	撮垃圾
不冷不热	bed1 lang5 bed1 yid6	
不溜	bed1 leo1	一向，一直，向来，经常
不了了之	bed1 liu5 liu5 ji1	
不劳而获	bed1 lou4 yi4 wog6	
筚路蓝缕	bed1 lou6 lam4 lêu5	
不理不睬	bed1 léi5 bed1 coi2	
不利	bed1 léi6	
不伦不类	bed1 lên4 bed1 lêu6	
不论	bed1 lên6	
不吝指正	bed1 lên6 ji2 jing3	
不吝赐教	bed1 lên6 qi3 gao3	
不论如何	bed1 lên6 yu4 ho4	
不论怎么	bed1 lên6 zem2 mo1	
不论怎样	bed1 lên6 zem2 yêng6	
笔墨	bed1 meg6	
不问	bed1 men6	
不问前因后果	bed1 men6 qin4 yen1 heo6 gwo2	
不问青红皂白	bed1 men6 qing1 hung4 zou6 bag6	
不问是非曲直	bed1 men6 xi6 féi1 kug1 jig6	
不谋而合	bed1 meo5 yi4 heb6	
不免	bed1 min5	
不明不白	bed1 ming4 bed1 bag6	
毕命	bed1 ming6	
不无	bed1 mou4	
不无可疑	bed1 mou4 ho2 yi4	
不无可疑之处	bed1 mou4 ho2 yi4 ji1 qu3	
笔帽	bed1 mou6	
不务正业	bed1 mou6 jing3 yib6	
不寐	bed1 méi6	
不外乎	bed1 ngoi6 fu4	
不奈烦	bed1 noi6 fan4	
不安本分	bed1 on1 bun2 fen1	
笔刨	bed1 pao2	铅笔刀，转笔刀，削铅笔器
不偏不倚	bed1 pin1 bed1 yi2	
不平等条约	bed1 ping4 deng2 tiu4 yêg3	
不平而鸣	bed1 ping4 yi4 ming4	
不平则鸣	bed1 ping4 zeg1 ming4	
不耻	bed1 qi2	
不耻下问	bed1 qi2 ha6 men6	
不切实际	bed1 qid3 sed6 zei3	
不切题	bed1 qid3 tei4	
不前不后	bed1 qin4 bed1 heo6	
不请自来	bed1 qing2 ji6 loi4	
不三不四	bed1 sam1 bed1 séi3	
不失	bed1 sed1	
不失良机	bed1 sed1 lêng4 géi1	
不失为	bed1 sed1 wei4	
不失众望	bed1 sed1 zung3 mong6	
不实	bed1 sed6	
不慎	bed1 sen6	
毕生	bed1 seng1	
不修边幅	bed1 seo1 bin1 fug1	
不守信用	bed1 seo2 sên3 yung6	
不锈钢	bed1 seo3 gong3	
不受欢迎	bed1 seo6 fun1 ying4	
不逊	bed1 sên3	
不伤和气	bed1 sêng1 wo4 héi3	
[抔]水	bed1 sêu2	舀水
笔塔	bed1 tab3	笔帽，笔套
不透明	bed1 teo3 ming4	
不停	bed1 ting4	
不妥	bed1 to2	
[抔]汤	bed1 tong1	舀汤
不吐不快	bed1 tou3 bed1 fai3	
不同点	bed1 tung4 dim2	
不同凡响	bed1 tung4 fan4 hêng2	
不同以往	bed1 tung4 yi5 wong5	
笔画	bed1 wa2	
不惑之年	bed1 wag6 ji1 nin4	
不怀好意	bed1 wai4 hou2 yi3	
不屈不挠	bed1 wed1 bed1 nao4	
不遗余力	bed1 wei4 yu4 lig6	
不和	bed1 wo4	
