開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］
壓縮空氣	a:t˧ sʊk˥ hʊŋ˥ hei˧	
壓縮機	a:t˧ sʊk˥ kei˥	
壓縮力	a:t˧ sʊk˥ lɪk˨	
壓倒	a:t˧ tou˧˥	
壓倒性	a:t˧ tou˧˥ sɪŋ˧	
壓榨	a:t˧ tsa:˧	
壓榨機	a:t˧ tsa:˧ kei˥	
遏止	a:t˧ tsi:˧˥	
押注	a:t˧ tsy:˧	
壓住	a:t˧ tsy:˨	
遏制	a:t˧ tsɐi˧	
壓陣	a:t˧ tsɐn˨	
壓軸	a:t˧ tsʊk˨	
壓低	a:t˧ tɐi˥	
壓底	a:t˧ tɐi˧˥	
吖	a:˥	啊
吖嗱	a:˥ na:˨˩	吧
鴉片	a:˥ pʰi:n˧	
鴉片貿易	a:˥ pʰi:n˧ mɐu˨ jɪk˨	
鴉片戰爭	a:˥ pʰi:n˧ tsi:n˧ tsɐŋ˥	
鴉雀無聲	a:˥ tsœ:k˧ mou˨˩ sɪŋ˥	
吖啶	a:˥ tɪŋ˨	
丫頭	a:˥ tʰɐu˨˩	
丫鬟	a:˥ wa:n˨˩	
呀	a:˧	啊
阿飛	a:˧ fei˥	
亞福	a:˧ fʊk˥	傻頭傻腦的人
亞姨	a:˧ ji:˥	姨母
亞爺	a:˧ jɛ:˨˩	爺爺，祖父
亞裔	a:˧ jɵy˨	
亞甲亞乙	a:˧ ka:p˧ a:˧ jy:t˨	張三李四
亞姑	a:˧ ku:˥	姑姑，姑母
亞軍	a:˧ kwɐn˥	
阿訇	a:˧ kwɐŋ˥	
亞錦賽	a:˧ kɐm˧˥ tsʰɔ:i˧	
亞狗亞貓	a:˧ kɐu˧˥ a:˧ ma:u˥	張三李四
亞公	a:˧ kʊŋ˥	外祖父，老大爺
亞媽	a:˧ ma:˥	媽媽，母親
亞嬤	a:˧ ma:˨˩	奶奶，祖母
亞妹	a:˧ mu:i˧˥	妹妹
亞茂	a:˧ mɐu˨	傻子，傻瓜
亞茂整餅	a:˧ mɐu˨ tsɪŋ˧˥ pɛ:ŋ˧˥	沒事找事
亞茂整餅，冇嗰樣整嗰樣	a:˧ mɐu˨ tsɪŋ˧˥ pɛ:ŋ˧˥ mou˩˧ kɔ:˧˥ jœ:ŋ˧˥ tsɪŋ˧˥ kɔ:˧˥ jœ:ŋ˧˥	沒事找事，亂搞一氣
亞奶	a:˧ na:i˥	奶奶，祖母
亞女	a:˧ nɵy˧˥	女兒
亞伯	a:˧ pa:k˧	伯伯，伯父
亞爸	a:˧ pa:˥	爸爸
亞保亞勝	a:˧ pou˧˥ a:˧ sɪŋ˧	張三李四
亞婆	a:˧ pʰɔ:˨˩	姥姥，外祖母
亞生	a:˧ sa:ŋ˥	先生
亞嫂	a:˧ sou˧˥	嫂子，嫂嫂，大嫂
亞細	a:˧ sɐi˧˥	小老婆
亞嬸	a:˧ sɐm˧˥	嬸母，嬸子
亞傻	a:˧ sɔ:˨˩	傻瓜，傻子
亞sir	a:˧ sɛ:u˨˩	男老師，男上司，長官，警官
亞誰	a:˧ sɵy˨˩	誰，什麼人
亞叔	a:˧ sʊk˥	叔叔，叔父
亞吱亞咗	a:˧ tsi:˥ a:˧ tsɔ:˧˥	推三阻四，不滿，妨礙
亞豬亞狗	a:˧ tsy:˥ a:˧ kɐu˧˥	張三李四
亞仔	a:˧ tsɐi˧˥	兒子
亞燦	a:˧ tsʰa:n˧	從內地來香港的新移民
阿斗	a:˧ tɐu˧˥	
亞斗官	a:˧ tɐu˧˥ ku:n˥	闊少爺，敗家子
亞頭	a:˧ tʰɐu˧˥	領導，首領，頭頭兒
亞頭	a:˧ tʰɐu˧˥	領導，頭目，領導者
亞駝	a:˧ tʰɔ:˧˥	駝背的人
亞奀	a:˧ ŋɐn˥	瘦子，瘦弱的小孩
啞巴	a:˧˥ pa:˥	
呀	a:˨˩	啊
衙	a:˨˩	嗎
AA制	ei˥ ei˥ tsɐi˧	各付各的
快快脆脆	fa:i˧ fa:i˧ tsʰɵy˧ tsʰɵy˧	快快，趕忙
快感	fa:i˧ kɐm˧˥	
快勞	fa:i˧ lou˧˥	文檔，文件，檔案
快樂	fa:i˧ lɔ:k˨	
傀儡	fa:i˧ lɵy˩˧	
傀儡戲	fa:i˧ lɵy˩˧ hei˧	
傀儡政府	fa:i˧ lɵy˩˧ tsɪŋ˧ fu:˧˥	
傀儡政權	fa:i˧ lɵy˩˧ tsɪŋ˧ kʰy:n˨˩	
塊面紅紅哋	fa:i˧ mi:n˨ hʊŋ˨˩ hʊŋ˨˩ tei˧˥	臉紅紅的
快手	fa:i˧ sɐu˧˥	迅速
快手啲	fa:i˧ sɐu˧˥ ti:˥	動作快點
快啲	fa:i˧ ti:t˥	快一點
快啲行喇	fa:i˧ ti:˥ ha:ŋ˨˩ la:˧	快點走吧
快啲啦！	fa:i˧ ti:˥ la:˥	快點吧！
快捷	fa:i˧ tsi:t˨	
筷子	fa:i˧ tsi:˧˥	
快脆	fa:i˧ tsʰɵy˧	快，快當，利索
快速	fa:i˧ tsʰʊk˥	
快遞	fa:i˧ tɐi˨	
快艇	fa:i˧ tʰɛ:ŋ˩˧	
翻	fa:n˥	回，返
番鴨	fa:n˥ a:p˧	旱鴨
翻風	fa:n˥ fʊŋ˥	刮風，起風
反客為主	fa:n˥ ha:k˧ wɐi˨˩ tsy:˧˥	
翻鄉下	fa:n˥ hœ:ŋ˥ ha:˨	回鄉下
翻學	fa:n˥ hɔ:k˨	上學
翻去	fa:n˥ hɵy˧	回去
番人	fa:n˥ jɐn˨˩	
翻譯	fa:n˥ jɪk˨	
翻譯家	fa:n˥ jɪk˨ ka:˥	
翻譯者	fa:n˥ jɪk˨ tsɛ:˧˥	
番梘	fa:n˥ ka:n˧˥	肥皂
番梘泡	fa:n˥ ka:n˧˥ pʰou˩˧	肥皂泡
番瓜	fa:n˥ kwa:˥	南瓜
番鬼	fa:n˥ kwɐi˧˥	西洋的，西洋人
番鬼	fa:n˥ kwɐi˧˥	蠻不講理，兇狠惡毒，刁蠻
番鬼佬	fa:n˥ kwɐi˧˥ lou˧˥	西洋人，洋鬼子，外國人，老外
番鬼佬涼茶	fa:n˥ kwɐi˧˥ lou˧˥ lœ:ŋ˨˩ tsʰa:˨˩	啤酒
番鬼妹	fa:n˥ kwɐi˧˥ mu:i˥	外國少女，外國姑娘，外國女孩
番鬼婆	fa:n˥ kwɐi˧˥ pʰɔ:˧˥	外國婦女，老外
番鬼仔	fa:n˥ kwɐi˧˥ tsɐi˧˥	西洋小孩，外國男孩，外國小孩
番國	fa:n˥ kwɔ:k˧	
翻工	fa:n˥ kʊŋ˥	上班
翻供	fa:n˥ kʊŋ˥	
翻公司	fa:n˥ kʊŋ˥ si:˥	回公司
翻企	fa:n˥ kʰei˧˥	回家
番茄醬	fa:n˥ kʰɛ:˨˩ tsœ:ŋ˧	
翻嚟	fa:n˥ lei˨˩	回來
翻面	fa:n˥ mi:n˨	翻臉
翻唔切	fa:n˥ m̩˨˩ tsʰi:t˧	趕不回來，趕不回去
翻版	fa:n˥ pa:n˧˥	盜版
番邦	fa:n˥ pɔ:ŋ˥	
翻晒面	fa:n˥ sa:i˧ mi:n˨	翻臉
翻生	fa:n˥ sa:ŋ˥	復活
番薯	fa:n˥ sy:˧˥	地瓜，白薯，紅薯，甘薯，蕃薯
番薯糖	fa:n˥ sy:˨˩ tʰɔ:ŋ˧˥	糖水白薯
番石榴	fa:n˥ sɛ:k˨ lɐu˨˩	石榴
番石榴	fa:n˥ sɛ:k˨ lɐu˨˩	
番地	fa:n˥ tei˨	
翻轉頭	fa:n˥ tsy:n˧˥ tʰɐu˨˩	回頭，掉頭，往回
番族	fa:n˥ tsʊk˨	
翻抄	fa:n˥ tsʰa:u˥	再制，再生
翻草	fa:n˥ tsʰou˧˥	反芻
翻頭嫁	fa:n˥ tʰɐu˨˩ ka:˧	再嫁
番話	fa:n˥ wa:˧˥	外語
番話	fa:n˥ wa:˧˥	
翻屋企	fa:n˥ ŋʊk˥ kʰei˧˥	回家
販夫走卒	fa:n˧ fu:˥ tsɐu˧˥ tsɵt˥	
販賣	fa:n˧ ma:i˨	
販賣人口	fa:n˧ ma:i˨ jɐn˨˩ hɐu˧˥	
販賣機	fa:n˧ ma:i˨ kei˥	
販賣部	fa:n˧ pou˨	
販售	fa:n˧ sɐu˨	
販毒	fa:n˧ tʊk˨	
販運	fa:n˧ wɐn˨	
反	fa:n˧˥	開玩笑，鬧，玩兒
犯	fa:n˧˥	犯人
反覆	fa:n˧˥ fʊk˥	
反向	fa:n˧˥ hœ:ŋ˧	
反核	fa:n˧˥ hɐt˨	
反而	fa:n˧˥ ji:˨˩	
反應	fa:n˧˥ jɪŋ˧	
反應過渡	fa:n˧˥ jɪŋ˧ kwɔ:˧ tou˨	
反映	fa:n˧˥ jɪŋ˧˥	
反饋	fa:n˧˥ kwɐi˨	
反骨	fa:n˧˥ kwɐt˥	反叛，背叛，無情義，吃裡扒外
反骨無情	fa:n˧˥ kwɐt˥ mou˨˩ tsʰɪŋ˨˩	忘恩負義
反骨仔	fa:n˧˥ kwɐt˥ tsɐi˧˥	叛徒，白眼狼，忘恩負義的人，吃裡扒外的貨
反光	fa:n˧˥ kwɔ:ŋ˥	
反光鏡	fa:n˧˥ kwɔ:ŋ˥ kɛ:ŋ˧	
反感	fa:n˧˥ kɐm˧˥	
反擊	fa:n˧˥ kɪk˥	
反攻	fa:n˧˥ kʊŋ˥	
反攻為守	fa:n˧˥ kʊŋ˥ wɐi˨˩ sɐu˧˥	
反其道而行之	fa:n˧˥ kʰei˨˩ tou˨ ji:˨˩ hɐŋ˨˩ tsi:˥	
反抗	fa:n˧˥ kʰɔ:ŋ˧	
反抗軍	fa:n˧˥ kʰɔ:ŋ˧ kwɐn˥	
反面	fa:n˧˥ mi:n˧˥	翻臉
反面唔認人	fa:n˧˥ mi:n˧˥ m̩˨˩ jɪŋ˨ jɐn˨˩	翻臉不認人
反問	fa:n˧˥ mɐn˨	
反敗為勝	fa:n˧˥ pa:i˨ wɐi˨˩ sɪŋ˧	
反比	fa:n˧˥ pei˧˥	
反哺	fa:n˧˥ pou˨	
反叛	fa:n˧˥ pu:n˨	
反駁	fa:n˧˥ pɔ:k˧	
反撲	fa:n˧˥ pʰɔ:k˧	
返璞歸真	fa:n˧˥ pʰɔ:k˧ kwɐi˥ tsɐn˥	
反時鐘方向	fa:n˧˥ si:˨˩ tsʊŋ˥ fɔ:ŋ˥ hœ:ŋ˧	
反常	fa:n˧˥ sœ:ŋ˨˩	
反修	fa:n˧˥ sɐu˥	
反守為攻	fa:n˧˥ sɐu˧˥ wɐi˨˩ kʊŋ˥	
反射	fa:n˧˥ sɛ:˨	
反射光	fa:n˧˥ sɛ:˨ kwɔ:ŋ˥	
反彈	fa:n˧˥ ta:n˨	
反彈力	fa:n˧˥ ta:n˨ lɪk˨	
反倒	fa:n˧˥ tou˧	
反戰	fa:n˧˥ tsi:n˧	
反戰份子	fa:n˧˥ tsi:n˧ fɐn˨ tsi:˧˥	
反之	fa:n˧˥ tsi:˥	
反之亦然	fa:n˧˥ tsi:˥ jɪk˨ ji:n˨˩	
反制	fa:n˧˥ tsɐi˧	
反正	fa:n˧˥ tsɪŋ˧	
反差	fa:n˧˥ tsʰa:˥	
反切	fa:n˧˥ tsʰi:t˧	
反串	fa:n˧˥ tsʰy:n˧	
反芻動物	fa:n˧˥ tsʰɔ:˥ tʊŋ˨ mɐt˨	
反斗	fa:n˧˥ tɐu˧˥	頑皮，淘氣
反對	fa:n˧˥ tɵy˧	
反對者	fa:n˧˥ tɵy˧ tsɛ:˧˥	
反對黨	fa:n˧˥ tɵy˧ tɔ:ŋ˧˥	
反動	fa:n˧˥ tʊŋ˨	
反動份子	fa:n˧˥ tʊŋ˨ fɐn˨ tsi:˧˥	
反動派	fa:n˧˥ tʊŋ˨ pʰa:i˧	
反坦克	fa:n˧˥ tʰa:n˧˥ hɐk˥	
反胃	fa:n˧˥ wɐi˨	
反咬	fa:n˧˥ ŋa:u˩˧	
反咬一口	fa:n˧˥ ŋa:u˩˧ jɐt˥ hɐu˧˥	
飯盒	fa:n˨ hɐp˨	盒飯，便當
飯殼	fa:n˨ hɔ:k˧	盛飯的勺子
犯人	fa:n˨ jɐn˨˩	
飯館	fa:n˨ ku:n˧˥	
飯腳	fa:n˨ kœ:k˧	剩飯底子，碗底子
飯蓋	fa:n˨ kɔ:i˧	鍋蓋，飯鍋的蓋
飯局	fa:n˨ kʊk˨	
飯量	fa:n˨ lœ:ŋ˨	
範例	fa:n˨ lɐi˨	
范例	fa:n˨ lɐi˨	
範文	fa:n˨ mɐn˨˩	
飯粒	fa:n˨ nɐp˥	
飯煲	fa:n˨ pou˥	飯鍋，煮飯的鍋
範本	fa:n˨ pu:n˧˥	
飯缽	fa:n˨ pu:t˧	
飯票	fa:n˨ pʰi:u˧	
範式	fa:n˨ sɪk˥	
飯餸	fa:n˨ sʊŋ˧	飯菜
飯店	fa:n˨ ti:m˧	
飯焦	fa:n˨ tsi:u˥	鍋巴
犯罪	fa:n˨ tsɵy˨	
犯眾憎	fa:n˨ tsʊŋ˧ tsɐŋ˥	犯眾怒，引起公憤，人人憎恨，令眾人憎惡，討人厭
飯鏟	fa:n˨ tsʰa:n˧˥	鍋鏟
飯鏟頭	fa:n˨ tsʰa:n˧˥ tʰɐu˨˩	眼睛蛇
飯匙	fa:n˨ tsʰi:˨˩	
範疇	fa:n˨ tsʰɐu˨˩	
范疇	fa:n˨ tsʰɐu˨˩	
飯菜	fa:n˨ tsʰɔ:i˧	
犯錯	fa:n˨ tsʰɔ:˧	
飯袋	fa:n˨ tɔ:i˨	
飯糰	fa:n˨ tʰy:n˨˩	
飯枱	fa:n˨ tʰɔ:i˧˥	餐桌
飯湯	fa:n˨ tʰɔ:ŋ˥	米湯
飯堂	fa:n˨ tʰɔ:ŋ˨˩	食堂
飯廳	fa:n˨ tʰɛ:ŋ˥	食堂
飯桶	fa:n˨ tʰʊŋ˧˥	
飯碗	fa:n˨ wu:n˧˥	
範圍	fa:n˨ wɐi˨˩	
飯鍋	fa:n˨ wɔ:˥	
繁花似錦	fa:n˨˩ fa:˥ tsʰi:˩˧ kɐm˧˥	
凡夫俗子	fa:n˨˩ fu:˥ tsʊk˨ tsi:˧˥	
凡夫俗子	fa:n˨˩ fu:˥ tsʊk˨ tsi:˧˥	
繁分數	fa:n˨˩ fɐn˥ sou˧	
凡係	fa:n˨˩ hɐi˨	凡是
繁衍	fa:n˨˩ ji:n˧˥	
凡人	fa:n˨˩ jɐn˨˩	
繁育	fa:n˨˩ jʊk˨	
藩籬	fa:n˨˩ lei˨˩	
樊籬	fa:n˨˩ lei˨˩	
繁亂	fa:n˨˩ ly:n˨	
凡例	fa:n˨˩ lɐi˨	
繁文	fa:n˨˩ mɐn˨˩	
繁文縟節	fa:n˨˩ mɐn˨˩ jʊk˨ tsi:t˧	
繁密	fa:n˨˩ mɐt˨	
繁茂	fa:n˨˩ mɐu˨	
繁忙	fa:n˨˩ mɔ:ŋ˨˩	
繁難	fa:n˨˩ na:n˨˩	
煩惱	fa:n˨˩ nou˩˧	
繁瑣	fa:n˨˩ sɔ:˧˥	
繁星	fa:n˨˩ sɪŋ˥	
繁星點點	fa:n˨˩ sɪŋ˥ ti:m˧˥ ti:m˧˥	
繁盛	fa:n˨˩ sɪŋ˨	
繁碎	fa:n˨˩ sɵy˧	
藩屬	fa:n˨˩ sʊk˨	
煩到死	fa:n˨˩ tou˧ sei˧˥	煩死了，真叫人心煩
繁雜	fa:n˨˩ tsa:p˨	
繁殖	fa:n˨˩ tsɪk˨	
繁殖力	fa:n˨˩ tsɪk˨ lɪk˨	
繁多	fa:n˨˩ tɔ:˥	
繁體字	fa:n˨˩ tʰɐi˧˥ tsi:˨	
繁華	fa:n˨˩ wa:˨˩	
繁榮	fa:n˨˩ wɪŋ˨˩	
繁榮昌盛	fa:n˨˩ wɪŋ˨˩ tsʰœ:ŋ˥ sɪŋ˨	
發花癲	fa:t˧ fa:˥ ti:n˥	發瘋
發瘋	fa:t˧ fʊŋ˥	
發風	fa:t˧ fʊŋ˥	痲瘋病，發麻風病
發姣	fa:t˧ ha:u˨˩	賣俏，發情，發浪
發吓姣氣	fa:t˧ ha:˩˧ ha:u˨˩ hei˧	抖抖威風
發起	fa:t˧ hei˧˥	
發開口夢	fa:t˧ hɔ:i˥ hɐu˧˥ mʊŋ˨	說夢話
發焮	fa:t˧ hɪŋ˧	發怒
發焮	fa:t˧ hɪŋ˧	發燒
發炎	fa:t˧ ji:m˨˩	
發現	fa:t˧ ji:n˨	
發言人	fa:t˧ ji:n˨˩ jɐn˨˩	
發熱	fa:t˧ ji:t˨	
發羊吊	fa:t˧ jœ:ŋ˨˩ ti:u˧	癲癇，發羊癇風
發音	fa:t˧ jɐm˥	
髮油	fa:t˧ jɐu˨˩	
髮型	fa:t˧ jɪŋ˨˩	
法裔	fa:t˧ jɵy˨	
髮夾	fa:t˧ ka:p˧	
髮夾	fa:t˧ ka:p˧˥	頭髮夾子
發酵	fa:t˧ ka:u˧	
發高燒	fa:t˧ kou˥ si:u˥	
法官	fa:t˧ ku:n˥	
法國鬼	fa:t˧ kwɔ:k˧ kwɐi˧˥	法國人
髮腳	fa:t˧ kœ:k˧	髮邊，髮際
發雞盲	fa:t˧ kɐi˥ ma:ŋ˨˩	患夜盲症
髮髻	fa:t˧ kɐi˧	
髮根	fa:t˧ kɐn˥	
發睏	fa:t˧ kʰwɐn˧	
發爛渣	fa:t˧ la:n˨ tsa:˥	耍無賴
發爛渣	fa:t˧ la:n˨ tsa:˧˥	撒野，發脾氣，無理取鬧
髮蠟	fa:t˧ la:p˨	
發冷	fa:t˧ la:ŋ˩˧	打擺子，發瘧子
發牢騷	fa:t˧ lou˨˩ sou˥	
發啷厲	fa:t˧ lɔ:ŋ˥ lɐi˧˥	大發雷霆
琺琅	fa:t˧ lɔ:ŋ˨˩	
髮廊	fa:t˧ lɔ:ŋ˨˩	
琺琅質	fa:t˧ lɔ:ŋ˨˩ tsɐt˥	
法律	fa:t˧ lɵt˨	
髮尾	fa:t˧ mei˩˧	髮梢，髮尖
發毛	fa:t˧ mou˥	長霉，發霉
髮網	fa:t˧ mɔ:ŋ˩˧	
發明	fa:t˧ mɪŋ˨˩	
發木獨	fa:t˧ mʊk˨ tʊk˨	發愣，發呆
發夢	fa:t˧ mʊŋ˨	做夢
發夢都未見過	fa:t˧ mʊŋ˨ tou˥ mei˨ ki:n˧ kwɔ:˧	做夢也沒有見過
發怒	fa:t˧ nou˨	
發嬲	fa:t˧ nɐu˥	生氣
法包	fa:t˧ pa:u˥	法國麵包，法式長棍麵包
發表	fa:t˧ pi:u˧˥	
發表偉論	fa:t˧ pi:u˧˥ wɐi˩˧ lɵn˨	
發票	fa:t˧ pʰi:u˧	
發泡膠	fa:t˧ pʰou˩˧ ka:u˥	泡沫塑料，發泡塑料
發泡膠盒	fa:t˧ pʰou˩˧ ka:u˥ hɐp˧˥	發泡塑料盒兒
發痧	fa:t˧ sa:˥	
發洩	fa:t˧ si:t˧	
發燒	fa:t˧ si:u˥	
發燒友	fa:t˧ si:u˥ jɐu˧˥	狂熱者，迷戀者
髮絲	fa:t˧ si:˥	
發市	fa:t˧ si:˩˧	開市；買賣興隆
發誓	fa:t˧ sɐi˨	
發神經	fa:t˧ sɐn˨˩ kɪŋ˥	神經病，瘋了，發瘋
發生	fa:t˧ sɐŋ˥	
發射	fa:t˧ sɛ:˨	
發送	fa:t˧ sʊŋ˧	
髮帶	fa:t˧ ta:i˧	
發達	fa:t˧ ta:t˨	發財，暴發
發達	fa:t˧ ta:t˨	
發癲	fa:t˧ ti:n˥	發瘋
發電	fa:t˧ ti:n˨	
發電機	fa:t˧ ti:n˨ kei˥	
發電場	fa:t˧ ti:n˨ tsʰœ:ŋ˨˩	
發展	fa:t˧ tsi:n˧˥	
發展中	fa:t˧ tsi:n˧˥ tsʊŋ˥	
髮針	fa:t˧ tsɐm˥	
發酒癲	fa:t˧ tsɐu˧˥ ti:n˥	發酒瘋
發咗一個夢	fa:t˧ tsɔ:˧˥ jɐt˥ kɔ:˧ mʊŋ˨	做了一個夢
發怔	fa:t˧ tsɪŋ˥	
發怵	fa:t˧ tsɵt˥	
發矢	fa:t˧ tsʰi:˧˥	
發祥地	fa:t˧ tsʰœ:ŋ˨˩ tei˨	
髮菜	fa:t˧ tsʰɔ:i˧	
發動	fa:t˧ tʊŋ˨	
法庭	fa:t˧ tʰɪŋ˨˩	
發瘟	fa:t˧ wɐn˥	發瘋，瘋了
發瘟雞	fa:t˧ wɐn˥ kɐi˥	傻子，瘋子，神經病
發暈	fa:t˧ wɐn˨˩	
發芽	fa:t˧ ŋa:˨˩	
發喑話	fa:t˧ ŋɐm˨ wa:˨	說夢話，說昏話
發噏風	fa:t˧ ŋɐp˥ fʊŋ˥	胡說八道，胡言亂語
發吽哣	fa:t˧ ŋɐu˨ tɐu˨	發愣，發呆
花瓣	fa:˥ fa:n˨	
花花世界	fa:˥ fa:˥ sɐi˧ ka:i˧	
花弗	fa:˥ fi:t˥	誇耀，花俏
花款	fa:˥ fu:n˧˥	花樣，款式，式樣，花色
花費不貲	fa:˥ fɐi˧ pɐt˥ tsi:˥	
花圈	fa:˥ hy:n˥	
花腔	fa:˥ hɔ:ŋ˥	
花紅	fa:˥ hʊŋ˨˩	紅利，利潤，利息，獎金
花園	fa:˥ jy:n˧˥	
花蕊	fa:˥ jɵy˩˧	
花街	fa:˥ ka:i˥	花市
花哩花碌	fa:˥ li:˥ fa:˥ lʊk˥	花里胡哨，花斑斑
花哩碌	fa:˥ li:˥ lʊk˥	花里胡哨，色彩斑駁，花花綠綠，五顏六色
花哩胡碌	fa:˥ li:˥ wu:˨˩ lʊk˥	花里胡哨，花斑斑
花冧	fa:˥ lɐm˥	花蕾
花蕾	fa:˥ lɵy˩˧	
花名	fa:˥ mɛ:ŋ˧˥	外號，綽號
花苞	fa:˥ pa:u˥	
花圃	fa:˥ pou˧˥	
花瓶	fa:˥ pʰɪŋ˨˩	
花哨	fa:˥ sa:u˧	
花灑	fa:˥ sa:˧˥	噴頭，蓮蓬頭
花士令	fa:˥ si:˨ lɪŋ˧˥	凡士林
花臣	fa:˥ sɐn˧˥	式樣，花樣，時髦
花生肉	fa:˥ sɐŋ˥ jʊk˨	花生米
花城	fa:˥ sɪŋ˨˩	廣州別稱
花絮	fa:˥ sɵy˩˧	
花招	fa:˥ tsi:u˥	
花樽	fa:˥ tsɵn˥	花瓶
花朵	fa:˥ tɔ:˧˥	
花卉	fa:˥ wɐi˧˥	
花王	fa:˥ wɔ:ŋ˨˩	園丁，花匠
化繁為簡	fa:˧ fa:n˨˩ wɐi˨˩ ka:n˧˥	
化肥	fa:˧ fei˨˩	
化肥廠	fa:˧ fei˨˩ tsʰɔ:ŋ˧˥	
化腐朽為神奇	fa:˧ fu:˨ nɐu˧˥ wɐi˨˩ sɐn˨˩ kʰei˨˩	
化險為夷	fa:˧ hi:m˧˥ wɐi˨˩ ji:˨˩	
化合物	fa:˧ hɐp˨ mɐt˨	
化學	fa:˧ hɔ:k˨	
化學反應	fa:˧ hɔ:k˨ fa:n˧˥ jɪŋ˧	
化學肥料	fa:˧ hɔ:k˨ fei˨˩ li:u˨	
化學元素	fa:˧ hɔ:k˨ jy:n˨˩ sou˧	
化學家	fa:˧ hɔ:k˨ ka:˥	
化學工廠	fa:˧ hɔ:k˨ kʊŋ˥ tsʰɔ:ŋ˧˥	
化學武器	fa:˧ hɔ:k˨ mou˩˧ hei˧	
化學變化	fa:˧ hɔ:k˨ pi:n˧ fa:˧	
化學品	fa:˧ hɔ:k˨ pɐn˧˥	
化學平衡	fa:˧ hɔ:k˨ pʰɪŋ˨˩ hɐŋ˨˩	
化學作用	fa:˧ hɔ:k˨ tsɔ:k˧ jʊŋ˨	
化學纖維	fa:˧ hɔ:k˨ tsʰi:m˥ wɐi˨˩	
化驗	fa:˧ ji:m˨	
化驗品	fa:˧ ji:m˨ pɐn˧˥	
化驗室	fa:˧ ji:m˨ sɐt˥	
化解	fa:˧ ka:i˧˥	
化干戈為玉帛	fa:˧ kɔ:n˥ kwɔ:˥ wɐi˨˩ jʊk˨ pa:k˨	
化工	fa:˧ kʊŋ˥	
化工廠	fa:˧ kʊŋ˥ tsʰɔ:ŋ˧˥	
化武	fa:˧ mou˩˧	
化名	fa:˧ mɪŋ˨˩	
化濃妝	fa:˧ nʊŋ˨˩ tsɔ:ŋ˥	
化算	fa:˧ sy:n˧	划算，合算
化身	fa:˧ sɐn˥	
化石	fa:˧ sɛ:k˨	
化裝	fa:˧ tsɔ:ŋ˥	
化妝	fa:˧ tsɔ:ŋ˥	
化裝舞會	fa:˧ tsɔ:ŋ˥ mou˩˧ wu:i˨	
化妝品	fa:˧ tsɔ:ŋ˥ pɐn˧˥	
化妝箱	fa:˧ tsɔ:ŋ˥ sœ:ŋ˥	
化妝室	fa:˧ tsɔ:ŋ˥ sɐt˥	
化妝台	fa:˧ tsɔ:ŋ˥ tʰɔ:i˨˩	
化纖	fa:˧ tsʰi:m˥	
化纖廠	fa:˧ tsʰi:m˥ tsʰɔ:ŋ˧˥	
化鴟為鳳	fa:˧ tsʰi:˥ wɐi˨˩ fʊŋ˨	
