开放粤语词典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
芭蕾	bā léuih	
吧女	bā néuih	酒吧女服务员
巴士	bā sí	公车，巴士，公共汽车
巴士站	bā sí jaahm	公车站，公共汽车站
巴士佬	bā sí lóu	公车司机
把握	bá āk	
把柄	bá beng	
把持	bá chìh	
把风	bá fūng	
把几火	bá géi fó	很生气
把关	bá gwāan	
把鬼	bá gwái	有什么用，顶什么用，白费劲，毫无用处
把戏	bá hei	
把兄弟	bá hīng daih	
把盏	bá jáan	
把酒	bá jáu	
罢啦	bá lā	吧
把脉	bá mahk	诊脉，号脉
把炮	bá paau	把握
把屁	bá pei	有屁用，顶个屁用
把屁咩！	bá pei mē	有个屁用！
把势	bá sai	
把守	bá sáu	
把手	bá sáu	
把式	bá sīk	
把舦	bá táaih	掌舵
把玩	bá wuhn	
霸	ba	占
霸道	ba douh	
霸靓位	ba leng wāi	占好位子
霸挜	ba ngah	霸道
霸位	ba wái	占位置，占位子，占位
霸王	ba wòhng	应付钱而不付钱
罢黜	bah cheūt	
罢工	bah gūng	
罢就	bah jauh	算了，拉倒，罢了，作罢
罢了	bah liúh	
罢手	bah sáu	
罢休	bah yāu	
拜拜	bāai baai	再见，拜拜
摆	báai	摆放
摆设	báai chit	
摆档	báai dóng	摆摊子
摆档口	báai dóng háu	摆摊子
摆放	báai fong	
摆供	báai gung	
摆酒	báai jáu	摆酒席，办酒席
摆甫士	báai pōu sí	摆姿势
摆脱	báai tyut	
摆乌龙	báai wū lúng	弄错，搞误会
拜把	baai bá	
拜把兄弟	baai bá hīng daih	
拜倒	baai dóu	
拜倒石榴裙之下	baai dóu sehk làuh kwàhn jī hah	
拜读	baai duhk	
拜佛	baai fāt	
拜火教	baai fó gaau	
拜访	baai fóng	
拜金	baai gām	
拜金主义	baai gām jyú yih	
拜见	baai gin	
拜祭	baai jai	
拜袓先	baai jóu sīn	
拜老师	baai lóuh sī	
拜庙	baai miuh	
拜偶像	baai ngáuh jeuhng	
拜年	baai nìhn	
拜票	baai piu	
拜山	baai sāan	上坟，扫墓
拜神	baai sàhn	
拜师	baai sī	
拜师学艺	baai sī hohk ngaih	
拜天地	baai tīn deih	
拜托	baai tok	
拜揖	baai yāp	
败北	baaih bāk	
败家	baaih gā	
败家仔	baaih gā jái	败家子
败家精	baaih gā jīng	败家子
败军	baaih gwān	
败兴	baaih hing	
败兴而归	baaih hing yìh gwāi	
败血病	baaih hyut bihng	
败血症	baaih hyut jing	
败阵	baaih jahn	
败者为寇	baaih jé wàih kau	
败仗	baaih jeung	
败将	baaih jeung	
败类	baaih leuih	
败落	baaih lohk	
败絮	baaih séuih	
败絮其中	baaih séuih kèih jūng	
败事有余	baaih sih yáuh yùh	
败诉	baaih sou	
败退	baaih teui	
败坏	baaih waaih	
败胃	baaih waih	
迫不得已	bāak bāt dāk yíh	
迫切	bāak chit	
迫近	bāak gahn	
迫击炮	bāak gīk paau	
迫害	bāak hoih	
迫在眉睫	bāak joih mèih jiht	
迫使	bāak sí	
迫于形势	bāak yū yìhng sai	
伯伯	baak baak	
百病	baak bihng	
百病丛生	baak bihng chùhng sāng	
百步穿杨	baak bouh chyūn yeùhng	
百般	baak būn	
百读不厌	baak duhk bāt yim	
百花齐放	baak fā chàih fong	
百花争艳	baak fā jāng yihm	
百花怒放	baak fā nouh fong	
百发百中	baak faat baak jung	
百分点	baak fān dím	
百科	baak fō	
百科全书	baak fō chyùhn syū	
百科全书	baak fō chyùhn syū	百科全书
百货	baak fo	
百货店	baak fo dim	
百货公司	baak fo gūng sī	
百货商场	baak fo seūng cheùhng	
百货商店	baak fo seūng dim	
百货业	baak fo yihp	
伯父	baak fuh	
百感交集	baak gám gāau jaahp	
白鸽	baak gáp	
百香果	baak heūng gwó	
百香果汁	baak heūng gwó jāp	
百看不厌	baak hon bāt yim	
百褶裙	baak jip kwàhn	
百折不挠	baak jit bāt nàauh	
百足	baak jūk	蜈蚣
百里香	baak léih heūng	
百炼成钢	baak lihn sìhng gong	
百灵	baak lìhng	
百灵鸟	baak lìhng niúh	
百万	baak maahn	
百万富翁	baak maahn fu yūng	
百万雄师	baak maahn hùhng sī	
百米	baak máih	
百米赛跑	baak máih choi páau	
百闻不如一见	baak màhn bāt yùh yāt gin	
百物	baak maht	
百无禁忌	baak mòuh gam geih	
百无聊赖	baak mòuh liùh laaih	
百无一长	baak mòuh yāt cheùhng	
百无一失	baak mòuh yāt sāt	
百衲本	baak naahp bún	
百衲衣	baak naahp yī	
百身莫赎	baak sān mohk suhk	
百兽之王	baak sau jī wòhng	
百思不得其解	baak sī bāt dāk kèih gáai	
伯爷	baak yē	父亲
伯爷公	baak yē gūng	老大爷，老头儿
伯爷婆	baak yē pó	老婆婆，老太婆
百厌	baak yim	调皮，淘气
百厌仔	baak yim jái	淘气鬼
百叶窗	baak yihp cheūng	
白矮星	baahk ái sīng	
白布	baahk bou	
白车	baahk chē	救护车
白灼	baahk cheuk	水煮，清煮，涮
白灼虾	baahk cheuk hā	清煮虾
白痴	baahk chī	
白菜	baahk choi	
白醋	baahk chou	
白花	baahk fā	
白化	baahk fa	
白饭	baahk faahn	
白发	baahk faat	
白费	baahk fai	
白费力气	baahk fai lihk hei	
白费心机	baahk fai sām gēi	
白粉	baahk fán	海洛因，白面儿
白粉档	baahk fán dong	贩卖毒品的场所
白霍	baahk fok	轻浮，嚣张，浮夸
白霍友	baahk fok yáu	好出风头的人，爱吹嘘自己的人，傲慢的人
白灰	baahk fuī	
帛金	baahk gām	
白金	baahk gām	
白键	baahk gihn	
白果	baahk gwó	
白光	baahk gwōng	
白开水	baahk hōi séui	
白鹤	baahk hohk	
白熊	baahk hùhng	
白血病	baahk hyut behng	
白血球	baahk hyut kàuh	
白斩鸡	baahk jáam gāi	白切鸡
白酒	baahk jáu	
白昼	baahk jau	
白纸	baahk jí	
白纸黑字	baahk jí hāk jih	
白净	baahk jihng	白嫩
白撞雨	baahk johng yúh	过云雨
白做	baahk jouh	白干一场
白粥	baahk jūk	稀饭，稀粥
白旗	baahk kèih	
白鲸	baahk kìhng	
白兰	baahk làahn	
白兰地	baahk làahn deih	
白兰花	baahk làahn fā	
白莲教	baahk lìhn gaau	
白领	baahk líhng	
白领阶级	baahk líhng gāai kāp	
白鹭	baahk louh	
白马王子	baahk máh wòhng jí	
白猫	baahk māau	
白米	baahk máih	
白面	baahk mihn	
白面书生	baahk mihn syū sāng	
白木耳	baahk muhk yíh	
白蒙蒙	baahk mūng mūng	雪白雪白的
白眼	baahk ngáahn	
白蚁	baahk ngáih	
白银	baahk ngàhn	
白垩纪	baahk ok géi	
白皮书	baahk pèih syū	
白沙	baahk sā	
白纱	baahk sā	
白嘥	baahk sāai	白费
白手	baahk sáu	
白首	baahk sáu	
白手起家	baahk sáu héi gā	
白水	baahk séui	
白皙	baahk sīk	
白色	baahk sīk	
白蚀	baahk sihk	汗斑
白鼠	baahk syú	
白薯	baahk syùh	
白雪雪	baahk syūt syūt	白白的，雪白
白雪	baahk syut	
白头到老	baahk tàuh dou lóuh	
白头偕老	baahk tàuh gāai lóuh	
白头翁	baahk tàuh yūng	
白糖	baahk tòhng	
白话	baahk wá	
白话	baahk wá	本地话，广州话，广府话，广东话
白话文	baahk wá màhn	
白话文学	baahk wá màhn hohk	
白云	baahk wàhn	
白日梦	baahk yaht muhng	
白油	baahk yáu	酱油
白杨	baahk yeùhng	
白杨树	baahk yeùhng syuh	
白衣天使	baahk yī tīn si	
白热	baahk yiht	
白热化	baahk yiht fa	
白玉	baahk yuhk	
白肉	baahk yuhk	
班	bāan	纠合，纠集，拉队伍，纠集同伙
班	bāan	群，伙
班兵	bāan bīng	请援兵，请人帮忙，请求援助，搬兵
班车	bāan chē	
班次	bāan chi	
班底	bāan dái	
班代表	bāan doih biú	
班房	bāan fóng	教室，课室
斑鸠	bāan gāu	
瘢痕	bāan hàhn	
班长	bāan jeúng	
颁奖	bāan jeúng	
颁奖典礼	bāan jeúng dín láih	
颁奖礼	bāan jeúng lái	
班主任	bāan jyú yahm	
班戟	bāan kīk	薄煎饼，薄烤饼，热香饼
斑斓	bāan làahn	
斑马	bāan máh	
班马	bāan máh	搬救兵，召集党徒，召集羽翼
班门弄斧	bāan mùhn luhng fú	
班师	bāan sī	
班师回朝	bāan sī wuìh chiùh	
板	báan	板子
版本	báan bún	
板凳	báan dang	
板块	báan faai	
板障	báan jeung	板墙，板壁
版权	báan kyùhn	
版权所有	báan kyùhn só yáuh	
扮煮饭仔	baan jyú faahn jái	过家家，玩过家家，扮家家酒
扮	baahn	装，装作
湴	baahn	烂泥，稀泥
扮得意	baahn dāk yi	装可爱
扮代表	baahn doih biú	装模作样
办法	baahn faat	
办公室	baahn gūng sāt	
扮猪食老虎	baahn jyū sihk lóuh fú	佯装愚蠢，装疯卖傻来占便宜
扮靓	baahn leng	打扮，打扮得漂漂亮亮
扮晒嘢	baahn saai yéh	装模作样
办事	baahn sih	
办事处	baahn sih chyu	
扮听唔到	baahn tēng m̀h dóu	装作没听见
办妥	baahn tó	
扮嘢	baahn yéh	装模作样，装样子，装蒜，出风头
扮演	baahn yín	
扮英雄	baahn yīng hùhng	充英雄
蹦蹦跳跳	baahng baahng tiu tiu	
绷带	baahng daai	
绷紧	baahng gán	
八	baat	八卦的，爱管闲事的
八宝	baat bóu	
八宝饭	baat bóu faahn	
八宝粥	baat bóu jūk	
八点	baat dím	
八点钟	baat dím jūng	
八九不离十	baat gáu bāt lèih sahp	
八个字	baat go jih	四十分钟
八角	baat gok	
八角形	baat gok yìhng	
八股	baat gú	
八股文	baat gú màhn	
八卦	baat gwa	爱管闲事
八卦妹	baat gwa muī	爱管闲事的女孩
八卦婆	baat gwa pó	三八，饶舌妇
八国联军	baat gwok lyùhn gwān	
八爪鱼	baat jáau yùh	章鱼
八字	baat jih	
八级	baat kāp	
八路军	baat louh gwān	
八面玲珑	baat mihn lìhng lùhng	
八妹	baat muī	爱管闲事的女孩
八年级	baat nìhn kāp	
八婆	baat pòh	三八，饶舌妇
八十	baat sahp	
八仙	baat sīn	
八仙过海	baat sīn gwo hói	
八成	baat sìhng	
八月	baat yuht	
八月份	baat yuht fahn	
包	bāau	保证
褒贬	bāau bín	
包袱	bāau fuhk	
包裹	bāau gwó	
包含	bāau hàhm	
包装	bāau jōng	
包租	bāau jōu	租房又分租给他人
包租公	bāau jōu gūng	二房东
包租婆	bāau jōu pó	二房东太太，二房东，女二房东
包粽	bāau júng	包粽子
包括	bāau kut	
包厢	bāau seūng	
包二奶	bāau yih nāai	有情妇，养小老婆
鲍鱼	bāau yùh	
包容	bāau yùhng	
饱餐	báau chāan	
饱擦一轮	báau chaat yāt leùhn	饱吃一顿
饱嗝	báau gaak	
饱经	báau gīng	
饱经沧桑	báau gīng chōng sōng	
饱经风霜	báau gīng fūng seūng	
饱经世故	báau gīng sai gu	
饱含	báau hàhm	
饱学	báau hohk	
饱学之士	báau hohk jī sih	
饱满	báau múhn	
饱暖	báau nyúhn	
饱暖思淫欲	báau nyúhn sī yàhm yuhk	
饱受	báau sauh	
饱死	báau séi	臭美
饱死我啦！	báau séi ngóh la	饱到要爆炸
饱尝	báau seùhng	
饱食	báau sihk	
饱食终日	báau sihk jūng yaht	
饱和	báau wòh	
饱和点	báau wòh dím	
饱和度	báau wòh douh	
饱和状态	báau wòh johng taai	
爆	baau	炸，破裂
爆煲	baau bōu	露馅儿，暴露
爆坼	baau chaak	皮肤皴裂
爆粗口	baau chōu háu	说粗话
爆发	baau faat	
爆火	baau fó	发脾气
爆谷	baau gūk	爆米花，玉米花儿
爆炸	baau ja	
爆樽	baau jeūn	砸瓶
爆棚	baau pàahng	卖座
爆肽	baau tāai	破轮胎
鲍鱼	baauh yùh	
跛	bāi	瘸
跛脚	bāi geuk	瘸脚
跛脚佬	bāi geuk lóu	瘸子，跛子
跛手	bāi sáu	瘸胳膊
赑屃	bai ai	
闭关	bai gwāan	
闭关自守	bai gwāan	
闭路	bai louh	
闭路电视	bai louh dihn sih	
闭幕	bai mohk	
闭幕典礼	bai mohk dín láih	
闭幕式	bai mohk sīk	
闭目	bai muhk	
闭目养神	bai muhk yeúhng sàhn	
闭门	bai mùhn	
闭门谢客	bai mùhn jeh haak	
闭门造车	bai mùhn jouh chē	
闭眼	bai ngáahn	
闭翳	bai ngai	忧愁，愁闷，发愁，心情抑郁
闭塞	bai sāk	
闭会	bai wuih	
闭月羞花	bai yuht sāu fā	
弊	baih	糟，坏
弊家伙	baih gā fó	糟糕
陛下	baih hah	
弊喇	baih la	糟了，完了，坏了，糟糕
敝履	baih léih	
狴犴	baih ngohn	
弊案	baih on	
敝人	baih yàhn	
北便	bāk bihn	北边
北部	bāk bouh	
北斗星	bāk dáu sīng	
北方	bāk fōng	
北极	bāk gihk	
北极熊	bāk gihk hùhng	
北芪	bāk kèih	黄芪
北佬	bāk lóu	北方人
泵把	bām bá	保险杆
泵车	bām chē	抽水车，消防车
泵气	bām hei	打气
泵水	bām séui	抽水
彬彬有礼	bān bān yáuh láih	
奔波	bān bō	
奔流	bān bō	
奔驰	bān chìh	
缤纷	bān fān	
奔放	bān fong	
奔赴	bān fuh	
宾馆	bān gún	
宾仔	bān jái	菲律宾少年
奔走	bān jáu	
槟榔	bān lòhng	
槟榔汁	bān lòhng jāp	
宾佬	bān lóu	菲律宾人
奔马	bān máh	
奔命	bān mihng	
宾妹	bān muī	菲律宾少女；菲佣，菲籍女佣
奔跑	bān páau	
宾婆	bān pó	菲律宾人
奔丧	bān sōng	
奔腾	bān tàhng	
奔逃	bān tòuh	
奔跃	bān yeuhk	
品茶	bán chàh	
品德	bán dāk	
品格	bán gaak	
品格高尚	bán gaak gōu seuhng	
品管	bán gún	
品行	bán hahng	
品学	bán hohk	
品学兼优	bán hohk gīm yāu	
品红	bán hùhng	
品质	bán jāt	
品质管制	bán jāt gún jai	
品种	bán júng	
品种改良	bán júng gói leùhng	
品级	bán kāp	
品蓝	bán làahm	
品类	bán leuih	
品绿	bán luhk	
品貌	bán maauh	
品貌出众	bán maauh cheūt jung	
品貌双全	bán maauh seūng chyùhn	
品味	bán meih	
品茗	bán míhng	
品目	bán muhk	
品牌	bán pàaih	
品评	bán pìhng	
品嚐	bán seùhng	
品性	bán sing	
品头论足	bán tàuh leuhn jūk	
品位	bán waih	
鬓边	ban bīn	
鬓发	ban faat	
鬓发皆白	ban faat gāai baahk	
鬓发皓然	ban faat houh yìhn	
鬓角	ban gok	
摈弃	ban hei	
殡殓	ban líhm	
鬓霜	ban seūng	
殡仪馆	ban yìh gún	
笨猪跳	bahn jyū tiu	蹦极跳，高空弹跳
笨拙	bahn jyut	
崩	bāng	分钱
崩	bāng	破，缺
崩口	bāng háu	豁嘴，兔唇
崩口碗	bāng háu wún	缺口碗
崩口人忌崩口碗	bāng háu yàhn geih bāng háu wún	当着矮子别说短话
崩仔	bāng jái	朋克，庞克
崩装	bāng jōng	莫西干头
崩溃	bāng kuí	
崩牙	bāng ngàh	缺齿
崩牙	bāng ngàh	缺齿，缺牙
[抔]	bāt	舀，盛
不谙	bāt ām	
不卑不亢	bāt bēi bāt kong	
不便	bāt bihn	
不辩菽麦	bāt bihn suhk mahk	
不必	bāt bīt	
不吵不闹	bāt cháau bāt naauh	
不详	bāt cheùhng	
不出所料	bāt cheūt só liuh	
不耻	bāt chí	
不耻下问	bāt chí hah mahn	
不前不后	bāt chìhn bāt hauh	
不请自来	bāt chíng jih lòih	
不切实际	bāt chit saht jai	
不切题	bāt chit tàih	
不速之客	bāt chūk jī haak	
不打不相识	bāt dá bāt seūng sīk	
不打自招	bāt dá jih jiū	
不大不小	bāt daaih bāt siú	
不单	bāt dāan	
不得	bāt dāk	
不得不	bāt dāk bāt	
不得好死	bāt dāk hóu séi	
不得其法	bāt dāk kèih faat	
不得其解	bāt dāk kèih gáai	
不得了	bāt dāk liúh	
不得人心	bāt dāk yàhn sām	
不得而知	bāt dāk yìh jī	
不得已	bāt dāk yíh	
不得要领	bāt dāk yiu líhng	
不特	bāt dahk	不但，不仅，不光
不对劲	bāt deui gihng	
不定	bāt dihng	
不定词	bāt dihng chìh	
不定根	bāt dihng gān	
不定冠词	bāt dihng gun chìh	
不定期	bāt dihng kèih	
不定量	bāt dihng leuhng	
不定形	bāt dihng yìhng	
不当	bāt dong	
不倒翁	bāt dóu yūng	
不冻港	bāt dung góng	
不动产	bāt duhng cháan	
不动声色	bāt duhng sīng sīk	
不凡	bāt fàahn	
[抔]饭	bāt faahn	盛饭
不费吹灰之力	bāt fai chēui fuī jī lihk	
不分彼此	bāt fān béi chí	
不分青红皂白	bāt fān chīng hùhng jouh baahk	
不分轩轾	bāt fān hīn ji	
不分轻重缓急	bāt fān hīng chúhng wuhn gāp	
不分昼夜	bāt fān jau yeh	
不分皂白	bāt fān jouh baahk	
不分男女老幼	bāt fān nàahm néuih lóuh yau	
不乏其人	bāt faht kèih yàhn	
不慌不忙	bāt fōng bāt mòhng	
不妨	bāt fòhng	
不负众望	bāt fuh jung mohng	
不假思索	bāt gá sī saak	
不计其数	bāt gai kèih sou	
不甘	bāt gām	
不禁	bāt gām	
不甘寂寞	bāt gām jihk mohk	
不甘心	bāt gām sām	
不甘示弱	bāt gām sih yeuhk	
不敢当	bāt gám dōng	
不仅	bāt gán	
不仅仅	bāt gán gán	
不急不徐	bāt gāp bāt chèuih	
不急之务	bāt gāp jī mouh	
不够	bāt gau	
不覊	bāt gēi	
笔记	bāt gei	
笔记本	bāt gei bún	
不见不散	bāt gin bāt saan	
不见经传	bāt gin gīng chyùhn	
不见棺材不掉泪	bāt gin gūn chòih bāt diuh leuih	
不见天日	bāt gin tīn yaht	
不经一事，不长一智	bāt gīng yāt sih bāt jeúng yāt ji	
毕竟	bāt gíng	
不景气	bāt gíng hei	
笔杆	bāt gón	
不告而别	bāt gou yìh biht	
不管	bāt gún	
不管三七二十一	bāt gún sāam chāt yih sahp yāt	
笔供	bāt gūng	
毕恭毕敬	bāt gūng bāt ging	
不公不义	bāt gūng bāt yih	
不共戴天	bāt guhng daai tīn	
不共戴天之仇	bāt guhng daai tīn jī sàuh	
不关痛痒	bāt gwāan tung yeúhng	
不过	bāt gwo	
不过如此	bāt gwo yùh chí	
不光	bāt gwōng	
不孝	bāt haau	
不孝子	bāt haau jí	
不孝有三	bāt haau yáuh sāam	
不堪	bāt hām	
不堪设想	bāt hām chit seúng	
不堪入目	bāt hām yahp muhk	
不堪入耳	bāt hām yahp yíh	
不堪一击	bāt hām yāt gīk	
不含	bāt hàhm	
不含税	bāt hàhm seui	
不含糊	bāt hàhm wùh	
不幸	bāt hahng	
不幸中之大幸	bāt hahng jūng jī daaih hahng	
不合	bāt hahp	
不合标准	bāt hahp biū jeún	
不合作	bāt hahp jok	
不合规定	bāt hahp kwāi dihng	
不合时宜	bāt hahp sìh yìh	
不喜欢	bāt héi fūn	
不可避免	bāt hó beih míhn	
不可多得	bāt hó dō dāk	
不可救药	bāt hó gau yeuhk	
不可告人	bāt hó gou yàhn	
不可限量	bāt hó haahn leuhng	
不可开交	bāt hó hōi gāau	
不可知论	bāt hó jī leuhn	
不可战胜	bāt hó jin sing	
不可捉摸	bāt hó jūk mó	
不可终日	bāt hó jūng yaht	
不可理喻	bāt hó léih yuh	
不可名状	bāt hó mìhng johng	
不可磨灭	bāt hó mòh miht	
不可能	bāt hó nàhng	
不可旁贷	bāt hó pòhng taai	
不可收拾	bāt hó sāu sahp	
不可想像	bāt hó seúng jeuhng	
不可思议	bāt hó sī yíh	
不可数	bāt hó sóu	
不可同日而语	bāt hó tùhng yaht yìh yúh	
不可或缺	bāt hó waahk kyut	
不可讳言	bāt hó wáih yìhn	
不可一世	bāt hó yāt sai	
不可言喻	bāt hó yìhn yuh	
不可逾越	bāt hó yùh yuht	
不学无术	bāt hohk mòuh seuht	
不寒而栗	bāt hòhn yìh leuht	
不吭声	bāt hòhng sīng	
不吭一声	bāt hòhng yāt sīng	
不好	bāt hóu	
笔嘴	bāt jéui	笔尖儿，钢笔尖儿
不进则退	bāt jeun jāk teui	
不像话	bāt jeuhng wá	
不像样	bāt jeuhng yeuhng	
不知几	bāt jī géi	很，真，真的很
不知所云	bāt jī só wàhn	
不只	bāt jí	
不治	bāt jih	
不治之症	bāt jih jī jing	
不自量力	bāt jih leuhng lihk	
不即不离	bāt jīk bāt lèih	
不值一顾	bāt jihk yāt gu	
不值一文	bāt jihk yāt màhn	
不值一提	bāt jihk yāt tàih	
不战而败	bāt jin yìh baaih	
不战而退	bāt jin yìh teui	
不再	bāt joi	
不在场	bāt joih cheùhng	
不在乎	bāt joih fùh	
不在话下	bāt joih wá hah	
不在意	bāt joih yi	
不足挂齿	bāt jūk gwa chí	
不足轻重	bāt jūk hīng chúhng	
不足为训	bāt jūk wàih fan	
不足为奇	bāt jūk wàih kèih	
不足为外人道	bāt jūk wàih ngoih yàhn douh	
不足为凭	bāt jūk wàih pàhng	
不中不西	bāt jūng bāt sāi	
不绝于耳	bāt jyuht yū yíh	
不及	bāt kahp	
不及格	bāt kahp gaak	
不及物动词	bāt kahp maht duhng chìh	
不亢不卑	bāt kong bāt bēi	
不愧	bāt kwáih	
不冷不热	bāt láahng bāt yiht	
抔垃圾	bāt laahp saap	撮垃圾
不溜	bāt lāu	一向，一直，向来，经常
不理不睬	bāt léih bāt chói	
不利	bāt leih	
不伦不类	bāt leùhn bāt leuih	
不论	bāt leuhn	
不吝赐教	bāt leuhn chi gaau	
不论怎么	bāt leuhn jám mō	
不论怎样	bāt leuhn jám yeuhng	
不吝指正	bāt leuhn jí jing	
不论如何	bāt leuhn yùh hòh	
不了了之	bāt liúh liúh jī	
不劳而获	bāt lòuh yìh wohk	
筚路蓝缕	bāt louh làahm léuih	
笔墨	bāt mahk	
不问	bāt mahn	
不问前因后果	bāt mahn chìhn yān hauh gwó	
不问青红皂白	bāt mahn chīng hùhng jouh baahk	
不问是非曲直	bāt mahn sih fēi kūk jihk	
不谋而合	bāt máuh yìh hahp	
不寐	bāt meih	
不免	bāt míhn	
不明不白	bāt mìhng bāt baahk	
毕命	bāt mihng	
不无	bāt mòuh	
不无可疑	bāt mòuh hó yìh	
不无可疑之处	bāt mòuh hó yìh jī chyu	
笔帽	bāt mouh	
不务正业	bāt mouh jing yihp	
不外乎	bāt ngoih fùh	
不奈烦	bāt noih fàahn	
不安本分	bāt ōn bún fān	
笔刨	bāt páau	铅笔刀，转笔刀，削铅笔器
不偏不倚	bāt pīn bāt yí	
不平等条约	bāt pìhng dáng tiùh yeuk	
不平则鸣	bāt pìhng jāk mìhng	
不平而鸣	bāt pìhng yìh mìhng	
不三不四	bāt sāam bāt sei	
