开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
鸦片贸易	a:˥ pʰi:n˧ mɐu˨ jɪk˨	
鸦片战争	a:˥ pʰi:n˧ tsi:n˧ tsɐŋ˥	
鸦雀无声	a:˥ tsœ:k˧ mou˨˩ sɪŋ˥	
吖啶	a:˥ tɪŋ˨	
丫头	a:˥ tʰɐu˨˩	
丫鬟	a:˥ wa:n˨˩	
呀	a:˧	啊
阿飞	a:˧ fei˥	
亚福	a:˧ fʊk˥	傻头傻脑的人
亚姨	a:˧ ji:˥	姨母
亚爷	a:˧ jɛ:˨˩	爷爷，祖父
亚裔	a:˧ jɵy˨	
亚甲亚乙	a:˧ ka:p˧ a:˧ jy:t˨	张三李四
亚姑	a:˧ ku:˥	姑姑，姑母
亚军	a:˧ kwɐn˥	
阿訇	a:˧ kwɐŋ˥	
亚锦赛	a:˧ kɐm˧˥ tsʰɔ:i˧	
亚狗亚猫	a:˧ kɐu˧˥ a:˧ ma:u˥	张三李四
亚公	a:˧ kʊŋ˥	外祖父，老大爷
亚妈	a:˧ ma:˥	妈妈，母亲
亚嬷	a:˧ ma:˨˩	奶奶，祖母
亚妹	a:˧ mu:i˧˥	妹妹
亚茂	a:˧ mɐu˨	傻子，傻瓜
亚茂整饼	a:˧ mɐu˨ tsɪŋ˧˥ pɛ:ŋ˧˥	没事找事
亚茂整饼，冇嗰样整嗰样	a:˧ mɐu˨ tsɪŋ˧˥ pɛ:ŋ˧˥ mou˩˧ kɔ:˧˥ jœ:ŋ˧˥ tsɪŋ˧˥ kɔ:˧˥ jœ:ŋ˧˥	没事找事；乱搞一气
亚奶	a:˧ na:i˥	奶奶，祖母
亚女	a:˧ nɵy˧˥	女儿
亚伯	a:˧ pa:k˧	伯伯，伯父
亚爸	a:˧ pa:˥	爸爸
亚保亚胜	a:˧ pou˧˥ a:˧ sɪŋ˧	张三李四
亚婆	a:˧ pʰɔ:˨˩	姥姥，外祖母
亚生	a:˧ sa:ŋ˥	先生
亚嫂	a:˧ sou˧˥	嫂子，嫂嫂，大嫂
亚细	a:˧ sɐi˧˥	小老婆
亚婶	a:˧ sɐm˧˥	婶母，婶子
亚傻	a:˧ sɔ:˨˩	傻瓜，傻子
亚sir	a:˧ sɛ:u˨˩	男老师，男上司，长官，警官
亚谁	a:˧ sɵy˨˩	谁，什么人
亚叔	a:˧ sʊk˥	叔叔，叔父
亚吱亚咗	a:˧ tsi:˥ a:˧ tsɔ:˧˥	推三阻四，不满，妨碍
亚猪亚狗	a:˧ tsy:˥ a:˧ kɐu˧˥	张三李四
亚仔	a:˧ tsɐi˧˥	儿子
亚灿	a:˧ tsʰa:n˧	从内地来香港的新移民
阿斗	a:˧ tɐu˧˥	
亚斗官	a:˧ tɐu˧˥ ku:n˥	阔少爷，败家子
亚头	a:˧ tʰɐu˧˥	领导，首领，头头儿
阿头	a:˧ tʰɐu˧˥	领导，头目，领导者
亚驼	a:˧ tʰɔ:˧˥	驼背的人
亚奀	a:˧ ŋɐn˥	瘦子，瘦弱的小孩
哑巴	a:˧˥ pa:˥	
呀	a:˨˩	啊
衙	a:˨˩	吗
AA制	ei˥ ei˥ tsɐi˧	各付各的
快快脆脆	fa:i˧ fa:i˧ tsʰɵy˧ tsʰɵy˧	快快，赶忙
快感	fa:i˧ kɐm˧˥	
快劳	fa:i˧ lou˧˥	文档，文件，档案
快乐	fa:i˧ lɔ:k˨	
傀儡	fa:i˧ lɵy˩˧	
傀儡戏	fa:i˧ lɵy˩˧ hei˧	
傀儡政府	fa:i˧ lɵy˩˧ tsɪŋ˧ fu:˧˥	
傀儡政权	fa:i˧ lɵy˩˧ tsɪŋ˧ kʰy:n˨˩	
块面红红哋	fa:i˧ mi:n˨ hʊŋ˨˩ hʊŋ˨˩ tei˧˥	脸红红的
快手	fa:i˧ sɐu˧˥	迅速
快手啲	fa:i˧ sɐu˧˥ ti:˥	动作快点
快啲	fa:i˧ ti:t˥	快一点
快啲行喇	fa:i˧ ti:˥ ha:ŋ˨˩ la:˧	快点走吧
快啲啦！	fa:i˧ ti:˥ la:˥	快点吧！
快捷	fa:i˧ tsi:t˨	
筷子	fa:i˧ tsi:˧˥	
快脆	fa:i˧ tsʰɵy˧	快，快当，利索
快速	fa:i˧ tsʰʊk˥	
快递	fa:i˧ tɐi˨	
快艇	fa:i˧ tʰɛ:ŋ˩˧	
翻	fa:n˥	回，返
番鸭	fa:n˥ a:p˧	旱鸭
翻风	fa:n˥ fʊŋ˥	刮风，起风
反客为主	fa:n˥ ha:k˧ wɐi˨˩ tsy:˧˥	
翻乡下	fa:n˥ hœ:ŋ˥ ha:˨	回乡下
翻学	fa:n˥ hɔ:k˨	上学
翻去	fa:n˥ hɵy˧	回去
番人	fa:n˥ jɐn˨˩	
翻译	fa:n˥ jɪk˨	
翻译家	fa:n˥ jɪk˨ ka:˥	
翻译者	fa:n˥ jɪk˨ tsɛ:˧˥	
番枧	fa:n˥ ka:n˧˥	肥皂
番枧泡	fa:n˥ ka:n˧˥ pʰou˩˧	肥皂泡
番瓜	fa:n˥ kwa:˥	南瓜
番鬼	fa:n˥ kwɐi˧˥	西洋的，西洋人
番鬼	fa:n˥ kwɐi˧˥	蛮不讲理，凶狠恶毒，刁蛮
番鬼佬	fa:n˥ kwɐi˧˥ lou˧˥	西洋人，洋鬼子，外国人，老外
番鬼佬凉茶	fa:n˥ kwɐi˧˥ lou˧˥ lœ:ŋ˨˩ tsʰa:˨˩	啤酒
番鬼妹	fa:n˥ kwɐi˧˥ mu:i˥	外国少女，外国姑娘，外国女孩
番鬼婆	fa:n˥ kwɐi˧˥ pʰɔ:˧˥	外国妇女，老外
番鬼仔	fa:n˥ kwɐi˧˥ tsɐi˧˥	西洋小孩，外国男孩，外国小孩
番国	fa:n˥ kwɔ:k˧	
翻工	fa:n˥ kʊŋ˥	上班
翻供	fa:n˥ kʊŋ˥	
翻公司	fa:n˥ kʊŋ˥ si:˥	回公司
翻企	fa:n˥ kʰei˧˥	回家
番茄酱	fa:n˥ kʰɛ:˨˩ tsœ:ŋ˧	
翻嚟	fa:n˥ lei˨˩	回来
翻面	fa:n˥ mi:n˨	翻脸
翻唔切	fa:n˥ m̩˨˩ tsʰi:t˧	赶不回来，赶不回去
翻版	fa:n˥ pa:n˧˥	盗版
番邦	fa:n˥ pɔ:ŋ˥	
翻晒面	fa:n˥ sa:i˧ mi:n˨	翻脸
翻生	fa:n˥ sa:ŋ˥	复活
番薯	fa:n˥ sy:˧˥	地瓜，白薯，红薯，甘薯，蕃薯
番薯糖	fa:n˥ sy:˨˩ tʰɔ:ŋ˧˥	糖水白薯
番石榴	fa:n˥ sɛ:k˨ lɐu˨˩	石榴
番石榴	fa:n˥ sɛ:k˨ lɐu˨˩	
番地	fa:n˥ tei˨	
翻转头	fa:n˥ tsy:n˧˥ tʰɐu˨˩	回头，掉头，往回
番族	fa:n˥ tsʊk˨	
翻抄	fa:n˥ tsʰa:u˥	再制，再生
翻草	fa:n˥ tsʰou˧˥	反刍
翻头嫁	fa:n˥ tʰɐu˨˩ ka:˧	再嫁
番话	fa:n˥ wa:˧˥	外语
番话	fa:n˥ wa:˧˥	
翻屋企	fa:n˥ ŋʊk˥ kʰei˧˥	回家
贩夫走卒	fa:n˧ fu:˥ tsɐu˧˥ tsɵt˥	
贩卖	fa:n˧ ma:i˨	
贩卖人口	fa:n˧ ma:i˨ jɐn˨˩ hɐu˧˥	
贩卖机	fa:n˧ ma:i˨ kei˥	
贩卖部	fa:n˧ pou˨	
贩售	fa:n˧ sɐu˨	
贩毒	fa:n˧ tʊk˨	
贩运	fa:n˧ wɐn˨	
反	fa:n˧˥	开玩笑，闹，玩儿
犯	fa:n˧˥	犯人
反复	fa:n˧˥ fʊk˥	
反向	fa:n˧˥ hœ:ŋ˧	
反核	fa:n˧˥ hɐt˨	
反而	fa:n˧˥ ji:˨˩	
反应	fa:n˧˥ jɪŋ˧	
反应过渡	fa:n˧˥ jɪŋ˧ kwɔ:˧ tou˨	
反映	fa:n˧˥ jɪŋ˧˥	
反馈	fa:n˧˥ kwɐi˨	
反骨	fa:n˧˥ kwɐt˥	反叛，背叛，无情义，吃里扒外
反骨无情	fa:n˧˥ kwɐt˥ mou˨˩ tsʰɪŋ˨˩	忘恩负义
反骨仔	fa:n˧˥ kwɐt˥ tsɐi˧˥	叛徒，白眼狼，忘恩负义的人，吃里扒外的货
反光	fa:n˧˥ kwɔ:ŋ˥	
反光镜	fa:n˧˥ kwɔ:ŋ˥ kɛ:ŋ˧	
反感	fa:n˧˥ kɐm˧˥	
反击	fa:n˧˥ kɪk˥	
反攻	fa:n˧˥ kʊŋ˥	
反攻为守	fa:n˧˥ kʊŋ˥ wɐi˨˩ sɐu˧˥	
反其道而行之	fa:n˧˥ kʰei˨˩ tou˨ ji:˨˩ hɐŋ˨˩ tsi:˥	
反抗	fa:n˧˥ kʰɔ:ŋ˧	
反抗军	fa:n˧˥ kʰɔ:ŋ˧ kwɐn˥	
反面	fa:n˧˥ mi:n˧˥	翻脸
反面唔认人	fa:n˧˥ mi:n˧˥ m̩˨˩ jɪŋ˨ jɐn˨˩	翻脸不认人
反问	fa:n˧˥ mɐn˨	
反败为胜	fa:n˧˥ pa:i˨ wɐi˨˩ sɪŋ˧	
反比	fa:n˧˥ pei˧˥	
反哺	fa:n˧˥ pou˨	
反叛	fa:n˧˥ pu:n˨	
反驳	fa:n˧˥ pɔ:k˧	
反扑	fa:n˧˥ pʰɔ:k˧	
返璞归真	fa:n˧˥ pʰɔ:k˧ kwɐi˥ tsɐn˥	
反时钟方向	fa:n˧˥ si:˨˩ tsʊŋ˥ fɔ:ŋ˥ hœ:ŋ˧	
反常	fa:n˧˥ sœ:ŋ˨˩	
反修	fa:n˧˥ sɐu˥	
反守为攻	fa:n˧˥ sɐu˧˥ wɐi˨˩ kʊŋ˥	
反射	fa:n˧˥ sɛ:˨	
反射光	fa:n˧˥ sɛ:˨ kwɔ:ŋ˥	
反弹	fa:n˧˥ ta:n˨	
反弹力	fa:n˧˥ ta:n˨ lɪk˨	
反倒	fa:n˧˥ tou˧	
反战	fa:n˧˥ tsi:n˧	
反战分子	fa:n˧˥ tsi:n˧ fɐn˨ tsi:˧˥	
反之	fa:n˧˥ tsi:˥	
反之亦然	fa:n˧˥ tsi:˥ jɪk˨ ji:n˨˩	
反制	fa:n˧˥ tsɐi˧	
反正	fa:n˧˥ tsɪŋ˧	
反差	fa:n˧˥ tsʰa:˥	
反切	fa:n˧˥ tsʰi:t˧	
反串	fa:n˧˥ tsʰy:n˧	
反刍动物	fa:n˧˥ tsʰɔ:˥ tʊŋ˨ mɐt˨	
反斗	fa:n˧˥ tɐu˧˥	顽皮，淘气
反对	fa:n˧˥ tɵy˧	
反对者	fa:n˧˥ tɵy˧ tsɛ:˧˥	
反对党	fa:n˧˥ tɵy˧ tɔ:ŋ˧˥	
反动	fa:n˧˥ tʊŋ˨	
反动分子	fa:n˧˥ tʊŋ˨ fɐn˨ tsi:˧˥	
反动派	fa:n˧˥ tʊŋ˨ pʰa:i˧	
反坦克	fa:n˧˥ tʰa:n˧˥ hɐk˥	
反胃	fa:n˧˥ wɐi˨	
反咬	fa:n˧˥ ŋa:u˩˧	
反咬一口	fa:n˧˥ ŋa:u˩˧ jɐt˥ hɐu˧˥	
饭盒	fa:n˨ hɐp˨	盒饭，便当
饭壳	fa:n˨ hɔ:k˧	盛饭的勺子
犯人	fa:n˨ jɐn˨˩	
饭馆	fa:n˨ ku:n˧˥	
饭脚	fa:n˨ kœ:k˧	剩饭底子，碗底子
饭盖	fa:n˨ kɔ:i˧	锅盖，饭锅的盖
饭局	fa:n˨ kʊk˨	
饭量	fa:n˨ lœ:ŋ˨	
范例	fa:n˨ lɐi˨	
范例	fa:n˨ lɐi˨	
范文	fa:n˨ mɐn˨˩	
饭粒	fa:n˨ nɐp˥	
饭煲	fa:n˨ pou˥	饭锅，煮饭的锅
范本	fa:n˨ pu:n˧˥	
饭钵	fa:n˨ pu:t˧	
饭票	fa:n˨ pʰi:u˧	
范式	fa:n˨ sɪk˥	
饭餸	fa:n˨ sʊŋ˧	饭菜
饭店	fa:n˨ ti:m˧	
饭焦	fa:n˨ tsi:u˥	锅巴
犯罪	fa:n˨ tsɵy˨	
犯众憎	fa:n˨ tsʊŋ˧ tsɐŋ˥	犯众怒，引起公愤，人人憎恨，令众人憎恶，讨人厌
饭铲	fa:n˨ tsʰa:n˧˥	锅铲
饭铲头	fa:n˨ tsʰa:n˧˥ tʰɐu˨˩	眼睛蛇
饭匙	fa:n˨ tsʰi:˨˩	
范畴	fa:n˨ tsʰɐu˨˩	
范畴	fa:n˨ tsʰɐu˨˩	
饭菜	fa:n˨ tsʰɔ:i˧	
犯错	fa:n˨ tsʰɔ:˧	
饭袋	fa:n˨ tɔ:i˨	
饭团	fa:n˨ tʰy:n˨˩	
饭枱	fa:n˨ tʰɔ:i˧˥	餐桌
饭汤	fa:n˨ tʰɔ:ŋ˥	米汤
饭堂	fa:n˨ tʰɔ:ŋ˨˩	食堂
饭厅	fa:n˨ tʰɛ:ŋ˥	食堂
饭桶	fa:n˨ tʰʊŋ˧˥	
饭碗	fa:n˨ wu:n˧˥	
范围	fa:n˨ wɐi˨˩	
饭锅	fa:n˨ wɔ:˥	
繁花似锦	fa:n˨˩ fa:˥ tsʰi:˩˧ kɐm˧˥	
凡夫俗子	fa:n˨˩ fu:˥ tsʊk˨ tsi:˧˥	
凡夫俗子	fa:n˨˩ fu:˥ tsʊk˨ tsi:˧˥	
繁分数	fa:n˨˩ fɐn˥ sou˧	
凡系	fa:n˨˩ hɐi˨	凡是
繁衍	fa:n˨˩ ji:n˧˥	
凡人	fa:n˨˩ jɐn˨˩	
繁育	fa:n˨˩ jʊk˨	
藩篱	fa:n˨˩ lei˨˩	
樊篱	fa:n˨˩ lei˨˩	
繁乱	fa:n˨˩ ly:n˨	
凡例	fa:n˨˩ lɐi˨	
繁文	fa:n˨˩ mɐn˨˩	
繁文缛节	fa:n˨˩ mɐn˨˩ jʊk˨ tsi:t˧	
繁密	fa:n˨˩ mɐt˨	
繁茂	fa:n˨˩ mɐu˨	
繁忙	fa:n˨˩ mɔ:ŋ˨˩	
繁难	fa:n˨˩ na:n˨˩	
烦恼	fa:n˨˩ nou˩˧	
繁琐	fa:n˨˩ sɔ:˧˥	
繁星	fa:n˨˩ sɪŋ˥	
繁星点点	fa:n˨˩ sɪŋ˥ ti:m˧˥ ti:m˧˥	
繁盛	fa:n˨˩ sɪŋ˨	
繁碎	fa:n˨˩ sɵy˧	
藩属	fa:n˨˩ sʊk˨	
烦到死	fa:n˨˩ tou˧ sei˧˥	烦死了，真叫人心烦
繁杂	fa:n˨˩ tsa:p˨	
繁殖	fa:n˨˩ tsɪk˨	
繁殖力	fa:n˨˩ tsɪk˨ lɪk˨	
繁多	fa:n˨˩ tɔ:˥	
繁体字	fa:n˨˩ tʰɐi˧˥ tsi:˨	
繁华	fa:n˨˩ wa:˨˩	
繁荣	fa:n˨˩ wɪŋ˨˩	
繁荣昌盛	fa:n˨˩ wɪŋ˨˩ tsʰœ:ŋ˥ sɪŋ˨	
发花癫	fa:t˧ fa:˥ ti:n˥	发疯
发疯	fa:t˧ fʊŋ˥	
发风	fa:t˧ fʊŋ˥	痲疯病，发麻风病
发姣	fa:t˧ ha:u˨˩	卖俏，发情，发浪
发吓姣气	fa:t˧ ha:˩˧ ha:u˨˩ hei˧	抖抖威风
发起	fa:t˧ hei˧˥	
发开口梦	fa:t˧ hɔ:i˥ hɐu˧˥ mʊŋ˨	说梦话
发焮	fa:t˧ hɪŋ˧	发怒
发焮	fa:t˧ hɪŋ˧	发烧
发炎	fa:t˧ ji:m˨˩	
发现	fa:t˧ ji:n˨	
发言人	fa:t˧ ji:n˨˩ jɐn˨˩	
发热	fa:t˧ ji:t˨	
发羊吊	fa:t˧ jœ:ŋ˨˩ ti:u˧	癫痫，发羊痫风
发音	fa:t˧ jɐm˥	
发油	fa:t˧ jɐu˨˩	
发型	fa:t˧ jɪŋ˨˩	
法裔	fa:t˧ jɵy˨	
发夹	fa:t˧ ka:p˧	
发夹	fa:t˧ ka:p˧˥	头发夹子
发酵	fa:t˧ ka:u˧	
发高烧	fa:t˧ kou˥ si:u˥	
法官	fa:t˧ ku:n˥	
法国鬼	fa:t˧ kwɔ:k˧ kwɐi˧˥	法国人
发脚	fa:t˧ kœ:k˧	发边，发际
发鸡盲	fa:t˧ kɐi˥ ma:ŋ˨˩	患夜盲症
发髻	fa:t˧ kɐi˧	
发根	fa:t˧ kɐn˥	
发困	fa:t˧ kʰwɐn˧	
发烂渣	fa:t˧ la:n˨ tsa:˥	耍无赖
发烂渣	fa:t˧ la:n˨ tsa:˧˥	撒野，发脾气，无理取闹
发蜡	fa:t˧ la:p˨	
发冷	fa:t˧ la:ŋ˩˧	打摆子，发疟子
发牢骚	fa:t˧ lou˨˩ sou˥	
发啷厉	fa:t˧ lɔ:ŋ˥ lɐi˧˥	大发雷霆
珐琅	fa:t˧ lɔ:ŋ˨˩	
发廊	fa:t˧ lɔ:ŋ˨˩	
珐琅质	fa:t˧ lɔ:ŋ˨˩ tsɐt˥	
法律	fa:t˧ lɵt˨	
发尾	fa:t˧ mei˩˧	发梢，发尖
发毛	fa:t˧ mou˥	长霉，发霉
发网	fa:t˧ mɔ:ŋ˩˧	
发明	fa:t˧ mɪŋ˨˩	
发木独	fa:t˧ mʊk˨ tʊk˨	发愣，发呆
发梦	fa:t˧ mʊŋ˨	做梦
发梦都未见过	fa:t˧ mʊŋ˨ tou˥ mei˨ ki:n˧ kwɔ:˧	做梦也没有见过
发怒	fa:t˧ nou˨	
发嬲	fa:t˧ nɐu˥	生气
法包	fa:t˧ pa:u˥	法国面包，法式长棍面包
发表	fa:t˧ pi:u˧˥	
发表伟论	fa:t˧ pi:u˧˥ wɐi˩˧ lɵn˨	
发票	fa:t˧ pʰi:u˧	
发泡胶	fa:t˧ pʰou˩˧ ka:u˥	泡沫塑料，发泡塑料
发泡胶盒	fa:t˧ pʰou˩˧ ka:u˥ hɐp˧˥	发泡塑料盒儿
发痧	fa:t˧ sa:˥	
发泄	fa:t˧ si:t˧	
发烧	fa:t˧ si:u˥	
发烧友	fa:t˧ si:u˥ jɐu˧˥	狂热者，迷恋者
发丝	fa:t˧ si:˥	
发市	fa:t˧ si:˩˧	开市；买卖兴隆
发誓	fa:t˧ sɐi˨	
发神经	fa:t˧ sɐn˨˩ kɪŋ˥	神经病，疯了，发疯
发生	fa:t˧ sɐŋ˥	
发射	fa:t˧ sɛ:˨	
发送	fa:t˧ sʊŋ˧	
发带	fa:t˧ ta:i˧	
发达	fa:t˧ ta:t˨	发财，暴发
发达	fa:t˧ ta:t˨	
发癫	fa:t˧ ti:n˥	发疯
发电	fa:t˧ ti:n˨	
发电机	fa:t˧ ti:n˨ kei˥	
发电场	fa:t˧ ti:n˨ tsʰœ:ŋ˨˩	
发展	fa:t˧ tsi:n˧˥	
发展中	fa:t˧ tsi:n˧˥ tsʊŋ˥	
发针	fa:t˧ tsɐm˥	
发酒癫	fa:t˧ tsɐu˧˥ ti:n˥	发酒疯
发咗一个梦	fa:t˧ tsɔ:˧˥ jɐt˥ kɔ:˧ mʊŋ˨	做了一个梦
发怔	fa:t˧ tsɪŋ˥	
发怵	fa:t˧ tsɵt˥	
发矢	fa:t˧ tsʰi:˧˥	
发祥地	fa:t˧ tsʰœ:ŋ˨˩ tei˨	
发菜	fa:t˧ tsʰɔ:i˧	
发动	fa:t˧ tʊŋ˨	
法庭	fa:t˧ tʰɪŋ˨˩	
发瘟	fa:t˧ wɐn˥	发疯，疯了
发瘟鸡	fa:t˧ wɐn˥ kɐi˥	傻子，疯子，神经病
发晕	fa:t˧ wɐn˨˩	
发芽	fa:t˧ ŋa:˨˩	
发喑话	fa:t˧ ŋɐm˨ wa:˨	说梦话，说昏话
发噏风	fa:t˧ ŋɐp˥ fʊŋ˥	胡说八道，胡言乱语
发吽哣	fa:t˧ ŋɐu˨ tɐu˨	发愣，发呆
花瓣	fa:˥ fa:n˨	
花花世界	fa:˥ fa:˥ sɐi˧ ka:i˧	
花弗	fa:˥ fi:t˥	夸耀，花俏
花款	fa:˥ fu:n˧˥	花样，款式，式样，花色
花费不赀	fa:˥ fɐi˧ pɐt˥ tsi:˥	
花圈	fa:˥ hy:n˥	
花腔	fa:˥ hɔ:ŋ˥	
花红	fa:˥ hʊŋ˨˩	红利，利润，利息，奖金
花园	fa:˥ jy:n˧˥	
花蕊	fa:˥ jɵy˩˧	
花街	fa:˥ ka:i˥	花市
花哩花碌	fa:˥ li:˥ fa:˥ lʊk˥	花里胡哨，花斑斑
花哩碌	fa:˥ li:˥ lʊk˥	花里胡哨，色彩斑驳，花花绿绿，五颜六色
花哩胡碌	fa:˥ li:˥ wu:˨˩ lʊk˥	花里胡哨
花冧	fa:˥ lɐm˥	花蕾
花蕾	fa:˥ lɵy˩˧	
花名	fa:˥ mɛ:ŋ˧˥	外号，绰号
花苞	fa:˥ pa:u˥	
花圃	fa:˥ pou˧˥	
花瓶	fa:˥ pʰɪŋ˨˩	
花哨	fa:˥ sa:u˧	
花洒	fa:˥ sa:˧˥	喷头，莲蓬头
花士令	fa:˥ si:˨ lɪŋ˧˥	凡士林
花臣	fa:˥ sɐn˧˥	式样，花样，时髦
花生肉	fa:˥ sɐŋ˥ jʊk˨	花生米
花城	fa:˥ sɪŋ˨˩	广州别称
花絮	fa:˥ sɵy˩˧	
花招	fa:˥ tsi:u˥	
花樽	fa:˥ tsɵn˥	花瓶
花朵	fa:˥ tɔ:˧˥	
花卉	fa:˥ wɐi˧˥	
花王	fa:˥ wɔ:ŋ˨˩	园丁，花匠
化繁为简	fa:˧ fa:n˨˩ wɐi˨˩ ka:n˧˥	
化肥	fa:˧ fei˨˩	
化肥厂	fa:˧ fei˨˩ tsʰɔ:ŋ˧˥	
化腐朽为神奇	fa:˧ fu:˨ nɐu˧˥ wɐi˨˩ sɐn˨˩ kʰei˨˩	
化险为夷	fa:˧ hi:m˧˥ wɐi˨˩ ji:˨˩	
化合物	fa:˧ hɐp˨ mɐt˨	
化学	fa:˧ hɔ:k˨	
化学反应	fa:˧ hɔ:k˨ fa:n˧˥ jɪŋ˧	
化学肥料	fa:˧ hɔ:k˨ fei˨˩ li:u˨	
化学元素	fa:˧ hɔ:k˨ jy:n˨˩ sou˧	
化学家	fa:˧ hɔ:k˨ ka:˥	
化学工厂	fa:˧ hɔ:k˨ kʊŋ˥ tsʰɔ:ŋ˧˥	
化学武器	fa:˧ hɔ:k˨ mou˩˧ hei˧	
化学变化	fa:˧ hɔ:k˨ pi:n˧ fa:˧	
化学品	fa:˧ hɔ:k˨ pɐn˧˥	
化学平衡	fa:˧ hɔ:k˨ pʰɪŋ˨˩ hɐŋ˨˩	
化学作用	fa:˧ hɔ:k˨ tsɔ:k˧ jʊŋ˨	
化学纤维	fa:˧ hɔ:k˨ tsʰi:m˥ wɐi˨˩	
化验	fa:˧ ji:m˨	
化验品	fa:˧ ji:m˨ pɐn˧˥	
化验室	fa:˧ ji:m˨ sɐt˥	
化解	fa:˧ ka:i˧˥	
化干戈为玉帛	fa:˧ kɔ:n˥ kwɔ:˥ wɐi˨˩ jʊk˨ pa:k˨	
化工	fa:˧ kʊŋ˥	
化工厂	fa:˧ kʊŋ˥ tsʰɔ:ŋ˧˥	
化武	fa:˧ mou˩˧	
化名	fa:˧ mɪŋ˨˩	
化浓妆	fa:˧ nʊŋ˨˩ tsɔ:ŋ˥	
化算	fa:˧ sy:n˧	划算，合算
化身	fa:˧ sɐn˥	
化石	fa:˧ sɛ:k˨	
化装	fa:˧ tsɔ:ŋ˥	
化妆	fa:˧ tsɔ:ŋ˥	
化装舞会	fa:˧ tsɔ:ŋ˥ mou˩˧ wu:i˨	
化妆品	fa:˧ tsɔ:ŋ˥ pɐn˧˥	
化妆箱	fa:˧ tsɔ:ŋ˥ sœ:ŋ˥	
化妆室	fa:˧ tsɔ:ŋ˥ sɐt˥	
化妆台	fa:˧ tsɔ:ŋ˥ tʰɔ:i˨˩	
化纤	fa:˧ tsʰi:m˥	
化纤厂	fa:˧ tsʰi:m˥ tsʰɔ:ŋ˧˥	
化鸱为凤	fa:˧ tsʰi:˥ wɐi˨˩ fʊŋ˨	
化敌为友	fa:˧ tɪk˨ wɐi˨˩ jɐu˩˧	
化为	fa:˧ wɐi˨˩	
化为泡影	fa:˧ wɐi˨˩ pʰou˩˧ jɪŋ˧˥	
化为乌有	fa:˧ wɐi˨˩ wu:˥ jɐu˩˧	
化外	fa:˧ ŋɔ:i˨	
