開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］
壓力計	aat3 lik6 gai3	
壓力鍋	aat3 lik6 woh1	
壓路	aat3 lo6	
壓路機	aat3 lo6 gei1	
壓馬路	aat3 ma5 lo6	
揠苗助長	aat3 miu4 joh6 jeung2	
壓平	aat3 ping4	
壓破	aat3 poh3	
壓歲	aat3 sui3	
壓碎	aat3 sui3	
壓歲錢	aat3 sui3 chin4	
壓縮	aat3 suk1	
壓縮機	aat3 suk1 gei1	
壓縮空氣	aat3 suk1 hung1 hei3	
壓縮力	aat3 suk1 lik6	
壓抑	aat3 yik1	
壓延	aat3 yin4	
壓延機	aat3 yin4 gei1	
猰貐	aat3 yue5	
哎呀	ai1 a1	
IP	ai1 pi1	督察
唉聲歎氣	ai1 sing1 taan3 hei3	
哎吔	ai1 ya3	哎呀，哎喲
哎喲	ai1 yoh1	
齷齪	ak1 chuk1	
握手	ak1 sau2	
扼腕	ak1 woon2	
鵪鶉	am1 sun4	
鵪鶉蛋	am1 sun4 daan6	
黯然銷魂	am2 yin4 siu1 wan4	
暗瘡	am3 chong1	粉刺，青春痘
暗礁	am3 jiu1	
暗戀	am3 luen2	
暗示	am3 si6	
暗喻	am3 yue6	
罌粟花	ang1 suk1 fa1	
out	au1	過時，落伍
歐裔	au1 yui6	
嘔	au2	吐，嘔吐
毆打	au2 da2	
嘔氣	au2 hei3	
嘔血	au2 huet3	吐血
嘔心瀝血	au2 sam1 lik1 huet3	
嘔心瀝血之作	au2 sam1 lik1 huet3 ji1 jok3	
嘔吐	au2 to3	
嘔吐物	au2 to3 mat6	
凹凹凸凸	au3 au3 dat6 dat6	
凹槽	au3 cho4	
凹處	au3 chue3	
凹凸不平	au3 dat6 bat1 ping4	
凹凸鏡	au3 dat6 geng3	
凹地	au3 dei6	
凹洞	au3 dung6	
凹鏡	au3 geng3	
凹陷	au3 haam6	
慪氣	au3 hei3	
凹透鏡	au3 tau3 geng3	
凹形	au3 ying4	
巴閉	ba1 bai3	了不起
疤痕	ba1 han4	
疤痕組織	ba1 han4 jo2 jik1	
巴揸	ba1 ja1	多嘴，愛管閒事
芭蕉	ba1 jiu1	
巴黎帽	ba1 lai4 mo2	貝雷帽
芭蕾舞	ba1 lui4 mo5	
芭蕾	ba1 lui5	
吧女	ba1 nui5	酒吧女服務員
巴士	ba1 si2	公車，巴士，公共汽車
巴士站	ba1 si2 jaam6	公車站，公共汽車站
巴士佬	ba1 si2 lo2	公車司機
把握	ba2 ak1	
把柄	ba2 beng3	
把持	ba2 chi4	
把風	ba2 fung1	
把幾火	ba2 gei2 foh2	很生氣
把關	ba2 gwaan1	
把鬼	ba2 gwai2	有什麼用，頂什麼用，白費勁，毫無用處
把戲	ba2 hei3	
把兄弟	ba2 hing1 dai6	
把盞	ba2 jaan2	
把酒	ba2 jau2	
罷啦	ba2 la1	吧
把脈	ba2 mak6	診脈，號脈
把炮	ba2 paau3	把握
把屁	ba2 pei3	有屁用，頂個屁用
把屁咩！	ba2 pei3 me1	有個屁用！
把勢	ba2 sai3	
把守	ba2 sau2	
把手	ba2 sau2	
把式	ba2 sik1	
把舦	ba2 taai5	掌舵
把玩	ba2 woon6	
霸	ba3	佔
霸道	ba3 do6	
霸靚位	ba3 leng3 wai1	佔好位子
霸掗	ba3 nga6	霸道
霸位	ba3 wai2	佔位置，佔位子，佔位
霸王	ba3 wong4	應付錢而不付錢
罷黜	ba6 chut1	
罷工	ba6 gung1	
罷就	ba6 jau6	算了，拉倒，罷了，作罷
罷了	ba6 liu5	
罷手	ba6 sau2	
罷休	ba6 yau1	
拜拜	baai1 baai3	再見，拜拜
擺	baai2	擺放
擺設	baai2 chit3	
擺檔	baai2 dong2	擺攤子
擺檔口	baai2 dong2 hau2	擺攤子
擺放	baai2 fong3	
擺供	baai2 gung3	
擺酒	baai2 jau2	擺酒席，辦酒席
擺甫士	baai2 po1 si2	擺姿勢
擺脫	baai2 tuet3	
擺烏龍	baai2 woo1 lung2	弄錯，搞誤會
拜把	baai3 ba2	
拜把兄弟	baai3 ba2 hing1 dai6	
拜倒	baai3 do2	
拜倒石榴裙之下	baai3 do2 sek6 lau4 kwan4 ji1 ha6	
拜讀	baai3 duk6	
拜佛	baai3 fat1	
拜火教	baai3 foh2 gaau3	
拜訪	baai3 fong2	
拜金	baai3 gam1	
拜金主義	baai3 gam1 jue2 yi6	
拜見	baai3 gin3	
拜祭	baai3 jai3	
拜袓先	baai3 jo2 sin1	
拜老師	baai3 lo5 si1	
拜廟	baai3 miu6	
拜偶像	baai3 ngau5 jeung6	
拜年	baai3 nin4	
拜票	baai3 piu3	
拜山	baai3 saan1	上墳，掃墓
拜神	baai3 san4	
拜師	baai3 si1	
拜師學藝	baai3 si1 hok6 ngai6	
拜天地	baai3 tin1 dei6	
拜托	baai3 tok3	
拜揖	baai3 yap1	
敗北	baai6 bak1	
敗家	baai6 ga1	
敗家仔	baai6 ga1 jai2	敗家子
敗家精	baai6 ga1 jing1	敗家子
敗軍	baai6 gwan1	
敗興	baai6 hing3	
敗興而歸	baai6 hing3 yi4 gwai1	
敗血病	baai6 huet3 bing6	
敗血症	baai6 huet3 jing3	
敗陣	baai6 jan6	
敗者為寇	baai6 je2 wai4 kau3	
敗仗	baai6 jeung3	
敗將	baai6 jeung3	
敗落	baai6 lok6	
敗類	baai6 lui6	
敗事有餘	baai6 si6 yau5 yue4	
敗訴	baai6 so3	
敗絮	baai6 sui5	
敗絮其中	baai6 sui5 kei4 jung1	
敗退	baai6 tui3	
敗壞	baai6 waai6	
敗胃	baai6 wai6	
迫不得已	baak1 bat1 dak1 yi5	
迫切	baak1 chit3	
迫近	baak1 gan6	
迫擊炮	baak1 gik1 paau3	
迫害	baak1 hoi6	
迫在眉睫	baak1 joi6 mei4 jit6	
迫使	baak1 si2	
迫於形勢	baak1 yue1 ying4 sai3	
伯伯	baak3 baak3	
百病	baak3 bing6	
百病叢生	baak3 bing6 chung4 sang1	
百步穿楊	baak3 bo6 chuen1 yeung4	
百般	baak3 boon1	
百讀不厭	baak3 duk6 bat1 yim3	
百花齊放	baak3 fa1 chai4 fong3	
百花爭艷	baak3 fa1 jang1 yim6	
百花怒放	baak3 fa1 no6 fong3	
百發百中	baak3 faat3 baak3 jung3	
百分點	baak3 fan1 dim2	
百科	baak3 foh1	
百科全書	baak3 foh1 chuen4 sue1	
百科全書	baak3 foh1 chuen4 sue1	百科全書
百貨	baak3 foh3	
百貨店	baak3 foh3 dim3	
百貨公司	baak3 foh3 gung1 si1	
百貨商場	baak3 foh3 seung1 cheung4	
百貨商店	baak3 foh3 seung1 dim3	
百貨業	baak3 foh3 yip6	
伯父	baak3 foo6	
百感交集	baak3 gam2 gaau1 jaap6	
白鴿	baak3 gap2	
百香果	baak3 heung1 gwoh2	
百香果汁	baak3 heung1 gwoh2 jap1	
百看不厭	baak3 hon3 bat1 yim3	
百褶裙	baak3 jip3 kwan4	
百折不撓	baak3 jit3 bat1 naau4	
百足	baak3 juk1	蜈蚣
百里香	baak3 lei5 heung1	
百煉成鋼	baak3 lin6 sing4 gong3	
百靈	baak3 ling4	
百靈鳥	baak3 ling4 niu5	
百萬	baak3 maan6	
百萬富翁	baak3 maan6 foo3 yung1	
百萬雄師	baak3 maan6 hung4 si1	
百米	baak3 mai5	
百米賽跑	baak3 mai5 choi3 paau2	
百聞不如一見	baak3 man4 bat1 yue4 yat1 gin3	
百物	baak3 mat6	
百無禁忌	baak3 mo4 gam3 gei6	
百無聊賴	baak3 mo4 liu4 laai6	
百無一長	baak3 mo4 yat1 cheung4	
百無一失	baak3 mo4 yat1 sat1	
百衲本	baak3 naap6 boon2	
百衲衣	baak3 naap6 yi1	
百身莫贖	baak3 san1 mok6 suk6	
百獸之王	baak3 sau3 ji1 wong4	
百思不得其解	baak3 si1 bat1 dak1 kei4 gaai2	
伯爺	baak3 ye1	父親
伯爺公	baak3 ye1 gung1	老大爺，老頭兒
伯爺婆	baak3 ye1 poh2	老婆婆，老太婆
百厭	baak3 yim3	調皮，淘氣
百厭仔	baak3 yim3 jai2	淘氣鬼
百葉窗	baak3 yip6 cheung1	
白矮星	baak6 ai2 sing1	
白布	baak6 bo3	
白車	baak6 che1	救護車
白灼	baak6 cheuk3	水煮，清煮，涮
白灼蝦	baak6 cheuk3 ha1	清煮蝦
白癡	baak6 chi1	
白醋	baak6 cho3	
白菜	baak6 choi3	
白花	baak6 fa1	
白化	baak6 fa3	
白飯	baak6 faan6	
白髮	baak6 faat3	
白費	baak6 fai3	
白費力氣	baak6 fai3 lik6 hei3	
白費心機	baak6 fai3 sam1 gei1	
白粉	baak6 fan2	海洛因，白麵兒
白粉檔	baak6 fan2 dong3	販賣毒品的場所
白霍	baak6 fok3	輕浮，囂張，浮誇
白霍友	baak6 fok3 yau2	好出風頭的人，愛吹噓自己的人，傲慢的人
白灰	baak6 fooi1	
帛金	baak6 gam1	
白金	baak6 gam1	
白鍵	baak6 gin6	
白果	baak6 gwoh2	
白光	baak6 gwong1	
白開水	baak6 hoi1 sui2	
白鶴	baak6 hok6	
白血病	baak6 huet3 beng6	
白血球	baak6 huet3 kau4	
白熊	baak6 hung4	
白斬雞	baak6 jaam2 gai1	白切雞
白酒	baak6 jau2	
白晝	baak6 jau3	
白紙	baak6 ji2	
白紙黑字	baak6 ji2 hak1 ji6	
白淨	baak6 jing6	白嫩
白做	baak6 jo6	白幹一場
白撞雨	baak6 jong6 yue5	過雲雨
白粥	baak6 juk1	稀飯，稀粥
白旗	baak6 kei4	
白鯨	baak6 king4	
白蘭	baak6 laan4	
白蘭地	baak6 laan4 dei6	
白蘭花	baak6 laan4 fa1	
白蓮教	baak6 lin4 gaau3	
白領	baak6 ling5	
白領階級	baak6 ling5 gaai1 kap1	
白鷺	baak6 lo6	
白馬王子	baak6 ma5 wong4 ji2	
白貓	baak6 maau1	
白米	baak6 mai5	
白面	baak6 min6	
白面書生	baak6 min6 sue1 sang1	
白木耳	baak6 muk6 yi5	
白蒙蒙	baak6 mung1 mung1	雪白雪白的
白眼	baak6 ngaan5	
白蟻	baak6 ngai5	
白銀	baak6 ngan4	
白堊紀	baak6 ok3 gei2	
白皮書	baak6 pei4 sue1	
白沙	baak6 sa1	
白紗	baak6 sa1	
白嘥	baak6 saai1	白費
白首	baak6 sau2	
白手	baak6 sau2	
白手起家	baak6 sau2 hei2 ga1	
白皙	baak6 sik1	
白色	baak6 sik1	
白蝕	baak6 sik6	汗斑
白鼠	baak6 sue2	
白薯	baak6 sue4	
白雪雪	baak6 suet1 suet1	白白的，雪白
白雪	baak6 suet3	
白水	baak6 sui2	
白頭到老	baak6 tau4 do3 lo5	
白頭偕老	baak6 tau4 gaai1 lo5	
白頭翁	baak6 tau4 yung1	
白糖	baak6 tong4	
白話	baak6 wa2	
白話	baak6 wa2	本地話，廣州話，廣府話，廣東話
白話文	baak6 wa2 man4	
白話文學	baak6 wa2 man4 hok6	
白雲	baak6 wan4	
白日夢	baak6 yat6 mung6	
白油	baak6 yau2	醬油
白楊	baak6 yeung4	
白楊樹	baak6 yeung4 sue6	
白衣天使	baak6 yi1 tin1 si3	
白熱	baak6 yit6	
白熱化	baak6 yit6 fa3	
白肉	baak6 yuk6	
白玉	baak6 yuk6	
班	baan1	糾合，糾集，拉隊伍，糾集同伙
班	baan1	群，伙
班兵	baan1 bing1	請援兵，請人幫忙，請求援助，搬兵
班車	baan1 che1	
班次	baan1 chi3	
班底	baan1 dai2	
班代表	baan1 doi6 biu2	
班房	baan1 fong2	教室，課室
斑鳩	baan1 gau1	
瘢痕	baan1 han4	
頒獎	baan1 jeung2	
班長	baan1 jeung2	
頒獎典禮	baan1 jeung2 din2 lai5	
頒獎禮	baan1 jeung2 lai2	
班主任	baan1 jue2 yam6	
班戟	baan1 kik1	薄煎餅，薄烤餅，熱香餅
斑斕	baan1 laan4	
斑馬	baan1 ma5	
班馬	baan1 ma5	搬救兵，召集黨徒，召集羽翼
班門弄斧	baan1 moon4 lung6 foo2	
班師	baan1 si1	
班師回朝	baan1 si1 wooi4 chiu4	
板	baan2	板子
版本	baan2 boon2	
板凳	baan2 dang3	
板塊	baan2 faai3	
板障	baan2 jeung3	板牆，板壁
版權	baan2 kuen4	
版權所有	baan2 kuen4 soh2 yau5	
扮煮飯仔	baan3 jue2 faan6 jai2	過家家，玩過家家，扮家家酒
扮	baan6	裝，裝作
湴	baan6	爛泥，稀泥
扮得意	baan6 dak1 yi3	裝可愛
扮代表	baan6 doi6 biu2	裝模作樣
辦法	baan6 faat3	
辦公室	baan6 gung1 sat1	
扮豬食老虎	baan6 jue1 sik6 lo5 foo2	佯裝愚蠢，裝瘋賣傻來佔便宜
扮靚	baan6 leng3	打扮，打扮得漂漂亮亮
扮晒嘢	baan6 saai3 ye5	裝模作樣
辦事	baan6 si6	
辦事處	baan6 si6 chue3	
扮聽唔到	baan6 teng1 m4 do2	裝作沒聽見
辦妥	baan6 toh2	
扮嘢	baan6 ye5	裝模作樣，裝樣子，裝蒜，出風頭
扮演	baan6 yin2	
扮英雄	baan6 ying1 hung4	充英雄
蹦蹦跳跳	baang6 baang6 tiu3 tiu3	
繃帶	baang6 daai3	
繃緊	baang6 gan2	
八	baat3	八卦的，愛管閒事的
八寶	baat3 bo2	
八寶飯	baat3 bo2 faan6	
八寶粥	baat3 bo2 juk1	
八點	baat3 dim2	
八點鐘	baat3 dim2 jung1	
八九不離十	baat3 gau2 bat1 lei4 sap6	
八個字	baat3 goh3 ji6	四十分鍾
八角	baat3 gok3	
八角形	baat3 gok3 ying4	
八股	baat3 goo2	
八股文	baat3 goo2 man4	
八卦	baat3 gwa3	愛管閒事
八卦妹	baat3 gwa3 mooi1	愛管閒事的女孩
八卦婆	baat3 gwa3 poh2	三八，饒舌婦
八國聯軍	baat3 gwok3 luen4 gwan1	
八爪魚	baat3 jaau2 yue4	章魚
八字	baat3 ji6	
八級	baat3 kap1	
八路軍	baat3 lo6 gwan1	
八面玲瓏	baat3 min6 ling4 lung4	
八妹	baat3 mooi1	愛管閒事的女孩
八年級	baat3 nin4 kap1	
八婆	baat3 poh4	三八，饒舌婦
八十	baat3 sap6	
八仙	baat3 sin1	
八仙過海	baat3 sin1 gwoh3 hoi2	
八成	baat3 sing4	
八月	baat3 yuet6	
八月份	baat3 yuet6 fan6	
包	baau1	保證
褒貶	baau1 bin2	
包袱	baau1 fuk6	
包裹	baau1 gwoh2	
包含	baau1 ham4	
包租	baau1 jo1	租房又分租給他人
包租公	baau1 jo1 gung1	二房東
包租婆	baau1 jo1 poh2	二房東太太，二房東，女二房東
包裝	baau1 jong1	
包粽	baau1 jung2	包粽子
包括	baau1 koot3	
包廂	baau1 seung1	
包二奶	baau1 yi6 naai1	有情婦，養小老婆
鮑魚	baau1 yue4	
包容	baau1 yung4	
飽餐	baau2 chaan1	
飽擦一輪	baau2 chaat3 yat1 lun4	飽吃一頓
飽嗝	baau2 gaak3	
飽經	baau2 ging1	
飽經滄桑	baau2 ging1 chong1 song1	
飽經風霜	baau2 ging1 fung1 seung1	
飽經世故	baau2 ging1 sai3 goo3	
飽含	baau2 ham4	
飽學	baau2 hok6	
飽學之士	baau2 hok6 ji1 si6	
飽滿	baau2 moon5	
飽暖	baau2 nuen5	
飽暖思淫慾	baau2 nuen5 si1 yam4 yuk6	
飽受	baau2 sau6	
飽死	baau2 sei2	臭美
飽死我啦！	baau2 sei2 ngoh5 la3	飽到要爆炸
飽嚐	baau2 seung4	
飽食	baau2 sik6	
飽食終日	baau2 sik6 jung1 yat6	
飽和	baau2 woh4	
飽和點	baau2 woh4 dim2	
飽和度	baau2 woh4 do6	
飽和狀態	baau2 woh4 jong6 taai3	
爆	baau3	炸，破裂
爆煲	baau3 bo1	露餡兒，暴露
爆坼	baau3 chaak3	皮膚皴裂
爆粗口	baau3 cho1 hau2	說粗話
爆發	baau3 faat3	
爆火	baau3 foh2	發脾氣
爆穀	baau3 guk1	爆米花，玉米花兒
爆炸	baau3 ja3	
爆樽	baau3 jun1	砸瓶
爆棚	baau3 paang4	賣座
爆肽	baau3 taai1	破輪胎
鮑魚	baau6 yue4	
跛	bai1	瘸
跛腳	bai1 geuk3	瘸腳
跛腳佬	bai1 geuk3 lo2	瘸子，跛子
跛手	bai1 sau2	瘸胳膊
贔屭	bai3 ai3	
閉關	bai3 gwaan1	
閉關自守	bai3 gwaan1	
閉路	bai3 lo6	
閉路電視	bai3 lo6 din6 si6	
閉幕	bai3 mok6	
閉幕典禮	bai3 mok6 din2 lai5	
閉幕式	bai3 mok6 sik1	
閉門	bai3 moon4	
閉門謝客	bai3 moon4 je6 haak3	
閉門造車	bai3 moon4 jo6 che1	
閉目	bai3 muk6	
閉目養神	bai3 muk6 yeung5 san4	
閉眼	bai3 ngaan5	
閉翳	bai3 ngai3	憂愁，愁悶，發愁，心情抑郁
閉塞	bai3 sak1	
閉會	bai3 wooi6	
閉月羞花	bai3 yuet6 sau1 fa1	
弊	bai6	糟，壞
弊傢伙	bai6 ga1 foh2	糟糕
陛下	bai6 ha6	
弊喇	bai6 la3	糟了，完了，壞了，糟糕
敝履	bai6 lei5	
狴犴	bai6 ngon6	
弊案	bai6 on3	
敝人	bai6 yan4	
北便	bak1 bin6	北邊
北部	bak1 bo6	
北斗星	bak1 dau2 sing1	
北方	bak1 fong1	
北極	bak1 gik6	
北極熊	bak1 gik6 hung4	
北芪	bak1 kei4	黃芪
北佬	bak1 lo2	北方人
泵把	bam1 ba2	保險桿
泵車	bam1 che1	抽水車，消防車
泵氣	bam1 hei3	打氣
泵水	bam1 sui2	抽水
彬彬有禮	ban1 ban1 yau5 lai5	
奔流	ban1 boh1	
奔波	ban1 boh1	
奔馳	ban1 chi4	
繽紛	ban1 fan1	
奔放	ban1 fong3	
奔赴	ban1 foo6	
賓館	ban1 goon2	
賓仔	ban1 jai2	菲律賓少年
奔走	ban1 jau2	
賓佬	ban1 lo2	菲律賓人
檳榔	ban1 long4	
檳榔汁	ban1 long4 jap1	
奔馬	ban1 ma5	
奔命	ban1 ming6	
賓妹	ban1 mooi1	菲律賓少女；菲傭，菲籍女傭
奔跑	ban1 paau2	
賓婆	ban1 poh2	菲律賓人
奔喪	ban1 song1	
奔騰	ban1 tang4	
奔逃	ban1 to4	
奔躍	ban1 yeuk6	
品茶	ban2 cha4	
品德	ban2 dak1	
品格	ban2 gaak3	
品格高尚	ban2 gaak3 go1 seung6	
品管	ban2 goon2	
品行	ban2 hang6	
品學	ban2 hok6	
品學兼優	ban2 hok6 gim1 yau1	
品紅	ban2 hung4	
品質	ban2 jat1	
品質管制	ban2 jat1 goon2 jai3	
品種	ban2 jung2	
品種改良	ban2 jung2 goi2 leung4	
品級	ban2 kap1	
品藍	ban2 laam4	
品類	ban2 lui6	
品綠	ban2 luk6	
品貌	ban2 maau6	
品貌出眾	ban2 maau6 chut1 jung3	
品貌雙全	ban2 maau6 seung1 chuen4	
品味	ban2 mei6	
品茗	ban2 ming5	
品目	ban2 muk6	
品牌	ban2 paai4	
品評	ban2 ping4	
品嚐	ban2 seung4	
品性	ban2 sing3	
品頭論足	ban2 tau4 lun6 juk1	
品位	ban2 wai6	
鬢邊	ban3 bin1	
鬢髮	ban3 faat3	
鬢髮皆白	ban3 faat3 gaai1 baak6	
鬢髮皓然	ban3 faat3 ho6 yin4	
鬢角	ban3 gok3	
擯棄	ban3 hei3	
殯殮	ban3 lim5	
鬢霜	ban3 seung1	
殯儀館	ban3 yi4 goon2	
笨豬跳	ban6 jue1 tiu3	蹦極跳，高空彈跳
笨拙	ban6 juet3	
崩	bang1	破，缺
崩	bang1	分錢
崩口	bang1 hau2	豁嘴，兔唇
崩口碗	bang1 hau2 woon2	缺口碗
崩口人忌崩口碗	bang1 hau2 yan4 gei6 bang1 hau2 woon2	當著矮子別說短話
崩仔	bang1 jai2	朋克，龐克
崩裝	bang1 jong1	莫西干頭
崩潰	bang1 kooi2	
崩牙	bang1 nga4	缺齒
崩牙	bang1 nga4	缺齒，缺牙
[抔]	bat1	舀，盛
不諳	bat1 am1	
不卑不亢	bat1 bei1 bat1 kong3	
不便	bat1 bin6	
不辯菽麥	bat1 bin6 suk6 mak6	
不必	bat1 bit1	
不吵不鬧	bat1 chaau2 bat1 naau6	
不詳	bat1 cheung4	
不恥	bat1 chi2	
不恥下問	bat1 chi2 ha6 man6	
不前不後	bat1 chin4 bat1 hau6	
不請自來	bat1 ching2 ji6 loi4	
不切實際	bat1 chit3 sat6 jai3	
不切題	bat1 chit3 tai4	
不速之客	bat1 chuk1 ji1 haak3	
不出所料	bat1 chut1 soh2 liu6	
不打不相識	bat1 da2 bat1 seung1 sik1	
不打自招	bat1 da2 ji6 jiu1	
不大不小	bat1 daai6 bat1 siu2	
不單	bat1 daan1	
不得	bat1 dak1	
不得不	bat1 dak1 bat1	
不得好死	bat1 dak1 ho2 sei2	
不得其法	bat1 dak1 kei4 faat3	
不得其解	bat1 dak1 kei4 gaai2	
不得了	bat1 dak1 liu5	
不得人心	bat1 dak1 yan4 sam1	
不得而知	bat1 dak1 yi4 ji1	
不得已	bat1 dak1 yi5	
不得要領	bat1 dak1 yiu3 ling5	
不特	bat1 dak6	不但，不僅，不光
不定	bat1 ding6	
不定詞	bat1 ding6 chi4	
不定根	bat1 ding6 gan1	
不定冠詞	bat1 ding6 goon3 chi4	
不定期	bat1 ding6 kei4	
不定量	bat1 ding6 leung6	
不定形	bat1 ding6 ying4	
不倒翁	bat1 do2 yung1	
不當	bat1 dong3	
不對勁	bat1 dui3 ging6	
不凍港	bat1 dung3 gong2	
不動產	bat1 dung6 chaan2	
不動聲色	bat1 dung6 sing1 sik1	
不凡	bat1 faan4	
[抔]飯	bat1 faan6	盛飯
不費吹灰之力	bat1 fai3 chui1 fooi1 ji1 lik6	
不分彼此	bat1 fan1 bei2 chi2	
不分青紅皂白	bat1 fan1 ching1 hung4 jo6 baak6	
不分軒輊	bat1 fan1 hin1 ji3	
不分輕重緩急	bat1 fan1 hing1 chung5 woon6 gap1	
不分晝夜	bat1 fan1 jau3 ye6	
不分皂白	bat1 fan1 jo6 baak6	
不分男女老幼	bat1 fan1 naam4 nui5 lo5 yau3	
不乏其人	bat1 fat6 kei4 yan4	
不慌不忙	bat1 fong1 bat1 mong4	
不妨	bat1 fong4	
不負眾望	bat1 foo6 jung3 mong6	
不假思索	bat1 ga2 si1 saak3	
不計其數	bat1 gai3 kei4 so3	
不甘	bat1 gam1	
不禁	bat1 gam1	
不甘寂寞	bat1 gam1 jik6 mok6	
不甘心	bat1 gam1 sam1	
不甘示弱	bat1 gam1 si6 yeuk6	
不敢當	bat1 gam2 dong1	
不僅	bat1 gan2	
不僅僅	bat1 gan2 gan2	
不急不徐	bat1 gap1 bat1 chui4	
不急之務	bat1 gap1 ji1 mo6	
不夠	bat1 gau3	
不覊	bat1 gei1	
筆記	bat1 gei3	
筆記本	bat1 gei3 boon2	
不見不散	bat1 gin3 bat1 saan3	
不見經傳	bat1 gin3 ging1 chuen4	
不見棺材不掉淚	bat1 gin3 goon1 choi4 bat1 diu6 lui6	
不見天日	bat1 gin3 tin1 yat6	
不經一事，不長一智	bat1 ging1 yat1 si6 bat1 jeung2 yat1 ji3	
畢竟	bat1 ging2	
不景氣	bat1 ging2 hei3	
不告而別	bat1 go3 yi4 bit6	
筆桿	bat1 gon2	
不管	bat1 goon2	
不管三七二十一	bat1 goon2 saam1 chat1 yi6 sap6 yat1	
筆供	bat1 gung1	
畢恭畢敬	bat1 gung1 bat1 ging3	
不公不義	bat1 gung1 bat1 yi6	
不共戴天	bat1 gung6 daai3 tin1	
不共戴天之仇	bat1 gung6 daai3 tin1 ji1 sau4	
不關痛癢	bat1 gwaan1 tung3 yeung5	
不過	bat1 gwoh3	
不過如此	bat1 gwoh3 yue4 chi2	
不光	bat1 gwong1	
