開放粵語詞典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
爆穀	bâu gök	爆米花，玉米花兒
爆炸	bâu jâ	
爆樽	bâu jönt	砸瓶
爆棚	bâu pang	賣座
爆肽	bâu täi	破輪胎
閉關自守	bây guän	
閉關	bây guän	
閉路	bây lòw	
閉路電視	bây lòw dìn sì	
閉門	bây mun	
閉門謝客	bây mun jè hâg	
閉門造車	bây mun jòw cë	
閉幕	bây mòg	
閉幕典禮	bây mòg dĩn láy	
閉幕式	bây mòg sëk	
閉目	bây mòk	
閉目養神	bây mòk yeóng sant	
閉眼	bây ngán	
閉翳	bây ngây	憂愁，愁悶，發愁，心情抑郁
閉塞	bây säk	
閉會	bây wùi	
閉月羞花	bây yeùd säw fä	
贔屭	bây ây	
把柄	bã bêng	
把持	bã ci	
把風	bã fönk	
把鬼	bã guãy	有什麼用，頂什麼用，白費勁，毫無用處
把關	bã guän	
把幾火	bã gẽy fõ	很生氣
把戲	bã hêy	
把兄弟	bã hënk dày	
把盞	bã jãn	
把酒	bã jãw	
罷啦	bã lä	吧
把脈	bã màk	診脈，號脈
把炮	bã pâu	把握
把屁	bã pêy	有屁用，頂個屁用
把屁咩！	bã pêy më	有個屁用！
把勢	bã sây	
把守	bã sãw	
把手	bã sãw	
把式	bã sëk	
把舦	bã tái	掌舵
把玩	bã wùn	
把握	bã äk	
擺	bãi	擺放
擺設	bãi cîd	
擺檔	bãi dõng	擺攤子
擺檔口	bãi dõng hãw	擺攤子
擺放	bãi fông	
擺供	bãi gônk	
擺酒	bãi jãw	擺酒席，辦酒席
擺甫士	bãi pöw sĩ	擺姿勢
擺脫	bãi teûd	
擺烏龍	bãi wü lõnk	弄錯，搞誤會
板	bãn	板子
版本	bãn bũn	
板凳	bãn dânk	
板塊	bãn fâi	
板障	bãn jeông	板牆，板壁
版權	bãn keun	
版權所有	bãn keun sõ yáw	
品茶	bãnt ca	
品德	bãnt däk	
品格	bãnt gâg	
品格高尚	bãnt gâg göw seòng	
品管	bãnt gũn	
品紅	bãnt honk	
品行	bãnt hànk	
品學	bãnt hòg	
品學兼優	bãnt hòg gïm yäw	
品質	bãnt jät	
品質管制	bãnt jät gũn jây	
品種	bãnt jõnk	
品種改良	bãnt jõnk gõi leong	
品級	bãnt käp	
品藍	bãnt lam	
品綠	bãnt lòk	
品類	bãnt lòy	
品貌	bãnt màu	
品貌出眾	bãnt màu cöt jônk	
品貌雙全	bãnt màu seöng ceun	
品味	bãnt mèy	
品茗	bãnt ménk	
品目	bãnt mòk	
品牌	bãnt pai	
品評	bãnt penk	
品嚐	bãnt seong	
品性	bãnt sênk	
品頭論足	bãnt taw lònt jök	
品位	bãnt wày	
飽擦一輪	bãu câd yät lont	飽吃一頓
飽餐	bãu cän	
飽嗝	bãu gâg	
飽經	bãu gënk	
飽經滄桑	bãu gënk cöng söng	
飽經風霜	bãu gënk fönk seöng	
飽經世故	bãu gënk sây gû	
飽含	bãu hamp	
飽學	bãu hòg	
飽學之士	bãu hòg jï sì	
飽滿	bãu mún	
飽暖	bãu neún	
飽暖思淫慾	bãu neún sï yamp yòk	
飽嚐	bãu seong	
飽受	bãu sàw	
飽食	bãu sèk	
飽食終日	bãu sèk jönk yàt	
飽死	bãu sẽy	臭美
飽死我啦！	bãu sẽy ngó lâ	飽到要爆炸
飽和	bãu wo	
飽和度	bãu wo dòw	
飽和點	bãu wo dĩm	
飽和狀態	bãu wo jòng tâi	
巴閉	bä bây	了不起
疤痕	bä hant	
疤痕組織	bä hant jõw jëk	
巴揸	bä jä	多嘴，愛管閒事
芭蕉	bä jïu	
巴黎帽	bä lay mõw	貝雷帽
芭蕾舞	bä loy mów	
芭蕾	bä lóy	
吧女	bä nóy	酒吧女服務員
巴士	bä sĩ	公車，巴士，公共汽車
巴士站	bä sĩ jàm	公車站，公共汽車站
巴士佬	bä sĩ lõw	公車司機
迫不得已	bäg bät däk yí	
迫切	bäg cîd	
迫近	bäg gànt	
迫擊炮	bäg gëk pâu	
迫害	bäg hòi	
迫在眉睫	bäg jòi mey jìd	
迫使	bäg sĩ	
迫於形勢	bäg yeü yenk sây	
拜拜	bäi bâi	再見，拜拜
北便	bäk bìn	北邊
北部	bäk bòw	
北斗星	bäk dãw sënk	
北方	bäk föng	
北極	bäk gèk	
北極熊	bäk gèk honk	
北芪	bäk key	黃芪
北佬	bäk lõw	北方人
泵把	bämp bã	保險桿
泵車	bämp cë	抽水車，消防車
泵氣	bämp hêy	打氣
泵水	bämp sõy	抽水
班	bän	群，伙
班	bän	糾合，糾集，拉隊伍，糾集同伙
班兵	bän bënk	請援兵，請人幫忙，請求援助，搬兵
班車	bän cë	
班次	bän cî	
班底	bän dãy	
班代表	bän dòi bĩu	
班房	bän fõng	教室，課室
斑鳩	bän gäw	
瘢痕	bän hant	
頒獎	bän jeõng	
班長	bän jeõng	
頒獎典禮	bän jeõng dĩn láy	
頒獎禮	bän jeõng lãy	
班主任	bän jeũ yàmp	
班戟	bän këk	薄煎餅，薄烤餅，熱香餅
斑斕	bän lan	
班門弄斧	bän mun lònk fũ	
班馬	bän má	搬救兵，召集黨徒，召集羽翼
斑馬	bän má	
班師	bän sï	
班師回朝	bän sï wui ciu	
崩	bänk	分錢
崩	bänk	破，缺
崩口	bänk hãw	豁嘴，兔唇
崩口碗	bänk hãw wũn	缺口碗
崩口人忌崩口碗	bänk hãw yant gèy bänk hãw wũn	當著矮子別說短話
崩仔	bänk jãy	朋克，龐克
崩裝	bänk jöng	莫西干頭
崩潰	bänk kũi	
崩牙	bänk nga	缺齒
崩牙	bänk nga	缺齒，缺牙
彬彬有禮	bänt bänt yáw láy	
奔流	bänt bö	
奔波	bänt bö	
奔馳	bänt ci	
繽紛	bänt fänt	
奔放	bänt fông	
奔赴	bänt fù	
賓館	bänt gũn	
奔走	bänt jãw	
賓仔	bänt jãy	菲律賓少年
檳榔	bänt long	
檳榔汁	bänt long jäp	
賓佬	bänt lõw	菲律賓人
奔馬	bänt má	
奔命	bänt mènk	
賓妹	bänt müi	菲律賓少女；菲傭，菲籍女傭
奔跑	bänt pãu	
賓婆	bänt põ	菲律賓人
奔喪	bänt söng	
奔騰	bänt tank	
奔逃	bänt tow	
奔躍	bänt yeòg	
[抔]	bät	舀，盛
不卑不亢	bät bëy bät kông	
不便	bät bìn	
不辯菽麥	bät bìn sòk màk	
不必	bät bïd	
不詳	bät ceong	
不前不後	bät cin bät hàw	
不吵不鬧	bät cãu bät nàu	
不切實際	bät cîd sàt jây	
不切題	bät cîd tay	
不速之客	bät cök jï hâg	
不出所料	bät cöt sõ lìu	
不恥	bät cĩ	
不恥下問	bät cĩ hà mànt	
不請自來	bät cẽnk jì loi	
不大不小	bät dài bät sĩu	
不特	bät dàk	不但，不僅，不光
不打不相識	bät dã bät seöng sëk	
不打自招	bät dã jì jïu	
不得	bät däk	
不得不	bät däk bät	
不得好死	bät däk hõw sẽy	
不得其法	bät däk key fâd	
不得其解	bät däk key gãi	
不得了	bät däk líu	
不得人心	bät däk yant sämp	
不得而知	bät däk yi jï	
不得已	bät däk yí	
不得要領	bät däk yîu lénk	
不單	bät dän	
不定	bät dènk	
不定詞	bät dènk ci	
不定根	bät dènk gänt	
不定冠詞	bät dènk gûn ci	
不定期	bät dènk key	
不定量	bät dènk leòng	
不定形	bät dènk yenk	
不動產	bät dònk cãn	
不動聲色	bät dònk sënk sëk	
不當	bät dông	
不凍港	bät dônk gõng	
不對勁	bät dôy gènk	
不倒翁	bät dõw yönk	
不凡	bät fan	
不妨	bät fong	
[抔]飯	bät fàn	盛飯
不乏其人	bät fàt key yant	
不費吹灰之力	bät fây cöy füi jï lèk	
不分彼此	bät fänt bẽy cĩ	
不分青紅皂白	bät fänt cënk honk jòw bàg	
不分輕重緩急	bät fänt hënk cónk wùn gäp	
不分軒輊	bät fänt hïn jî	
不分晝夜	bät fänt jâw yè	
不分皂白	bät fänt jòw bàg	
不分男女老幼	bät fänt nam nóy lów yâw	
不慌不忙	bät föng bät mong	
不負眾望	bät fù jônk mòng	
不關痛癢	bät guän tônk yeóng	
不過	bät guô	
不過如此	bät guô yeu cĩ	
不光	bät guöng	
不夠	bät gâw	
不計其數	bät gây key sôw	
不假思索	bät gã sï sâg	
不敢當	bät gãmp döng	
不僅	bät gãnt	
不僅僅	bät gãnt gãnt	
不甘	bät gämp	
不禁	bät gämp	
不甘寂寞	bät gämp jèk mòg	
不甘心	bät gämp sämp	
不甘示弱	bät gämp sì yeòg	
不急不徐	bät gäp bät coy	
不急之務	bät gäp jï mòw	
筆記	bät gêy	
筆記本	bät gêy bũn	
不經一事，不長一智	bät gënk yät sì bät jeõng yät jî	
不覊	bät gëy	
不見不散	bät gîn bät sân	
不見經傳	bät gîn gënk ceun	
不見棺材不掉淚	bät gîn gün coi bät dìu lòy	
不見天日	bät gîn tïn yàt	
不共戴天	bät gònk dâi tïn	
不共戴天之仇	bät gònk dâi tïn jï saw	
不告而別	bät gôw yi bìd	
筆桿	bät gõn	
筆供	bät gönk	
畢恭畢敬	bät gönk bät gênk	
不公不義	bät gönk bät yì	
不管	bät gũn	
不管三七二十一	bät gũn säm cät yì sàp yät	
畢竟	bät gẽnk	
不景氣	bät gẽnk hêy	
不含	bät hamp	
不含稅	bät hamp sôy	
不含糊	bät hamp wu	
不寒而慄	bät hon yi lòt	
不吭聲	bät hong sënk	
不吭一聲	bät hong yät sënk	
不合	bät hàb	
不合標準	bät hàb bïu jõnt	
不合作	bät hàb jôg	
不合規定	bät hàb kuäy dènk	
不合時宜	bät hàb si yi	
不幸	bät hànk	
不幸中之大幸	bät hànk jönk jï dài hànk	
不孝	bät hâu	
不孝子	bät hâu jĩ	
不孝有三	bät hâu yáw säm	
不堪	bät hämp	
不堪設想	bät hämp cîd seõng	
不堪入目	bät hämp yàp mòk	
不堪入耳	bät hämp yàp yí	
不堪一擊	bät hämp yät gëk	
不學無術	bät hòg mow sòt	
不可避免	bät hõ bèy mín	
不可多得	bät hõ dö däk	
不可救藥	bät hõ gâw yeòg	
不可告人	bät hõ gôw yant	
不可限量	bät hõ hàn leòng	
不可開交	bät hõ höi gäu	
不可戰勝	bät hõ jîn sênk	
不可知論	bät hõ jï lònt	
不可捉摸	bät hõ jök mõ	
不可終日	bät hõ jönk yàt	
不可理喻	bät hõ léy yeù	
不可名狀	bät hõ menk jòng	
不可磨滅	bät hõ mo mìd	
不可能	bät hõ nank	
不可旁貸	bät hõ pong tâi	
不可想像	bät hõ seõng jeòng	
不可收拾	bät hõ säw sàp	
不可思議	bät hõ sï yí	
不可數	bät hõ sõw	
不可同日而語	bät hõ tonk yàt yi yeú	
不可或缺	bät hõ wàg keûd	
不可諱言	bät hõ wáy yin	
不可逾越	bät hõ yeu yeùd	
不可言喻	bät hõ yin yeù	
不可一世	bät hõ yät sây	
不好	bät hõw	
不喜歡	bät hẽy fün	
不像話	bät jeòng wã	
不像樣	bät jeòng yeòng	
不絕於耳	bät jeùd yeü yí	
不值一顧	bät jèk yät gû	
不值一文	bät jèk yät mant	
不值一提	bät jèk yät tay	
不即不離	bät jëk bät ley	
不治	bät jì	
不治之症	bät jì jï jênk	
不自量力	bät jì leòng lèk	
不戰而敗	bät jîn yi bài	
不戰而退	bät jîn yi tôy	
不知幾	bät jï gẽy	很，真，真的很
不知所云	bät jï sõ want	
不在場	bät jòi ceong	
不在乎	bät jòi fu	
不在話下	bät jòi wã hà	
不在意	bät jòi yî	
不再	bät jôi	
不進則退	bät jônt jäk tôy	
筆嘴	bät jõy	筆尖兒，鋼筆尖兒
不足掛齒	bät jök guâ cĩ	
不足輕重	bät jök hënk cónk	
不足為訓	bät jök way fânt	
不足為奇	bät jök way key	
不足為外人道	bät jök way ngòi yant dòw	
不足為憑	bät jök way pank	
不中不西	bät jönk bät säy	
不只	bät jĩ	
不愧	bät kuáy	
不及	bät kàp	
不及格	bät kàp gâg	
不及物動詞	bät kàp màt dònk ci	
不亢不卑	bät kông bät bëy	
不倫不類	bät lont bät lòy	
不勞而獲	bät low yi wòg	
抔垃圾	bät làb sâb	撮垃圾
不冷不熱	bät láng bät yìd	
不溜	bät läw	一向，一直，向來，經常
不利	bät lèy	
不理不睬	bät léy bät cõi	
不了了之	bät líu líu jï	
不論	bät lònt	
不吝賜教	bät lònt cî gâu	
不論怎麼	bät lònt jãmp mö	
不論怎樣	bät lònt jãmp yeòng	
不吝指正	bät lònt jĩ jênk	
不論如何	bät lònt yeu ho	
篳路藍縷	bät lòw lam lóy	
不明不白	bät menk bät bàg	
不無	bät mow	
不無可疑	bät mow hõ yi	
不無可疑之處	bät mow hõ yi jï ceû	
筆墨	bät màk	
不問	bät mànt	
不問前因後果	bät mànt cin yänt hàw guõ	
不問青紅皂白	bät mànt cënk honk jòw bàg	
不問是非曲直	bät mànt sì fëy kök jèk	
不謀而合	bät máw yi hàb	
畢命	bät mènk	
不寐	bät mèy	
不免	bät mín	
筆帽	bät mòw	
不務正業	bät mòw jênk yìb	
不外乎	bät ngòi fu	
不奈煩	bät nòi fan	
不平等條約	bät penk dãnk tiu yeôg	
不平則鳴	bät penk jäk menk	
不平而鳴	bät penk yi menk	
筆刨	bät pãu	鉛筆刀，轉筆刀，削鉛筆器
不偏不倚	bät pïn bät yĩ	
不成體統	bät senk tãy tõnk	
不傷和氣	bät seöng wo hêy	
不宣而戰	bät seün yi jîn	
不時	bät si	不定時地，每時每刻，無時無刻，時時刻刻
不慎	bät sànt	
不實	bät sàt	
不受歡迎	bät sàw fün yenk	
不鏽鋼	bät sâw gông	
不守信用	bät sãw sônt yònk	
不三不四	bät säm bät sêy	
畢生	bät sänk	
不失	bät sät	
不失眾望	bät sät jônk mòng	
不失良機	bät sät leong gëy	
不失為	bät sät way	
不修邊幅	bät säw bïn fök	
不食人間煙火	bät sèk yant gän yïn fõ	
不適	bät sëk	
不息	bät sëk	
不惜	bät sëk	
不惜犧牲	bät sëk hëy säng	
不惜一切	bät sëk yät cây	
不惜一戰	bät sëk yät jîn	
不升反降	bät sënk fãn gông	
不勝負荷	bät sënk fû hò	
不勝感激	bät sënk gãmp gëk	
不勝酒力	bät sënk jãw lèk	
不勝其煩	bät sënk key fan	
不勝枚舉	bät sënk mui gõy	
不善	bät sìn	
不善於	bät sìn yeü	
不屑	bät sîd	
不屑一顧	bät sîd yät gû	
不遜	bät sônt	
[抔]水	bät sõy	舀水
不停	bät tenk	
不同點	bät tonk dĩm	
不同凡響	bät tonk fan heõng	
不同以往	bät tonk yí wóng	
筆塔	bät tâb	筆帽，筆套
不透明	bät tâw menk	
不吐不快	bät tôw bät fâi	
不妥	bät tõ	
[抔]湯	bät töng	舀湯
不懷好意	bät wai hõw yî	
不遺餘力	bät way yeu lèk	
不和	bät wo	
不遑	bät wong	
不惑之年	bät wàg jï nin	
筆畫	bät wã	
不屈不撓	bät wät bät nau	
不如	bät yeu	
不如下次先啦	bät yeu hà cî sïn lä	下次吧
不悅	bät yeùd	
不予置評	bät yeú jî penk	
不遠千里	bät yeún cïn léy	
不遠千里而來	bät yeún cïn léy yi loi	
不宜	bät yi	
不宜	bät yi	不如
不然	bät yin	
不言而喻	bät yin yi yeù	
不容	bät yonk	
不容分說	bät yonk fänt seûd	
不容置辯	bät yonk jî bìn	
不容置疑	bät yonk jî yi	
不孕	bät yànt	
不孕症	bät yànt jênk	
不入虎穴	bät yàp fũ yeùd	
筆友	bät yáw	
不忍	bät yãnt	
不忍卒睹	bät yãnt jöt dõw	
不忍心	bät yãnt sämp	
不夜城	bät yè senk	
不亦樂乎	bät yèk lòg fu	
不翼而飛	bät yèk yi fëy	
不二法門	bät yì fâd mun	
不二價	bät yì gâ	
不義之財	bät yì jï coi	
畢業	bät yìb	
畢業典禮	bät yìb dĩn láy	
畢業相	bät yìb seõng	畢業照
畢業生	bät yìb säng	
不以為苦	bät yí way fũ	
不以為然	bät yí way yin	
不以語人	bät yí yeù yant	
不厭其詳	bät yîm key ceong	
不厭其煩	bät yîm key fan	
不諳	bät ämp	
不安本分	bät ön bũn fänt	
包	bäu	保證
褒貶	bäu bĩn	
包袱	bäu fòk	
包裹	bäu guõ	
包含	bäu hamp	
包粽	bäu jõnk	包粽子
包裝	bäu jöng	
包租	bäu jöw	租房又分租給他人
包租公	bäu jöw gönk	二房東
包租婆	bäu jöw põ	二房東太太，二房東，女二房東
包括	bäu kûd	
包廂	bäu seöng	
鮑魚	bäu yeu	
包容	bäu yonk	
包二奶	bäu yì näi	有情婦，養小老婆
跛	bäy	瘸
跛腳	bäy geôg	瘸腳
跛腳佬	bäy geôg lõw	瘸子，跛子
跛手	bäy sãw	瘸胳膊
病毒	bèng dòk	
病到聲沙	bèng dôw sëng sä	病得聲音沙啞了
病君	bèng guänt	老病號，病夫
病咗	bèng jõ	生病，病了，生病了
病例	bèng lày	
病歷	bèng lèk	
病人	bèng yant	
病源	bèng yeun	
病癒	bèng yeù	
病懨懨	bèng yïm yïm	
病變	bènk bîn	
並存	bènk ceun	
並且	bènk cẽ	
並非	bènk fëy	
並肩	bènk gïn	
並肩作戰	bènk gïn jôg jîn	
並肩而行	bènk gïn yi hank	
病理學	bènk léy hòg	
並列	bènk lìd	
並列譯文	bènk lìd yèk mant	
並無	bènk mow	
並無不可	bènk mow bät hõ	
並未	bènk mèy	
