开放粤语词典（粤语拼音字调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
闭路电视	bây lòw dìn sì	
闭门	bây mun	
闭门谢客	bây mun jè hâg	
闭门造车	bây mun jòw cë	
闭幕	bây mòg	
闭幕典礼	bây mòg dĩn láy	
闭幕式	bây mòg sëk	
闭目	bây mòk	
闭目养神	bây mòk yeóng sant	
闭眼	bây ngán	
闭翳	bây ngây	忧愁，愁闷，发愁，心情抑郁
闭塞	bây säk	
闭会	bây wùi	
闭月羞花	bây yeùd säw fä	
赑屃	bây ây	
把柄	bã bêng	
把持	bã ci	
把风	bã fönk	
把鬼	bã guãy	有什么用，顶什么用，白费劲，毫无用处
把关	bã guän	
把几火	bã gẽy fõ	很生气
把戏	bã hêy	
把兄弟	bã hënk dày	
把盏	bã jãn	
把酒	bã jãw	
罢啦	bã lä	吧
把脉	bã màk	诊脉，号脉
把炮	bã pâu	把握
把屁	bã pêy	有屁用，顶个屁用
把屁咩！	bã pêy më	有个屁用！
把势	bã sây	
把守	bã sãw	
把手	bã sãw	
把式	bã sëk	
把舦	bã tái	掌舵
把玩	bã wùn	
把握	bã äk	
摆	bãi	摆放
摆设	bãi cîd	
摆档	bãi dõng	摆摊子
摆档口	bãi dõng hãw	摆摊子
摆放	bãi fông	
摆供	bãi gônk	
摆酒	bãi jãw	摆酒席，办酒席
摆甫士	bãi pöw sĩ	摆姿势
摆脱	bãi teûd	
摆乌龙	bãi wü lõnk	弄错，搞误会
板	bãn	板子
版本	bãn bũn	
板凳	bãn dânk	
板块	bãn fâi	
板障	bãn jeông	板墙，板壁
版权	bãn keun	
版权所有	bãn keun sõ yáw	
品茶	bãnt ca	
品德	bãnt däk	
品格	bãnt gâg	
品格高尚	bãnt gâg göw seòng	
品管	bãnt gũn	
品红	bãnt honk	
品行	bãnt hànk	
品学	bãnt hòg	
品学兼优	bãnt hòg gïm yäw	
品质	bãnt jät	
品质管制	bãnt jät gũn jây	
品种	bãnt jõnk	
品种改良	bãnt jõnk gõi leong	
品级	bãnt käp	
品蓝	bãnt lam	
品绿	bãnt lòk	
品类	bãnt lòy	
品貌	bãnt màu	
品貌出众	bãnt màu cöt jônk	
品貌双全	bãnt màu seöng ceun	
品味	bãnt mèy	
品茗	bãnt ménk	
品目	bãnt mòk	
品牌	bãnt pai	
品评	bãnt penk	
品嚐	bãnt seong	
品性	bãnt sênk	
品头论足	bãnt taw lònt jök	
品位	bãnt wày	
饱擦一轮	bãu câd yät lont	饱吃一顿
饱餐	bãu cän	
饱嗝	bãu gâg	
饱经	bãu gënk	
饱经沧桑	bãu gënk cöng söng	
饱经风霜	bãu gënk fönk seöng	
饱经世故	bãu gënk sây gû	
饱含	bãu hamp	
饱学	bãu hòg	
饱学之士	bãu hòg jï sì	
饱满	bãu mún	
饱暖	bãu neún	
饱暖思淫欲	bãu neún sï yamp yòk	
饱尝	bãu seong	
饱受	bãu sàw	
饱食	bãu sèk	
饱食终日	bãu sèk jönk yàt	
饱死	bãu sẽy	臭美
饱死我啦！	bãu sẽy ngó lâ	饱到要爆炸
饱和	bãu wo	
饱和度	bãu wo dòw	
饱和点	bãu wo dĩm	
饱和状态	bãu wo jòng tâi	
巴闭	bä bây	了不起
疤痕	bä hant	
疤痕组织	bä hant jõw jëk	
巴揸	bä jä	多嘴，爱管闲事
芭蕉	bä jïu	
巴黎帽	bä lay mõw	贝雷帽
芭蕾舞	bä loy mów	
芭蕾	bä lóy	
吧女	bä nóy	酒吧女服务员
巴士	bä sĩ	公车，巴士，公共汽车
巴士站	bä sĩ jàm	公车站，公共汽车站
巴士佬	bä sĩ lõw	公车司机
迫不得已	bäg bät däk yí	
迫切	bäg cîd	
迫近	bäg gànt	
迫击炮	bäg gëk pâu	
迫害	bäg hòi	
迫在眉睫	bäg jòi mey jìd	
迫使	bäg sĩ	
迫于形势	bäg yeü yenk sây	
拜拜	bäi bâi	再见，拜拜
北便	bäk bìn	北边
北部	bäk bòw	
北斗星	bäk dãw sënk	
北方	bäk föng	
北极	bäk gèk	
北极熊	bäk gèk honk	
北芪	bäk key	黄芪
北佬	bäk lõw	北方人
泵把	bämp bã	保险杆
泵车	bämp cë	抽水车，消防车
泵气	bämp hêy	打气
泵水	bämp sõy	抽水
班	bän	群，伙
班	bän	纠合，纠集，拉队伍，纠集同伙
班兵	bän bënk	请援兵，请人帮忙，请求援助，搬兵
班车	bän cë	
班次	bän cî	
班底	bän dãy	
班代表	bän dòi bĩu	
班房	bän fõng	教室，课室
斑鸠	bän gäw	
瘢痕	bän hant	
颁奖	bän jeõng	
班长	bän jeõng	
颁奖典礼	bän jeõng dĩn láy	
颁奖礼	bän jeõng lãy	
班主任	bän jeũ yàmp	
班戟	bän këk	薄煎饼，薄烤饼，热香饼
斑斓	bän lan	
班门弄斧	bän mun lònk fũ	
班马	bän má	搬救兵，召集党徒，召集羽翼
斑马	bän má	
班师	bän sï	
班师回朝	bän sï wui ciu	
崩	bänk	分钱
崩	bänk	破，缺
崩口	bänk hãw	豁嘴，兔唇
崩口碗	bänk hãw wũn	缺口碗
崩口人忌崩口碗	bänk hãw yant gèy bänk hãw wũn	当着矮子别说短话
崩仔	bänk jãy	朋克，庞克
崩装	bänk jöng	莫西干头
崩溃	bänk kũi	
崩牙	bänk nga	缺齿
崩牙	bänk nga	缺齿，缺牙
彬彬有礼	bänt bänt yáw láy	
奔流	bänt bö	
奔波	bänt bö	
奔驰	bänt ci	
缤纷	bänt fänt	
奔放	bänt fông	
奔赴	bänt fù	
宾馆	bänt gũn	
奔走	bänt jãw	
宾仔	bänt jãy	菲律宾少年
槟榔	bänt long	
槟榔汁	bänt long jäp	
宾佬	bänt lõw	菲律宾人
奔马	bänt má	
奔命	bänt mènk	
宾妹	bänt müi	菲律宾少女；菲佣，菲籍女佣
奔跑	bänt pãu	
宾婆	bänt põ	菲律宾人
奔丧	bänt söng	
奔腾	bänt tank	
奔逃	bänt tow	
奔跃	bänt yeòg	
[抔]	bät	舀，盛
不卑不亢	bät bëy bät kông	
不便	bät bìn	
不辩菽麦	bät bìn sòk màk	
不必	bät bïd	
不详	bät ceong	
不前不后	bät cin bät hàw	
不吵不闹	bät cãu bät nàu	
不切实际	bät cîd sàt jây	
不切题	bät cîd tay	
不速之客	bät cök jï hâg	
不出所料	bät cöt sõ lìu	
不耻	bät cĩ	
不耻下问	bät cĩ hà mànt	
不请自来	bät cẽnk jì loi	
不大不小	bät dài bät sĩu	
不特	bät dàk	不但，不仅，不光
不打不相识	bät dã bät seöng sëk	
不打自招	bät dã jì jïu	
不得	bät däk	
不得不	bät däk bät	
不得好死	bät däk hõw sẽy	
不得其法	bät däk key fâd	
不得其解	bät däk key gãi	
不得了	bät däk líu	
不得人心	bät däk yant sämp	
不得而知	bät däk yi jï	
不得已	bät däk yí	
不得要领	bät däk yîu lénk	
不单	bät dän	
不定	bät dènk	
不定词	bät dènk ci	
不定根	bät dènk gänt	
不定冠词	bät dènk gûn ci	
不定期	bät dènk key	
不定量	bät dènk leòng	
不定形	bät dènk yenk	
不动产	bät dònk cãn	
不动声色	bät dònk sënk sëk	
不当	bät dông	
不冻港	bät dônk gõng	
不对劲	bät dôy gènk	
不倒翁	bät dõw yönk	
不凡	bät fan	
不妨	bät fong	
[抔]饭	bät fàn	盛饭
不乏其人	bät fàt key yant	
不费吹灰之力	bät fây cöy füi jï lèk	
不分彼此	bät fänt bẽy cĩ	
不分青红皂白	bät fänt cënk honk jòw bàg	
不分轻重缓急	bät fänt hënk cónk wùn gäp	
不分轩轾	bät fänt hïn jî	
不分昼夜	bät fänt jâw yè	
不分皂白	bät fänt jòw bàg	
不分男女老幼	bät fänt nam nóy lów yâw	
不慌不忙	bät föng bät mong	
不负众望	bät fù jônk mòng	
不关痛痒	bät guän tônk yeóng	
不过	bät guô	
不过如此	bät guô yeu cĩ	
不光	bät guöng	
不够	bät gâw	
不计其数	bät gây key sôw	
不假思索	bät gã sï sâg	
不敢当	bät gãmp döng	
不仅	bät gãnt	
不仅仅	bät gãnt gãnt	
不甘	bät gämp	
不禁	bät gämp	
不甘寂寞	bät gämp jèk mòg	
不甘心	bät gämp sämp	
不甘示弱	bät gämp sì yeòg	
不急不徐	bät gäp bät coy	
不急之务	bät gäp jï mòw	
笔记	bät gêy	
笔记本	bät gêy bũn	
不经一事，不长一智	bät gënk yät sì bät jeõng yät jî	
不覊	bät gëy	
不见不散	bät gîn bät sân	
不见经传	bät gîn gënk ceun	
不见棺材不掉泪	bät gîn gün coi bät dìu lòy	
不见天日	bät gîn tïn yàt	
不共戴天	bät gònk dâi tïn	
不共戴天之仇	bät gònk dâi tïn jï saw	
不告而别	bät gôw yi bìd	
笔杆	bät gõn	
笔供	bät gönk	
毕恭毕敬	bät gönk bät gênk	
不公不义	bät gönk bät yì	
不管	bät gũn	
不管三七二十一	bät gũn säm cät yì sàp yät	
毕竟	bät gẽnk	
不景气	bät gẽnk hêy	
不含	bät hamp	
不含税	bät hamp sôy	
不含糊	bät hamp wu	
不寒而栗	bät hon yi lòt	
不吭声	bät hong sënk	
不吭一声	bät hong yät sënk	
不合	bät hàb	
不合标准	bät hàb bïu jõnt	
不合作	bät hàb jôg	
不合规定	bät hàb kuäy dènk	
不合时宜	bät hàb si yi	
不幸	bät hànk	
不幸中之大幸	bät hànk jönk jï dài hànk	
不孝	bät hâu	
不孝子	bät hâu jĩ	
不孝有三	bät hâu yáw säm	
不堪	bät hämp	
不堪设想	bät hämp cîd seõng	
不堪入目	bät hämp yàp mòk	
不堪入耳	bät hämp yàp yí	
不堪一击	bät hämp yät gëk	
不学无术	bät hòg mow sòt	
不可避免	bät hõ bèy mín	
不可多得	bät hõ dö däk	
不可救药	bät hõ gâw yeòg	
不可告人	bät hõ gôw yant	
不可限量	bät hõ hàn leòng	
不可开交	bät hõ höi gäu	
不可战胜	bät hõ jîn sênk	
不可知论	bät hõ jï lònt	
不可捉摸	bät hõ jök mõ	
不可终日	bät hõ jönk yàt	
不可理喻	bät hõ léy yeù	
不可名状	bät hõ menk jòng	
不可磨灭	bät hõ mo mìd	
不可能	bät hõ nank	
不可旁贷	bät hõ pong tâi	
不可想像	bät hõ seõng jeòng	
不可收拾	bät hõ säw sàp	
不可思议	bät hõ sï yí	
不可数	bät hõ sõw	
不可同日而语	bät hõ tonk yàt yi yeú	
不可或缺	bät hõ wàg keûd	
不可讳言	bät hõ wáy yin	
不可逾越	bät hõ yeu yeùd	
不可言喻	bät hõ yin yeù	
不可一世	bät hõ yät sây	
不好	bät hõw	
不喜欢	bät hẽy fün	
不像话	bät jeòng wã	
不像样	bät jeòng yeòng	
不绝于耳	bät jeùd yeü yí	
不值一顾	bät jèk yät gû	
不值一文	bät jèk yät mant	
不值一提	bät jèk yät tay	
不即不离	bät jëk bät ley	
不治	bät jì	
不治之症	bät jì jï jênk	
不自量力	bät jì leòng lèk	
不战而败	bät jîn yi bài	
不战而退	bät jîn yi tôy	
不知几	bät jï gẽy	很，真，真的很
不知所云	bät jï sõ want	
不在场	bät jòi ceong	
不在乎	bät jòi fu	
不在话下	bät jòi wã hà	
不在意	bät jòi yî	
不再	bät jôi	
不进则退	bät jônt jäk tôy	
笔嘴	bät jõy	笔尖儿，钢笔尖儿
不足挂齿	bät jök guâ cĩ	
不足轻重	bät jök hënk cónk	
不足为训	bät jök way fânt	
不足为奇	bät jök way key	
不足为外人道	bät jök way ngòi yant dòw	
不足为凭	bät jök way pank	
不中不西	bät jönk bät säy	
不只	bät jĩ	
不愧	bät kuáy	
不及	bät kàp	
不及格	bät kàp gâg	
不及物动词	bät kàp màt dònk ci	
不亢不卑	bät kông bät bëy	
不伦不类	bät lont bät lòy	
不劳而获	bät low yi wòg	
抔垃圾	bät làb sâb	撮垃圾
不冷不热	bät láng bät yìd	
不溜	bät läw	一向，一直，向来，经常
不利	bät lèy	
不理不睬	bät léy bät cõi	
不了了之	bät líu líu jï	
不论	bät lònt	
不吝赐教	bät lònt cî gâu	
不论怎么	bät lònt jãmp mö	
不论怎样	bät lònt jãmp yeòng	
不吝指正	bät lònt jĩ jênk	
不论如何	bät lònt yeu ho	
筚路蓝缕	bät lòw lam lóy	
不明不白	bät menk bät bàg	
不无	bät mow	
不无可疑	bät mow hõ yi	
不无可疑之处	bät mow hõ yi jï ceû	
笔墨	bät màk	
不问	bät mànt	
不问前因后果	bät mànt cin yänt hàw guõ	
不问青红皂白	bät mànt cënk honk jòw bàg	
不问是非曲直	bät mànt sì fëy kök jèk	
不谋而合	bät máw yi hàb	
毕命	bät mènk	
不寐	bät mèy	
不免	bät mín	
笔帽	bät mòw	
不务正业	bät mòw jênk yìb	
不外乎	bät ngòi fu	
不奈烦	bät nòi fan	
不平等条约	bät penk dãnk tiu yeôg	
不平则鸣	bät penk jäk menk	
不平而鸣	bät penk yi menk	
笔刨	bät pãu	铅笔刀，转笔刀，削铅笔器
不偏不倚	bät pïn bät yĩ	
不成体统	bät senk tãy tõnk	
不伤和气	bät seöng wo hêy	
不宣而战	bät seün yi jîn	
不时	bät si	不定时地，每时每刻，无时无刻，时时刻刻
不慎	bät sànt	
不实	bät sàt	
不受欢迎	bät sàw fün yenk	
不锈钢	bät sâw gông	
不守信用	bät sãw sônt yònk	
不三不四	bät säm bät sêy	
毕生	bät sänk	
不失	bät sät	
不失众望	bät sät jônk mòng	
不失良机	bät sät leong gëy	
不失为	bät sät way	
不修边幅	bät säw bïn fök	
不食人间烟火	bät sèk yant gän yïn fõ	
不适	bät sëk	
不息	bät sëk	
不惜	bät sëk	
不惜牺牲	bät sëk hëy säng	
不惜一切	bät sëk yät cây	
不惜一战	bät sëk yät jîn	
不升反降	bät sënk fãn gông	
不胜负荷	bät sënk fû hò	
不胜感激	bät sënk gãmp gëk	
不胜酒力	bät sënk jãw lèk	
不胜其烦	bät sënk key fan	
不胜枚举	bät sënk mui gõy	
不善	bät sìn	
不善于	bät sìn yeü	
不屑	bät sîd	
不屑一顾	bät sîd yät gû	
不逊	bät sônt	
[抔]水	bät sõy	舀水
不停	bät tenk	
不同点	bät tonk dĩm	
不同凡响	bät tonk fan heõng	
不同以往	bät tonk yí wóng	
笔塔	bät tâb	笔帽，笔套
不透明	bät tâw menk	
不吐不快	bät tôw bät fâi	
不妥	bät tõ	
[抔]汤	bät töng	舀汤
不怀好意	bät wai hõw yî	
不遗余力	bät way yeu lèk	
不和	bät wo	
不遑	bät wong	
不惑之年	bät wàg jï nin	
笔画	bät wã	
不屈不挠	bät wät bät nau	
不如	bät yeu	
不如下次先啦	bät yeu hà cî sïn lä	下次吧
不悦	bät yeùd	
不予置评	bät yeú jî penk	
不远千里	bät yeún cïn léy	
不远千里而来	bät yeún cïn léy yi loi	
不宜	bät yi	
不宜	bät yi	不如
不然	bät yin	
不言而喻	bät yin yi yeù	
不容	bät yonk	
不容分说	bät yonk fänt seûd	
不容置辩	bät yonk jî bìn	
不容置疑	bät yonk jî yi	
不孕	bät yànt	
不孕症	bät yànt jênk	
不入虎穴	bät yàp fũ yeùd	
笔友	bät yáw	
不忍	bät yãnt	
不忍卒睹	bät yãnt jöt dõw	
不忍心	bät yãnt sämp	
不夜城	bät yè senk	
不亦乐乎	bät yèk lòg fu	
不翼而飞	bät yèk yi fëy	
不二法门	bät yì fâd mun	
不二价	bät yì gâ	
不义之财	bät yì jï coi	
毕业	bät yìb	
毕业典礼	bät yìb dĩn láy	
毕业相	bät yìb seõng	毕业照
毕业生	bät yìb säng	
不以为苦	bät yí way fũ	
不以为然	bät yí way yin	
不以语人	bät yí yeù yant	
不厌其详	bät yîm key ceong	
不厌其烦	bät yîm key fan	
不谙	bät ämp	
不安本分	bät ön bũn fänt	
包	bäu	保证
褒贬	bäu bĩn	
包袱	bäu fòk	
包裹	bäu guõ	
包含	bäu hamp	
包粽	bäu jõnk	包粽子
包装	bäu jöng	
包租	bäu jöw	租房又分租给他人
包租公	bäu jöw gönk	二房东
包租婆	bäu jöw põ	二房东太太，二房东，女二房东
包括	bäu kûd	
包厢	bäu seöng	
鲍鱼	bäu yeu	
包容	bäu yonk	
包二奶	bäu yì näi	有情妇，养小老婆
跛	bäy	瘸
跛脚	bäy geôg	瘸脚
跛脚佬	bäy geôg lõw	瘸子，跛子
跛手	bäy sãw	瘸胳膊
病毒	bèng dòk	
病到声沙	bèng dôw sëng sä	病得声音沙哑了
病君	bèng guänt	老病号，病夫
病咗	bèng jõ	生病，病了，生病了
病例	bèng lày	
病历	bèng lèk	
病人	bèng yant	
病源	bèng yeun	
病癒	bèng yeù	
病恹恹	bèng yïm yïm	
病变	bènk bîn	
并存	bènk ceun	
并且	bènk cẽ	
并非	bènk fëy	
并肩	bènk gïn	
并肩作战	bènk gïn jôg jîn	
并肩而行	bènk gïn yi hank	
病理学	bènk léy hòg	
并列	bènk lìd	
并列译文	bènk lìd yèk mant	
并无	bènk mow	
并无不可	bènk mow bät hõ	
并未	bènk mèy	
病魔	bènk mö	
病魔缠身	bènk mö cin sänt	
病殁	bènk mùd	
并排	bènk pai	
病逝	bènk sày	
病体	bènk tãy	
并用	bènk yònk	
避	bèy	躲
被迫	bèy bäg	
被捕	bèy bòw	
鼻窦炎	bèy dàw yim	
被动	bèy dònk	
备份	bèy fànt	
备课	bèy fô	
避风塘	bèy fönk tong	避风港
被告	bèy gôw	
