开放粤语词典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］
必需	'bit 'sœy	
必须	'bit 'sœy	
必需品	'bit 'sœy ´bɐn	
咇出嚟	'bit 'tsœt ˌlei	吱出来
觱篥	'bit _lœt	
必要	'bit ¯jiu	
表	'biu	手表
飙风	'biu 'fʊŋ	
标参	'biu 'sɐm	绑架，绑票
飙升	'biu 'sɪŋ	
标签	'biu 'tsim	
飙车	'biu 'tsɛ	
标青	'biu 'tsɛŋ	貌美出众，拔尖儿，超群
镖局	'biu _gʊk	
标汗	'biu _hɔn	出汗，流汗，冒汗
表肉	'biu _jʊk	表瓤，表芯
表面	'biu _min	
表带	'biu ¯dai	
表店	'biu ¯dim	
表壳	'biu ¯hɔk	
标本	'biu ´bun	
标准	'biu ´dzœn	
标准化	'biu ´dzœn ¯fa	
表厂	'biu ´tsɔŋ	
彪形大汉	'biu ˌjɪŋ _dai ¯hɔn	
表链	'biu ˌlin	
标题	'biu ˌtɐi	
标语	'biu ˏjy	
煲	'bou	煮
煲粥	'bou 'dzʊk	煮粥
煲呔	'bou 'tai	领结
煲汤	'bou 'tɔŋ	煮汤
煲电话粥	'bou _din ´wa 'dzʊk	打电话聊大天，打马拉松电话，长篇大论，打电话聊天
煲饭	'bou _fan	煮饭
煲咖啡	'bou ¯ga 'fɛ	煮咖啡
煲仔饭	'bou ´dzɐi _fan	砂锅饭
煲水	'bou ´sœy	瞎编，无中生有
煲水	'bou ´sœy	烧水
煲凉茶	'bou ˌlœŋ ˌtsa	煮去火汤药，煮清凉茶
煲茶	'bou ˌtsa	熬药
晡礼	'bou ˏlɐi	
煲冇米粥	'bou ˏmou ˏmɐi 'dzʊk	说没影儿的事
煲冇米粥，水汪汪	'bou ˏmou ˏmɐi 'dzʊk ´sœy 'wɔŋ 'wɔŋ	三十晚上走夜路，没影儿的事
杯	'bui	杯子
杯葛	'bui ¯gɔt	抵制
杯荐	'bui ´dzin	杯垫
搬翻	'bun 'fan	搬回
搬走	'bun 'hɔi	
搬迁	'bun 'tsin	
搬屋	'bun 'ŋʊk	搬家
搬入	'bun _jɐp	搬进
搬运	'bun _wɐn	
跛	'bɐi	瘸
跛脚	'bɐi ¯gœk	瘸脚
跛脚佬	'bɐi ¯gœk ´lou	瘸子，跛子
跛手	'bɐi ´sɐu	瘸胳膊
北方	'bɐk 'fɔŋ	
北便	'bɐk _bin	北边
北部	'bɐk _bou	
北极	'bɐk _gik	
北极熊	'bɐk _gik ˌhʊŋ	
北斗星	'bɐk ´dɐu 'sɪŋ	
北佬	'bɐk ´lou	北方人
北芪	'bɐk ˌkei	黄芪
泵车	'bɐm 'tsɛ	抽水车，消防车
泵气	'bɐm ¯hei	打气
泵把	'bɐm ´ba	保险杆
泵水	'bɐm ´sœy	抽水
彬彬有礼	'bɐn 'bɐn ˏjɐu ˏlɐi	
奔波	'bɐn 'bɔ	
奔流	'bɐn 'bɔ	
缤纷	'bɐn 'fɐn	
宾妹	'bɐn 'mui	菲律宾少女；菲佣，菲籍女佣
奔丧	'bɐn 'sɔŋ	
奔赴	'bɐn _fu	
奔跃	'bɐn _jœk	
奔命	'bɐn _mɪŋ	
奔放	'bɐn ¯fɔŋ	
宾仔	'bɐn ´dzɐi	菲律宾少年
奔走	'bɐn ´dzɐu	
宾馆	'bɐn ´gun	
宾佬	'bɐn ´lou	菲律宾人
奔跑	'bɐn ´pau	
宾婆	'bɐn ´pɔ	菲律宾人
槟榔	'bɐn ˌlɔŋ	
槟榔汁	'bɐn ˌlɔŋ 'dzɐp	
奔逃	'bɐn ˌtou	
奔驰	'bɐn ˌtsi	
奔腾	'bɐn ˌtɐŋ	
奔马	'bɐn ˏma	
[抔]	'bɐt	舀，盛
不卑不亢	'bɐt 'bei 'bɐt ¯kɔŋ	
不必	'bɐt 'bit	
不单	'bɐt 'dan	
不知几	'bɐt 'dzi ´gei	很，真，真的很
不知所云	'bɐt 'dzi ´sɔ ˌwɐn	
不即不离	'bɐt 'dzik 'bɐt ˌlei	
不足轻重	'bɐt 'dzʊk 'hɪŋ ˏtsʊŋ	
不足挂齿	'bɐt 'dzʊk ¯gwa ´tsi	
不足为外人道	'bɐt 'dzʊk ˌwɐi _ŋɔi ˌjɐn _dou	
不足为训	'bɐt 'dzʊk ˌwɐi ¯fɐn	
不足为奇	'bɐt 'dzʊk ˌwɐi ˌkei	
不足为凭	'bɐt 'dzʊk ˌwɐi ˌpɐŋ	
不中不西	'bɐt 'dzʊŋ 'bɐt 'sɐi	
不得	'bɐt 'dɐk	
不得不	'bɐt 'dɐk 'bɐt	
不得要领	'bɐt 'dɐk ¯jiu ˏlɪŋ	
不得好死	'bɐt 'dɐk ´hou ´sei	
不得而知	'bɐt 'dɐk ˌji 'dzi	
不得人心	'bɐt 'dɐk ˌjɐn 'sɐm	
不得其法	'bɐt 'dɐk ˌkei ¯fat	
不得其解	'bɐt 'dɐk ˌkei ´gai	
不得已	'bɐt 'dɐk ˏji	
不得了	'bɐt 'dɐk ˏliu	
不分轩轾	'bɐt 'fɐn 'hin ¯dzi	
不分轻重缓急	'bɐt 'fɐn 'hɪŋ ˏtsʊŋ _wun 'gɐp	
不分青红皂白	'bɐt 'fɐn 'tsɪŋ ˌhʊŋ _dzou _bak	
不分皂白	'bɐt 'fɐn _dzou _bak	
不分昼夜	'bɐt 'fɐn ¯dzɐu _jɛ	
不分彼此	'bɐt 'fɐn ´bei ´tsi	
不分男女老幼	'bɐt 'fɐn ˌnam ˏnœy ˏlou ¯jɐu	
不慌不忙	'bɐt 'fɔŋ 'bɐt ˌmɔŋ	
不覊	'bɐt 'gei	
不关痛痒	'bɐt 'gwan ¯tʊŋ ˏjœŋ	
不光	'bɐt 'gwɔŋ	
不甘	'bɐt 'gɐm	
不禁	'bɐt 'gɐm	
不甘心	'bɐt 'gɐm 'sɐm	
不甘寂寞	'bɐt 'gɐm _dzik _mɔk	
不甘示弱	'bɐt 'gɐm _si _jœk	
不急不徐	'bɐt 'gɐp 'bɐt ˌtsœy	
不急之务	'bɐt 'gɐp 'dzi _mou	
不经一事，不长一智	'bɐt 'gɪŋ 'jɐt _si 'bɐt ´dzœŋ 'jɐt ¯dzi	
笔供	'bɐt 'gʊŋ	
不公不义	'bɐt 'gʊŋ 'bɐt _ji	
毕恭毕敬	'bɐt 'gʊŋ 'bɐt ¯gɪŋ	
不堪	'bɐt 'hɐm	
不堪一击	'bɐt 'hɐm 'jɐt 'gik	
不堪入目	'bɐt 'hɐm _jɐp _mʊk	
不堪入耳	'bɐt 'hɐm _jɐp ˏji	
不堪设想	'bɐt 'hɐm ¯tsit ´sœŋ	
不溜	'bɐt 'lɐu	一向，一直，向来，经常
不偏不倚	'bɐt 'pin 'bɐt ´ji	
不三不四	'bɐt 'sam 'bɐt ¯sei	
不惜	'bɐt 'sik	
不适	'bɐt 'sik	
不息	'bɐt 'sik	
不惜牺牲	'bɐt 'sik 'hei 'saŋ	
不惜一战	'bɐt 'sik 'jɐt ¯dzin	
不惜一切	'bɐt 'sik 'jɐt ¯tsɐi	
不宣而战	'bɐt 'syn ˌji ¯dzin	
不伤和气	'bɐt 'sœŋ ˌwɔ ¯hei	
不失	'bɐt 'sɐt	
不失众望	'bɐt 'sɐt ¯dzʊŋ _mɔŋ	
不失良机	'bɐt 'sɐt ˌlœŋ 'gei	
不失为	'bɐt 'sɐt ˌwɐi	
不修边幅	'bɐt 'sɐu 'bin 'fʊk	
毕生	'bɐt 'sɐŋ	
不胜负荷	'bɐt 'sɪŋ ¯fu _hɔ	
不胜酒力	'bɐt 'sɪŋ ´dzɐu _lik	
不升反降	'bɐt 'sɪŋ ´fan ¯gɔŋ	
不胜感激	'bɐt 'sɪŋ ´gɐm 'gik	
不胜其烦	'bɐt 'sɪŋ ˌkei ˌfan	
不胜枚举	'bɐt 'sɪŋ ˌmui ´gœy	
不出所料	'bɐt 'tsœt ´sɔ _liu	
不速之客	'bɐt 'tsʊk 'dzi ¯hak	
[抔]汤	'bɐt 'tɔŋ	舀汤
不屈不挠	'bɐt 'wɐt 'bɐt ˌnau	
不谙	'bɐt 'ɐm	
不安本分	'bɐt 'ɔn ´bun 'fɐn	
不便	'bɐt _bin	
不辩菽麦	'bɐt _bin _sʊk _mɐk	
不大不小	'bɐt _dai 'bɐt ´siu	
不治	'bɐt _dzi	
不治之症	'bɐt _dzi 'dzi ¯dzɪŋ	
不自量力	'bɐt _dzi _lœŋ _lik	
不值一顾	'bɐt _dzik 'jɐt ¯gu	
不值一文	'bɐt _dzik 'jɐt ˌmɐn	
不值一提	'bɐt _dzik 'jɐt ˌtɐi	
不绝于耳	'bɐt _dzyt 'jy ˏji	
不像样	'bɐt _dzœŋ _jœŋ	
不像话	'bɐt _dzœŋ ´wa	
不在意	'bɐt _dzɔi ¯ji	
不在话下	'bɐt _dzɔi ´wa _ha	
不在乎	'bɐt _dzɔi ˌfu	
不在场	'bɐt _dzɔi ˌtsœŋ	
不特	'bɐt _dɐk	不但，不仅，不光
不定	'bɐt _dɪŋ	
不定根	'bɐt _dɪŋ 'gɐn	
不定量	'bɐt _dɪŋ _lœŋ	
不定冠词	'bɐt _dɪŋ ¯gun ˌtsi	
不定形	'bɐt _dɪŋ ˌjɪŋ	
不定期	'bɐt _dɪŋ ˌkei	
不定词	'bɐt _dɪŋ ˌtsi	
不动声色	'bɐt _dʊŋ 'sɪŋ 'sik	
不动产	'bɐt _dʊŋ ´tsan	
[抔]饭	'bɐt _fan	盛饭
不负众望	'bɐt _fu ¯dzʊŋ _mɔŋ	
不乏其人	'bɐt _fɐt ˌkei ˌjɐn	
不共戴天	'bɐt _gʊŋ ¯dai 'tin	
不共戴天之仇	'bɐt _gʊŋ ¯dai 'tin 'dzi ˌsɐu	
不合	'bɐt _hɐp	
不合标准	'bɐt _hɐp 'biu ´dzœn	
不合规定	'bɐt _hɐp 'kwɐi _dɪŋ	
不合作	'bɐt _hɐp ¯dzɔk	
不合时宜	'bɐt _hɐp ˌsi ˌji	
不幸	'bɐt _hɐŋ	
不幸中之大幸	'bɐt _hɐŋ 'dzʊŋ 'dzi _dai _hɐŋ	
不学无术	'bɐt _hɔk ˌmou _sœt	
不义之财	'bɐt _ji 'dzi ˌtsɔi	
不二法门	'bɐt _ji ¯fat ˌmun	
不二价	'bɐt _ji ¯ga	
不亦乐乎	'bɐt _jik _lɔk ˌfu	
不翼而飞	'bɐt _jik ˌji 'fei	
毕业	'bɐt _jip	
毕业生	'bɐt _jip 'saŋ	
毕业典礼	'bɐt _jip ´din ˏlɐi	
毕业相	'bɐt _jip ´sœŋ	毕业照
不悦	'bɐt _jyt	
不孕	'bɐt _jɐn	
不孕症	'bɐt _jɐn ¯dzɪŋ	
不入虎穴	'bɐt _jɐp ´fu _jyt	
不夜城	'bɐt _jɛ ˌsɪŋ	
不及	'bɐt _kɐp	
不及物动词	'bɐt _kɐp _mɐt _dʊŋ ˌtsi	
不及格	'bɐt _kɐp ¯gak	
抔垃圾	'bɐt _lap ¯sap	撮垃圾
不利	'bɐt _lei	
筚路蓝缕	'bɐt _lou ˌlam ˏlœy	
不论	'bɐt _lœn	
不吝赐教	'bɐt _lœn ¯tsi ¯gau	
不吝指正	'bɐt _lœn ´dzi ¯dzɪŋ	
不论怎么	'bɐt _lœn ´dzɐm 'mɔ	
不论怎样	'bɐt _lœn ´dzɐm _jœŋ	
不论如何	'bɐt _lœn ˌjy ˌhɔ	
不寐	'bɐt _mei	
笔帽	'bɐt _mou	
不务正业	'bɐt _mou ¯dzɪŋ _jip	
笔墨	'bɐt _mɐk	
不问	'bɐt _mɐn	
不问青红皂白	'bɐt _mɐn 'tsɪŋ ˌhʊŋ _dzou _bak	
不问是非曲直	'bɐt _mɐn _si 'fei 'kʊk _dzik	
不问前因后果	'bɐt _mɐn ˌtsin 'jɐn _hɐu ´gwɔ	
毕命	'bɐt _mɪŋ	
不奈烦	'bɐt _nɔi ˌfan	
不食人间烟火	'bɐt _sik ˌjɐn 'gan 'jin ´fɔ	
不善	'bɐt _sin	
不善于	'bɐt _sin 'jy	
不慎	'bɐt _sɐn	
不实	'bɐt _sɐt	
不受欢迎	'bɐt _sɐu 'fun ˌjɪŋ	
不惑之年	'bɐt _wak 'dzi ˌnin	
不外乎	'bɐt _ŋɔi ˌfu	
不战而败	'bɐt ¯dzin ˌji _bai	
不战而退	'bɐt ¯dzin ˌji ¯tœy	
不进则退	'bɐt ¯dzœn 'dzɐk ¯tœy	
不再	'bɐt ¯dzɔi	
不对劲	'bɐt ¯dœy _gɪŋ	
不当	'bɐt ¯dɔŋ	
不冻港	'bɐt ¯dʊŋ ´gɔŋ	
不费吹灰之力	'bɐt ¯fɐi 'tsœy 'fui 'dzi _lik	
笔记	'bɐt ¯gei	
笔记本	'bɐt ¯gei ´bun	
不见不散	'bɐt ¯gin 'bɐt ¯san	
不见棺材不掉泪	'bɐt ¯gin 'gun ˌtsɔi 'bɐt _diu _lœy	
不见经传	'bɐt ¯gin 'gɪŋ ˌtsyn	
不见天日	'bɐt ¯gin 'tin _jɐt	
不告而别	'bɐt ¯gou ˌji _bit	
不过	'bɐt ¯gwɔ	
不过如此	'bɐt ¯gwɔ ˌjy ´tsi	
不计其数	'bɐt ¯gɐi ˌkei ¯sou	
不够	'bɐt ¯gɐu	
不孝	'bɐt ¯hau	
不孝子	'bɐt ¯hau ´dzi	
不孝有三	'bɐt ¯hau ˏjɐu 'sam	
不厌其烦	'bɐt ¯jim ˌkei ˌfan	
不厌其详	'bɐt ¯jim ˌkei ˌtsœŋ	
不亢不卑	'bɐt ¯kɔŋ 'bɐt 'bei	
不屑	'bɐt ¯sit	
不屑一顾	'bɐt ¯sit 'jɐt ¯gu	
不逊	'bɐt ¯sœn	
不锈钢	'bɐt ¯sɐu ¯gɔŋ	
笔塔	'bɐt ¯tap	笔帽，笔套
不吐不快	'bɐt ¯tou 'bɐt ¯fai	
不切实际	'bɐt ¯tsit _sɐt ¯dzɐi	
不切题	'bɐt ¯tsit ˌtɐi	
不透明	'bɐt ¯tɐu ˌmɪŋ	
不打不相识	'bɐt ´da 'bɐt 'sœŋ 'sik	
不打自招	'bɐt ´da _dzi 'dziu	
不倒翁	'bɐt ´dou 'jʊŋ	
不只	'bɐt ´dzi	
笔嘴	'bɐt ´dzœy	笔尖儿，钢笔尖儿
不假思索	'bɐt ´ga 'si ¯sak	
不管	'bɐt ´gun	
不管三七二十一	'bɐt ´gun 'sam 'tsɐt _ji _sɐp 'jɐt	
不敢当	'bɐt ´gɐm 'dɔŋ	
不仅	'bɐt ´gɐn	
不仅仅	'bɐt ´gɐn ´gɐn	
笔杆	'bɐt ´gɔn	
毕竟	'bɐt ´gɪŋ	
不景气	'bɐt ´gɪŋ ¯hei	
不喜欢	'bɐt ´hei 'fun	
不好	'bɐt ´hou	
不可知论	'bɐt ´hɔ 'dzi _lœn	
不可捉摸	'bɐt ´hɔ 'dzʊk ´mɔ	
不可终日	'bɐt ´hɔ 'dzʊŋ _jɐt	
不可多得	'bɐt ´hɔ 'dɔ 'dɐk	
不可开交	'bɐt ´hɔ 'hɔi 'gau	
不可一世	'bɐt ´hɔ 'jɐt ¯sɐi	
不可思议	'bɐt ´hɔ 'si ˏji	
不可收拾	'bɐt ´hɔ 'sɐu _sɐp	
不可避免	'bɐt ´hɔ _bei ˏmin	
不可限量	'bɐt ´hɔ _han _lœŋ	
不可或缺	'bɐt ´hɔ _wak ¯kyt	
不可战胜	'bɐt ´hɔ ¯dzin ¯sɪŋ	
不可告人	'bɐt ´hɔ ¯gou ˌjɐn	
不可救药	'bɐt ´hɔ ¯gɐu _jœk	
不可数	'bɐt ´hɔ ´sou	
不可想像	'bɐt ´hɔ ´sœŋ _dzœŋ	
不可言喻	'bɐt ´hɔ ˌjin _jy	
不可逾越	'bɐt ´hɔ ˌjy _jyt	
不可磨灭	'bɐt ´hɔ ˌmɔ _mit	
不可名状	'bɐt ´hɔ ˌmɪŋ _dzɔŋ	
不可能	'bɐt ´hɔ ˌnɐŋ	
不可旁贷	'bɐt ´hɔ ˌpɔŋ ¯tai	
不可同日而语	'bɐt ´hɔ ˌtʊŋ _jɐt ˌji ˏjy	
不可理喻	'bɐt ´hɔ ˏlei _jy	
不可讳言	'bɐt ´hɔ ˏwɐi ˌjin	
不忍	'bɐt ´jɐn	
不忍卒睹	'bɐt ´jɐn 'dzœt ´dou	
不忍心	'bɐt ´jɐn 'sɐm	
笔刨	'bɐt ´pau	铅笔刀，转笔刀，削铅笔器
[抔]水	'bɐt ´sœy	舀水
不守信用	'bɐt ´sɐu ¯sœn _jʊŋ	
不吵不闹	'bɐt ´tsau 'bɐt _nau	
不耻	'bɐt ´tsi	
不耻下问	'bɐt ´tsi _ha _mɐn	
不请自来	'bɐt ´tsɪŋ _dzi ˌlɔi	
不妥	'bɐt ´tɔ	
笔画	'bɐt ´wa	
不凡	'bɐt ˌfan	
不妨	'bɐt ˌfɔŋ	
不含	'bɐt ˌhɐm	
不含税	'bɐt ˌhɐm ¯sœy	
不含糊	'bɐt ˌhɐm ˌwu	
不寒而栗	'bɐt ˌhɔn ˌji _lœt	
不吭一声	'bɐt ˌhɔŋ 'jɐt 'sɪŋ	
不吭声	'bɐt ˌhɔŋ 'sɪŋ	
不宜	'bɐt ˌji	不如
不宜	'bɐt ˌji	
不然	'bɐt ˌjin	
不言而喻	'bɐt ˌjin ˌji _jy	
不如	'bɐt ˌjy	
不如下次先啦	'bɐt ˌjy _ha ¯tsi 'sin 'la	下次吧
不容	'bɐt ˌjʊŋ	
不容分说	'bɐt ˌjʊŋ 'fɐn ¯syt	
不容置辩	'bɐt ˌjʊŋ ¯dzi _bin	
不容置疑	'bɐt ˌjʊŋ ¯dzi ˌji	
不劳而获	'bɐt ˌlou ˌji _wɔk	
不伦不类	'bɐt ˌlœn 'bɐt _lœy	
不无	'bɐt ˌmou	
不无可疑	'bɐt ˌmou ´hɔ ˌji	
不无可疑之处	'bɐt ˌmou ´hɔ ˌji 'dzi ¯tsy	
不明不白	'bɐt ˌmɪŋ 'bɐt _bak	
不平则鸣	'bɐt ˌpɪŋ 'dzɐk ˌmɪŋ	
不平等条约	'bɐt ˌpɪŋ ´dɐŋ ˌtiu ¯jœk	
不平而鸣	'bɐt ˌpɪŋ ˌji ˌmɪŋ	
不时	'bɐt ˌsi	不定时地，每时每刻，无时无刻，时时刻刻
不成体统	'bɐt ˌsɪŋ ´tɐi ´tʊŋ	
不前不后	'bɐt ˌtsin 'bɐt _hɐu	
不详	'bɐt ˌtsœŋ	
不停	'bɐt ˌtɪŋ	
不同点	'bɐt ˌtʊŋ ´dim	
不同凡响	'bɐt ˌtʊŋ ˌfan ´hœŋ	
不同以往	'bɐt ˌtʊŋ ˏji ˏwɔŋ	
不怀好意	'bɐt ˌwai ´hou ¯ji	
不遗余力	'bɐt ˌwɐi ˌjy _lik	
不和	'bɐt ˌwɔ	
不遑	'bɐt ˌwɔŋ	
不以语人	'bɐt ˏji _jy ˌjɐn	
不以为苦	'bɐt ˏji ˌwɐi ´fu	
不以为然	'bɐt ˏji ˌwɐi ˌjin	
不予置评	'bɐt ˏjy ¯dzi ˌpɪŋ	
不远千里	'bɐt ˏjyn 'tsin ˏlei	
不远千里而来	'bɐt ˏjyn 'tsin ˏlei ˌji ˌlɔi	
笔友	'bɐt ˏjɐu	
不愧	'bɐt ˏkwɐi	
不冷不热	'bɐt ˏlaŋ 'bɐt _jit	
不理不睬	'bɐt ˏlei 'bɐt ´tsɔi	
不了了之	'bɐt ˏliu ˏliu 'dzi	
不免	'bɐt ˏmin	
不谋而合	'bɐt ˏmɐu ˌji _hɐp	
崩	'bɐŋ	破，缺
崩	'bɐŋ	分钱
崩装	'bɐŋ 'dzɔŋ	莫西干头
崩仔	'bɐŋ ´dzɐi	朋克，庞克
崩口	'bɐŋ ´hɐu	豁嘴，兔唇
崩口碗	'bɐŋ ´hɐu ´wun	缺口碗
崩口人忌崩口碗	'bɐŋ ´hɐu ˌjɐn _gei 'bɐŋ ´hɐu ´wun	当着矮子别说短话
崩溃	'bɐŋ ´kui	
崩牙	'bɐŋ ˌŋa	缺齿，缺牙
崩牙	'bɐŋ ˌŋa	缺齿
波	'bɔ	排档，档
波	'bɔ	奶，乳房
波	'bɔ	球
波珠	'bɔ 'dzy	滚珠，弹球，玻璃球
波飞	'bɔ 'fei	球票，球赛的票
玻璃	'bɔ 'lei	
玻璃杯	'bɔ 'lei 'bui	
玻璃樽	'bɔ 'lei 'dzœn	玻璃瓶
玻璃纤维	'bɔ 'lei 'tsim ˌwɐi	
玻璃窗	'bɔ 'lei 'tsœŋ	
玻璃试管	'bɔ 'lei ¯si ´gun	
波衫	'bɔ 'sam	球衣，运动衣
波恤	'bɔ 'sœt	球衣，绒衣，运动衣，卫生衣，长袖运动服
波路	'bɔ _lou	底细，情况，来头
波浪	'bɔ _lɔŋ	
波钵	'bɔ ¯but	球鞋，运动鞋
波裤	'bɔ ¯fu	球裤，运动裤
波罅	'bɔ ¯la	乳沟
菠菜	'bɔ ¯tsɔi	
波板	'bɔ ´ban	球拍，球拍子，乒乓球拍
波子	'bɔ ´dzi	玻璃球，弹球，滚珠
波子棋	'bɔ ´dzi ˌkei	跳棋
波帽	'bɔ ´mou	鸭舌帽
波士	'bɔ ´si	老板，总经理，大老板，上司
波鞋	'bɔ ˌhai	球鞋，运动鞋
波澜	'bɔ ˌlan	
菠萝	'bɔ ˌlɔ	凤梨
菠萝包	'bɔ ˌlɔ 'bau	波罗包
菠萝盖	'bɔ ˌlɔ ¯gɔi	膝盖骨
菠萝油	'bɔ ˌlɔ ˌjɐu	波罗包加牛油
波涛	'bɔ ˌtou	
波场	'bɔ ˌtsœŋ	球场
犦	'bɔk	敲，打，敲打
犦犦斋	'bɔk 'bɔk 'dzai	私塾
