開放粵語詞典（耶魯拼音數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
壓力計	aat8 lik9 gai3	
壓力鍋	aat8 lik9 wo1	
壓路	aat8 lou6	
壓路機	aat8 lou6 gei1	
壓馬路	aat8 ma5 lou6	
揠苗助長	aat8 miu4 jo6 jeung2	
壓平	aat8 ping4	
壓破	aat8 po3	
壓歲	aat8 seui3	
壓碎	aat8 seui3	
壓歲錢	aat8 seui3 chin4	
壓縮	aat8 suk7	
壓縮機	aat8 suk7 gei1	
壓縮空氣	aat8 suk7 hung1 hei3	
壓縮力	aat8 suk7 lik9	
壓抑	aat8 yik7	
壓延	aat8 yin4	
壓延機	aat8 yin4 gei1	
猰貐	aat8 yu5	
哎呀	ai1 a1	
IP	ai1 pi1	督察
唉聲歎氣	ai1 sing1 taan3 hei3	
哎吔	ai1 ya3	哎呀，哎喲
哎喲	ai1 yo1	
齷齪	ak7 chuk7	
握手	ak7 sau2	
扼腕	ak7 wun2	
鵪鶉	am1 seun4	
鵪鶉蛋	am1 seun4 daan6	
黯然銷魂	am2 yin4 siu1 wan4	
暗瘡	am3 chong1	粉刺，青春痘
暗礁	am3 jiu1	
暗戀	am3 lyun2	
暗示	am3 si6	
暗喻	am3 yu6	
罌粟花	ang1 suk7 fa1	
out	au1	過時，落伍
歐裔	au1 yeui6	
嘔	au2	吐，嘔吐
毆打	au2 da2	
嘔氣	au2 hei3	
嘔血	au2 hyut8	吐血
嘔心瀝血	au2 sam1 lik7 hyut8	
嘔心瀝血之作	au2 sam1 lik7 hyut8 ji1 jok8	
嘔吐	au2 tou3	
嘔吐物	au2 tou3 mat9	
凹凹凸凸	au3 au3 dat9 dat9	
凹槽	au3 chou4	
凹處	au3 chyu3	
凹凸不平	au3 dat9 bat7 ping4	
凹凸鏡	au3 dat9 geng3	
凹地	au3 dei6	
凹洞	au3 dung6	
凹鏡	au3 geng3	
凹陷	au3 haam6	
慪氣	au3 hei3	
凹透鏡	au3 tau3 geng3	
凹形	au3 ying4	
巴閉	ba1 bai3	了不起
疤痕	ba1 han4	
疤痕組織	ba1 han4 jou2 jik7	
巴揸	ba1 ja1	多嘴，愛管閒事
芭蕉	ba1 jiu1	
巴黎帽	ba1 lai4 mou2	貝雷帽
芭蕾舞	ba1 leui4 mou5	
芭蕾	ba1 leui5	
吧女	ba1 neui5	酒吧女服務員
巴士	ba1 si2	公車，巴士，公共汽車
巴士站	ba1 si2 jaam6	公車站，公共汽車站
巴士佬	ba1 si2 lou2	公車司機
把握	ba2 ak7	
把柄	ba2 beng3	
把持	ba2 chi4	
把風	ba2 fung1	
把幾火	ba2 gei2 fo2	很生氣
把關	ba2 gwaan1	
把鬼	ba2 gwai2	有什麼用，頂什麼用，白費勁，毫無用處
把戲	ba2 hei3	
把兄弟	ba2 hing1 dai6	
把盞	ba2 jaan2	
把酒	ba2 jau2	
罷啦	ba2 la1	吧
把脈	ba2 mak9	診脈，號脈
把炮	ba2 paau3	把握
把屁	ba2 pei3	有屁用，頂個屁用
把屁咩！	ba2 pei3 me1	有個屁用！
把勢	ba2 sai3	
把守	ba2 sau2	
把手	ba2 sau2	
把式	ba2 sik7	
把舦	ba2 taai5	掌舵
把玩	ba2 wun6	
霸	ba3	佔
霸道	ba3 dou6	
霸靚位	ba3 leng3 wai1	佔好位子
霸掗	ba3 nga6	霸道
霸位	ba3 wai2	佔位置，佔位子，佔位
霸王	ba3 wong4	應付錢而不付錢
罷黜	ba6 cheut7	
罷工	ba6 gung1	
罷就	ba6 jau6	算了，拉倒，罷了，作罷
罷了	ba6 liu5	
罷手	ba6 sau2	
罷休	ba6 yau1	
拜拜	baai1 baai3	再見，拜拜
擺	baai2	擺放
擺設	baai2 chit8	
擺檔	baai2 dong2	擺攤子
擺檔口	baai2 dong2 hau2	擺攤子
擺放	baai2 fong3	
擺供	baai2 gung3	
擺酒	baai2 jau2	擺酒席，辦酒席
擺甫士	baai2 pou1 si2	擺姿勢
擺脫	baai2 tyut8	
擺烏龍	baai2 wu1 lung2	弄錯，搞誤會
拜把	baai3 ba2	
拜把兄弟	baai3 ba2 hing1 dai6	
拜倒	baai3 dou2	
拜倒石榴裙之下	baai3 dou2 sek9 lau4 kwan4 ji1 ha6	
拜讀	baai3 duk9	
拜佛	baai3 fat7	
拜火教	baai3 fo2 gaau3	
拜訪	baai3 fong2	
拜金	baai3 gam1	
拜金主義	baai3 gam1 jyu2 yi6	
拜見	baai3 gin3	
拜祭	baai3 jai3	
拜袓先	baai3 jou2 sin1	
拜老師	baai3 lou5 si1	
拜廟	baai3 miu6	
拜偶像	baai3 ngau5 jeung6	
拜年	baai3 nin4	
拜票	baai3 piu3	
拜山	baai3 saan1	上墳，掃墓
拜神	baai3 san4	
拜師	baai3 si1	
拜師學藝	baai3 si1 hok9 ngai6	
拜天地	baai3 tin1 dei6	
拜托	baai3 tok8	
拜揖	baai3 yap7	
敗北	baai6 bak7	
敗家	baai6 ga1	
敗家仔	baai6 ga1 jai2	敗家子
敗家精	baai6 ga1 jing1	敗家子
敗軍	baai6 gwan1	
敗興	baai6 hing3	
敗興而歸	baai6 hing3 yi4 gwai1	
敗血病	baai6 hyut8 bing6	
敗血症	baai6 hyut8 jing3	
敗陣	baai6 jan6	
敗者為寇	baai6 je2 wai4 kau3	
敗仗	baai6 jeung3	
敗將	baai6 jeung3	
敗類	baai6 leui6	
敗落	baai6 lok9	
敗絮	baai6 seui5	
敗絮其中	baai6 seui5 kei4 jung1	
敗事有餘	baai6 si6 yau5 yu4	
敗訴	baai6 sou3	
敗退	baai6 teui3	
敗壞	baai6 waai6	
敗胃	baai6 wai6	
迫不得已	baak7 bat7 dak7 yi5	
迫切	baak7 chit8	
迫近	baak7 gan6	
迫擊炮	baak7 gik7 paau3	
迫害	baak7 hoi6	
迫在眉睫	baak7 joi6 mei4 jit9	
迫使	baak7 si2	
迫於形勢	baak7 yu1 ying4 sai3	
伯伯	baak8 baak8	
百病	baak8 bing6	
百病叢生	baak8 bing6 chung4 sang1	
百步穿楊	baak8 bou6 chyun1 yeung4	
百般	baak8 bun1	
百讀不厭	baak8 duk9 bat7 yim3	
百花齊放	baak8 fa1 chai4 fong3	
百花爭艷	baak8 fa1 jang1 yim6	
百花怒放	baak8 fa1 nou6 fong3	
百發百中	baak8 faat8 baak8 jung3	
百分點	baak8 fan1 dim2	
百科	baak8 fo1	
百科全書	baak8 fo1 chyun4 syu1	
百科全書	baak8 fo1 chyun4 syu1	百科全書
百貨	baak8 fo3	
百貨店	baak8 fo3 dim3	
百貨公司	baak8 fo3 gung1 si1	
百貨商場	baak8 fo3 seung1 cheung4	
百貨商店	baak8 fo3 seung1 dim3	
百貨業	baak8 fo3 yip9	
伯父	baak8 fu6	
百感交集	baak8 gam2 gaau1 jaap9	
白鴿	baak8 gap2	
百香果	baak8 heung1 gwo2	
百香果汁	baak8 heung1 gwo2 jap7	
百看不厭	baak8 hon3 bat7 yim3	
百褶裙	baak8 jip8 kwan4	
百折不撓	baak8 jit8 bat7 naau4	
百足	baak8 juk7	蜈蚣
百里香	baak8 lei5 heung1	
百煉成鋼	baak8 lin6 sing4 gong3	
百靈	baak8 ling4	
百靈鳥	baak8 ling4 niu5	
百萬	baak8 maan6	
百萬富翁	baak8 maan6 fu3 yung1	
百萬雄師	baak8 maan6 hung4 si1	
百米	baak8 mai5	
百米賽跑	baak8 mai5 choi3 paau2	
百聞不如一見	baak8 man4 bat7 yu4 yat7 gin3	
百物	baak8 mat9	
百無禁忌	baak8 mou4 gam3 gei6	
百無聊賴	baak8 mou4 liu4 laai6	
百無一長	baak8 mou4 yat7 cheung4	
百無一失	baak8 mou4 yat7 sat7	
百衲本	baak8 naap9 bun2	
百衲衣	baak8 naap9 yi1	
百身莫贖	baak8 san1 mok9 suk9	
百獸之王	baak8 sau3 ji1 wong4	
百思不得其解	baak8 si1 bat7 dak7 kei4 gaai2	
伯爺	baak8 ye1	父親
伯爺公	baak8 ye1 gung1	老大爺，老頭兒
伯爺婆	baak8 ye1 po2	老婆婆，老太婆
百厭	baak8 yim3	調皮，淘氣
百厭仔	baak8 yim3 jai2	淘氣鬼
百葉窗	baak8 yip9 cheung1	
白矮星	baak9 ai2 sing1	
白布	baak9 bou3	
白車	baak9 che1	救護車
白灼	baak9 cheuk8	水煮，清煮，涮
白灼蝦	baak9 cheuk8 ha1	清煮蝦
白癡	baak9 chi1	
白菜	baak9 choi3	
白醋	baak9 chou3	
白花	baak9 fa1	
白化	baak9 fa3	
白飯	baak9 faan6	
白髮	baak9 faat8	
白費	baak9 fai3	
白費力氣	baak9 fai3 lik9 hei3	
白費心機	baak9 fai3 sam1 gei1	
白粉	baak9 fan2	海洛因，白麵兒
白粉檔	baak9 fan2 dong3	販賣毒品的場所
白霍	baak9 fok8	輕浮，囂張，浮誇
白霍友	baak9 fok8 yau2	好出風頭的人，愛吹噓自己的人，傲慢的人
白灰	baak9 fui1	
帛金	baak9 gam1	
白金	baak9 gam1	
白鍵	baak9 gin6	
白果	baak9 gwo2	
白光	baak9 gwong1	
白開水	baak9 hoi1 seui2	
白鶴	baak9 hok9	
白熊	baak9 hung4	
白血病	baak9 hyut8 beng6	
白血球	baak9 hyut8 kau4	
白斬雞	baak9 jaam2 gai1	白切雞
白酒	baak9 jau2	
白晝	baak9 jau3	
白紙	baak9 ji2	
白紙黑字	baak9 ji2 hak7 ji6	
白淨	baak9 jing6	白嫩
白撞雨	baak9 jong6 yu5	過雲雨
白做	baak9 jou6	白幹一場
白粥	baak9 juk7	稀飯，稀粥
白旗	baak9 kei4	
白鯨	baak9 king4	
白蘭	baak9 laan4	
白蘭地	baak9 laan4 dei6	
白蘭花	baak9 laan4 fa1	
白蓮教	baak9 lin4 gaau3	
白領	baak9 ling5	
白領階級	baak9 ling5 gaai1 kap7	
白鷺	baak9 lou6	
白馬王子	baak9 ma5 wong4 ji2	
白貓	baak9 maau1	
白米	baak9 mai5	
白面	baak9 min6	
白面書生	baak9 min6 syu1 sang1	
白木耳	baak9 muk9 yi5	
白蒙蒙	baak9 mung1 mung1	雪白雪白的
白眼	baak9 ngaan5	
白蟻	baak9 ngai5	
白銀	baak9 ngan4	
白堊紀	baak9 ok8 gei2	
白皮書	baak9 pei4 syu1	
白沙	baak9 sa1	
白紗	baak9 sa1	
白嘥	baak9 saai1	白費
白手	baak9 sau2	
白首	baak9 sau2	
白手起家	baak9 sau2 hei2 ga1	
白水	baak9 seui2	
白皙	baak9 sik7	
白色	baak9 sik7	
白蝕	baak9 sik9	汗斑
白鼠	baak9 syu2	
白薯	baak9 syu4	
白雪雪	baak9 syut7 syut7	白白的，雪白
白雪	baak9 syut8	
白頭到老	baak9 tau4 dou3 lou5	
白頭偕老	baak9 tau4 gaai1 lou5	
白頭翁	baak9 tau4 yung1	
白糖	baak9 tong4	
白話	baak9 wa2	
白話	baak9 wa2	本地話，廣州話，廣府話，廣東話
白話文	baak9 wa2 man4	
白話文學	baak9 wa2 man4 hok9	
白雲	baak9 wan4	
白日夢	baak9 yat9 mung6	
白油	baak9 yau2	醬油
白楊	baak9 yeung4	
白楊樹	baak9 yeung4 syu6	
白衣天使	baak9 yi1 tin1 si3	
白熱	baak9 yit9	
白熱化	baak9 yit9 fa3	
白玉	baak9 yuk9	
白肉	baak9 yuk9	
班	baan1	糾合，糾集，拉隊伍，糾集同伙
班	baan1	群，伙
班兵	baan1 bing1	請援兵，請人幫忙，請求援助，搬兵
班車	baan1 che1	
班次	baan1 chi3	
班底	baan1 dai2	
班代表	baan1 doi6 biu2	
班房	baan1 fong2	教室，課室
斑鳩	baan1 gau1	
瘢痕	baan1 han4	
班長	baan1 jeung2	
頒獎	baan1 jeung2	
頒獎典禮	baan1 jeung2 din2 lai5	
頒獎禮	baan1 jeung2 lai2	
班主任	baan1 jyu2 yam6	
班戟	baan1 kik7	薄煎餅，薄烤餅，熱香餅
斑斕	baan1 laan4	
斑馬	baan1 ma5	
班馬	baan1 ma5	搬救兵，召集黨徒，召集羽翼
班門弄斧	baan1 mun4 lung6 fu2	
班師	baan1 si1	
班師回朝	baan1 si1 wui4 chiu4	
板	baan2	板子
版本	baan2 bun2	
板凳	baan2 dang3	
板塊	baan2 faai3	
板障	baan2 jeung3	板牆，板壁
版權	baan2 kyun4	
版權所有	baan2 kyun4 so2 yau5	
扮煮飯仔	baan3 jyu2 faan6 jai2	過家家，玩過家家，扮家家酒
扮	baan6	裝，裝作
湴	baan6	爛泥，稀泥
扮得意	baan6 dak7 yi3	裝可愛
扮代表	baan6 doi6 biu2	裝模作樣
辦法	baan6 faat8	
辦公室	baan6 gung1 sat7	
扮豬食老虎	baan6 jyu1 sik9 lou5 fu2	佯裝愚蠢，裝瘋賣傻來佔便宜
扮靚	baan6 leng3	打扮，打扮得漂漂亮亮
扮晒嘢	baan6 saai3 ye5	裝模作樣
辦事	baan6 si6	
辦事處	baan6 si6 chyu3	
扮聽唔到	baan6 teng1 m4 dou2	裝作沒聽見
辦妥	baan6 to2	
扮嘢	baan6 ye5	裝模作樣，裝樣子，裝蒜，出風頭
扮演	baan6 yin2	
扮英雄	baan6 ying1 hung4	充英雄
蹦蹦跳跳	baang6 baang6 tiu3 tiu3	
繃帶	baang6 daai3	
繃緊	baang6 gan2	
八	baat8	八卦的，愛管閒事的
八寶	baat8 bou2	
八寶飯	baat8 bou2 faan6	
八寶粥	baat8 bou2 juk7	
八點	baat8 dim2	
八點鐘	baat8 dim2 jung1	
八九不離十	baat8 gau2 bat7 lei4 sap9	
八個字	baat8 go3 ji6	四十分鍾
八角	baat8 gok8	
八角形	baat8 gok8 ying4	
八股	baat8 gu2	
八股文	baat8 gu2 man4	
八卦	baat8 gwa3	愛管閒事
八卦妹	baat8 gwa3 mui1	愛管閒事的女孩
八卦婆	baat8 gwa3 po2	三八，饒舌婦
八國聯軍	baat8 gwok8 lyun4 gwan1	
八爪魚	baat8 jaau2 yu4	章魚
八字	baat8 ji6	
八級	baat8 kap7	
八路軍	baat8 lou6 gwan1	
八面玲瓏	baat8 min6 ling4 lung4	
八妹	baat8 mui1	愛管閒事的女孩
八年級	baat8 nin4 kap7	
八婆	baat8 po4	三八，饒舌婦
八十	baat8 sap9	
八仙	baat8 sin1	
八仙過海	baat8 sin1 gwo3 hoi2	
八成	baat8 sing4	
八月	baat8 yut9	
八月份	baat8 yut9 fan6	
包	baau1	保證
褒貶	baau1 bin2	
包袱	baau1 fuk9	
包裹	baau1 gwo2	
包含	baau1 ham4	
包裝	baau1 jong1	
包租	baau1 jou1	租房又分租給他人
包租公	baau1 jou1 gung1	二房東
包租婆	baau1 jou1 po2	二房東太太，二房東，女二房東
包粽	baau1 jung2	包粽子
包括	baau1 kut8	
包廂	baau1 seung1	
包二奶	baau1 yi6 naai1	有情婦，養小老婆
鮑魚	baau1 yu4	
包容	baau1 yung4	
飽餐	baau2 chaan1	
飽擦一輪	baau2 chaat8 yat7 leun4	飽吃一頓
飽嗝	baau2 gaak8	
飽經	baau2 ging1	
飽經滄桑	baau2 ging1 chong1 song1	
飽經風霜	baau2 ging1 fung1 seung1	
飽經世故	baau2 ging1 sai3 gu3	
飽含	baau2 ham4	
飽學	baau2 hok9	
飽學之士	baau2 hok9 ji1 si6	
飽滿	baau2 mun5	
飽暖	baau2 nyun5	
飽暖思淫慾	baau2 nyun5 si1 yam4 yuk9	
飽受	baau2 sau6	
飽死	baau2 sei2	臭美
飽死我啦！	baau2 sei2 ngo5 la3	飽到要爆炸
飽嚐	baau2 seung4	
飽食	baau2 sik9	
飽食終日	baau2 sik9 jung1 yat9	
飽和	baau2 wo4	
飽和點	baau2 wo4 dim2	
飽和度	baau2 wo4 dou6	
飽和狀態	baau2 wo4 jong6 taai3	
爆	baau3	炸，破裂
爆煲	baau3 bou1	露餡兒，暴露
爆坼	baau3 chaak8	皮膚皴裂
爆粗口	baau3 chou1 hau2	說粗話
爆發	baau3 faat8	
爆火	baau3 fo2	發脾氣
爆穀	baau3 guk7	爆米花，玉米花兒
爆炸	baau3 ja3	
爆樽	baau3 jeun1	砸瓶
爆棚	baau3 paang4	賣座
爆肽	baau3 taai1	破輪胎
鮑魚	baau6 yu4	
跛	bai1	瘸
跛腳	bai1 geuk8	瘸腳
跛腳佬	bai1 geuk8 lou2	瘸子，跛子
跛手	bai1 sau2	瘸胳膊
贔屭	bai3 ai3	
閉關	bai3 gwaan1	
閉關自守	bai3 gwaan1	
閉路	bai3 lou6	
閉路電視	bai3 lou6 din6 si6	
閉幕	bai3 mok9	
閉幕典禮	bai3 mok9 din2 lai5	
閉幕式	bai3 mok9 sik7	
閉目	bai3 muk9	
閉目養神	bai3 muk9 yeung5 san4	
閉門	bai3 mun4	
閉門謝客	bai3 mun4 je6 haak8	
閉門造車	bai3 mun4 jou6 che1	
閉眼	bai3 ngaan5	
閉翳	bai3 ngai3	憂愁，愁悶，發愁，心情抑郁
閉塞	bai3 sak7	
閉會	bai3 wui6	
閉月羞花	bai3 yut9 sau1 fa1	
弊	bai6	糟，壞
弊傢伙	bai6 ga1 fo2	糟糕
陛下	bai6 ha6	
弊喇	bai6 la3	糟了，完了，壞了，糟糕
敝履	bai6 lei5	
狴犴	bai6 ngon6	
弊案	bai6 on3	
敝人	bai6 yan4	
北便	bak7 bin6	北邊
北部	bak7 bou6	
北斗星	bak7 dau2 sing1	
北方	bak7 fong1	
北極	bak7 gik9	
北極熊	bak7 gik9 hung4	
北芪	bak7 kei4	黃芪
北佬	bak7 lou2	北方人
泵把	bam1 ba2	保險桿
泵車	bam1 che1	抽水車，消防車
泵氣	bam1 hei3	打氣
泵水	bam1 seui2	抽水
彬彬有禮	ban1 ban1 yau5 lai5	
奔波	ban1 bo1	
奔流	ban1 bo1	
奔馳	ban1 chi4	
繽紛	ban1 fan1	
奔放	ban1 fong3	
奔赴	ban1 fu6	
賓館	ban1 gun2	
賓仔	ban1 jai2	菲律賓少年
奔走	ban1 jau2	
檳榔	ban1 long4	
檳榔汁	ban1 long4 jap7	
賓佬	ban1 lou2	菲律賓人
奔馬	ban1 ma5	
奔命	ban1 ming6	
賓妹	ban1 mui1	菲律賓少女；菲傭，菲籍女傭
奔跑	ban1 paau2	
賓婆	ban1 po2	菲律賓人
奔喪	ban1 song1	
奔騰	ban1 tang4	
奔逃	ban1 tou4	
奔躍	ban1 yeuk9	
品茶	ban2 cha4	
品德	ban2 dak7	
品格	ban2 gaak8	
品格高尚	ban2 gaak8 gou1 seung6	
品管	ban2 gun2	
品行	ban2 hang6	
品學	ban2 hok9	
品學兼優	ban2 hok9 gim1 yau1	
品紅	ban2 hung4	
品質	ban2 jat7	
品質管制	ban2 jat7 gun2 jai3	
品種	ban2 jung2	
品種改良	ban2 jung2 goi2 leung4	
品級	ban2 kap7	
品藍	ban2 laam4	
品類	ban2 leui6	
品綠	ban2 luk9	
品貌	ban2 maau6	
品貌出眾	ban2 maau6 cheut7 jung3	
品貌雙全	ban2 maau6 seung1 chyun4	
品味	ban2 mei6	
品茗	ban2 ming5	
品目	ban2 muk9	
品牌	ban2 paai4	
品評	ban2 ping4	
品嚐	ban2 seung4	
品性	ban2 sing3	
品頭論足	ban2 tau4 leun6 juk7	
品位	ban2 wai6	
鬢邊	ban3 bin1	
鬢髮	ban3 faat8	
鬢髮皆白	ban3 faat8 gaai1 baak9	
鬢髮皓然	ban3 faat8 hou6 yin4	
鬢角	ban3 gok8	
擯棄	ban3 hei3	
殯殮	ban3 lim5	
鬢霜	ban3 seung1	
殯儀館	ban3 yi4 gun2	
笨豬跳	ban6 jyu1 tiu3	蹦極跳，高空彈跳
笨拙	ban6 jyut8	
崩	bang1	分錢
崩	bang1	破，缺
崩口	bang1 hau2	豁嘴，兔唇
崩口碗	bang1 hau2 wun2	缺口碗
崩口人忌崩口碗	bang1 hau2 yan4 gei6 bang1 hau2 wun2	當著矮子別說短話
崩仔	bang1 jai2	朋克，龐克
崩裝	bang1 jong1	莫西干頭
崩潰	bang1 kui2	
崩牙	bang1 nga4	缺齒
崩牙	bang1 nga4	缺齒，缺牙
[抔]	bat7	舀，盛
不諳	bat7 am1	
不卑不亢	bat7 bei1 bat7 kong3	
不便	bat7 bin6	
不辯菽麥	bat7 bin6 suk9 mak9	
不必	bat7 bit7	
不吵不鬧	bat7 chaau2 bat7 naau6	
不詳	bat7 cheung4	
不出所料	bat7 cheut7 so2 liu6	
不恥	bat7 chi2	
不恥下問	bat7 chi2 ha6 man6	
不前不後	bat7 chin4 bat7 hau6	
不請自來	bat7 ching2 ji6 loi4	
不切實際	bat7 chit8 sat9 jai3	
不切題	bat7 chit8 tai4	
不速之客	bat7 chuk7 ji1 haak8	
不打不相識	bat7 da2 bat7 seung1 sik7	
不打自招	bat7 da2 ji6 jiu1	
不大不小	bat7 daai6 bat7 siu2	
不單	bat7 daan1	
不得	bat7 dak7	
不得不	bat7 dak7 bat7	
不得好死	bat7 dak7 hou2 sei2	
不得其法	bat7 dak7 kei4 faat8	
不得其解	bat7 dak7 kei4 gaai2	
不得了	bat7 dak7 liu5	
不得人心	bat7 dak7 yan4 sam1	
不得而知	bat7 dak7 yi4 ji1	
不得已	bat7 dak7 yi5	
不得要領	bat7 dak7 yiu3 ling5	
不特	bat7 dak9	不但，不僅，不光
不對勁	bat7 deui3 ging6	
不定	bat7 ding6	
不定詞	bat7 ding6 chi4	
不定根	bat7 ding6 gan1	
不定冠詞	bat7 ding6 gun3 chi4	
不定期	bat7 ding6 kei4	
不定量	bat7 ding6 leung6	
不定形	bat7 ding6 ying4	
不當	bat7 dong3	
不倒翁	bat7 dou2 yung1	
不凍港	bat7 dung3 gong2	
不動產	bat7 dung6 chaan2	
不動聲色	bat7 dung6 sing1 sik7	
不凡	bat7 faan4	
[抔]飯	bat7 faan6	盛飯
不費吹灰之力	bat7 fai3 cheui1 fui1 ji1 lik9	
不分彼此	bat7 fan1 bei2 chi2	
不分青紅皂白	bat7 fan1 ching1 hung4 jou6 baak9	
不分軒輊	bat7 fan1 hin1 ji3	
不分輕重緩急	bat7 fan1 hing1 chung5 wun6 gap7	
不分晝夜	bat7 fan1 jau3 ye6	
不分皂白	bat7 fan1 jou6 baak9	
不分男女老幼	bat7 fan1 naam4 neui5 lou5 yau3	
不乏其人	bat7 fat9 kei4 yan4	
不慌不忙	bat7 fong1 bat7 mong4	
不妨	bat7 fong4	
不負眾望	bat7 fu6 jung3 mong6	
不假思索	bat7 ga2 si1 saak8	
不計其數	bat7 gai3 kei4 sou3	
不甘	bat7 gam1	
不禁	bat7 gam1	
不甘寂寞	bat7 gam1 jik9 mok9	
不甘心	bat7 gam1 sam1	
不甘示弱	bat7 gam1 si6 yeuk9	
不敢當	bat7 gam2 dong1	
不僅	bat7 gan2	
不僅僅	bat7 gan2 gan2	
不急不徐	bat7 gap7 bat7 cheui4	
不急之務	bat7 gap7 ji1 mou6	
不夠	bat7 gau3	
不覊	bat7 gei1	
筆記	bat7 gei3	
筆記本	bat7 gei3 bun2	
不見不散	bat7 gin3 bat7 saan3	
不見經傳	bat7 gin3 ging1 chyun4	
不見棺材不掉淚	bat7 gin3 gun1 choi4 bat7 diu6 leui6	
不見天日	bat7 gin3 tin1 yat9	
不經一事，不長一智	bat7 ging1 yat7 si6 bat7 jeung2 yat7 ji3	
畢竟	bat7 ging2	
不景氣	bat7 ging2 hei3	
筆桿	bat7 gon2	
不告而別	bat7 gou3 yi4 bit9	
不管	bat7 gun2	
不管三七二十一	bat7 gun2 saam1 chat7 yi6 sap9 yat7	
筆供	bat7 gung1	
畢恭畢敬	bat7 gung1 bat7 ging3	
不公不義	bat7 gung1 bat7 yi6	
不共戴天	bat7 gung6 daai3 tin1	
不共戴天之仇	bat7 gung6 daai3 tin1 ji1 sau4	
不關痛癢	bat7 gwaan1 tung3 yeung5	
不過	bat7 gwo3	
不過如此	bat7 gwo3 yu4 chi2	
