开放粤语词典（耶鲁拼音数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
压路机	aat8 lou6 gei1	
压马路	aat8 ma5 lou6	
揠苗助长	aat8 miu4 jo6 jeung2	
压平	aat8 ping4	
压破	aat8 po3	
压岁	aat8 seui3	
压碎	aat8 seui3	
压岁钱	aat8 seui3 chin4	
压缩	aat8 suk7	
压缩机	aat8 suk7 gei1	
压缩空气	aat8 suk7 hung1 hei3	
压缩力	aat8 suk7 lik9	
压抑	aat8 yik7	
压延	aat8 yin4	
压延机	aat8 yin4 gei1	
猰貐	aat8 yu5	
哎呀	ai1 a1	
IP	ai1 pi1	督察
唉声叹气	ai1 sing1 taan3 hei3	
哎吔	ai1 ya3	哎呀，哎哟
哎哟	ai1 yo1	
龌龊	ak7 chuk7	
握手	ak7 sau2	
扼腕	ak7 wun2	
鹌鹑	am1 seun4	
鹌鹑蛋	am1 seun4 daan6	
黯然销魂	am2 yin4 siu1 wan4	
暗疮	am3 chong1	粉刺，青春痘
暗礁	am3 jiu1	
暗恋	am3 lyun2	
暗示	am3 si6	
暗喻	am3 yu6	
罂粟花	ang1 suk7 fa1	
out	au1	过时，落伍
欧裔	au1 yeui6	
呕	au2	吐，呕吐
殴打	au2 da2	
呕气	au2 hei3	
呕血	au2 hyut8	吐血
呕心沥血	au2 sam1 lik7 hyut8	
呕心沥血之作	au2 sam1 lik7 hyut8 ji1 jok8	
呕吐	au2 tou3	
呕吐物	au2 tou3 mat9	
凹凹凸凸	au3 au3 dat9 dat9	
凹槽	au3 chou4	
凹处	au3 chyu3	
凹凸不平	au3 dat9 bat7 ping4	
凹凸镜	au3 dat9 geng3	
凹地	au3 dei6	
凹洞	au3 dung6	
凹镜	au3 geng3	
凹陷	au3 haam6	
怄气	au3 hei3	
凹透镜	au3 tau3 geng3	
凹形	au3 ying4	
巴闭	ba1 bai3	了不起
疤痕	ba1 han4	
疤痕组织	ba1 han4 jou2 jik7	
巴揸	ba1 ja1	多嘴，爱管闲事
芭蕉	ba1 jiu1	
巴黎帽	ba1 lai4 mou2	贝雷帽
芭蕾舞	ba1 leui4 mou5	
芭蕾	ba1 leui5	
吧女	ba1 neui5	酒吧女服务员
巴士	ba1 si2	公车，巴士，公共汽车
巴士站	ba1 si2 jaam6	公车站，公共汽车站
巴士佬	ba1 si2 lou2	公车司机
把握	ba2 ak7	
把柄	ba2 beng3	
把持	ba2 chi4	
把风	ba2 fung1	
把几火	ba2 gei2 fo2	很生气
把关	ba2 gwaan1	
把鬼	ba2 gwai2	有什么用，顶什么用，白费劲，毫无用处
把戏	ba2 hei3	
把兄弟	ba2 hing1 dai6	
把盏	ba2 jaan2	
把酒	ba2 jau2	
罢啦	ba2 la1	吧
把脉	ba2 mak9	诊脉，号脉
把炮	ba2 paau3	把握
把屁	ba2 pei3	有屁用，顶个屁用
把屁咩！	ba2 pei3 me1	有个屁用！
把势	ba2 sai3	
把守	ba2 sau2	
把手	ba2 sau2	
把式	ba2 sik7	
把舦	ba2 taai5	掌舵
把玩	ba2 wun6	
霸	ba3	占
霸道	ba3 dou6	
霸靓位	ba3 leng3 wai1	占好位子
霸挜	ba3 nga6	霸道
霸位	ba3 wai2	占位置，占位子，占位
霸王	ba3 wong4	应付钱而不付钱
罢黜	ba6 cheut7	
罢工	ba6 gung1	
罢就	ba6 jau6	算了，拉倒，罢了，作罢
罢了	ba6 liu5	
罢手	ba6 sau2	
罢休	ba6 yau1	
拜拜	baai1 baai3	再见，拜拜
摆	baai2	摆放
摆设	baai2 chit8	
摆档	baai2 dong2	摆摊子
摆档口	baai2 dong2 hau2	摆摊子
摆放	baai2 fong3	
摆供	baai2 gung3	
摆酒	baai2 jau2	摆酒席，办酒席
摆甫士	baai2 pou1 si2	摆姿势
摆脱	baai2 tyut8	
摆乌龙	baai2 wu1 lung2	弄错，搞误会
拜把	baai3 ba2	
拜把兄弟	baai3 ba2 hing1 dai6	
拜倒	baai3 dou2	
拜倒石榴裙之下	baai3 dou2 sek9 lau4 kwan4 ji1 ha6	
拜读	baai3 duk9	
拜佛	baai3 fat7	
拜火教	baai3 fo2 gaau3	
拜访	baai3 fong2	
拜金	baai3 gam1	
拜金主义	baai3 gam1 jyu2 yi6	
拜见	baai3 gin3	
拜祭	baai3 jai3	
拜袓先	baai3 jou2 sin1	
拜老师	baai3 lou5 si1	
拜庙	baai3 miu6	
拜偶像	baai3 ngau5 jeung6	
拜年	baai3 nin4	
拜票	baai3 piu3	
拜山	baai3 saan1	上坟，扫墓
拜神	baai3 san4	
拜师	baai3 si1	
拜师学艺	baai3 si1 hok9 ngai6	
拜天地	baai3 tin1 dei6	
拜托	baai3 tok8	
拜揖	baai3 yap7	
败北	baai6 bak7	
败家	baai6 ga1	
败家仔	baai6 ga1 jai2	败家子
败家精	baai6 ga1 jing1	败家子
败军	baai6 gwan1	
败兴	baai6 hing3	
败兴而归	baai6 hing3 yi4 gwai1	
败血病	baai6 hyut8 bing6	
败血症	baai6 hyut8 jing3	
败阵	baai6 jan6	
败者为寇	baai6 je2 wai4 kau3	
败仗	baai6 jeung3	
败将	baai6 jeung3	
败类	baai6 leui6	
败落	baai6 lok9	
败絮	baai6 seui5	
败絮其中	baai6 seui5 kei4 jung1	
败事有余	baai6 si6 yau5 yu4	
败诉	baai6 sou3	
败退	baai6 teui3	
败坏	baai6 waai6	
败胃	baai6 wai6	
迫不得已	baak7 bat7 dak7 yi5	
迫切	baak7 chit8	
迫近	baak7 gan6	
迫击炮	baak7 gik7 paau3	
迫害	baak7 hoi6	
迫在眉睫	baak7 joi6 mei4 jit9	
迫使	baak7 si2	
迫于形势	baak7 yu1 ying4 sai3	
伯伯	baak8 baak8	
百病	baak8 bing6	
百病丛生	baak8 bing6 chung4 sang1	
百步穿杨	baak8 bou6 chyun1 yeung4	
百般	baak8 bun1	
百读不厌	baak8 duk9 bat7 yim3	
百花齐放	baak8 fa1 chai4 fong3	
百花争艳	baak8 fa1 jang1 yim6	
百花怒放	baak8 fa1 nou6 fong3	
百发百中	baak8 faat8 baak8 jung3	
百分点	baak8 fan1 dim2	
百科	baak8 fo1	
百科全书	baak8 fo1 chyun4 syu1	
百科全书	baak8 fo1 chyun4 syu1	百科全书
百货	baak8 fo3	
百货店	baak8 fo3 dim3	
百货公司	baak8 fo3 gung1 si1	
百货商场	baak8 fo3 seung1 cheung4	
百货商店	baak8 fo3 seung1 dim3	
百货业	baak8 fo3 yip9	
伯父	baak8 fu6	
百感交集	baak8 gam2 gaau1 jaap9	
白鸽	baak8 gap2	
百香果	baak8 heung1 gwo2	
百香果汁	baak8 heung1 gwo2 jap7	
百看不厌	baak8 hon3 bat7 yim3	
百褶裙	baak8 jip8 kwan4	
百折不挠	baak8 jit8 bat7 naau4	
百足	baak8 juk7	蜈蚣
百里香	baak8 lei5 heung1	
百炼成钢	baak8 lin6 sing4 gong3	
百灵	baak8 ling4	
百灵鸟	baak8 ling4 niu5	
百万	baak8 maan6	
百万富翁	baak8 maan6 fu3 yung1	
百万雄师	baak8 maan6 hung4 si1	
百米	baak8 mai5	
百米赛跑	baak8 mai5 choi3 paau2	
百闻不如一见	baak8 man4 bat7 yu4 yat7 gin3	
百物	baak8 mat9	
百无禁忌	baak8 mou4 gam3 gei6	
百无聊赖	baak8 mou4 liu4 laai6	
百无一长	baak8 mou4 yat7 cheung4	
百无一失	baak8 mou4 yat7 sat7	
百衲本	baak8 naap9 bun2	
百衲衣	baak8 naap9 yi1	
百身莫赎	baak8 san1 mok9 suk9	
百兽之王	baak8 sau3 ji1 wong4	
百思不得其解	baak8 si1 bat7 dak7 kei4 gaai2	
伯爷	baak8 ye1	父亲
伯爷公	baak8 ye1 gung1	老大爷，老头儿
伯爷婆	baak8 ye1 po2	老婆婆，老太婆
百厌	baak8 yim3	调皮，淘气
百厌仔	baak8 yim3 jai2	淘气鬼
百叶窗	baak8 yip9 cheung1	
白矮星	baak9 ai2 sing1	
白布	baak9 bou3	
白车	baak9 che1	救护车
白灼	baak9 cheuk8	水煮，清煮，涮
白灼虾	baak9 cheuk8 ha1	清煮虾
白痴	baak9 chi1	
白菜	baak9 choi3	
白醋	baak9 chou3	
白花	baak9 fa1	
白化	baak9 fa3	
白饭	baak9 faan6	
白发	baak9 faat8	
白费	baak9 fai3	
白费力气	baak9 fai3 lik9 hei3	
白费心机	baak9 fai3 sam1 gei1	
白粉	baak9 fan2	海洛因，白面儿
白粉档	baak9 fan2 dong3	贩卖毒品的场所
白霍	baak9 fok8	轻浮，嚣张，浮夸
白霍友	baak9 fok8 yau2	好出风头的人，爱吹嘘自己的人，傲慢的人
白灰	baak9 fui1	
帛金	baak9 gam1	
白金	baak9 gam1	
白键	baak9 gin6	
白果	baak9 gwo2	
白光	baak9 gwong1	
白开水	baak9 hoi1 seui2	
白鹤	baak9 hok9	
白熊	baak9 hung4	
白血病	baak9 hyut8 beng6	
白血球	baak9 hyut8 kau4	
白斩鸡	baak9 jaam2 gai1	白切鸡
白酒	baak9 jau2	
白昼	baak9 jau3	
白纸	baak9 ji2	
白纸黑字	baak9 ji2 hak7 ji6	
白净	baak9 jing6	白嫩
白撞雨	baak9 jong6 yu5	过云雨
白做	baak9 jou6	白干一场
白粥	baak9 juk7	稀饭，稀粥
白旗	baak9 kei4	
白鲸	baak9 king4	
白兰	baak9 laan4	
白兰地	baak9 laan4 dei6	
白兰花	baak9 laan4 fa1	
白莲教	baak9 lin4 gaau3	
白领	baak9 ling5	
白领阶级	baak9 ling5 gaai1 kap7	
白鹭	baak9 lou6	
白马王子	baak9 ma5 wong4 ji2	
白猫	baak9 maau1	
白米	baak9 mai5	
白面	baak9 min6	
白面书生	baak9 min6 syu1 sang1	
白木耳	baak9 muk9 yi5	
白蒙蒙	baak9 mung1 mung1	雪白雪白的
白眼	baak9 ngaan5	
白蚁	baak9 ngai5	
白银	baak9 ngan4	
白垩纪	baak9 ok8 gei2	
白皮书	baak9 pei4 syu1	
白沙	baak9 sa1	
白纱	baak9 sa1	
白嘥	baak9 saai1	白费
白手	baak9 sau2	
白首	baak9 sau2	
白手起家	baak9 sau2 hei2 ga1	
白水	baak9 seui2	
白皙	baak9 sik7	
白色	baak9 sik7	
白蚀	baak9 sik9	汗斑
白鼠	baak9 syu2	
白薯	baak9 syu4	
白雪雪	baak9 syut7 syut7	白白的，雪白
白雪	baak9 syut8	
白头到老	baak9 tau4 dou3 lou5	
白头偕老	baak9 tau4 gaai1 lou5	
白头翁	baak9 tau4 yung1	
白糖	baak9 tong4	
白话	baak9 wa2	
白话	baak9 wa2	本地话，广州话，广府话，广东话
白话文	baak9 wa2 man4	
白话文学	baak9 wa2 man4 hok9	
白云	baak9 wan4	
白日梦	baak9 yat9 mung6	
白油	baak9 yau2	酱油
白杨	baak9 yeung4	
白杨树	baak9 yeung4 syu6	
白衣天使	baak9 yi1 tin1 si3	
白热	baak9 yit9	
白热化	baak9 yit9 fa3	
白玉	baak9 yuk9	
白肉	baak9 yuk9	
班	baan1	纠合，纠集，拉队伍，纠集同伙
班	baan1	群，伙
班兵	baan1 bing1	请援兵，请人帮忙，请求援助，搬兵
班车	baan1 che1	
班次	baan1 chi3	
班底	baan1 dai2	
班代表	baan1 doi6 biu2	
班房	baan1 fong2	教室，课室
斑鸠	baan1 gau1	
瘢痕	baan1 han4	
班长	baan1 jeung2	
颁奖	baan1 jeung2	
颁奖典礼	baan1 jeung2 din2 lai5	
颁奖礼	baan1 jeung2 lai2	
班主任	baan1 jyu2 yam6	
班戟	baan1 kik7	薄煎饼，薄烤饼，热香饼
斑斓	baan1 laan4	
斑马	baan1 ma5	
班马	baan1 ma5	搬救兵，召集党徒，召集羽翼
班门弄斧	baan1 mun4 lung6 fu2	
班师	baan1 si1	
班师回朝	baan1 si1 wui4 chiu4	
板	baan2	板子
版本	baan2 bun2	
板凳	baan2 dang3	
板块	baan2 faai3	
板障	baan2 jeung3	板墙，板壁
版权	baan2 kyun4	
版权所有	baan2 kyun4 so2 yau5	
扮煮饭仔	baan3 jyu2 faan6 jai2	过家家，玩过家家，扮家家酒
扮	baan6	装，装作
湴	baan6	烂泥，稀泥
扮得意	baan6 dak7 yi3	装可爱
扮代表	baan6 doi6 biu2	装模作样
办法	baan6 faat8	
办公室	baan6 gung1 sat7	
扮猪食老虎	baan6 jyu1 sik9 lou5 fu2	佯装愚蠢，装疯卖傻来占便宜
扮靓	baan6 leng3	打扮，打扮得漂漂亮亮
扮晒嘢	baan6 saai3 ye5	装模作样
办事	baan6 si6	
办事处	baan6 si6 chyu3	
扮听唔到	baan6 teng1 m4 dou2	装作没听见
办妥	baan6 to2	
扮嘢	baan6 ye5	装模作样，装样子，装蒜，出风头
扮演	baan6 yin2	
扮英雄	baan6 ying1 hung4	充英雄
蹦蹦跳跳	baang6 baang6 tiu3 tiu3	
绷带	baang6 daai3	
绷紧	baang6 gan2	
八	baat8	八卦的，爱管闲事的
八宝	baat8 bou2	
八宝饭	baat8 bou2 faan6	
八宝粥	baat8 bou2 juk7	
八点	baat8 dim2	
八点钟	baat8 dim2 jung1	
八九不离十	baat8 gau2 bat7 lei4 sap9	
八个字	baat8 go3 ji6	四十分钟
八角	baat8 gok8	
八角形	baat8 gok8 ying4	
八股	baat8 gu2	
八股文	baat8 gu2 man4	
八卦	baat8 gwa3	爱管闲事
八卦妹	baat8 gwa3 mui1	爱管闲事的女孩
八卦婆	baat8 gwa3 po2	三八，饶舌妇
八国联军	baat8 gwok8 lyun4 gwan1	
八爪鱼	baat8 jaau2 yu4	章鱼
八字	baat8 ji6	
八级	baat8 kap7	
八路军	baat8 lou6 gwan1	
八面玲珑	baat8 min6 ling4 lung4	
八妹	baat8 mui1	爱管闲事的女孩
八年级	baat8 nin4 kap7	
八婆	baat8 po4	三八，饶舌妇
八十	baat8 sap9	
八仙	baat8 sin1	
八仙过海	baat8 sin1 gwo3 hoi2	
八成	baat8 sing4	
八月	baat8 yut9	
八月份	baat8 yut9 fan6	
包	baau1	保证
褒贬	baau1 bin2	
包袱	baau1 fuk9	
包裹	baau1 gwo2	
包含	baau1 ham4	
包装	baau1 jong1	
包租	baau1 jou1	租房又分租给他人
包租公	baau1 jou1 gung1	二房东
包租婆	baau1 jou1 po2	二房东太太，二房东，女二房东
包粽	baau1 jung2	包粽子
包括	baau1 kut8	
包厢	baau1 seung1	
包二奶	baau1 yi6 naai1	有情妇，养小老婆
鲍鱼	baau1 yu4	
包容	baau1 yung4	
饱餐	baau2 chaan1	
饱擦一轮	baau2 chaat8 yat7 leun4	饱吃一顿
饱嗝	baau2 gaak8	
饱经	baau2 ging1	
饱经沧桑	baau2 ging1 chong1 song1	
饱经风霜	baau2 ging1 fung1 seung1	
饱经世故	baau2 ging1 sai3 gu3	
饱含	baau2 ham4	
饱学	baau2 hok9	
饱学之士	baau2 hok9 ji1 si6	
饱满	baau2 mun5	
饱暖	baau2 nyun5	
饱暖思淫欲	baau2 nyun5 si1 yam4 yuk9	
饱受	baau2 sau6	
饱死	baau2 sei2	臭美
饱死我啦！	baau2 sei2 ngo5 la3	饱到要爆炸
饱尝	baau2 seung4	
饱食	baau2 sik9	
饱食终日	baau2 sik9 jung1 yat9	
饱和	baau2 wo4	
饱和点	baau2 wo4 dim2	
饱和度	baau2 wo4 dou6	
饱和状态	baau2 wo4 jong6 taai3	
爆	baau3	炸，破裂
爆煲	baau3 bou1	露馅儿，暴露
爆坼	baau3 chaak8	皮肤皴裂
爆粗口	baau3 chou1 hau2	说粗话
爆发	baau3 faat8	
爆火	baau3 fo2	发脾气
爆谷	baau3 guk7	爆米花，玉米花儿
爆炸	baau3 ja3	
爆樽	baau3 jeun1	砸瓶
爆棚	baau3 paang4	卖座
爆肽	baau3 taai1	破轮胎
鲍鱼	baau6 yu4	
跛	bai1	瘸
跛脚	bai1 geuk8	瘸脚
跛脚佬	bai1 geuk8 lou2	瘸子，跛子
跛手	bai1 sau2	瘸胳膊
赑屃	bai3 ai3	
闭关	bai3 gwaan1	
闭关自守	bai3 gwaan1	
闭路	bai3 lou6	
闭路电视	bai3 lou6 din6 si6	
闭幕	bai3 mok9	
闭幕典礼	bai3 mok9 din2 lai5	
闭幕式	bai3 mok9 sik7	
闭目	bai3 muk9	
闭目养神	bai3 muk9 yeung5 san4	
闭门	bai3 mun4	
闭门谢客	bai3 mun4 je6 haak8	
闭门造车	bai3 mun4 jou6 che1	
闭眼	bai3 ngaan5	
闭翳	bai3 ngai3	忧愁，愁闷，发愁，心情抑郁
闭塞	bai3 sak7	
闭会	bai3 wui6	
闭月羞花	bai3 yut9 sau1 fa1	
弊	bai6	糟，坏
弊家伙	bai6 ga1 fo2	糟糕
陛下	bai6 ha6	
弊喇	bai6 la3	糟了，完了，坏了，糟糕
敝履	bai6 lei5	
狴犴	bai6 ngon6	
弊案	bai6 on3	
敝人	bai6 yan4	
北便	bak7 bin6	北边
北部	bak7 bou6	
北斗星	bak7 dau2 sing1	
北方	bak7 fong1	
北极	bak7 gik9	
北极熊	bak7 gik9 hung4	
北芪	bak7 kei4	黄芪
北佬	bak7 lou2	北方人
泵把	bam1 ba2	保险杆
泵车	bam1 che1	抽水车，消防车
泵气	bam1 hei3	打气
泵水	bam1 seui2	抽水
彬彬有礼	ban1 ban1 yau5 lai5	
奔波	ban1 bo1	
奔流	ban1 bo1	
奔驰	ban1 chi4	
缤纷	ban1 fan1	
奔放	ban1 fong3	
奔赴	ban1 fu6	
宾馆	ban1 gun2	
宾仔	ban1 jai2	菲律宾少年
奔走	ban1 jau2	
槟榔	ban1 long4	
槟榔汁	ban1 long4 jap7	
宾佬	ban1 lou2	菲律宾人
奔马	ban1 ma5	
奔命	ban1 ming6	
宾妹	ban1 mui1	菲律宾少女；菲佣，菲籍女佣
奔跑	ban1 paau2	
宾婆	ban1 po2	菲律宾人
奔丧	ban1 song1	
奔腾	ban1 tang4	
奔逃	ban1 tou4	
奔跃	ban1 yeuk9	
品茶	ban2 cha4	
品德	ban2 dak7	
品格	ban2 gaak8	
品格高尚	ban2 gaak8 gou1 seung6	
品管	ban2 gun2	
品行	ban2 hang6	
品学	ban2 hok9	
品学兼优	ban2 hok9 gim1 yau1	
品红	ban2 hung4	
品质	ban2 jat7	
品质管制	ban2 jat7 gun2 jai3	
品种	ban2 jung2	
品种改良	ban2 jung2 goi2 leung4	
品级	ban2 kap7	
品蓝	ban2 laam4	
品类	ban2 leui6	
品绿	ban2 luk9	
品貌	ban2 maau6	
品貌出众	ban2 maau6 cheut7 jung3	
品貌双全	ban2 maau6 seung1 chyun4	
品味	ban2 mei6	
品茗	ban2 ming5	
品目	ban2 muk9	
品牌	ban2 paai4	
品评	ban2 ping4	
品嚐	ban2 seung4	
品性	ban2 sing3	
品头论足	ban2 tau4 leun6 juk7	
品位	ban2 wai6	
鬓边	ban3 bin1	
鬓发	ban3 faat8	
鬓发皆白	ban3 faat8 gaai1 baak9	
鬓发皓然	ban3 faat8 hou6 yin4	
鬓角	ban3 gok8	
摈弃	ban3 hei3	
殡殓	ban3 lim5	
鬓霜	ban3 seung1	
殡仪馆	ban3 yi4 gun2	
笨猪跳	ban6 jyu1 tiu3	蹦极跳，高空弹跳
笨拙	ban6 jyut8	
崩	bang1	分钱
崩	bang1	破，缺
崩口	bang1 hau2	豁嘴，兔唇
崩口碗	bang1 hau2 wun2	缺口碗
崩口人忌崩口碗	bang1 hau2 yan4 gei6 bang1 hau2 wun2	当着矮子别说短话
崩仔	bang1 jai2	朋克，庞克
崩装	bang1 jong1	莫西干头
崩溃	bang1 kui2	
崩牙	bang1 nga4	缺齿
崩牙	bang1 nga4	缺齿，缺牙
[抔]	bat7	舀，盛
不谙	bat7 am1	
不卑不亢	bat7 bei1 bat7 kong3	
不便	bat7 bin6	
不辩菽麦	bat7 bin6 suk9 mak9	
不必	bat7 bit7	
不吵不闹	bat7 chaau2 bat7 naau6	
不详	bat7 cheung4	
不出所料	bat7 cheut7 so2 liu6	
不耻	bat7 chi2	
不耻下问	bat7 chi2 ha6 man6	
不前不后	bat7 chin4 bat7 hau6	
不请自来	bat7 ching2 ji6 loi4	
不切实际	bat7 chit8 sat9 jai3	
不切题	bat7 chit8 tai4	
不速之客	bat7 chuk7 ji1 haak8	
不打不相识	bat7 da2 bat7 seung1 sik7	
不打自招	bat7 da2 ji6 jiu1	
不大不小	bat7 daai6 bat7 siu2	
不单	bat7 daan1	
不得	bat7 dak7	
不得不	bat7 dak7 bat7	
不得好死	bat7 dak7 hou2 sei2	
不得其法	bat7 dak7 kei4 faat8	
不得其解	bat7 dak7 kei4 gaai2	
不得了	bat7 dak7 liu5	
不得人心	bat7 dak7 yan4 sam1	
不得而知	bat7 dak7 yi4 ji1	
不得已	bat7 dak7 yi5	
不得要领	bat7 dak7 yiu3 ling5	
不特	bat7 dak9	不但，不仅，不光
不对劲	bat7 deui3 ging6	
不定	bat7 ding6	
不定词	bat7 ding6 chi4	
不定根	bat7 ding6 gan1	
不定冠词	bat7 ding6 gun3 chi4	
不定期	bat7 ding6 kei4	
不定量	bat7 ding6 leung6	
不定形	bat7 ding6 ying4	
不当	bat7 dong3	
不倒翁	bat7 dou2 yung1	
不冻港	bat7 dung3 gong2	
不动产	bat7 dung6 chaan2	
不动声色	bat7 dung6 sing1 sik7	
不凡	bat7 faan4	
[抔]饭	bat7 faan6	盛饭
不费吹灰之力	bat7 fai3 cheui1 fui1 ji1 lik9	
不分彼此	bat7 fan1 bei2 chi2	
不分青红皂白	bat7 fan1 ching1 hung4 jou6 baak9	
不分轩轾	bat7 fan1 hin1 ji3	
不分轻重缓急	bat7 fan1 hing1 chung5 wun6 gap7	
不分昼夜	bat7 fan1 jau3 ye6	
不分皂白	bat7 fan1 jou6 baak9	
不分男女老幼	bat7 fan1 naam4 neui5 lou5 yau3	
不乏其人	bat7 fat9 kei4 yan4	
不慌不忙	bat7 fong1 bat7 mong4	
不妨	bat7 fong4	
不负众望	bat7 fu6 jung3 mong6	
不假思索	bat7 ga2 si1 saak8	
不计其数	bat7 gai3 kei4 sou3	
不甘	bat7 gam1	
不禁	bat7 gam1	
不甘寂寞	bat7 gam1 jik9 mok9	
不甘心	bat7 gam1 sam1	
不甘示弱	bat7 gam1 si6 yeuk9	
不敢当	bat7 gam2 dong1	
不仅	bat7 gan2	
不仅仅	bat7 gan2 gan2	
不急不徐	bat7 gap7 bat7 cheui4	
不急之务	bat7 gap7 ji1 mou6	
不够	bat7 gau3	
不覊	bat7 gei1	
笔记	bat7 gei3	
笔记本	bat7 gei3 bun2	
不见不散	bat7 gin3 bat7 saan3	
不见经传	bat7 gin3 ging1 chyun4	
不见棺材不掉泪	bat7 gin3 gun1 choi4 bat7 diu6 leui6	
不见天日	bat7 gin3 tin1 yat9	
不经一事，不长一智	bat7 ging1 yat7 si6 bat7 jeung2 yat7 ji3	
毕竟	bat7 ging2	
不景气	bat7 ging2 hei3	
笔杆	bat7 gon2	
不告而别	bat7 gou3 yi4 bit9	
不管	bat7 gun2	
不管三七二十一	bat7 gun2 saam1 chat7 yi6 sap9 yat7	
笔供	bat7 gung1	
毕恭毕敬	bat7 gung1 bat7 ging3	
不公不义	bat7 gung1 bat7 yi6	
不共戴天	bat7 gung6 daai3 tin1	
不共戴天之仇	bat7 gung6 daai3 tin1 ji1 sau4	
不关痛痒	bat7 gwaan1 tung3 yeung5	
不过	bat7 gwo3	
不过如此	bat7 gwo3 yu4 chi2	
不光	bat7 gwong1	
不孝	bat7 haau3	
不孝子	bat7 haau3 ji2	
不孝有三	bat7 haau3 yau5 saam1	
不堪	bat7 ham1	
不堪设想	bat7 ham1 chit8 seung2	
不堪入目	bat7 ham1 yap9 muk9	
不堪入耳	bat7 ham1 yap9 yi5	
不堪一击	bat7 ham1 yat7 gik7	
不含	bat7 ham4	
不含税	bat7 ham4 seui3	
不含糊	bat7 ham4 wu4	
不幸	bat7 hang6	
