開放粵語詞典（黃錫凌調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
邊有咁大隻蛤乸隨街跳	'bin ˏjɐu ¯gɐm _dai ¯dzɛk 'gɐp ´na ˌtsœy 'gai ¯tiu	天上不會掉餡兒餅，沒有那麼便宜的事
咇	'bit	吱
必需	'bit 'sœy	
必須	'bit 'sœy	
必需品	'bit 'sœy ´bɐn	
咇出嚟	'bit 'tsœt ˌlei	吱出來
觱篥	'bit _lœt	
必要	'bit ¯jiu	
錶	'biu	手錶
飆風	'biu 'fʊŋ	
標參	'biu 'sɐm	綁架，綁票
飆升	'biu 'sɪŋ	
標簽	'biu 'tsim	
飆車	'biu 'tsɛ	
標青	'biu 'tsɛŋ	貌美出眾，拔尖兒，超群
鏢局	'biu _gʊk	
標汗	'biu _hɔn	出汗，流汗，冒汗
錶肉	'biu _jʊk	錶瓤，錶芯
錶面	'biu _min	
錶帶	'biu ¯dai	
錶店	'biu ¯dim	
錶殼	'biu ¯hɔk	
標本	'biu ´bun	
標準	'biu ´dzœn	
標準化	'biu ´dzœn ¯fa	
錶廠	'biu ´tsɔŋ	
彪形大漢	'biu ˌjɪŋ _dai ¯hɔn	
錶鏈	'biu ˌlin	
標題	'biu ˌtɐi	
標語	'biu ˏjy	
煲	'bou	煮
煲粥	'bou 'dzʊk	煮粥
煲呔	'bou 'tai	領結
煲湯	'bou 'tɔŋ	煮湯
煲電話粥	'bou _din ´wa 'dzʊk	打電話聊大天，打馬拉松電話，長篇大論，打電話聊天
煲飯	'bou _fan	煮飯
煲咖啡	'bou ¯ga 'fɛ	煮咖啡
煲仔飯	'bou ´dzɐi _fan	砂鍋飯
煲水	'bou ´sœy	瞎編，無中生有
煲水	'bou ´sœy	燒水
煲涼茶	'bou ˌlœŋ ˌtsa	煮去火湯藥，煮清涼茶
煲茶	'bou ˌtsa	熬藥
晡禮	'bou ˏlɐi	
煲冇米粥	'bou ˏmou ˏmɐi 'dzʊk	說沒影兒的事
煲冇米粥，水汪汪	'bou ˏmou ˏmɐi 'dzʊk ´sœy 'wɔŋ 'wɔŋ	三十晚上走夜路，沒影兒的事
杯	'bui	杯子
杯葛	'bui ¯gɔt	抵制
杯薦	'bui ´dzin	杯墊
搬翻	'bun 'fan	搬回
搬走	'bun 'hɔi	
搬遷	'bun 'tsin	
搬屋	'bun 'ŋʊk	搬家
搬入	'bun _jɐp	搬進
搬運	'bun _wɐn	
跛	'bɐi	瘸
跛腳	'bɐi ¯gœk	瘸腳
跛腳佬	'bɐi ¯gœk ´lou	瘸子，跛子
跛手	'bɐi ´sɐu	瘸胳膊
北方	'bɐk 'fɔŋ	
北便	'bɐk _bin	北邊
北部	'bɐk _bou	
北極	'bɐk _gik	
北極熊	'bɐk _gik ˌhʊŋ	
北斗星	'bɐk ´dɐu 'sɪŋ	
北佬	'bɐk ´lou	北方人
北芪	'bɐk ˌkei	黃芪
泵車	'bɐm 'tsɛ	抽水車，消防車
泵氣	'bɐm ¯hei	打氣
泵把	'bɐm ´ba	保險桿
泵水	'bɐm ´sœy	抽水
彬彬有禮	'bɐn 'bɐn ˏjɐu ˏlɐi	
奔波	'bɐn 'bɔ	
奔流	'bɐn 'bɔ	
繽紛	'bɐn 'fɐn	
賓妹	'bɐn 'mui	菲律賓少女；菲傭，菲籍女傭
奔喪	'bɐn 'sɔŋ	
奔赴	'bɐn _fu	
奔躍	'bɐn _jœk	
奔命	'bɐn _mɪŋ	
奔放	'bɐn ¯fɔŋ	
賓仔	'bɐn ´dzɐi	菲律賓少年
奔走	'bɐn ´dzɐu	
賓館	'bɐn ´gun	
賓佬	'bɐn ´lou	菲律賓人
奔跑	'bɐn ´pau	
賓婆	'bɐn ´pɔ	菲律賓人
檳榔	'bɐn ˌlɔŋ	
檳榔汁	'bɐn ˌlɔŋ 'dzɐp	
奔逃	'bɐn ˌtou	
奔馳	'bɐn ˌtsi	
奔騰	'bɐn ˌtɐŋ	
奔馬	'bɐn ˏma	
[抔]	'bɐt	舀，盛
不卑不亢	'bɐt 'bei 'bɐt ¯kɔŋ	
不必	'bɐt 'bit	
不單	'bɐt 'dan	
不知幾	'bɐt 'dzi ´gei	很，真，真的很
不知所云	'bɐt 'dzi ´sɔ ˌwɐn	
不即不離	'bɐt 'dzik 'bɐt ˌlei	
不足輕重	'bɐt 'dzʊk 'hɪŋ ˏtsʊŋ	
不足掛齒	'bɐt 'dzʊk ¯gwa ´tsi	
不足為外人道	'bɐt 'dzʊk ˌwɐi _ŋɔi ˌjɐn _dou	
不足為訓	'bɐt 'dzʊk ˌwɐi ¯fɐn	
不足為奇	'bɐt 'dzʊk ˌwɐi ˌkei	
不足為憑	'bɐt 'dzʊk ˌwɐi ˌpɐŋ	
不中不西	'bɐt 'dzʊŋ 'bɐt 'sɐi	
不得	'bɐt 'dɐk	
不得不	'bɐt 'dɐk 'bɐt	
不得要領	'bɐt 'dɐk ¯jiu ˏlɪŋ	
不得好死	'bɐt 'dɐk ´hou ´sei	
不得而知	'bɐt 'dɐk ˌji 'dzi	
不得人心	'bɐt 'dɐk ˌjɐn 'sɐm	
不得其法	'bɐt 'dɐk ˌkei ¯fat	
不得其解	'bɐt 'dɐk ˌkei ´gai	
不得已	'bɐt 'dɐk ˏji	
不得了	'bɐt 'dɐk ˏliu	
不分軒輊	'bɐt 'fɐn 'hin ¯dzi	
不分輕重緩急	'bɐt 'fɐn 'hɪŋ ˏtsʊŋ _wun 'gɐp	
不分青紅皂白	'bɐt 'fɐn 'tsɪŋ ˌhʊŋ _dzou _bak	
不分皂白	'bɐt 'fɐn _dzou _bak	
不分晝夜	'bɐt 'fɐn ¯dzɐu _jɛ	
不分彼此	'bɐt 'fɐn ´bei ´tsi	
不分男女老幼	'bɐt 'fɐn ˌnam ˏnœy ˏlou ¯jɐu	
不慌不忙	'bɐt 'fɔŋ 'bɐt ˌmɔŋ	
不覊	'bɐt 'gei	
不關痛癢	'bɐt 'gwan ¯tʊŋ ˏjœŋ	
不光	'bɐt 'gwɔŋ	
不甘	'bɐt 'gɐm	
不禁	'bɐt 'gɐm	
不甘心	'bɐt 'gɐm 'sɐm	
不甘寂寞	'bɐt 'gɐm _dzik _mɔk	
不甘示弱	'bɐt 'gɐm _si _jœk	
不急不徐	'bɐt 'gɐp 'bɐt ˌtsœy	
不急之務	'bɐt 'gɐp 'dzi _mou	
不經一事，不長一智	'bɐt 'gɪŋ 'jɐt _si 'bɐt ´dzœŋ 'jɐt ¯dzi	
筆供	'bɐt 'gʊŋ	
不公不義	'bɐt 'gʊŋ 'bɐt _ji	
畢恭畢敬	'bɐt 'gʊŋ 'bɐt ¯gɪŋ	
不堪	'bɐt 'hɐm	
不堪一擊	'bɐt 'hɐm 'jɐt 'gik	
不堪入目	'bɐt 'hɐm _jɐp _mʊk	
不堪入耳	'bɐt 'hɐm _jɐp ˏji	
不堪設想	'bɐt 'hɐm ¯tsit ´sœŋ	
不溜	'bɐt 'lɐu	一向，一直，向來，經常
不偏不倚	'bɐt 'pin 'bɐt ´ji	
不三不四	'bɐt 'sam 'bɐt ¯sei	
不惜	'bɐt 'sik	
不適	'bɐt 'sik	
不息	'bɐt 'sik	
不惜犧牲	'bɐt 'sik 'hei 'saŋ	
不惜一戰	'bɐt 'sik 'jɐt ¯dzin	
不惜一切	'bɐt 'sik 'jɐt ¯tsɐi	
不宣而戰	'bɐt 'syn ˌji ¯dzin	
不傷和氣	'bɐt 'sœŋ ˌwɔ ¯hei	
不失	'bɐt 'sɐt	
不失眾望	'bɐt 'sɐt ¯dzʊŋ _mɔŋ	
不失良機	'bɐt 'sɐt ˌlœŋ 'gei	
不失為	'bɐt 'sɐt ˌwɐi	
不修邊幅	'bɐt 'sɐu 'bin 'fʊk	
畢生	'bɐt 'sɐŋ	
不勝負荷	'bɐt 'sɪŋ ¯fu _hɔ	
不勝酒力	'bɐt 'sɪŋ ´dzɐu _lik	
不升反降	'bɐt 'sɪŋ ´fan ¯gɔŋ	
不勝感激	'bɐt 'sɪŋ ´gɐm 'gik	
不勝其煩	'bɐt 'sɪŋ ˌkei ˌfan	
不勝枚舉	'bɐt 'sɪŋ ˌmui ´gœy	
不出所料	'bɐt 'tsœt ´sɔ _liu	
不速之客	'bɐt 'tsʊk 'dzi ¯hak	
[抔]湯	'bɐt 'tɔŋ	舀湯
不屈不撓	'bɐt 'wɐt 'bɐt ˌnau	
不諳	'bɐt 'ɐm	
不安本分	'bɐt 'ɔn ´bun 'fɐn	
不便	'bɐt _bin	
不辯菽麥	'bɐt _bin _sʊk _mɐk	
不大不小	'bɐt _dai 'bɐt ´siu	
不治	'bɐt _dzi	
不治之症	'bɐt _dzi 'dzi ¯dzɪŋ	
不自量力	'bɐt _dzi _lœŋ _lik	
不值一顧	'bɐt _dzik 'jɐt ¯gu	
不值一文	'bɐt _dzik 'jɐt ˌmɐn	
不值一提	'bɐt _dzik 'jɐt ˌtɐi	
不絕於耳	'bɐt _dzyt 'jy ˏji	
不像樣	'bɐt _dzœŋ _jœŋ	
不像話	'bɐt _dzœŋ ´wa	
不在意	'bɐt _dzɔi ¯ji	
不在話下	'bɐt _dzɔi ´wa _ha	
不在乎	'bɐt _dzɔi ˌfu	
不在場	'bɐt _dzɔi ˌtsœŋ	
不特	'bɐt _dɐk	不但，不僅，不光
不定	'bɐt _dɪŋ	
不定根	'bɐt _dɪŋ 'gɐn	
不定量	'bɐt _dɪŋ _lœŋ	
不定冠詞	'bɐt _dɪŋ ¯gun ˌtsi	
不定形	'bɐt _dɪŋ ˌjɪŋ	
不定期	'bɐt _dɪŋ ˌkei	
不定詞	'bɐt _dɪŋ ˌtsi	
不動聲色	'bɐt _dʊŋ 'sɪŋ 'sik	
不動產	'bɐt _dʊŋ ´tsan	
[抔]飯	'bɐt _fan	盛飯
不負眾望	'bɐt _fu ¯dzʊŋ _mɔŋ	
不乏其人	'bɐt _fɐt ˌkei ˌjɐn	
不共戴天	'bɐt _gʊŋ ¯dai 'tin	
不共戴天之仇	'bɐt _gʊŋ ¯dai 'tin 'dzi ˌsɐu	
不合	'bɐt _hɐp	
不合標準	'bɐt _hɐp 'biu ´dzœn	
不合規定	'bɐt _hɐp 'kwɐi _dɪŋ	
不合作	'bɐt _hɐp ¯dzɔk	
不合時宜	'bɐt _hɐp ˌsi ˌji	
不幸	'bɐt _hɐŋ	
不幸中之大幸	'bɐt _hɐŋ 'dzʊŋ 'dzi _dai _hɐŋ	
不學無術	'bɐt _hɔk ˌmou _sœt	
不義之財	'bɐt _ji 'dzi ˌtsɔi	
不二法門	'bɐt _ji ¯fat ˌmun	
不二價	'bɐt _ji ¯ga	
不亦樂乎	'bɐt _jik _lɔk ˌfu	
不翼而飛	'bɐt _jik ˌji 'fei	
畢業	'bɐt _jip	
畢業生	'bɐt _jip 'saŋ	
畢業典禮	'bɐt _jip ´din ˏlɐi	
畢業相	'bɐt _jip ´sœŋ	畢業照
不悅	'bɐt _jyt	
不孕	'bɐt _jɐn	
不孕症	'bɐt _jɐn ¯dzɪŋ	
不入虎穴	'bɐt _jɐp ´fu _jyt	
不夜城	'bɐt _jɛ ˌsɪŋ	
不及	'bɐt _kɐp	
不及物動詞	'bɐt _kɐp _mɐt _dʊŋ ˌtsi	
不及格	'bɐt _kɐp ¯gak	
抔垃圾	'bɐt _lap ¯sap	撮垃圾
不利	'bɐt _lei	
篳路藍縷	'bɐt _lou ˌlam ˏlœy	
不論	'bɐt _lœn	
不吝賜教	'bɐt _lœn ¯tsi ¯gau	
不吝指正	'bɐt _lœn ´dzi ¯dzɪŋ	
不論怎麼	'bɐt _lœn ´dzɐm 'mɔ	
不論怎樣	'bɐt _lœn ´dzɐm _jœŋ	
不論如何	'bɐt _lœn ˌjy ˌhɔ	
不寐	'bɐt _mei	
筆帽	'bɐt _mou	
不務正業	'bɐt _mou ¯dzɪŋ _jip	
筆墨	'bɐt _mɐk	
不問	'bɐt _mɐn	
不問青紅皂白	'bɐt _mɐn 'tsɪŋ ˌhʊŋ _dzou _bak	
不問是非曲直	'bɐt _mɐn _si 'fei 'kʊk _dzik	
不問前因後果	'bɐt _mɐn ˌtsin 'jɐn _hɐu ´gwɔ	
畢命	'bɐt _mɪŋ	
不奈煩	'bɐt _nɔi ˌfan	
不食人間煙火	'bɐt _sik ˌjɐn 'gan 'jin ´fɔ	
不善	'bɐt _sin	
不善於	'bɐt _sin 'jy	
不慎	'bɐt _sɐn	
不實	'bɐt _sɐt	
不受歡迎	'bɐt _sɐu 'fun ˌjɪŋ	
不惑之年	'bɐt _wak 'dzi ˌnin	
不外乎	'bɐt _ŋɔi ˌfu	
不戰而敗	'bɐt ¯dzin ˌji _bai	
不戰而退	'bɐt ¯dzin ˌji ¯tœy	
不進則退	'bɐt ¯dzœn 'dzɐk ¯tœy	
不再	'bɐt ¯dzɔi	
不對勁	'bɐt ¯dœy _gɪŋ	
不當	'bɐt ¯dɔŋ	
不凍港	'bɐt ¯dʊŋ ´gɔŋ	
不費吹灰之力	'bɐt ¯fɐi 'tsœy 'fui 'dzi _lik	
筆記	'bɐt ¯gei	
筆記本	'bɐt ¯gei ´bun	
不見不散	'bɐt ¯gin 'bɐt ¯san	
不見棺材不掉淚	'bɐt ¯gin 'gun ˌtsɔi 'bɐt _diu _lœy	
不見經傳	'bɐt ¯gin 'gɪŋ ˌtsyn	
不見天日	'bɐt ¯gin 'tin _jɐt	
不告而別	'bɐt ¯gou ˌji _bit	
不過	'bɐt ¯gwɔ	
不過如此	'bɐt ¯gwɔ ˌjy ´tsi	
不計其數	'bɐt ¯gɐi ˌkei ¯sou	
不夠	'bɐt ¯gɐu	
不孝	'bɐt ¯hau	
不孝子	'bɐt ¯hau ´dzi	
不孝有三	'bɐt ¯hau ˏjɐu 'sam	
不厭其煩	'bɐt ¯jim ˌkei ˌfan	
不厭其詳	'bɐt ¯jim ˌkei ˌtsœŋ	
不亢不卑	'bɐt ¯kɔŋ 'bɐt 'bei	
不屑	'bɐt ¯sit	
不屑一顧	'bɐt ¯sit 'jɐt ¯gu	
不遜	'bɐt ¯sœn	
不鏽鋼	'bɐt ¯sɐu ¯gɔŋ	
筆塔	'bɐt ¯tap	筆帽，筆套
不吐不快	'bɐt ¯tou 'bɐt ¯fai	
不切實際	'bɐt ¯tsit _sɐt ¯dzɐi	
不切題	'bɐt ¯tsit ˌtɐi	
不透明	'bɐt ¯tɐu ˌmɪŋ	
不打不相識	'bɐt ´da 'bɐt 'sœŋ 'sik	
不打自招	'bɐt ´da _dzi 'dziu	
不倒翁	'bɐt ´dou 'jʊŋ	
不只	'bɐt ´dzi	
筆嘴	'bɐt ´dzœy	筆尖兒，鋼筆尖兒
不假思索	'bɐt ´ga 'si ¯sak	
不管	'bɐt ´gun	
不管三七二十一	'bɐt ´gun 'sam 'tsɐt _ji _sɐp 'jɐt	
不敢當	'bɐt ´gɐm 'dɔŋ	
不僅	'bɐt ´gɐn	
不僅僅	'bɐt ´gɐn ´gɐn	
筆桿	'bɐt ´gɔn	
畢竟	'bɐt ´gɪŋ	
不景氣	'bɐt ´gɪŋ ¯hei	
不喜歡	'bɐt ´hei 'fun	
不好	'bɐt ´hou	
不可知論	'bɐt ´hɔ 'dzi _lœn	
不可捉摸	'bɐt ´hɔ 'dzʊk ´mɔ	
不可終日	'bɐt ´hɔ 'dzʊŋ _jɐt	
不可多得	'bɐt ´hɔ 'dɔ 'dɐk	
不可開交	'bɐt ´hɔ 'hɔi 'gau	
不可一世	'bɐt ´hɔ 'jɐt ¯sɐi	
不可思議	'bɐt ´hɔ 'si ˏji	
不可收拾	'bɐt ´hɔ 'sɐu _sɐp	
不可避免	'bɐt ´hɔ _bei ˏmin	
不可限量	'bɐt ´hɔ _han _lœŋ	
不可或缺	'bɐt ´hɔ _wak ¯kyt	
不可戰勝	'bɐt ´hɔ ¯dzin ¯sɪŋ	
不可告人	'bɐt ´hɔ ¯gou ˌjɐn	
不可救藥	'bɐt ´hɔ ¯gɐu _jœk	
不可數	'bɐt ´hɔ ´sou	
不可想像	'bɐt ´hɔ ´sœŋ _dzœŋ	
不可言喻	'bɐt ´hɔ ˌjin _jy	
不可逾越	'bɐt ´hɔ ˌjy _jyt	
不可磨滅	'bɐt ´hɔ ˌmɔ _mit	
不可名狀	'bɐt ´hɔ ˌmɪŋ _dzɔŋ	
不可能	'bɐt ´hɔ ˌnɐŋ	
不可旁貸	'bɐt ´hɔ ˌpɔŋ ¯tai	
不可同日而語	'bɐt ´hɔ ˌtʊŋ _jɐt ˌji ˏjy	
不可理喻	'bɐt ´hɔ ˏlei _jy	
不可諱言	'bɐt ´hɔ ˏwɐi ˌjin	
不忍	'bɐt ´jɐn	
不忍卒睹	'bɐt ´jɐn 'dzœt ´dou	
不忍心	'bɐt ´jɐn 'sɐm	
筆刨	'bɐt ´pau	鉛筆刀，轉筆刀，削鉛筆器
[抔]水	'bɐt ´sœy	舀水
不守信用	'bɐt ´sɐu ¯sœn _jʊŋ	
不吵不鬧	'bɐt ´tsau 'bɐt _nau	
不恥	'bɐt ´tsi	
不恥下問	'bɐt ´tsi _ha _mɐn	
不請自來	'bɐt ´tsɪŋ _dzi ˌlɔi	
不妥	'bɐt ´tɔ	
筆畫	'bɐt ´wa	
不凡	'bɐt ˌfan	
不妨	'bɐt ˌfɔŋ	
不含	'bɐt ˌhɐm	
不含稅	'bɐt ˌhɐm ¯sœy	
不含糊	'bɐt ˌhɐm ˌwu	
不寒而慄	'bɐt ˌhɔn ˌji _lœt	
不吭一聲	'bɐt ˌhɔŋ 'jɐt 'sɪŋ	
不吭聲	'bɐt ˌhɔŋ 'sɪŋ	
不宜	'bɐt ˌji	不如
不宜	'bɐt ˌji	
不然	'bɐt ˌjin	
不言而喻	'bɐt ˌjin ˌji _jy	
不如	'bɐt ˌjy	
不如下次先啦	'bɐt ˌjy _ha ¯tsi 'sin 'la	下次吧
不容	'bɐt ˌjʊŋ	
不容分說	'bɐt ˌjʊŋ 'fɐn ¯syt	
不容置辯	'bɐt ˌjʊŋ ¯dzi _bin	
不容置疑	'bɐt ˌjʊŋ ¯dzi ˌji	
不勞而獲	'bɐt ˌlou ˌji _wɔk	
不倫不類	'bɐt ˌlœn 'bɐt _lœy	
不無	'bɐt ˌmou	
不無可疑	'bɐt ˌmou ´hɔ ˌji	
不無可疑之處	'bɐt ˌmou ´hɔ ˌji 'dzi ¯tsy	
不明不白	'bɐt ˌmɪŋ 'bɐt _bak	
不平則鳴	'bɐt ˌpɪŋ 'dzɐk ˌmɪŋ	
不平等條約	'bɐt ˌpɪŋ ´dɐŋ ˌtiu ¯jœk	
不平而鳴	'bɐt ˌpɪŋ ˌji ˌmɪŋ	
不時	'bɐt ˌsi	不定時地，每時每刻，無時無刻，時時刻刻
不成體統	'bɐt ˌsɪŋ ´tɐi ´tʊŋ	
不前不後	'bɐt ˌtsin 'bɐt _hɐu	
不詳	'bɐt ˌtsœŋ	
不停	'bɐt ˌtɪŋ	
不同點	'bɐt ˌtʊŋ ´dim	
不同凡響	'bɐt ˌtʊŋ ˌfan ´hœŋ	
不同以往	'bɐt ˌtʊŋ ˏji ˏwɔŋ	
不懷好意	'bɐt ˌwai ´hou ¯ji	
不遺餘力	'bɐt ˌwɐi ˌjy _lik	
不和	'bɐt ˌwɔ	
不遑	'bɐt ˌwɔŋ	
不以語人	'bɐt ˏji _jy ˌjɐn	
不以為苦	'bɐt ˏji ˌwɐi ´fu	
不以為然	'bɐt ˏji ˌwɐi ˌjin	
不予置評	'bɐt ˏjy ¯dzi ˌpɪŋ	
不遠千里	'bɐt ˏjyn 'tsin ˏlei	
不遠千里而來	'bɐt ˏjyn 'tsin ˏlei ˌji ˌlɔi	
筆友	'bɐt ˏjɐu	
不愧	'bɐt ˏkwɐi	
不冷不熱	'bɐt ˏlaŋ 'bɐt _jit	
不理不睬	'bɐt ˏlei 'bɐt ´tsɔi	
不了了之	'bɐt ˏliu ˏliu 'dzi	
不免	'bɐt ˏmin	
不謀而合	'bɐt ˏmɐu ˌji _hɐp	
崩	'bɐŋ	破，缺
崩	'bɐŋ	分錢
崩裝	'bɐŋ 'dzɔŋ	莫西干頭
崩仔	'bɐŋ ´dzɐi	朋克，龐克
崩口	'bɐŋ ´hɐu	豁嘴，兔唇
崩口碗	'bɐŋ ´hɐu ´wun	缺口碗
崩口人忌崩口碗	'bɐŋ ´hɐu ˌjɐn _gei 'bɐŋ ´hɐu ´wun	當著矮子別說短話
崩潰	'bɐŋ ´kui	
崩牙	'bɐŋ ˌŋa	缺齒，缺牙
崩牙	'bɐŋ ˌŋa	缺齒
波	'bɔ	排檔，檔
波	'bɔ	奶，乳房
波	'bɔ	球
波珠	'bɔ 'dzy	滾珠，彈球，玻璃球
波飛	'bɔ 'fei	球票，球賽的票
玻璃	'bɔ 'lei	
玻璃杯	'bɔ 'lei 'bui	
玻璃樽	'bɔ 'lei 'dzœn	玻璃瓶
玻璃纖維	'bɔ 'lei 'tsim ˌwɐi	
玻璃窗	'bɔ 'lei 'tsœŋ	
玻璃試管	'bɔ 'lei ¯si ´gun	
波衫	'bɔ 'sam	球衣，運動衣
波恤	'bɔ 'sœt	球衣，絨衣，運動衣，衛生衣，長袖運動服
波路	'bɔ _lou	底細，情況，來頭
波浪	'bɔ _lɔŋ	
波缽	'bɔ ¯but	球鞋，運動鞋
波褲	'bɔ ¯fu	球褲，運動褲
波罅	'bɔ ¯la	乳溝
菠菜	'bɔ ¯tsɔi	
波板	'bɔ ´ban	球拍，球拍子，乒乓球拍
波子	'bɔ ´dzi	玻璃球，彈球，滾珠
波子棋	'bɔ ´dzi ˌkei	跳棋
波帽	'bɔ ´mou	鴨舌帽
波士	'bɔ ´si	老闆，總經理，大老闆，上司
波鞋	'bɔ ˌhai	球鞋，運動鞋
波瀾	'bɔ ˌlan	
菠蘿	'bɔ ˌlɔ	鳳梨
菠蘿包	'bɔ ˌlɔ 'bau	波羅包
