开放粤语词典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］
押金	at8 gɐm1	
压根	at8 gɐn1	
压紧	at8 gɐn2	
压气	at8 hei3	
压抑	at8 jik7	
压延	at8 jin4	
压延机	at8 jin4 gei1	
猰貐	at8 jy5	
压垮	at8 kwa1	
压力	at8 lik9	
压力表	at8 lik9 biu2	
压力计	at8 lik9 gɐi3	
压力锅	at8 lik9 wɔ1	
压路	at8 lou6	
压路机	at8 lou6 gei1	
压马路	at8 ma5 lou6	
揠苗助长	at8 miu4 dzɔ6 dzœŋ2	
压破	at8 pɔ3	
压平	at8 pɪŋ4	
压碎	at8 sœy3	
压岁	at8 sœy3	
压岁钱	at8 sœy3 tsin4	
压缩	at8 sʊk7	
压缩机	at8 sʊk7 gei1	
压缩空气	at8 sʊk7 hʊŋ1 hei3	
压缩力	at8 sʊk7 lik9	
巴闭	ba1 bɐi3	了不起
巴揸	ba1 dza1	多嘴，爱管闲事
芭蕉	ba1 dziu1	
疤痕	ba1 hɐn4	
疤痕组织	ba1 hɐn4 dzou2 dzik7	
芭蕾舞	ba1 lœy4 mou5	
芭蕾	ba1 lœy5	
巴黎帽	ba1 lɐi4 mou2	贝雷帽
吧女	ba1 nœy5	酒吧女服务员
巴士	ba1 si2	公车，巴士，公共汽车
巴士站	ba1 si2 dzam6	公车站，公共汽车站
巴士佬	ba1 si2 lou2	公车司机
把柄	ba2 bɛŋ3	
把盏	ba2 dzan2	
把酒	ba2 dzɐu2	
把风	ba2 fʊŋ1	
把几火	ba2 gei2 fɔ2	很生气
把关	ba2 gwan1	
把鬼	ba2 gwɐi2	有什么用，顶什么用，白费劲，毫无用处
把戏	ba2 hei3	
把兄弟	ba2 hɪŋ1 dɐi6	
罢啦	ba2 la1	吧
把脉	ba2 mɐk9	诊脉，号脉
把炮	ba2 pau3	把握
把屁	ba2 pei3	有屁用，顶个屁用
把屁咩！	ba2 pei3 mɛ1	有个屁用！
把式	ba2 sik7	
把势	ba2 sɐi3	
把手	ba2 sɐu2	
把守	ba2 sɐu2	
把舦	ba2 tai5	掌舵
把持	ba2 tsi4	
把玩	ba2 wun6	
把握	ba2 ɐk7	
霸	ba3	占
霸道	ba3 dou6	
霸靓位	ba3 lɛŋ3 wɐi1	占好位子
霸位	ba3 wɐi2	占位置，占位子，占位
霸王	ba3 wɔŋ4	应付钱而不付钱
霸挜	ba3 ŋa6	霸道
罢就	ba6 dzɐu6	算了，拉倒，罢了，作罢
罢工	ba6 gʊŋ1	
罢休	ba6 jɐu1	
罢了	ba6 liu5	
罢手	ba6 sɐu2	
罢黜	ba6 tsœt7	
拜拜	bai1 bai3	再见，拜拜
摆	bai2	摆放
摆酒	bai2 dzɐu2	摆酒席，办酒席
摆档	bai2 dɔŋ2	摆摊子
摆档口	bai2 dɔŋ2 hɐu2	摆摊子
摆放	bai2 fɔŋ3	
摆供	bai2 gʊŋ3	
摆甫士	bai2 pou1 si2	摆姿势
摆设	bai2 tsit8	
摆脱	bai2 tyt8	
摆乌龙	bai2 wu1 lʊŋ2	弄错，搞误会
拜把	bai3 ba2	
拜把兄弟	bai3 ba2 hɪŋ1 dɐi6	
拜倒	bai3 dou2	
拜倒石榴裙之下	bai3 dou2 sɛk9 lɐu4 kwɐn4 dzi1 ha6	
拜袓先	bai3 dzou2 sin1	
拜祭	bai3 dzɐi3	
拜读	bai3 dʊk9	
拜佛	bai3 fɐt7	
拜火教	bai3 fɔ2 gau3	
拜访	bai3 fɔŋ2	
拜见	bai3 gin3	
拜金	bai3 gɐm1	
拜金主义	bai3 gɐm1 dzy2 ji6	
拜揖	bai3 jɐp7	
拜老师	bai3 lou5 si1	
拜庙	bai3 miu6	
拜年	bai3 nin4	
拜票	bai3 piu3	
拜山	bai3 san1	上坟，扫墓
拜师	bai3 si1	
拜师学艺	bai3 si1 hɔk9 ŋɐi6	
拜神	bai3 sɐn4	
拜天地	bai3 tin1 dei6	
拜托	bai3 tɔk8	
拜偶像	bai3 ŋɐu5 dzœŋ6	
败北	bai6 bɐk7	
败仗	bai6 dzœŋ3	
败将	bai6 dzœŋ3	
败阵	bai6 dzɐn6	
败者为寇	bai6 dzɛ2 wɐi4 kɐu3	
败家	bai6 ga1	
败家仔	bai6 ga1 dzɐi2	败家子
败家精	bai6 ga1 dzɪŋ1	败家子
败军	bai6 gwɐn1	
败血病	bai6 hyt8 bɪŋ6	
败血症	bai6 hyt8 dzɪŋ3	
败兴	bai6 hɪŋ3	
败兴而归	bai6 hɪŋ3 ji4 gwɐi1	
败类	bai6 lœy6	
败落	bai6 lɔk9	
败事有余	bai6 si6 jɐu5 jy4	
败诉	bai6 sou3	
败絮	bai6 sœy5	
败絮其中	bai6 sœy5 kei4 dzʊŋ1	
败退	bai6 tœy3	
败坏	bai6 wai6	
败胃	bai6 wɐi6	
迫不得已	bak7 bɐt7 dɐk7 ji5	
迫在眉睫	bak7 dzɔi6 mei4 dzit9	
迫击炮	bak7 gik7 pau3	
迫近	bak7 gɐn6	
迫害	bak7 hɔi6	
迫于形势	bak7 jy1 jɪŋ4 sɐi3	
迫使	bak7 si2	
迫切	bak7 tsit8	
伯伯	bak8 bak8	
百步穿杨	bak8 bou6 tsyn1 jœŋ4	
百般	bak8 bun1	
百病	bak8 bɪŋ6	
百病丛生	bak8 bɪŋ6 tsʊŋ4 sɐŋ1	
百褶裙	bak8 dzip8 kwɐn4	
百折不挠	bak8 dzit8 bɐt7 nau4	
百足	bak8 dzʊk7	蜈蚣
百读不厌	bak8 dʊk9 bɐt7 jim3	
百花争艳	bak8 fa1 dzɐŋ1 jim6	
百花怒放	bak8 fa1 nou6 fɔŋ3	
百花齐放	bak8 fa1 tsɐi4 fɔŋ3	
百发百中	bak8 fat8 bak8 dzʊŋ3	
伯父	bak8 fu6	
百分点	bak8 fɐn1 dim2	
百科	bak8 fɔ1	
百科全书	bak8 fɔ1 tsyn4 sy1	百科全书
百科全书	bak8 fɔ1 tsyn4 sy1	
百货	bak8 fɔ3	
百货店	bak8 fɔ3 dim3	
百货公司	bak8 fɔ3 gʊŋ1 si1	
百货业	bak8 fɔ3 jip9	
百货商店	bak8 fɔ3 sœŋ1 dim3	
百货商场	bak8 fɔ3 sœŋ1 tsœŋ4	
百感交集	bak8 gɐm2 gau1 dzap9	
白鸽	bak8 gɐp2	
百香果	bak8 hœŋ1 gwɔ2	
百香果汁	bak8 hœŋ1 gwɔ2 dzɐp7	
百看不厌	bak8 hɔn3 bɐt7 jim3	
百厌	bak8 jim3	调皮，淘气
百厌仔	bak8 jim3 dzɐi2	淘气鬼
百叶窗	bak8 jip9 tsœŋ1	
伯爷	bak8 jɛ1	父亲
伯爷公	bak8 jɛ1 gʊŋ1	老大爷，老头儿
伯爷婆	bak8 jɛ1 pɔ2	老婆婆，老太婆
百里香	bak8 lei5 hœŋ1	
百炼成钢	bak8 lin6 sɪŋ4 gɔŋ3	
百灵	bak8 lɪŋ4	
百灵鸟	bak8 lɪŋ4 niu5	
百万	bak8 man6	
百万富翁	bak8 man6 fu3 jʊŋ1	
百万雄师	bak8 man6 hʊŋ4 si1	
百无禁忌	bak8 mou4 gɐm3 gei6	
百无一失	bak8 mou4 jɐt7 sɐt7	
百无一长	bak8 mou4 jɐt7 tsœŋ4	
百无聊赖	bak8 mou4 liu4 lai6	
百米	bak8 mɐi5	
百米赛跑	bak8 mɐi5 tsɔi3 pau2	
百闻不如一见	bak8 mɐn4 bɐt7 jy4 jɐt7 gin3	
百物	bak8 mɐt9	
百衲本	bak8 nap9 bun2	
百衲衣	bak8 nap9 ji1	
百思不得其解	bak8 si1 bɐt7 dɐk7 kei4 gai2	
百身莫赎	bak8 sɐn1 mɔk9 sʊk9	
百兽之王	bak8 sɐu3 dzi1 wɔŋ4	
白布	bak9 bou3	
白斩鸡	bak9 dzam2 gɐi1	白切鸡
白纸	bak9 dzi2	
白纸黑字	bak9 dzi2 hɐk7 dzi6	
白做	bak9 dzou6	白干一场
白酒	bak9 dzɐu2	
白昼	bak9 dzɐu3	
白撞雨	bak9 dzɔŋ6 jy5	过云雨
白净	bak9 dzɪŋ6	白嫩
白粥	bak9 dzʊk7	稀饭，稀粥
白花	bak9 fa1	
白化	bak9 fa3	
白饭	bak9 fan6	
白发	bak9 fat8	
白灰	bak9 fui1	
白费	bak9 fɐi3	
白费力气	bak9 fɐi3 lik9 hei3	
白费心机	bak9 fɐi3 sɐm1 gei1	
白粉	bak9 fɐn2	海洛因，白面儿
白粉档	bak9 fɐn2 dɔŋ3	贩卖毒品的场所
白霍	bak9 fɔk8	轻浮，嚣张，浮夸
白霍友	bak9 fɔk8 jɐu2	好出风头的人，爱吹嘘自己的人，傲慢的人
白键	bak9 gin6	
白果	bak9 gwɔ2	
白光	bak9 gwɔŋ1	
帛金	bak9 gɐm1	
白金	bak9 gɐm1	
白血病	bak9 hyt8 bɛŋ6	
白血球	bak9 hyt8 kɐu4	
白开水	bak9 hɔi1 sœy2	
白鹤	bak9 hɔk9	
白熊	bak9 hʊŋ4	
白衣天使	bak9 ji1 tin1 si3	
白热	bak9 jit9	
白热化	bak9 jit9 fa3	
白杨	bak9 jœŋ4	
白杨树	bak9 jœŋ4 sy6	
白日梦	bak9 jɐt9 mʊŋ6	
白油	bak9 jɐu2	酱油
白肉	bak9 jʊk9	
白玉	bak9 jʊk9	
白旗	bak9 kei4	
白鲸	bak9 kɪŋ4	
白兰	bak9 lan4	
白兰地	bak9 lan4 dei6	
白兰花	bak9 lan4 fa1	
白莲教	bak9 lin4 gau3	
白鹭	bak9 lou6	
白领	bak9 lɪŋ5	
白领阶级	bak9 lɪŋ5 gai1 kɐp7	
白马王子	bak9 ma5 wɔŋ4 dzi2	
白猫	bak9 mau1	
白面	bak9 min6	
白面书生	bak9 min6 sy1 sɐŋ1	
白米	bak9 mɐi5	
白木耳	bak9 mʊk9 ji5	
白蒙蒙	bak9 mʊŋ1 mʊŋ1	雪白雪白的
白皮书	bak9 pei4 sy1	
白沙	bak9 sa1	
白纱	bak9 sa1	
白嘥	bak9 sai1	白费
白色	bak9 sik7	
白皙	bak9 sik7	
白蚀	bak9 sik9	汗斑
白鼠	bak9 sy2	
白薯	bak9 sy4	
白雪雪	bak9 syt7 syt7	白白的，雪白
白雪	bak9 syt8	
白水	bak9 sœy2	
白首	bak9 sɐu2	
白手	bak9 sɐu2	
白手起家	bak9 sɐu2 hei2 ga1	
白痴	bak9 tsi1	
白醋	bak9 tsou3	
白灼	bak9 tsœk8	水煮，清煮，涮
白灼虾	bak9 tsœk8 ha1	清煮虾
白菜	bak9 tsɔi3	
白车	bak9 tsɛ1	救护车
白头到老	bak9 tɐu4 dou3 lou5	
白头偕老	bak9 tɐu4 gai1 lou5	
白头翁	bak9 tɐu4 jʊŋ1	
白糖	bak9 tɔŋ4	
白话	bak9 wa2	本地话，广州话，广府话，广东话
白话	bak9 wa2	
白话文	bak9 wa2 mɐn4	
白话文学	bak9 wa2 mɐn4 hɔk9	
白云	bak9 wɐn4	
白眼	bak9 ŋan5	
白蚁	bak9 ŋɐi5	
白银	bak9 ŋɐn4	
白矮星	bak9 ɐi2 sɪŋ1	
白垩纪	bak9 ɔk8 gei2	
班	ban1	群，伙
班	ban1	纠合，纠集，拉队伍，纠集同伙
班兵	ban1 bɪŋ1	请援兵，请人帮忙，请求援助，搬兵
班主任	ban1 dzy2 jɐm6	
班长	ban1 dzœŋ2	
颁奖	ban1 dzœŋ2	
颁奖典礼	ban1 dzœŋ2 din2 lɐi5	
颁奖礼	ban1 dzœŋ2 lɐi2	
班底	ban1 dɐi2	
班代表	ban1 dɔi6 biu2	
班房	ban1 fɔŋ2	教室，课室
斑鸠	ban1 gɐu1	
瘢痕	ban1 hɐn4	
班戟	ban1 kik7	薄煎饼，薄烤饼，热香饼
斑斓	ban1 lan4	
班马	ban1 ma5	搬救兵，召集党徒，召集羽翼
斑马	ban1 ma5	
班门弄斧	ban1 mun4 lʊŋ6 fu2	
班师	ban1 si1	
班师回朝	ban1 si1 wui4 tsiu4	
班次	ban1 tsi3	
班车	ban1 tsɛ1	
板	ban2	板子
版本	ban2 bun2	
板障	ban2 dzœŋ3	板墙，板壁
板凳	ban2 dɐŋ3	
板块	ban2 fai3	
版权	ban2 kyn4	
版权所有	ban2 kyn4 sɔ2 jɐu5	
扮煮饭仔	ban3 dzy2 fan6 dzɐi2	过家家，玩过家家，扮家家酒
扮	ban6	装，装作
湴	ban6	烂泥，稀泥
扮猪食老虎	ban6 dzy1 sik9 lou5 fu2	佯装愚蠢，装疯卖傻来占便宜
扮得意	ban6 dɐk7 ji3	装可爱
扮代表	ban6 dɔi6 biu2	装模作样
办法	ban6 fat8	
办公室	ban6 gʊŋ1 sɐt7	
扮演	ban6 jin2	
扮嘢	ban6 jɛ5	装模作样，装样子，装蒜，出风头
扮英雄	ban6 jɪŋ1 hʊŋ4	充英雄
扮靓	ban6 lɛŋ3	打扮，打扮得漂漂亮亮
扮晒嘢	ban6 sai3 jɛ5	装模作样
办事	ban6 si6	
办事处	ban6 si6 tsy3	
办妥	ban6 tɔ2	
扮听唔到	ban6 tɛŋ1 m̩4 dou2	装作没听见
八	bat8	八卦的，爱管闲事的
八宝	bat8 bou2	
八宝粥	bat8 bou2 dzʊk7	
八宝饭	bat8 bou2 fan6	
八点	bat8 dim2	
八点钟	bat8 dim2 dzʊŋ1	
八爪鱼	bat8 dzau2 jy4	章鱼
八字	bat8 dzi6	
八股	bat8 gu2	
八股文	bat8 gu2 mɐn4	
八卦	bat8 gwa3	爱管闲事
八卦妹	bat8 gwa3 mui1	爱管闲事的女孩
八卦婆	bat8 gwa3 pɔ2	三八，饶舌妇
八国联军	bat8 gwɔk8 lyn4 gwɐn1	
八九不离十	bat8 gɐu2 bɐt7 lei4 sɐp9	
八个字	bat8 gɔ3 dzi6	四十分钟
八角	bat8 gɔk8	
八角形	bat8 gɔk8 jɪŋ4	
八月	bat8 jyt9	
八月份	bat8 jyt9 fɐn6	
八级	bat8 kɐp7	
八路军	bat8 lou6 gwɐn1	
八面玲珑	bat8 min6 lɪŋ4 lʊŋ4	
八妹	bat8 mui1	爱管闲事的女孩
八年级	bat8 nin4 kɐp7	
八婆	bat8 pɔ4	三八，饶舌妇
八仙	bat8 sin1	
八仙过海	bat8 sin1 gwɔ3 hɔi2	
八十	bat8 sɐp9	
八成	bat8 sɪŋ4	
包	bau1	保证
褒贬	bau1 bin2	
包租	bau1 dzou1	租房又分租给他人
包租公	bau1 dzou1 gʊŋ1	二房东
包租婆	bau1 dzou1 pɔ2	二房东太太，二房东，女二房东
包装	bau1 dzɔŋ1	
包粽	bau1 dzʊŋ2	包粽子
包袱	bau1 fʊk9	
包裹	bau1 gwɔ2	
包含	bau1 hɐm4	
包二奶	bau1 ji6 nai1	有情妇，养小老婆
鲍鱼	bau1 jy4	
包容	bau1 jʊŋ4	
包括	bau1 kut8	
包厢	bau1 sœŋ1	
饱嗝	bau2 gak8	
饱经	bau2 gɪŋ1	
饱经风霜	bau2 gɪŋ1 fʊŋ1 sœŋ1	
饱经世故	bau2 gɪŋ1 sɐi3 gu3	
饱经沧桑	bau2 gɪŋ1 tsɔŋ1 sɔŋ1	
饱含	bau2 hɐm4	
饱学	bau2 hɔk9	
饱学之士	bau2 hɔk9 dzi1 si6	
饱满	bau2 mun5	
饱暖	bau2 nyn5	
饱暖思淫欲	bau2 nyn5 si1 jɐm4 jʊk9	
饱死	bau2 sei2	臭美
饱死我啦！	bau2 sei2 ŋɔ5 la3	饱到要爆炸
饱食	bau2 sik9	
饱食终日	bau2 sik9 dzʊŋ1 jɐt9	
饱尝	bau2 sœŋ4	
饱受	bau2 sɐu6	
饱餐	bau2 tsan1	
饱擦一轮	bau2 tsat8 jɐt7 lœn4	饱吃一顿
饱和	bau2 wɔ4	
饱和点	bau2 wɔ4 dim2	
饱和度	bau2 wɔ4 dou6	
饱和状态	bau2 wɔ4 dzɔŋ6 tai3	
爆	bau3	炸，破裂
爆煲	bau3 bou1	露馅儿，暴露
爆炸	bau3 dza3	
爆樽	bau3 dzœn1	砸瓶
爆发	bau3 fat8	
爆火	bau3 fɔ2	发脾气
爆谷	bau3 gʊk7	爆米花，玉米花儿
爆棚	bau3 paŋ4	卖座
爆肽	bau3 tai1	破轮胎
爆坼	bau3 tsak8	皮肤皴裂
爆粗口	bau3 tsou1 hɐu2	说粗话
鲍鱼	bau6 jy4	
蹦蹦跳跳	baŋ6 baŋ6 tiu3 tiu3	
绷带	baŋ6 dai3	
绷紧	baŋ6 gɐn2	
卑职	bei1 dzik7	
卑贱	bei1 dzin6	
卑俗	bei1 dzʊk9	
悲恸	bei1 dʊŋ6	
悲愤填膺	bei1 fɐn5 tin4 jɪŋ1	
悲观	bei1 gun1	
裨益	bei1 jik7	
悲剧	bei1 kɛk9	
卑劣	bei1 lyt8	
卑劣性	bei1 lyt8 sɪŋ3	
卑微	bei1 mei4	
碑文	bei1 mɐn4	
卑鄙	bei1 pei2	
卑鄙无耻	bei1 pei2 mou4 tsi2	
悲惨	bei1 tsam2	
悲哀	bei1 ɔi1	
髀	bei2	腿，大腿
畀	bei2	被，受，让
畀	bei2	给
畀翻	bei2 fan1	还给
畀翻钱	bei2 fan1 tsin2	还钱
畀非士	bei2 fei1 si2	给面子
比分	bei2 fɐn1	
比方	bei2 fɔŋ1	
比较	bei2 gau3	
比坚尼	bei2 gin1 nei4	比基尼，比基尼泳衣
畀过	bei2 gwɔ3	交给
畀考起	bei2 hau2 hei2	被考倒
比喻	bei2 jy6	
畀人棍咗	bei2 jɐn4 gwɐn3 dzɔ2	给人骗了，被人骗了，被骗
畀人虾	bei2 jɐn4 ha1	软弱，给别人欺负
畀人恰	bei2 jɐn4 hɐp7	让别人欺负了
畀人箍颈	bei2 jɐn4 ku1 gɛŋ2	被人抢劫
畀人闹	bei2 jɐn4 nau6	挨骂，被骂，让人骂
畀人拼沉	bei2 jɐn4 pɛŋ1 tsɐm4	被打败，给人打输
畀人识穿	bei2 jɐn4 sik7 tsyn1	让人识破
畀人唱衰	bei2 jɐn4 tsœŋ3 sœy1	被别人诋毁，被别人戳脊梁骨
畀人玩死	bei2 jɐn4 wan2 sei2	被人害苦
畀人呃	bei2 jɐn4 ŋak7	受骗，被骗
比率	bei2 lœt9	
畀利是	bei2 lɐi6 si6	给红包
畀面	bei2 min2	赏脸，给面子
畀面色佢睇	bei2 min6 sik7 kœy5 tɐi2	给脸色他看
畀问起	bei2 mɐn6 hei2	被问倒
比唔上	bei2 m̩4 sœŋ6	比不上
畀闹到一只屐	bei2 nau6 dou3 jɐt7 dzɛk8 kɛk9	被骂得垂头丧气，被骂得狗血淋头，挨一顿臭骂
畀闹到一戙都冇	bei2 nau6 dou3 jɐt7 dʊŋ6 dou1 mou5	被骂得一钱不值，被骂得狗血淋头，挨一顿臭骂
畀闹到一面屁	bei2 nau6 dou3 jɐt7 min6 pei3	被骂得满脸羞惭，被骂得无地自容，被骂得狗血淋头
畀闹到死死吓	bei2 nau6 dou3 sei2 sei2 ha2	被骂得垂头丧气，被骂得狗血淋头，挨一顿臭骂
畀雪藏	bei2 syt8 tsɔŋ4	被打入冷宫，暂时闲置
畀水沉死	bei2 sœy2 dzɐm6 sei2	被水淹死
畀水浊亲	bei2 sœy2 dzʊk9 tsɐn1	给水呛了
畀心机	bei2 sɐm1 gei1	用心，下功夫，努力
畀心机做	bei2 sɐm1 gei1 dzou6	努力做
匕首	bei2 sɐu2	
畀锡坏咗	bei2 sɛk8 wai6 dzɔ2	被惯坏了，给人惯坏了
畀贴士	bei2 tip7 si2	给小费
畀差人拉	bei2 tsai1 jɐn4 lai1	被警察逮捕
彼此	bei2 tsi2	
畀钱	bei2 tsin2	付钱，给钱
畀钱我	bei2 tsin2 ŋɔ5	给我钱
比赛	bei2 tsɔi3	
畀…睇	bei2 tɐi2	给…看
畀银纸	bei2 ŋɐn4 dzi2	给钱
彼岸	bei2 ŋɔn6	
痹	bei3	麻，麻痹，麻木
痹到死	bei3 dou3 sei2	肉麻死了，肉麻得要命
秘诀	bei3 kyt8	
秘笈	bei3 kɐp7	
秘捞	bei3 lou1	搞外快，赚取外快，业余兼职
秘密	bei3 mɐt9	
泌尿	bei3 niu6	
秘书	bei3 sy1	
庇护	bei3 wu6	
避	bei6	躲
被迫	bei6 bak7	
被捕	bei6 bou6	
备战	bei6 dzin3	
鼻祖	bei6 dzou2	
备注	bei6 dzy3	
鼻窦炎	bei6 dɐu6 jim4	
被动	bei6 dʊŋ6	
备份	bei6 fɐn6	
备课	bei6 fɔ3	
避风塘	bei6 fʊŋ1 tɔŋ4	避风港
被告	bei6 gou3	
鼻哥	bei6 gɔ1	鼻子
鼻哥窿 	bei6 gɔ1 lʊŋ1	鼻孔
鼻血	bei6 hyt8	
避开	bei6 hɔi1	
被害	bei6 hɔi6	
被害人	bei6 hɔi6 jɐn4	
鼻腔	bei6 hɔŋ1	
被控	bei6 hʊŋ3	
备而不用	bei6 ji4 bɐt7 jʊŋ6	
鼻炎	bei6 jim4	
鼻烟	bei6 jin1	
鼻烟盒	bei6 jin1 hɐp9	
鼻咽癌	bei6 jin1 ŋam4	
鼻音	bei6 jɐm1	
备用	bei6 jʊŋ6	
备用品	bei6 jʊŋ6 bɐn2	
被困	bei6 kwɐn3	
鼻梁	bei6 lœŋ4	
避免	bei6 min5	
备忘录	bei6 mɔŋ4 lʊk9	
避唔切	bei6 m̩4 tsit8	来不及躲开
鼻息	bei6 sik7	
鼻水	bei6 sœy2	
鼻塞	bei6 sɐk7	
备受	bei6 sɐu6	
鼻涕	bei6 tɐi3	
鼻涕虫	bei6 tɐi3 tsʊŋ4	
备胎	bei6 tɔi1	
备案	bei6 ɔn3	
BB机	bi1 bi1 gei1	呼叫机，BB机
啤啤	bi4 bi1	小孩，婴儿，婴孩，小孩儿
啤啤仔	bi4 bi1 dzɐi2	小婴儿，小男孩，男婴儿，小小子
啤啤女	bi4 bi1 nœy2	女婴儿，小女孩，小丫头
啤啤车	bi4 bi1 tsɛ1	婴儿车
逼	bik7	挤，拥挤
逼巴士	bik7 ba1 si2	挤公车，挤公共汽车
逼迫	bik7 bak7	
逼到鬼噉	bik7 dou3 gwɐi2 gɐm2	挤得要命
逼到埋身	bik7 dou3 mai4 sɐn1	事情迫到头上来
壁纸	bik7 dzi2	
壁虎	bik7 fu2	
逼过嚟	bik7 gwɔ3 lei4	挤过来
逼供	bik7 gʊŋ1	
碧血	bik7 hyt8	
逼冚晒	bik7 hɐm6 sai3	挤得紧紧的
碧海	bik7 hɔi2	
逼人	bik7 jɐn4	拥挤
逼入去	bik7 jɐp9 hœy3	挤进去
碧玉	bik7 jʊk9	
逼嚟逼去	bik7 lei4 bik7 hœy3	挤来挤去
壁炉	bik7 lou4	
碧绿	bik7 lʊk9	
碧绿色	bik7 lʊk9 sik7	
逼上梁山	bik7 sœŋ5 lœŋ4 san1	
壁橱	bik7 tsœy4	
壁画	bik7 wa2	
碧眼	bik7 ŋan5	
边	bin1	哪，哪里
鞭	bin1	鞭子
边度	bin1 dou6	哪里
辫仔	bin1 dzɐi2	辫子
边际	bin1 dzɐi3	
边种	bin1 dzʊŋ2	哪种
边防	bin1 fɔŋ4	
边防要塞	bin1 fɔŋ4 jiu3 tsɔi3	
边界	bin1 gai3	
边界线	bin1 gai3 sin3	
边疆	bin1 gœŋ1	
边个	bin1 gɔ3	谁，哪一个
边个噶	bin1 gɔ3 ga3	谁的？
边个嘅	bin1 gɔ3 gɛ3	谁的
边境	bin1 gɪŋ2	
边缘	bin1 jyn4	
边一年	bin1 jɐt7 nin4	哪一年
边日	bin1 jɐt9	哪一天
边有咁大只蛤乸随街跳	bin1 jɐu5 gɐm3 dai6 dzɛk8 gɐp7 na2 tsœy4 gai1 tiu3	天上不会掉馅儿饼，没有那么便宜的事
